,clean company name,original company names,original row number,company matches,fuzz ratio
303,hikma,"HIKMA, HIKMA INTL PHARMS, HIKMA PHARM CO LTD, HIKMA PHARMS","384, 386, 387, 388","['hikma', 'hikma', 'hikma', 'hikma'], ['hikma', 'hikma', 'hikma', 'hikma'], ['hikma', 'hikma', 'hikma', 'hikma'], ['hikma', 'hikma', 'hikma', 'hikma']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
304,hikma farmaceutica,HIKMA FARMACEUTICA,385,['hikma farmaceutica'],[100]
305,hill dermaceuticals,HILL DERMACEUTICALS,389,['hill dermaceuticals'],[100]
306,hisamitsu,HISAMITSU PHARM CO,390,['hisamitsu'],[100]
307,hoffman-la roche,HOFFMAN-LA ROCHE,391,['hoffman-la roche'],[100]
308,hoffmann la roche,HOFFMANN LA ROCHE,392,['hoffmann la roche'],[100]
309,hoffmann-la roche,HOFFMANN-LA ROCHE,393,['hoffmann-la roche'],[100]
310,hope,HOPE PHARMS,394,['hope'],[100]
311,horizon,"HORIZON PHARMA, HORIZON PHARMA INC, HORIZON PHARMA USA","395, 396, 397","['horizon', 'horizon', 'horizon'], ['horizon', 'horizon', 'horizon'], ['horizon', 'horizon', 'horizon']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
312,horizon theraps,HORIZON THERAPS INC,398,['horizon theraps'],[100]
313,hospira,"HOSPIRA, HOSPIRA INC","399, 400","['hospira', 'hospira'], ['hospira', 'hospira']","[100, 100], [100, 100]"
314,hot shots nm,HOT SHOTS NM LLC,401,['hot shots nm'],[100]
315,houston cyclotron,HOUSTON CYCLOTRON,402,['houston cyclotron'],[100]
316,hq spclt,HQ SPCLT PHARMA,403,['hq spclt'],[100]
317,hq speciality,HQ SPECIALITY PHARMA,404,['hq speciality'],[100]
318,hq speclt,HQ SPECLT PHARMA,405,['hq speclt'],[100]
319,hra,HRA PHARMA,406,['hra'],[100]
320,human genome sciences.,HUMAN GENOME SCIENCES INC.,407,['human genome sciences.'],[100]
321,i,US PHARMS HOLDINGS I,899,['i'],[100]
322,iba molecular,IBA MOLECULAR N AM,408,['iba molecular'],[100]
323,icu,ICU MEDICAL INC,409,['icu'],[100]
324,idt australia,IDT AUSTRALIA LTD,410,['idt australia'],[100]
325,imclone,IMCLONE,411,['imclone'],[100]
326,immunex,IMMUNEX,412,['immunex'],[100]
327,impax,"IMPAX LABS, IMPAX LABS INC, IMPAX PHARMS","413, 414, 415","['impax', 'impax', 'impax'], ['impax', 'impax', 'impax'], ['impax', 'impax', 'impax']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
328,incyte,INCYTE CORP,416,['incyte'],[100]
329,indchemie,INDCHEMIE HEALTH,417,['indchemie'],[100]
330,indivior,INDIVIOR INC,418,['indivior'],[100]
331,indoco remedies,INDOCO REMEDIES,419,['indoco remedies'],[100]
332,ingenus nj,INGENUS PHARMS NJ,420,['ingenus nj'],[100]
333,innogenix,INNOGENIX,421,['innogenix'],[100]
334,insight,INSIGHT PHARMS,422,['insight'],[100]
335,inst biochem,INST BIOCHEM,423,['inst biochem'],[100]
336,institut biochimique,INSTITUT BIOCHIMIQUE,424,['institut biochimique'],[100]
337,insys dev,INSYS DEV CO INC,425,['insys dev'],[100]
338,intellipharmaceutics,INTELLIPHARMACEUTICS,426,['intellipharmaceutics'],[100]
339,interpharma praha,INTERPHARMA PRAHA AS,427,['interpharma praha'],[100]
340,invagen,INVAGEN PHARMS,429,['invagen'],[100]
341,inventia,INVENTIA HLTHCARE,430,['inventia'],[100]
342,ipca,IPCA LABS LTD,431,['ipca'],[100]
343,ipr,IPR,432,['ipr'],[100]
344,ipsen,"IPSEN INC, IPSEN PHARMA","434, 435","['ipsen', 'ipsen'], ['ipsen', 'ipsen']","[100, 100], [100, 100]"
345,ipsen biopharm,IPSEN BIOPHARM LTD,433,['ipsen biopharm'],[100]
346,iroko,"IROKO PHARMS, IROKO PHARMS LLC","436, 437","['iroko', 'iroko'], ['iroko', 'iroko']","[100, 100], [100, 100]"
347,ironwood,IRONWOOD PHARMS INC,438,['ironwood'],[100]
348,istituto bio ita,ISTITUTO BIO ITA SPA,439,['istituto bio ita'],[100]
349,ivax,IVAX PHARMS INC,440,['ivax'],[100]
350,ivax sub teva,IVAX SUB TEVA PHARMS,441,['ivax sub teva'],[100]
351,j consumer,J AND J CONSUMER INC,442,['j consumer'],[100]
352,janssen,JANSSEN PHARMS,444,['janssen'],[100]
353,janssen biotech,JANSSEN BIOTECH,443,['janssen biotech'],[100]
354,janssen d,JANSSEN R AND D,446,['janssen d'],[100]
355,janssen prods,JANSSEN PRODS,445,['janssen prods'],[100]
356,janssen res dev,JANSSEN RES AND DEV,447,['janssen res dev'],[100]
357,janssen therap,JANSSEN THERAP,448,['janssen therap'],[100]
358,javelin,JAVELIN PHARMS INC,449,['javelin'],[100]
359,jazz,"JAZZ PHARMS, JAZZ PHARMS INC","450, 452","['jazz', 'jazz'], ['jazz', 'jazz']","[100, 100], [100, 100]"
360,jazz iii,JAZZ PHARMS III,451,['jazz iii'],[100]
361,jiangsu hansoh,JIANGSU HANSOH PHARM,453,['jiangsu hansoh'],[100]
362,jiangsu hengrui med,JIANGSU HENGRUI MED,454,['jiangsu hengrui med'],[100]
363,johns hopkins univ,JOHNS HOPKINS UNIV,455,['johns hopkins univ'],[100]
364,johnson johnson,JOHNSON AND JOHNSON,456,['johnson johnson'],[100]
365,jubilant cadista,JUBILANT CADISTA,457,['jubilant cadista'],[100]
366,jubilant draximage,JUBILANT DRAXIMAGE,458,['jubilant draximage'],[100]
367,jubilant generics,JUBILANT GENERICS,459,['jubilant generics'],[100]
368,kadmon,KADMON PHARMS LLC,460,['kadmon'],[100]
369,kaleo,KALEO INC,461,['kaleo'],[100]
370,kastle theraps,KASTLE THERAPS LLC,462,['kastle theraps'],[100]
371,ken lifescience,KEN LIFESCIENCE,463,['ken lifescience'],[100]
372,keryx biopharms,KERYX BIOPHARMS,464,['keryx biopharms'],[100]
373,kettering medctr,KETTERING MEDCTR,465,['kettering medctr'],[100]
374,king,"KING PHARMS, KING PHARMS LLC","466, 467","['king', 'king'], ['king', 'king']","[100, 100], [100, 100]"
375,knight theraps,KNIGHT THERAPS,468,['knight theraps'],[100]
376,kowa,KOWA CO,469,['kowa'],[100]
377,kreitchman pet ctr,KREITCHMAN PET CTR,470,['kreitchman pet ctr'],[100]
378,kremers urban,KREMERS URBAN PHARMS,471,['kremers urban'],[100]
379,krka tovarna zdravil,KRKA TOVARNA ZDRAVIL,472,['krka tovarna zdravil'],[100]
380,kvk tech,KVK TECH,473,['kvk tech'],[100]
381,kyowa kirin,KYOWA KIRIN,474,['kyowa kirin'],[100]
382,kythera biopharms,KYTHERA BIOPHARMS,475,['kythera biopharms'],[100]
383,l perrigo,L PERRIGO CO,476,['l perrigo'],[100]
384,lab hra,LAB HRA PHARMA,477,['lab hra'],[100]
385,lannett,"LANNETT, LANNETT CO INC, LANNETT HOLDINGS INC","479, 480, 481","['lannett', 'lannett', 'lannett'], ['lannett', 'lannett', 'lannett'], ['lannett', 'lannett', 'lannett']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
386,lantheus,LANTHEUS MEDICAL,483,['lantheus'],[100]
387,lantheus medcl,LANTHEUS MEDCL,482,['lantheus medcl'],[100]
388,larken,"LARKEN LABS, LARKEN LABS INC","484, 485","['larken', 'larken'], ['larken', 'larken']","[100, 100], [100, 100]"
389,leadiant biosci,LEADIANT BIOSCI INC,486,['leadiant biosci'],[100]
390,leading,LEADING PHARMA LLC,487,['leading'],[100]
391,lehigh valley,LEHIGH VALLEY,488,['lehigh valley'],[100]
392,leo,"LEO LABS, LEO PHARMA AS","489, 490","['leo', 'leo'], ['leo', 'leo']","[100, 100], [100, 100]"
393,leon farma,LABS LEON FARMA,478,['leon farma'],[100]
394,lg chem,LG CHEM LTD,491,['lg chem'],[100]
395,liaoning chengda,LIAONING CHENGDA,492,['liaoning chengda'],[100]
396,liebel-flarsheim,LIEBEL-FLARSHEIM,493,['liebel-flarsheim'],[100]
397,lifestar,LIFESTAR PHARMA,494,['lifestar'],[100]
398,lilly,LILLY,495,['lilly'],[100]
399,linde gas north america,LINDE GAS NORTH AMERICA LLC,496,['linde gas north america'],[100]
400,linde gas puerto rico,LINDE GAS PUERTO RICO INC,497,['linde gas puerto rico'],[100]
401,linde merchant productions,LINDE MERCHANT PRODUCTIONS INC,498,['linde merchant productions'],[100]
402,linde north america,LINDE NORTH AMERICA INC,499,['linde north america'],[100]
403,lloyd,LLOYD,500,['lloyd'],[100]
404,lnk,LNK,501,['lnk'],[100]
405,loreal,LOREAL USA,502,['loreal'],[100]
406,lotus,LOTUS PHARM CO LTD,503,['lotus'],[100]
407,luitpold,"LUITPOLD, LUITPOLD PHARMS INC","504, 505","['luitpold', 'luitpold'], ['luitpold', 'luitpold']","[100, 100], [100, 100]"
408,lukare,LUKARE MEDICAL LLC,506,['lukare'],[100]
409,lundbeck,LUNDBECK PHARMS LLC,508,['lundbeck'],[100]
410,lundbeck na,LUNDBECK NA LTD,507,['lundbeck na'],[100]
411,lupin,"LUPIN, LUPIN LTD, LUPIN PHARMS","509, 511, 512","['lupin', 'lupin', 'lupin'], ['lupin', 'lupin', 'lupin'], ['lupin', 'lupin', 'lupin']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
412,lupin atlantis,LUPIN ATLANTIS,510,['lupin atlantis'],[100]
413,lymol medcl,LYMOL MEDCL,513,['lymol medcl'],[100]
414,lyne,LYNE,514,['lyne'],[100]
415,m,3M,1,['m'],[100]
416,m drug delivery,3M DRUG DELIVERY,2,['m drug delivery'],[100]
417,ma general hosp,MA GENERAL HOSP,515,['ma general hosp'],[100]
418,machine&welding,MACHINE & WELDING SUPPLY CO,516,['machine&welding'],[100]
419,macleods,"MACLEODS PHARMA, MACLEODS PHARMS LTD","517, 518","['macleods', 'macleods'], ['macleods', 'macleods']","[100, 100], [100, 100]"
420,mallinckrodt,MALLINCKRODT INC,521,['mallinckrodt'],[100]
421,mallinckrodt ard,MALLINCKRODT ARD,519,['mallinckrodt ard'],[100]
422,mallinckrodt hosp,MALLINCKRODT HOSP,520,['mallinckrodt hosp'],[100]
423,mallinckrodt ip,MALLINCKRODT IP,522,['mallinckrodt ip'],[100]
424,mallinkrodt nuclear,MALLINKRODT NUCLEAR,523,['mallinkrodt nuclear'],[100]
425,mannkind,MANNKIND,524,['mannkind'],[100]
426,marina biotech,MARINA BIOTECH,525,['marina biotech'],[100]
427,marksans,MARKSANS PHARMA,526,['marksans'],[100]
428,marnel,MARNEL PHARMS,527,['marnel'],[100]
429,matheson tri-gas,MATHESON TRI-GAS INC,528,['matheson tri-gas'],[100]
430,matrix,MATRIX LABS LTD,529,['matrix'],[100]
431,mayer,MAYER LABS INC,530,['mayer'],[100]
432,mayne,"MAYNE PHARMA, MAYNE PHARMA INC, MAYNE PHARMA INTL","531, 532, 533","['mayne', 'mayne', 'mayne'], ['mayne', 'mayne', 'mayne'], ['mayne', 'mayne', 'mayne']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
433,mcprf,MCPRF,534,['mcprf'],[100]
434,meda,MEDA PHARMS,535,['meda'],[100]
435,medac,MEDAC PHARMA INC,536,['medac'],[100]
436,medication,INTL MEDICATION,428,['medication'],[100]
437,medicines,"MEDICINES360, THE MEDICINES CO","537, 862","['medicines', 'medicines'], ['medicines', 'medicines']","[100, 100], [100, 100]"
438,medicis,MEDICIS,538,['medicis'],[100]
439,medicure,MEDICURE,539,['medicure'],[100]
440,medigene,MEDIGENE AG,540,['medigene'],[100]
441,medimetriks,MEDIMETRIKS PHARMS,541,['medimetriks'],[100]
442,medimmune,MEDIMMUNE,542,['medimmune'],[100]
443,medtech,MEDTECH PRODUCTS,543,['medtech'],[100]
444,merck,"MERCK, MERCK AND CO INC","544, 545","['merck', 'merck'], ['merck', 'merck']","[100, 100], [100, 100]"
445,merck sharp dohme,MERCK SHARP DOHME,546,['merck sharp dohme'],[100]
446,meridian medcl,MERIDIAN MEDCL,547,['meridian medcl'],[100]
447,meridian medcl techn,MERIDIAN MEDCL TECHN,548,['meridian medcl techn'],[100]
448,merz,MERZ PHARMS,549,['merz'],[100]
449,methodist hosp res,METHODIST HOSP RES,550,['methodist hosp res'],[100]
450,metuchen,METUCHEN PHARMS,551,['metuchen'],[100]
451,micro india,MICRO LABS LTD INDIA,552,['micro india'],[100]
452,midatech,MIDATECH PHARMA US,553,['midatech'],[100]
453,midwest medcl,MIDWEST MEDCL,554,['midwest medcl'],[100]
454,mikart,MIKART,555,['mikart'],[100]
455,millennium,MILLENNIUM PHARMS,556,['millennium'],[100]
456,mips crf,MIPS CRF,557,['mips crf'],[100]
457,mission,MISSION PHARMA,558,['mission'],[100]
458,mission pharmacal,MISSION PHARMACAL CO,559,['mission pharmacal'],[100]
459,moberg north,MOBERG PHARMA NORTH,560,['moberg north'],[100]
460,mobius therap,MOBIUS THERAP,561,['mobius therap'],[100]
461,molnlycke hlth,MOLNLYCKE HLTH,562,['molnlycke hlth'],[100]
462,monarch,MONARCH PHARMS,563,['monarch'],[100]
463,msd,"MSD INTL, MSD INTL GMBH","564, 565","['msd', 'msd'], ['msd', 'msd']","[100, 100], [100, 100]"
464,msd merck,MSD MERCK CO,566,['msd merck'],[100]
465,murty,MURTY PHARMS,567,['murty'],[100]
466,mustafa nevzat ilac,MUSTAFA NEVZAT ILAC,568,['mustafa nevzat ilac'],[100]
467,mylan,"MYLAN, MYLAN LABS, MYLAN LABS LTD, MYLAN PHARMA, MYLAN PHARMS INC, MYLAN TECHNOLOGIES","569, 573, 574, 575, 576, 579","['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan'], ['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan'], ['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan'], ['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan'], ['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan'], ['mylan', 'mylan', 'mylan', 'mylan', 'mylan', 'mylan']","[100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100]"
468,mylan asi,MYLAN ASI,570,['mylan asi'],[100]
469,mylan institutional,MYLAN INSTITUTIONAL,571,['mylan institutional'],[100]
470,mylan ireland,MYLAN IRELAND LTD,572,['mylan ireland'],[100]
471,mylan speciality,MYLAN SPECIALITY LP,577,['mylan speciality'],[100]
472,mylan speclt,MYLAN SPECLT,578,['mylan speclt'],[100]
473,mylan teoranta,MYLAN TEORANTA,580,['mylan teoranta'],[100]
474,napo,NAPO PHARMS INC,581,['napo'],[100]
475,natco,"NATCO PHARMA, NATCO PHARMA LTD","582, 583","['natco', 'natco'], ['natco', 'natco']","[100, 100], [100, 100]"
476,navinta,NAVINTA LLC,584,['navinta'],[100]
477,ncm bronx,NCM USA BRONX LLC,585,['ncm bronx'],[100]
478,neos therap,NEOS THERAP INC,586,['neos therap'],[100]
479,nesher,NESHER PHARMS,587,['nesher'],[100]
480,network,THE PHARMA NETWORK,863,['network'],[100]
481,new haven,NEW HAVEN PHARMS,588,['new haven'],[100]
482,nexair,NEXAIR,589,['nexair'],[100]
483,nexgen,"NEXGEN PHARMA, NEXGEN PHARMA INC","590, 591","['nexgen', 'nexgen'], ['nexgen', 'nexgen']","[100, 100], [100, 100]"
484,nextwave,NEXTWAVE PHARMS,592,['nextwave'],[100]
485,niagara,NIAGARA PHARMS,593,['niagara'],[100]
486,nitrous oxide,NITROUS OXIDE CORP,594,['nitrous oxide'],[100]
487,nitrous oxide canada,NITROUS OXIDE OF CANADA,595,['nitrous oxide canada'],[100]
488,noden,NODEN PHARMA,596,['noden'],[100]
489,norco,NORCO INC,597,['norco'],[100]
490,nortec dev,NORTEC DEV ASSOC,598,['nortec dev'],[100]
491,northstar,NORTHSTAR HLTHCARE,599,['northstar'],[100]
492,nostrum,NOSTRUM LABS INC,600,['nostrum'],[100]
493,nova,NOVA LABS LTD,601,['nova'],[100]
494,novartis,"NOVARTIS, NOVARTIS PHARM, NOVARTIS PHARMS, NOVARTIS PHARMS CORP","602, 603, 604, 605","['novartis', 'novartis', 'novartis', 'novartis'], ['novartis', 'novartis', 'novartis', 'novartis'], ['novartis', 'novartis', 'novartis', 'novartis'], ['novartis', 'novartis', 'novartis', 'novartis']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
495,novast,"NOVAST LABS, NOVAST LABS LTD","606, 607","['novast', 'novast'], ['novast', 'novast']","[100, 100], [100, 100]"
496,novel,NOVEL LABS INC,608,['novel'],[100]
497,noven,"NOVEN, NOVEN PHARMS INC","609, 610","['noven', 'noven'], ['noven', 'noven']","[100, 100], [100, 100]"
498,novo nordisk,"NOVO NORDISK, NOVO NORDISK INC","611, 612","['novo nordisk', 'novo nordisk'], ['novo nordisk', 'novo nordisk']","[100, 100], [100, 100]"
499,nps,NPS PHARMS INC,613,['nps'],[100]
500,nu,NU PHARM,614,['nu'],[100]
501,nuvo,"NUVO PHARM INC, NUVO PHARMS INC","615, 616","['nuvo', 'nuvo'], ['nuvo', 'nuvo']","[100, 100], [100, 100]"
502,nycomed,NYCOMED US,617,['nycomed'],[100]
503,oak,"OAK PHARMS, OAK PHARMS INC","618, 620","['oak', 'oak'], ['oak', 'oak']","[100, 100], [100, 100]"
504,oak akorn,OAK PHARMS AKORN,619,['oak akorn'],[100]
505,oc,OC PHARMA,621,['oc'],[100]
506,odyssey,ODYSSEY PHARMS,622,['odyssey'],[100]
507,ohm,"OHM LABS, OHM LABS INC","623, 624","['ohm', 'ohm'], ['ohm', 'ohm']","[100, 100], [100, 100]"
508,omeros,OMEROS,625,['omeros'],[100]
509,ony,ONY,626,['ony'],[100]
510,onyx therap,ONYX THERAP,627,['onyx therap'],[100]
511,orchid,ORCHID HLTHCARE,628,['orchid'],[100]
512,orexigen,OREXIGEN,629,['orexigen'],[100]
513,orexo,OREXO US INC,630,['orexo'],[100]
514,organon,ORGANON USA INC,632,['organon'],[100]
515,organon sub merck,ORGANON SUB MERCK,631,['organon sub merck'],[100]
516,orient,ORIENT PHARMA CO LTD,633,['orient'],[100]
517,orion,ORION PHARMA,635,['orion'],[100]
518,orion orion,ORION CORP ORION,634,['orion orion'],[100]
519,orit,ORIT LABS LLC,636,['orit'],[100]
520,orphan europe,ORPHAN EUROPE,637,['orphan europe'],[100]
521,ortho mcneil,ORTHO MCNEIL PHARM,638,['ortho mcneil'],[100]
522,osi,OSI PHARMS,639,['osi'],[100]
523,osmotica,"OSMOTICA, OSMOTICA PHARM, OSMOTICA PHARM CORP, OSMOTICA PHARM US","640, 641, 642, 643","['osmotica', 'osmotica', 'osmotica', 'osmotica'], ['osmotica', 'osmotica', 'osmotica', 'osmotica'], ['osmotica', 'osmotica', 'osmotica', 'osmotica'], ['osmotica', 'osmotica', 'osmotica', 'osmotica']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
524,otonomy,OTONOMY INC,644,['otonomy'],[100]
525,otsuka,"OTSUKA, OTSUKA PHARM, OTSUKA PHARM CO LTD","645, 647, 648","['otsuka', 'otsuka', 'otsuka'], ['otsuka', 'otsuka', 'otsuka'], ['otsuka', 'otsuka', 'otsuka']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
526,otsuka america,OTSUKA AMERICA PHARM,646,['otsuka america'],[100]
527,outlook,OUTLOOK PHARMS,649,['outlook'],[100]
528,oxarc,OXARC INC,650,['oxarc'],[100]
529,oxford,OXFORD PHARMS,651,['oxford'],[100]
530,pacific,PACIFIC PHARMA,652,['pacific'],[100]
531,pacira,PACIRA PHARMS INC,653,['pacira'],[100]
532,paddock,"PADDOCK LABS, PADDOCK LLC","654, 655","['paddock', 'paddock'], ['paddock', 'paddock']","[100, 100], [100, 100]"
533,par,"PAR PHARM, PAR PHARM INC","657, 658","['par', 'par'], ['par', 'par']","[100, 100], [100, 100]"
534,par form,PAR FORM,656,['par form'],[100]
535,par sterile,PAR STERILE PRODUCTS,659,['par sterile'],[100]
536,paragon bioteck,PARAGON BIOTECK,660,['paragon bioteck'],[100]
537,parapro,PARAPRO LLC,661,['parapro'],[100]
538,parke davis,PARKE DAVIS,662,['parke davis'],[100]
539,parke-davis,PARKE-DAVIS,663,['parke-davis'],[100]
540,pediatrx,PEDIATRX,664,['pediatrx'],[100]
541,pernix ireland,PERNIX IRELAND LTD,665,['pernix ireland'],[100]
542,pernix ireland pain,PERNIX IRELAND PAIN,666,['pernix ireland pain'],[100]
543,pernix theraps,PERNIX THERAPS LLC,667,['pernix theraps'],[100]
544,perrigo,"PERRIGO, PERRIGO CO, PERRIGO PHARMA INTL, PERRIGO PHARMS CO","668, 669, 673, 674","['perrigo', 'perrigo', 'perrigo', 'perrigo'], ['perrigo', 'perrigo', 'perrigo', 'perrigo'], ['perrigo', 'perrigo', 'perrigo', 'perrigo'], ['perrigo', 'perrigo', 'perrigo', 'perrigo']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
545,perrigo d,PERRIGO R AND D,675,['perrigo d'],[100]
546,perrigo israel,PERRIGO ISRAEL,671,['perrigo israel'],[100]
547,perrigo new york,PERRIGO NEW YORK,672,['perrigo new york'],[100]
548,perrigo tennessee,PERRIGO CO TENNESSEE,670,['perrigo tennessee'],[100]
549,perrigo uk finco,PERRIGO UK FINCO,676,['perrigo uk finco'],[100]
550,personal prods,PERSONAL PRODS,677,['personal prods'],[100]
551,petnet,PETNET,678,['petnet'],[100]
552,pf prism,PF PRISM CV,679,['pf prism'],[100]
553,pfizer,"PFIZER, PFIZER INC, PFIZER LABS, PFIZER PHARMS","680, 682, 684, 685","['pfizer', 'pfizer', 'pfizer', 'pfizer'], ['pfizer', 'pfizer', 'pfizer', 'pfizer'], ['pfizer', 'pfizer', 'pfizer', 'pfizer'], ['pfizer', 'pfizer', 'pfizer', 'pfizer']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
554,pfizer cons,PFIZER CONS HLTHCARE,681,['pfizer cons'],[100]
555,pfizer ireland,PFIZER IRELAND,683,['pfizer ireland'],[100]
556,pharmachemie,PHARMACHEMIE BV,688,['pharmachemie'],[100]
557,pharmacia upjohn,"PHARMACIA AND UPJOHN, PHARMACIA UPJOHN","689, 690","['pharmacia upjohn', 'pharmacia upjohn'], ['pharmacia upjohn', 'pharmacia upjohn']","[100, 100], [100, 100]"
558,pharmacyclics,PHARMACYCLICS INC,691,['pharmacyclics'],[100]
559,pharmalucence,PHARMALUCENCE,692,['pharmalucence'],[100]
560,pharmanetwork,THE PHARMANETWORK,864,['pharmanetwork'],[100]
561,pharmascience,PHARMASCIENCE INC,693,['pharmascience'],[100]
562,pierre fabre,PIERRE FABRE,694,['pierre fabre'],[100]
563,pierre fabre derma,PIERRE FABRE DERMA,695,['pierre fabre derma'],[100]
564,pierrel,PIERREL,696,['pierrel'],[100]
565,pii,PII,697,['pii'],[100]
566,piramal critical,PIRAMAL CRITICAL,698,['piramal critical'],[100]
567,piramal imaging,PIRAMAL IMAGING,699,['piramal imaging'],[100]
568,pliva,PLIVA,700,['pliva'],[100]
569,pliva hrvatska,PLIVA HRVATSKA DOO,701,['pliva hrvatska'],[100]
570,plx,PLX PHARMA,702,['plx'],[100]
571,pohl boskamp,POHL BOSKAMP,703,['pohl boskamp'],[100]
572,powder,POWDER PHARMS,704,['powder'],[100]
573,pragma,PRAGMA PHARMS LLC,705,['pragma'],[100]
574,praxair,PRAXAIR INC,709,['praxair'],[100]
575,praxair canada,PRAXAIR CANADA INC,706,['praxair canada'],[100]
576,praxair distribution,PRAXAIR DISTRIBUTION INC,707,['praxair distribution'],[100]
577,praxair distribution mid-atlantic,PRAXAIR DISTRIBUTION MID-ATLANTIC LLC,708,['praxair distribution mid-atlantic'],[100]
578,precision dermat,PRECISION DERMAT,710,['precision dermat'],[100]
579,precision nuclear,PRECISION NUCLEAR,711,['precision nuclear'],[100]
580,prinston,PRINSTON INC,712,['prinston'],[100]
581,prof dspls,PROF DSPLS,713,['prof dspls'],[100]
582,promius,PROMIUS PHARMA,714,['promius'],[100]
583,provensis,PROVENSIS,715,['provensis'],[100]
584,pulmoflow,PULMOFLOW INC,716,['pulmoflow'],[100]
585,puracap,PURACAP PHARM LLC,717,['puracap'],[100]
586,purdue,"PURDUE PHARMA, PURDUE PHARMA LP","718, 719","['purdue', 'purdue'], ['purdue', 'purdue']","[100, 100], [100, 100]"
587,"purity cylinder gases,","PURITY CYLINDER GASES, INC",720,"['purity cylinder gases,']",[100]
588,qilu,QILU PHARM CO LTD,721,['qilu'],[100]
589,qol medcl,QOL MEDCL,722,['qol medcl'],[100]
590,queen hamamatsu pet,QUEEN HAMAMATSU PET,723,['queen hamamatsu pet'],[100]
591,r,R2 PHARMA LLC,725,['r'],[100]
592,r-pharm,R-PHARM US LLC,724,['r-pharm'],[100]
593,ranbaxy,"RANBAXY, RANBAXY LABS LTD","726, 727","['ranbaxy', 'ranbaxy'], ['ranbaxy', 'ranbaxy']","[100, 100], [100, 100]"
594,reckitt benckiser,RECKITT BENCKISER,728,['reckitt benckiser'],[100]
595,recordati rare,RECORDATI RARE,729,['recordati rare'],[100]
596,recro gainesville,RECRO GAINESVILLE,730,['recro gainesville'],[100]
597,reddys,REDDYS,731,['reddys'],[100]
598,regeneron,REGENERON PHARMACEUTICALS,732,['regeneron'],[100]
599,reliant,RELIANT HOLDINGS LTD,733,['reliant'],[100]
600,relypsa,RELYPSA INC,734,['relypsa'],[100]
601,rempex,REMPEX PHARMS INC,735,['rempex'],[100]
602,renaissance ssa,RENAISSANCE SSA LLC,736,['renaissance ssa'],[100]
603,repository,ANDA REPOSITORY,95,['repository'],[100]
604,res software,PHARMA RES SOFTWARE,687,['res software'],[100]
605,rhodes,RHODES PHARMS,737,['rhodes'],[100]
606,riconpharma,RICONPHARMA LLC,738,['riconpharma'],[100]
607,rising,RISING PHARMS INC,739,['rising'],[100]
608,ritedose,RITEDOSE CORP,740,['ritedose'],[100]
609,roche,ROCHE,741,['roche'],[100]
610,roche palo,ROCHE PALO,742,['roche palo'],[100]
611,rockwell,ROCKWELL MEDICAL INC,744,['rockwell'],[100]
612,rockwell medcl,ROCKWELL MEDCL,743,['rockwell medcl'],[100]
613,romark,ROMARK,745,['romark'],[100]
614,roxane,ROXANE,746,['roxane'],[100]
615,rtrx,RTRX,747,['rtrx'],[100]
616,rubicon res,RUBICON RES PVT LTD,748,['rubicon res'],[100]
617,sage prods,SAGE PRODS,749,['sage prods'],[100]
618,sagent,SAGENT PHARMS,752,['sagent'],[100]
619,sagent agila,"SAGENT AGILA, SAGENT AGILA LLC","750, 751","['sagent agila', 'sagent agila'], ['sagent agila', 'sagent agila']","[100, 100], [100, 100]"
620,sagent strides,SAGENT STRIDES,753,['sagent strides'],[100]
621,salix,SALIX PHARMS,754,['salix'],[100]
622,samson medcl,SAMSON MEDCL,755,['samson medcl'],[100]
623,sandoz,"SANDOZ, SANDOZ INC","756, 757","['sandoz', 'sandoz'], ['sandoz', 'sandoz']","[100, 100], [100, 100]"
624,sanofi,"SANOFI US, SANOFI US SERVICES","761, 762","['sanofi', 'sanofi'], ['sanofi', 'sanofi']","[100, 100], [100, 100]"
625,sanofi aventis,"SANOFI AVENTIS, SANOFI AVENTIS US","758, 759","['sanofi aventis', 'sanofi aventis'], ['sanofi aventis', 'sanofi aventis']","[100, 100], [100, 100]"
