,clean company name,original company names,original row number,company matches,fuzz ratio
510,bath concept cosmetics,"Bath Concept Cosmetics (Dongguan) Co., Ltd",912,['bath concept cosmetics'],[100]
511,bath&body works,"Bath & Body Works, Inc.",911,['bath&body works'],[100]
512,bauch&lomb,Bauch & Lomb Incorporated,913,['bauch&lomb'],[100]
513,bausch,"Bausch Health US LLC, Bausch Health US, Inc., Bausch Health US, LLC","918, 919, 920","['bausch', 'bausch', 'bausch'], ['bausch', 'bausch', 'bausch'], ['bausch', 'bausch', 'bausch']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
514,bausch americas,"Bausch Health Americas Inc., Bausch Health Americas, Inc, Bausch Health Americas, Inc.","915, 916, 917","['bausch americas', 'bausch americas', 'bausch americas'], ['bausch americas', 'bausch americas', 'bausch americas'], ['bausch americas', 'bausch americas', 'bausch americas']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
515,bausch&lomb,Bausch & Lomb Incorporated,914,['bausch&lomb'],[100]
516,baxalta,"Baxalta Incorporated, Baxalta U.S. Inc., Baxalta US Inc, Baxalta US Inc., Baxalta USA Inc.","921, 922, 923, 924, 925","['baxalta', 'baxalta', 'baxalta', 'baxalta', 'baxalta'], ['baxalta', 'baxalta', 'baxalta', 'baxalta', 'baxalta'], ['baxalta', 'baxalta', 'baxalta', 'baxalta', 'baxalta'], ['baxalta', 'baxalta', 'baxalta', 'baxalta', 'baxalta'], ['baxalta', 'baxalta', 'baxalta', 'baxalta', 'baxalta']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
517,baxter,"Baxter Healthcare Company, Baxter Healthcare CORP, Baxter Healthcare Corporation, Baxter Laboratories, Baxter Laboratories Pty. Ltd.","926, 927, 928, 930, 931","['baxter', 'baxter', 'baxter', 'baxter', 'baxter'], ['baxter', 'baxter', 'baxter', 'baxter', 'baxter'], ['baxter', 'baxter', 'baxter', 'baxter', 'baxter'], ['baxter', 'baxter', 'baxter', 'baxter', 'baxter'], ['baxter', 'baxter', 'baxter', 'baxter', 'baxter']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
518,baxter laberatories,Baxter Laberatories,929,['baxter laberatories'],[100]
519,bay state,"Bay State Medical, Inc.",932,['bay state'],[100]
520,bay view homecare,"Bay View Homecare, Inc.",933,['bay view homecare'],[100]
521,baycare,"BayCare Home Care, Inc.",934,['baycare'],[100]
522,bayer,"Bayer Health Care LLC, Bayer Health Care LLC., Bayer HealthCare LLC, Bayer HealthCare LLC., Bayer HealthCare Pharmaceuticals Inc., Bayer HealthCare, LLC","936, 937, 939, 940, 941, 942","['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer']","[100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100]"
523,bayer bitterfeld,Bayer Bitterfeld GMBH,935,['bayer bitterfeld'],[100]
524,bayer healthcae,Bayer HealthCae LLC.,938,['bayer healthcae'],[100]
525,bayer helathcare,Bayer HelathCare LLC.,943,['bayer helathcare'],[100]
526,bayshore,"BAYSHORE PHARMACEUTICALS LLC, Bayshore Pharmaceuticals LLC (NJ), Bayshore Pharmaceuticals, LLC","944, 945, 946","['bayshore', 'bayshore', 'bayshore'], ['bayshore', 'bayshore', 'bayshore'], ['bayshore', 'bayshore', 'bayshore']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
527,bb,"BB17, LLC",947,['bb'],[100]
528,bbc,BBC GROUP LIMITED,948,['bbc'],[100]
529,bcm,BCM Ltd,950,['bcm'],[100]
530,bcm cosmetique,BCM Cosmetique SAS,949,['bcm cosmetique'],[100]
531,bdk,"Bdk Group, Llc",951,['bdk'],[100]
532,be,BE Pharmaceuticals Inc.,952,['be'],[100]
533,be well richard clement nutrition be well homeopathics,"Be Well Medical dba Richard Clement Nutrition y Be Well Homeopathics, Be Well Medical dba Richard Clement Nutrition y Be Well Homeopathics 052584997","953, 954","['be well richard clement nutrition be well homeopathics', 'be well richard clement nutrition be well homeopathics'], ['be well richard clement nutrition be well homeopathics', 'be well richard clement nutrition be well homeopathics']","[100, 100], [100, 100]"
534,beach,"Beach Products, Inc.",955,['beach'],[100]
535,beagle bioproducts,Beagle Bioproducts Inc.,956,['beagle bioproducts'],[100]
536,beam,Beam,957,['beam'],[100]
537,bean family enterprises wilbea equipment,"Bean Family Enterprises, Inc. dba Wilbea Medical Equipment",958,['bean family enterprises wilbea equipment'],[100]
538,beaumont,Beaumont Products,960,['beaumont'],[100]
539,beaumont bio med,Beaumont Bio Med,959,['beaumont bio med'],[100]
540,beauren korea,Beauren Korea Inc.,961,['beauren korea'],[100]
541,beaute therapies,"Beaute Therapies, Inc.",962,['beaute therapies'],[100]
542,beautee collagen,"Beautee Collagen Co., Ltd.",963,['beautee collagen'],[100]
543,beautiful day organics,"Beautiful Day Organics, LLC",964,['beautiful day organics'],[100]
544,beauty architects,"Beauty Architects, LLC",965,['beauty architects'],[100]
545,beauty be,"Beauty Be Co., Ltd",966,['beauty be'],[100]
546,beauty solutions,"Beauty Solutions, Ltd.",967,['beauty solutions'],[100]
547,beauty sourcing,"Beauty Sourcing, LLC",968,['beauty sourcing'],[100]
548,beaver research,Beaver Research Company,969,['beaver research'],[100]
549,becton dickinson,"Becton Dickinson and Company, Becton, Dickinson and Company","970, 971","['becton dickinson', 'becton dickinson'], ['becton dickinson', 'becton dickinson']","[100, 100], [100, 100]"
550,bed bath&beyond,Bed Bath & Beyond,972,['bed bath&beyond'],[100]
551,bedford,Bedford Laboratories,973,['bedford'],[100]
552,bedrock brands,"Bedrock Brands, LLC (ST. JOSEPH)",974,['bedrock brands'],[100]
553,bee right,Bee Right LLC,975,['bee right'],[100]
554,beiersdorf,Beiersdorf Inc,976,['beiersdorf'],[100]
555,beigene,"Beigene Usa, Inc.",977,['beigene'],[100]
556,beijing hkky tech,"Beijing HKKY Medical Tech. Co., Ltd.",978,['beijing hkky tech'],[100]
557,beijing ruicheng supplies,"BEIJING RUICHENG MEDICAL SUPPLIES CO., LTD.",979,['beijing ruicheng supplies'],[100]
558,beijing zhangguang science technology,Beijing Zhangguang 101 Science and Technology Co Ltd,981,['beijing zhangguang science technology'],[100]
559,beijing zhangguang science&technology,"BEIJING ZHANGGUANG 101 SCIENCE & TECHNOLOGY CO, LTD",980,['beijing zhangguang science&technology'],[100]
560,being well,Being Well,982,['being well'],[100]
561,bekeikorea,Bekeikorea,983,['bekeikorea'],[100]
562,bel star,Bel Star S.A. (Colombia),984,['bel star'],[100]
563,bel-art,Bel-Art,985,['bel-art'],[100]
564,bela vida body time,"Bela Vida Holdings, LLC dba Body Time",986,['bela vida body time'],[100]
565,belcher,"Belcher Pharmaceuticals LLC, Belcher Pharmaceuticals, LLC","987, 988","['belcher', 'belcher'], ['belcher', 'belcher']","[100, 100], [100, 100]"
566,belcher pharmaceuticalsllc,"Belcher Pharmaceuticals,LLC",989,['belcher pharmaceuticalsllc'],[100]
567,belcrest,"Belcrest Services, LTD.",990,['belcrest'],[100]
568,bell,"Bell International Laboratories, Bell International Laboratories, Inc, Bell International Laboratories, Inc., Bell Pharmaceuticals, Inc, Bell Pharmaceuticals, Inc.","991, 992, 993, 994, 995","['bell', 'bell', 'bell', 'bell', 'bell'], ['bell', 'bell', 'bell', 'bell', 'bell'], ['bell', 'bell', 'bell', 'bell', 'bell'], ['bell', 'bell', 'bell', 'bell', 'bell'], ['bell', 'bell', 'bell', 'bell', 'bell']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
569,bella lab,"Bella Lab Co., Ltd.",996,['bella lab'],[100]
570,bellanez,BELLANEZ,997,['bellanez'],[100]
571,bellegrove,"Bellegrove Medical Supply, Inc.",998,['bellegrove'],[100]
572,belligadria sollutions,Belligadria Sollutions LLC,999,['belligadria sollutions'],[100]
573,bellus,"Bellus Medical, LLC",1000,['bellus'],[100]
574,belmora,"Belmora LLC, Belmora, LLC","1001, 1002","['belmora', 'belmora'], ['belmora', 'belmora']","[100, 100], [100, 100]"
575,belvedere,BELVEDERE INTERNATIONAL INC.,1003,['belvedere'],[100]
576,ben keith,Ben E. Keith,1004,['ben keith'],[100]
577,ben keith foods,Ben E. Keith Foods,1005,['ben keith foods'],[100]
578,benard industries,BENARD INDUSTRIES INC,1006,['benard industries'],[100]
579,benco dental,Benco Dental,1007,['benco dental'],[100]
580,benefit cosmetics,"Benefit Cosmetics, LLC",1008,['benefit cosmetics'],[100]
581,bentley,"Bentley Laboratories LLC, Bentley Laboratories, LLC","1009, 1010","['bentley', 'bentley'], ['bentley', 'bentley']","[100, 100], [100, 100]"
582,bentley laborotories,"Bentley Laborotories, LLC",1011,['bentley laborotories'],[100]
583,bentlin,Bentlin Products LLC,1012,['bentlin'],[100]
584,benton,Benton Inc.,1013,['benton'],[100]
585,bernens convalescent pharmacy,"Bernens Convalescent Pharmacy, Inc",1014,['bernens convalescent pharmacy'],[100]
586,bershtel enterprises,Bershtel Enterprises,1015,['bershtel enterprises'],[100]
587,best accessory,Best Accessory Group,1016,['best accessory'],[100]
588,best choice,"Best Choice, Best Choice (Valu Merchandisers Company)","1017, 1018","['best choice', 'best choice'], ['best choice', 'best choice']","[100, 100], [100, 100]"
589,best sanitizer,"Best Sanitizer, Inc.",1019,['best sanitizer'],[100]
590,best sanitizers,"Best Sanitizers, Inc, Best Sanitizers, Inc.","1020, 1021","['best sanitizers', 'best sanitizers'], ['best sanitizers', 'best sanitizers']","[100, 100], [100, 100]"
591,bestco,"BestCo, BestCo Inc, Bestco Inc., Bestco, Inc.","1022, 1023, 1024, 1025","['bestco', 'bestco', 'bestco', 'bestco'], ['bestco', 'bestco', 'bestco', 'bestco'], ['bestco', 'bestco', 'bestco', 'bestco'], ['bestco', 'bestco', 'bestco', 'bestco']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
592,betco,"Betco Corporation, Ltd, Betco Corporation, Ltd.","1026, 1027","['betco', 'betco'], ['betco', 'betco']","[100, 100], [100, 100]"
593,betheskin,"BETHESKIN Co.,Ltd",1028,['betheskin'],[100]
594,better living,Better Living,1029,['better living'],[100]
595,better living brands,"Better Living Brands, BETTER LIVING BRANDS LC, Better Living Brands LLC, Better Living Brands, LLC","1030, 1031, 1032, 1033","['better living brands', 'better living brands', 'better living brands', 'better living brands'], ['better living brands', 'better living brands', 'better living brands', 'better living brands'], ['better living brands', 'better living brands', 'better living brands', 'better living brands'], ['better living brands', 'better living brands', 'better living brands', 'better living brands']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
596,better living branes,Better Living Branes LLC,1034,['better living branes'],[100]
597,better nature,Better Nature Pty Ltd,1035,['better nature'],[100]
598,beutlich,"Beutlich Pharmaceuticals LLC, Beutlich Pharmaceuticals, LLC","1036, 1037","['beutlich', 'beutlich'], ['beutlich', 'beutlich']","[100, 100], [100, 100]"
599,beyond,"Beyond Health P.A., Beyond International Inc.","1039, 1040","['beyond', 'beyond'], ['beyond', 'beyond']","[100, 100], [100, 100]"
600,beyond derma,"Beyond Derma, LLC",1038,['beyond derma'],[100]
601,bf ascher,BF ASCHER AND CO INC,1041,['bf ascher'],[100]
602,bhmbg global branding,BHMBG Global Branding Inc.,1042,['bhmbg global branding'],[100]
603,bhp,"Bhp Holdings, Inc.",1043,['bhp'],[100]
604,bi-coastal,Bi-Coastal Pharma International LLC,1044,['bi-coastal'],[100]
605,bi-mart,Bi-Mart,1045,['bi-mart'],[100]
606,bic graphic manufacturing,"BIC Graphic USA Manufacturing Co, Inc.",1046,['bic graphic manufacturing'],[100]
607,bickett machine,"Bickett Machine and Supply, Inc",1047,['bickett machine'],[100]
608,big branch breeders service,Big Branch Breeders Service,1048,['big branch breeders service'],[100]
609,big lots,Big Lots,1049,['big lots'],[100]
610,big lots stores,"Big Lots Stores, Inc.",1050,['big lots stores'],[100]
611,biggreen,BIGGREEN INC.,1051,['biggreen'],[100]
612,bill munn,"Bill Munn Supply, Inc.",1052,['bill munn'],[100]
613,billings clinic oxygen&medical equipment,Billings Clinic Home Oxygen & Medical Equipment Inc,1053,['billings clinic oxygen&medical equipment'],[100]
614,binger consulting,Binger Consulting Corporation,1054,['binger consulting'],[100]
615,binotec,"Binotec Co., Ltd.",1055,['binotec'],[100]
616,bio cosmetics,Bio Cosmetics,1056,['bio cosmetics'],[100]
617,bio cosmetics l,Bio Cosmetics S L,1057,['bio cosmetics l'],[100]
618,bio earth manufacturing,BIO EARTH MANUFACTURING (PTY) LTD,1058,['bio earth manufacturing'],[100]
619,bio green sciences liability,NATIONAL BIO GREEN SCIENCES LIMITED LIABILITY COMPANY,4313,['bio green sciences liability'],[100]
620,bio healing therapy industries,BIO HEALING THERAPY INDUSTRIES INC,1059,['bio healing therapy industries'],[100]
621,bio laboratory,Bio Products Laboratory Limited,1060,['bio laboratory'],[100]
622,bio spectra,Bio Spectra,1061,['bio spectra'],[100]
623,bio-germ protection,Bio-Germ Protection LLC,1062,['bio-germ protection'],[100]
624,bio-interchange,Bio-Interchange Co.,1063,['bio-interchange'],[100]
625,bio-medical&pharmaceutical manufacturing,Bio-Medical & Pharmaceutical Manufacturing Corporation,1064,['bio-medical&pharmaceutical manufacturing'],[100]
626,bio-pharm,"Bio-Pharm, Inc.",1065,['bio-pharm'],[100]
627,bioactive,"BioActive, Inc.",1074,['bioactive'],[100]
628,bioactive nutrional,"BioActive Nutrional, Inc.",1067,['bioactive nutrional'],[100]
629,bioactive nutritional,"BioActive Nutritional, BioActive Nutritional Inc ., BioActive Nutritional Inc., BioActive Nutritional, Inc, BioActive Nutritional, Inc.","1068, 1069, 1070, 1071, 1072","['bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional'], ['bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional'], ['bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional'], ['bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional'], ['bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional', 'bioactive nutritional']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
630,bioactive nutritionals,"BioActive Nutritionals, Inc.",1073,['bioactive nutritionals'],[100]
631,bioarmor,"BioArmor, LLC",1075,['bioarmor'],[100]
632,biocare labs,BIOCARE LABS INC.,1076,['biocare labs'],[100]
633,biocodex,BIOCODEX INC.,1077,['biocodex'],[100]
634,biocomp,"BioComp Pharma, BioComp Pharma, Inc.","1078, 1079","['biocomp', 'biocomp'], ['biocomp', 'biocomp']","[100, 100], [100, 100]"
635,biocompatibles,"Biocompatibles, Inc.",1080,['biocompatibles'],[100]
636,biocon,"Biocon Pharma Inc, Biocon Pharma Inc,, Biocon Pharma Inc.,","1081, 1082, 1083","['biocon', 'biocon', 'biocon'], ['biocon', 'biocon', 'biocon'], ['biocon', 'biocon', 'biocon']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
637,bioconnection,Bioconnection B.V.,1084,['bioconnection'],[100]
638,biocosmetica exel argentina,Biocosmetica Exel Argentina SRL,1085,['biocosmetica exel argentina'],[100]
639,biodelivery sciences,"BioDelivery Sciences International Inc, BioDelivery Sciences International, Inc.","1086, 1087","['biodelivery sciences', 'biodelivery sciences'], ['biodelivery sciences', 'biodelivery sciences']","[100, 100], [100, 100]"
640,biodiagnostic,BIODIAGNOSTIC INTERNATIONAL,1088,['biodiagnostic'],[100]
641,bioelements,"Bioelements, Bioelements Inc, Bioelements, Inc.","1089, 1090, 1091","['bioelements', 'bioelements', 'bioelements'], ['bioelements', 'bioelements', 'bioelements'], ['bioelements', 'bioelements', 'bioelements']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
642,bioenergetics,"BioEnergetics, Inc.",1092,['bioenergetics'],[100]
643,biofilm,"BioFilm, BioFilm, Inc","1093, 1094","['biofilm', 'biofilm'], ['biofilm', 'biofilm']","[100, 100], [100, 100]"
644,bioforce,Bioforce AG,1095,['bioforce'],[100]
645,biofrontera,Biofrontera Inc.,1096,['biofrontera'],[100]
646,biogen,"Biogen, Biogen Inc.","1097, 1098","['biogen', 'biogen'], ['biogen', 'biogen']","[100, 100], [100, 100]"
647,biolab,Biolab International Incorporated,1099,['biolab'],[100]
648,biolimpieza de centroamerica,"Biolimpieza de Centroamerica, S.A.",1101,['biolimpieza de centroamerica'],[100]
649,biolimpieza de centroamerica a,"Biolimpieza de Centroamerica, S. A.",1100,['biolimpieza de centroamerica a'],[100]
650,biologische heilmittel heel,Biologische Heilmittel Heel,1102,['biologische heilmittel heel'],[100]
651,biolyte,"BioLyte Laboratories, LLC",1103,['biolyte'],[100]
652,biomarin,BioMarin Pharmaceutical Inc.,1104,['biomarin'],[100]
653,biomed,"Biomed International, BioMed Systems, Inc.","1105, 1106","['biomed', 'biomed'], ['biomed', 'biomed']","[100, 100], [100, 100]"
654,biomedial research foundation northwest lousiansa,Biomedial Research Foundation of Northwest Lousiansa,1107,['biomedial research foundation northwest lousiansa'],[100]
655,biomedical research foundation northwest louisiana,Biomedical Research Foundation of Northwest Louisiana,1108,['biomedical research foundation northwest louisiana'],[100]
656,biomedics,"Biomedics Systems, Inc.",1109,['biomedics'],[100]
657,biomes,BIOMES PHARMACEUTICALS LLC,1110,['biomes'],[100]
658,biometics,"Biometics Co.,Ltd.",1111,['biometics'],[100]
659,bionona,Bionona Limited,1112,['bionona'],[100]
660,bionpharma,"Bionpharma Inc., BionPharma Inc.,","1113, 1114","['bionpharma', 'bionpharma'], ['bionpharma', 'bionpharma']","[100, 100], [100, 100]"
661,biopelle,"Biopelle, Inc.",1115,['biopelle'],[100]
662,biopure healing,"BioPure Healing Products, LLC",1116,['biopure healing'],[100]
663,bioramo,"BioRamo, LLC",1117,['bioramo'],[100]
664,bioresource,BioResource Inc.,1118,['bioresource'],[100]
665,biorhythm,"Biorhythm Co., LTD",1119,['biorhythm'],[100]
666,biostar nutrition pte,Biostar Nutrition Pte. Ltd.,1120,['biostar nutrition pte'],[100]
667,biostech,"BIOSTECH CO., LTD.",1121,['biostech'],[100]
668,biota,B'IOTA Laboratories,881,['biota'],[100]
669,biotanico,Biotanico Inc.,1122,['biotanico'],[100]
670,biotics research,Biotics Research Corporation,1123,['biotics research'],[100]
671,biotronix industries,"Biotronix Healthcare Industries, Inc.",1124,['biotronix industries'],[100]
672,biovea,Biovea,1125,['biovea'],[100]
673,bioved,Bioved Pharmaceuticals,1126,['bioved'],[100]
674,bioverativ therapeutics,Bioverativ Therapeutics Inc.,1127,['bioverativ therapeutics'],[100]
675,bio†ekuiliber†llc,Bio†Ekuiliber†LLC,1066,['bio†ekuiliber†llc'],[100]
676,birchwood,Birchwood Laboratories LLC,1128,['birchwood'],[100]
677,birko,Birko Corporation,1129,['birko'],[100]
678,bishop,"Bishop Pharma, LLC",1130,['bishop'],[100]
679,bishop welding,Bishop Welding Supply,1131,['bishop welding'],[100]
680,bjc,BJC Home Care Services,1132,['bjc'],[100]
681,bjwc,BJWC,1133,['bjwc'],[100]
682,bjwc berkley&jensen,BJWC (Berkley & Jensen ,1134,['bjwc berkley&jensen'],[100]
683,bla,"BLA, BLA101141, BLA101142, BLA101144, BLA101146, BLA101833, BLA102211, BLA102475, BLA103133, BLA103753, BLA103888, BLA103960, BLA125034, BLA125127, BLA125163, BLA761094","1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150","['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla'], ['bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla']","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
684,blackport distribution,BlackPort Distribution,1151,['blackport distribution'],[100]
685,blaine labs,Blaine Labs Inc.,1152,['blaine labs'],[100]
686,blairex,"Blairex Laboratories, Inc.",1153,['blairex'],[100]
687,blairs ferry pharmacy,Blairs Ferry Pharmacy,1154,['blairs ferry pharmacy'],[100]
688,blessings,Blessings International,1155,['blessings'],[100]
689,bliss gvs,Bliss GVS Pharma Limited,1156,['bliss gvs'],[100]
690,blistex,"Blistex Inc, Blistex Inc.","1157, 1158","['blistex', 'blistex'], ['blistex', 'blistex']","[100, 100], [100, 100]"
691,blue cros,"Blue Cros s Laboratories , Inc.",1159,['blue cros'],[100]
692,blue cross,"Blue Cross Laboratories, Blue Cross Laboratories, Inc, Blue Cross Laboratories, Inc.","1160, 1161, 1162","['blue cross', 'blue cross', 'blue cross'], ['blue cross', 'blue cross', 'blue cross'], ['blue cross', 'blue cross', 'blue cross']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
693,blue cross labs,Blue Cross Labs,1163,['blue cross labs'],[100]
694,blue earth diagnostics,Blue Earth Diagnostics,1164,['blue earth diagnostics'],[100]
695,blue monarch,"Blue Monarch, LLC",1165,['blue monarch'],[100]
696,bluegrass oxygen,"Bluegrass Oxygen, Inc.",1166,['bluegrass oxygen'],[100]
697,bluemercury,Bluemercury,1167,['bluemercury'],[100]
698,bluepoint,"BluePoint Laboratories, BluePoint Laboratories Inc.","1168, 1169","['bluepoint', 'bluepoint'], ['bluepoint', 'bluepoint']","[100, 100], [100, 100]"
699,bluepoint labortories,BluePoint Labortories,1170,['bluepoint labortories'],[100]
700,bluette,"Bluette Co., Ltd.",1171,['bluette'],[100]
701,blumingo,BLUMINGO LLC,1172,['blumingo'],[100]
702,bmonument,"BMONUMENT Co., Ltd",1173,['bmonument'],[100]
703,bn,"BN070012, BN811104, BN820915, BN900223","1174, 1175, 1176, 1177","['bn', 'bn', 'bn', 'bn'], ['bn', 'bn', 'bn', 'bn'], ['bn', 'bn', 'bn', 'bn'], ['bn', 'bn', 'bn', 'bn']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
704,bng enterprises herbal clean,BNG Enterprises DBA Herbal Clean,1178,['bng enterprises herbal clean'],[100]
705,bnhcosmetics,"BNHCOSMETICS CO.,LTD.",1179,['bnhcosmetics'],[100]
706,bntrinity,"B.N.Trinity Co.,Ltd",879,['bntrinity'],[100]
707,bob barker,"Bob Barker, Bob Barker Company, Bob Barker Company Inc., Bob Barker Company, Inc., Bob Barker Inc.","1180, 1181, 1182, 1183, 1184","['bob barker', 'bob barker', 'bob barker', 'bob barker', 'bob barker'], ['bob barker', 'bob barker', 'bob barker', 'bob barker', 'bob barker'], ['bob barker', 'bob barker', 'bob barker', 'bob barker', 'bob barker'], ['bob barker', 'bob barker', 'bob barker', 'bob barker', 'bob barker'], ['bob barker', 'bob barker', 'bob barker', 'bob barker', 'bob barker']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
