,Code,Description,Count
5289,ATWOCA,Canada 3000 Inc,3.0
5290,ATWOCP,The a2 Milk Co Ltd,22.0
5291,ATWTAC,Arriva Trains Wales/Trenau Arriva Cymru Ltd,2.0
5292,ATWVCO,Millennial Lithium Corp.,3.0
5293,ATXEP,ADO Group Ltd,1.0
5294,ATXINC,Apotex Inc,3693.0
5295,ATXINN,"ATX Innovation, Inc",4.0
5296,ATXNEC,"ATX Networks Holdings, LLC",1.0
5297,ATXNI,Ataxion Inc.,1.0
5298,ATXPE,Association of Texas Professional Educators,1.0
5299,ATXT,Atex Technologies Inc.,2.0
5300,ATYIC,Aternity Inc.,10.0
5301,ATYRPI,aTyr Pharma Inc.,1968.0
5302,ATZMAE,A2Z Infra Engineering Ltd.,9.0
5303,ATZNET,Autonet Mobile Inc,4.0
5304,ATZONE,AutoZone Inc,2060.0
5305,AUA,Aura Systems Inc,147.0
5306,AUACSB,Australian Accounting Standards Board,116.0
5307,AUAPEQ,"AUA Private Equity Partners, LLC",2.0
5308,AUAUR,Shearwater Group PLC,4.0
5309,AUAWCL,Auld & White Constructors LLC,4.0
5310,AUBAAO,Australian Bankers' Association,8.0
5311,AUBARE,Australian Bureau of Agricultural and Resource Economics and Sciences,1.0
5312,AUBC,Australian Broadcasting Corp,10.0
5313,AUBFQS,Australian Beef Association,2.0
5314,AUBGLL,Authentic Brands Group LLC,45.0
5315,AUBIOI,Aura Biosciences Inc.,174.0
5316,AUBIOT,AusBiotech LTD,68.0
5317,AUBNK,Americas United Bank,277.0
5318,AUBONP,Panera Bread Co,759.0
5319,AUBORG,"Aubrey Organics, Inc.",12.0
5320,AUBOS,Australian Bureau of Statistics,25.0
5321,AUBSPL,Ausco Modular Pty Limited,1.0
5322,AUBUPC,Auburn Pharmaceutical Company,5.0
5323,AUBVIT,"Austria Federal Ministry of Transport, Innovation and Technology",2.0
5324,AUCACN,Americans United for Life,5.0
5325,AUCANY,UnifiedOnline Inc,7.0
5326,AUCCC,Australian Competition and Consumer Commission,109.0
5327,AUCCRF,Australian Cancer Research Foundation,1.0
5328,AUCER,Australian Council for Educational Research,2.0
5329,AUCHBI,Australian Chamber of Commerce and Industry,3.0
5330,AUCHEM,"Austin Chemical Company, Inc.",7.0
5331,AUCHS,CBD Life Sciences Inc.,6.0
5332,AUCIIC,Intertain Group Ltd.,18.0
5333,AUCILI,Aucilla Inc,2.0
5334,AUCKCN,Auckland Council,2.0
5335,AUCLRZ,Aleafia Health Inc,97.0
5336,AUCOMI,Austin Commercial Inc,2.0
5337,AUCONE,Abertis Infraestructuras S.A.,63.0
5338,AUCPFC,GreenSpace Brands Inc.,9.0
5339,AUCPHL,Auctus Pharma Ltd,43.0
5340,AUCSAV,ASB Bank Ltd,8.0
5341,AUCSQU,Australian Commission on Safety and Quality in Health Care,4.0
5342,AUCUSA,Austin College,9.0
5343,AUDAT,Automatic Data Processing Inc.,2327.0
5344,AUDCA,Axereal,1.0
5345,AUDCOD,AudioCodes Ltd,76.0
5346,AUDETH,Audentes Therapeutics Inc.,1051.0
5347,AUDFAT,Australia Department of Foreign Affairs and Trade,14.0
5348,AUDGTL,Audax Group LP,176.0
5349,AUDHA,Australia Department of Health,48.0
5350,AUDIBL,Audible Inc,1.0
5351,AUDIFI,RTL Group S.A.,25.0
5352,AUDIKA,Audika Groupe S.A.,20.0
5353,AUDIPI,Audio Precision Inc,8.0
5354,AUDMAR,Audemars Piguet & Cie,8.0
5355,AUDO,HiWave Technologies PLC,3.0
5356,AUDOAM,Audi of America LLC,4.0
5357,AUDOD,Australia Department of Defence,6.0
5358,AUDONC,Audeo Oncology Inc.,27.0
5359,AUDOSO,"National Audubon Society, Inc.",7.0
5360,AUDRUF,Australian Drug Foundation,3.0
5361,AUDTEC,Audio-Technica Corporation,2.0
5362,AUDTUI,"Audio-Technica U.S., Inc.",6.0
5363,AUECCI,Auburn Electrical Construction Company Inc,1.0
5364,AUEESY,Audio Engineering Society,3.0
5365,AUEGRY,Auerbach Grayson And Company,19.0
5366,AUERST,Auer Steel & Heating Supply Co.,2.0
5367,AUESFR,Auto Escape SA,1.0
5368,AUEYE,AudioEye Inc,9.0
5369,AUFEMI,Aufeminin S.A.,4.0
5370,AUFOFI,Australian Food & Fibre Ltd,1.0
5371,AUFOOD,Australian Food and Grocery Council,5.0
5372,AUFPOL,Australian Federal Police,5.0
5373,AUFRIN,Austin Farms Inc,8.0
5374,AUGCAP,August Capital Corp,33.0
5375,AUGEA,Augean PLC,4.0
5376,AUGENC,Gensource Potash Corp.,15.0
5377,AUGEOT,Australian Institute of Geoscientists,2.0
5378,AUGEQL,August Equity LLP,2.0
5379,AUGMED,Arizant Inc,92.0
5380,AUGMEU,Augmenix Inc.,478.0
5381,AUGMEV,Augment Ventures,2.0
5382,AUGMNR,Hastings Technology Metals Ltd.,2.0
5383,AUGREL,Alpha HPA Ltd,3.0
5384,AUGRPL,Australian Gold Reagents Pty. Ltd.,1.0
5385,AUGRU,AAA Auto Group N.V.,4.0
5386,AUGSBC,Augsburg College,5.0
5387,AUGSUN,Augusta University,317.0
5388,AUGTEC,Wayland Group Corp.,210.0
5389,AUGUA,American Urological Association,1633.0
5390,AUHEDG,Australian Hedge Fund,8.0
5391,AUHEPL,Australian Healthcare Equipment Pty Ltd,19.0
5392,AUHFIL,AAVAS Financiers Ltd,3.0
5393,AUHMZZ,Autohome Incorporated,324.0
5394,AUIML,"AEGON USA Investment Management, LLC",1.0
5395,AUINCD,Australian Institute of Company Directors,61.0
5396,AUINLC,Aurora Instruments Ltd,18.0
5397,AUIOAU,Shrink Nanotechnologies Inc.,25.0
5398,AUISPO,Australian Institute of Sport,3.0
5399,AUKMI,Aukett Swanke Group PLC,4.0
5400,AULIF,American United Life Insurance Co,7.0
5401,AULNGJ,Australia Pacific LNG Pty. Ltd.,2.0
5402,AULPM,ElectroTech Inc,2.0
5403,AULSPL,Australian Laboratory Services Pty Ltd,1.0
5404,AULTHF,The Aultman Foundation,15.0
5405,AUM,Generali Deutschland Holding AG,1.0
5406,AUMAT,Automation Inc,1.0
5407,AUMCAP,Annidis Corp.,33.0
5408,AUMEDT,Las Vegas Central Reservations Corp,2.0
5409,AUMIHC,American United Mutual Insurance Holding Company,2.0
5410,AUMNT,Parliament of Australia,11.0
5411,AUMOHL,Automotive Holdings Group Ltd,4.0
5412,AUMSNK,Aleph,2.0
5413,AUMSPC,Auger Manufacturing Specialists Co,3.0
5414,AUMVHS,Association for Unmanned Vehicle Systems International,1.0
5415,AUNRSC,Aurion Resources Ltd,6.0
5416,AUNRSG,Australian Nursing Federation,1.0
5417,AUNSCS,Americans United for Separation of Church and State,8.0
5418,AUNTIE,Auntie Anne's Inc,10.0
5419,AUNWBL,Australian Renewable Energy Agency,5.0
5420,AUOLYM,Australian Olympic Committee,4.0
5421,AUPCMM,Productivity Commission,4.0
5422,AUPNEW,Alcoa Corp.,499.0
5423,AUPRA,Australian Prudential Regulation Authority,5.0
5424,AUPRPI,Australian Property Institute,1.0
5425,AUPVMA,Australian Pesticides and Veterinary Medicines Authority,13.0
5426,AURBUF,Aurora BioFuels Inc.,14.0
5427,AURC,Austpro Energy Corp,2.0
5428,AURCAS,Aurora Casket Company Inc,7.0
5429,AURCPG,Aurora Capital Group,140.0
5430,AURDHL,Aurora Diagnostics Inc.,98.0
5431,AURHCI,Aurora Health Care Inc,180.0
5432,AURHLD,Australian Shareholders' Association,17.0
5433,AURIGP,Auriga Partners SA,40.0
5434,AURIMA,Auris Medical Holding Ltd.,1331.0
5435,AURIT,Aurora Investment Trust PLC,5.0
5436,AURITI,Aurora Imaging Technology Inc,37.0
5437,AURLBO,Auro Laboratories Ltd,7.0
5438,AURLS,AURELIUS Equity Opportunities SE & Co KGaA,39.0
5439,AURMBW,Pinnacle Foods Inc.,1437.0
5440,AURMIN,Bubs Australia Limited,6.0
5441,AURMNG,Avesoro Resources Inc.,5.0
5442,AURN,American Urban Radio Networks,20.0
5443,AURNWF,Thorney Technologies Ltd.,3.0
5444,AUROBI,Aurora Biomed Inc,10.0
5445,AURODC,Aurora Organic Dairy Corp.,4.0
5446,AUROG,AURORA GROUP,1.0
5447,AURONT,Aurora Networks Inc,1.0
5448,AUROUV,Aurora University,8.0
5449,AURPPL,Aurora Pharmaceuticals Pty Ltd,14.0
5450,AURRCA,Aurigen Capital Limited,2.0
5451,AURSEL,Aures Technologies SA,1.0
5452,AURSFC,Aurora SFC Systems Inc.,6.0
5453,AURSOL,Aurionpro Solutions Ltd,2.0
5454,AURTCL,Australian Rail Track Corporation Limited,1.0
5455,AURTLC,Australian Retailers Association,1.0
5456,AURURC,North Springs Resources Corp.,7.0
5457,AUSAMY,Association of the United States Army,2.0
5458,AUSAOS,Australian Academy of Science,11.0
5459,AUSBDL,Ausbil Dexia Limited,3.0
5460,AUSBOD,AUSSIE BODIES,1.0
5461,AUSCAP,Australian Capital Equity Pty Ltd,3.0
5462,AUSCEN,Australian Central Credit Union Ltd,1.0
5463,AUSDEF,Thales Australia Holdings Pty Ltd,2.0
5464,AUSDR,Ausdrill Limited,3.0
5465,AUSDTA,Australian Dental Association,3.0
5466,AUSEAF,Austevoll Seafood ASA,11.0
5467,AUSEML,Austria Email AG,4.0
5468,AUSENG,Austin Energy,4.0
5469,AUSETH,Australian Ethical Investment Ltd,6.0
5470,AUSFND,Australian Foundation Investment Company Limited,7.0
5471,AUSFRL,Dimerix Limited,48.0
5472,AUSGOI,Cann Global Ltd.,3.0
5473,AUSHBI,Aushon Biosystems Inc.,23.0
5474,AUSHTS,Australian Hotels Association,2.0
5475,AUSIC,Australian Securities and Investments Commission,226.0
5476,AUSMC,YPB Group Ltd,9.0
5477,AUSMED,AUS Inc,7.0
5478,AUSMIC,Austin Mutual Insurance Company,7.0
5479,AUSMON,Ausmon Resources Limited,1.0
5480,AUSNFH,Freedom Foods Group Limited,7.0
5481,AUSPAM,Amcor PLC,269.0
5482,AUSPDR,Austin Powder Company,2.0
5483,AUSPEP,Auspex Pharmaceuticals Inc,1996.0
5484,AUSPES,Auspex Systems Inc,9.0
5485,AUSPHA,Australian Pharmaceutical Industries Ltd,102.0
5486,AUSPNE,Aurora Spine Corporation,622.0
5487,AUSPST,Australia Post,4.0
5488,AUSPSU,Austin Peay State University,10.0
5489,AUSQFI,Austin Quality Foods Inc.,2.0
5490,AUSRC,Australian Research Council,114.0
5491,AUSRUL,Australian Rugby Union,3.0
5492,AUSSIN,Aussino Group Limited,1.0
5493,AUSSTE,ASX Ltd,3554.0
5494,AUSSTK,Western Sizzlin Corporation,2.0
5495,AUSSUB,ASC Pty Ltd,1.0
5496,AUSTAG,Australian Agricultural Co Ltd,7.0
5497,AUSTFL,Australian Football League,4.0
5498,AUSTHE,Austin Health,106.0
5499,AUSTMP,AMP Ltd,29.0
5500,AUSTPI,APA Group,341.0
5501,AUSTVT,Australian Veterinary Association,1.0
5502,AUSTXO,AusTex Oil Limited,3.0
5503,AUSUNI,Australian National University,143.0
5504,AUSWOR,AWE Ltd,5.0
5505,AUSXCP,Tasman Metals Ltd.,193.0
5506,AUSYFR,Ausy,6.0
5507,AUTALL,AutoAlliance International Inc,1.0
5508,AUTAXL,Automotive Axles Ltd,1.0
5509,AUTAXO,Australian Taxation Office,115.0
5510,AUTCAM,Autocam Corporation,1.0
5511,AUTCFD,AutoCanada Inc.,31.0
5512,AUTCY,TriPath Imaging Inc,107.0
5513,AUTGOA,Automobile Corporation of Goa Ltd,1.0
5514,AUTIAG,Automotive Industry Action Group,1.0
5515,AUTILI,American Utilicraft Corporation,8.0
5516,AUTIMM,AutoImmune Inc,225.0
5517,AUTINF,Sunteck Inc,1.0
5518,AUTJN,Autajon CS,6.0
5519,AUTKVP,Australian Takeovers Panel,5.0
5520,AUTLGC,Auto Group Ltd,2.0
5521,AUTLID,Autoline Industries Ltd,5.0
5522,AUTLLC,Autocar LLC,4.0
5523,AUTMER,Autostrade Meridionali SpA,3.0
5524,AUTNMY,Autonomy Corporation plc,16.0
5525,AUTOFU,My Healthy Access Inc.,2.0
5526,AUTOO,Auto-Owners Insurance Group,23.0
5527,AUTOPH,API Healthcare Corp,18.0
5528,AUTOTL,AutoWeb Inc.,263.0
5529,AUTPSC,Automatic Protection Systems Corp,1.0
5530,AUTRY,Australia Treasury,9.0
5531,AUTSCH,Autobahnen und Schnellstrassen Finanzierungs AG,2.0
5532,AUTSD,Atlantia S.p.A.,37.0
5533,AUTSMP,Autism Spectrum Australia,4.0
5534,AUTSPK,Autism Speaks Inc.,117.0
5535,AUTSY,Automated Systems Inc,2.0
5536,AUTTAI,Autobacs Seven Co Ltd,1.0
5537,AUTTFA,Scout24 Schweiz AG,12.0
5538,AUTTM,ASTM SpA,1.0
5539,AUTTNC,Autonomic Technologies Inc,368.0
5540,AUTTYA,Autism Society of America,6.0
5541,AUTUMH,Autumn Harp Inc.,2.0
5542,AUTUY,Auckland University of Technology,9.0
5543,AUTZCK,Nudg Media Inc.,2.0
5544,AUUACS,Audubon Area Community Services Inc.,2.0
5545,AUVENT,Austin Ventures LP,54.0
5546,AUVET,Australia Department of Veterans' Affairs,7.0
5547,AUVFCI,Auvil Fruit Company Inc.,2.0
5548,AUVID,REX American Resources Corporation,165.0
5549,AUXGLD,Ausgold Ltd,2.0
5550,AUXHLT,Theramed Health Corp.,6.0
5551,AUXLMP,"Auxilium Pharmaceuticals, Inc.",4994.0
5552,AUXOGI,Progyny Inc,138.0
5553,AUXSCL,Aux Sable Canada LP,2.0
5554,AUZPHA,"Ausio Pharmaceuticals, LLC",39.0
5555,AVAALP,Avalon Advisors LLC,5.0
5556,AVAAPL,Avanade Australia Pty Limited,1.0
5557,AVABIC,Courtagen Life Sciences Inc.,96.0
5558,AVAC,DelSite Inc,4.0
5559,AVACL,Avac Ltd.,11.0
5560,AVAGOL,Luxottica USA LLC,2.0
5561,AVAGT,Broadcom Inc,2532.0
5562,AVAHCI,Avalon Healthcare Inc,2.0
5563,AVAHEL,Avalere Health LLC,872.0
5564,AVAHL,"Axinn, Veltrop & Harkrider LLP",30.0
5565,AVAHSI,Avamere Health Services Inc,4.0
5566,AVAILL,Availity L.L.C.,27.0
5567,AVALON,Avalon Ventures,358.0
5568,AVALPH,Avalon Pharmaceuticals Inc.,3.0
5569,AVAMSY,Avantis Medical Systems Inc.,108.0
5570,AVAMTI,Avamar Technologies Inc,6.0
5571,AVANAD,Avanade Inc,17.0
5572,AVANL,"Atlas World Group, Inc.",7.0
5573,AVANTE,Avantel Limited,1.0
5574,AVANTH,Avanti Therapeutics,3.0
5575,AVATA,World Class Extractions Inc.,6.0
5576,AVATAC,Avatar Corporation,6.0
5577,AVAXTE,AVAX Technologies Inc,116.0
5578,AVAYHC,Avaya Holdings Corp,57.0
5579,AVAZZI,Avazzia Inc,4.0
5580,AVBAGI,Avborne Accessory Group Inc,2.0
5581,AVBHMI,AAR Aircraft Services - Miami Inc,1.0
5582,AVCAGC,Aviation Capital Group Corp.,2.0
5583,AVCAUS,Rocklands Richfield Ltd,1.0
5584,AVCDI,Aviacode Inc.,2.0
5585,AVCIA,Avecia Group plc,25.0
5586,AVCLHP,Advisory Council on Historic Preservation,115.0
5587,AVCMIZ,Advisory Committee on Immunization Practices,2902.0
5588,AVCNAG,"Avicena Group, Inc.",14.0
5589,AVCOCO,Lycoming Engines,16.0
5590,AVCPGL,Avenue Capital Group LLC,10.0
5591,AVCPTS,AV Concept Holdings Ltd,1.0
5592,AVCPXY,Altitude International Inc.,2.0
5593,AVCRP,Avcorp Industries Inc,2.0
5594,AVCS,Bayer CropScience AG,3573.0
5595,AVCSUS,HAECO Americas,2.0
5596,AVDDSI,Aveva Drug Delivery Systems Inc,80.0
5597,AVDISI,Avid Identification Systems Inc.,8.0
5598,AVDLFE,Avid Life Media Inc,14.0
5599,AVDTL,Aavid Thermalloy LLC,3.0
5600,AVDTNL,Avidity NanoMedicines LLC,15.0
5601,AVEB,Avebe B.A.,12.0
5602,AVECIL,Avecia Ltd,11.0
5603,AVECPR,Avendus Capital Private Limited,10.0
5604,AVEDRO,Avedro Inc,687.0
5605,AVEFPI,Aveos Fleet Performance Inc.,7.0
5606,AVEKAI,AVEKA Inc,8.0
5607,AVELTD,Aveng Ltd,4.0
5608,AVENPB,Sanofi-Aventis Netherlands B.V.,12.0
5609,AVENPH,Aventis Pharmaceuticals Inc,191.0
5610,AVENPO,Sanofi-Aventis Oy,12.0
5611,AVENPS,Sanofi-Aventis s.r.o.,11.0
5612,AVENUA,Microsoft Advertising,5.0
5613,AVEPCL,Sanofi-Aventis Korea Co Ltd,21.0
5614,AVEPHA,Sanofi-Aventis Denmark A/S,12.0
5615,AVEPHS,Aventis Pharma SA,77.0
5616,AVEPIN,Avera Pharmaceuticals Inc.,16.0
5617,AVEPPL,Sanofi-Aventis Australia Pty Ltd,17.0
5618,AVERAH,Avera Health,25.0
5619,AVERBC,Avery Brewing Co.,1.0
5620,AVES,Avesco Group plc,1.0
5621,AVESHI,Aveshka Inc.,3.0
5622,AVETMA,American Veterinary Medical Association,471.0
5623,AVEU,Avis Europe plc,3.0
5624,AVEXAL,Novita Healthcare Ltd,87.0
5625,AVEXII,AveXis Inc.,2075.0
5626,AVEXXI,Avexxin AS,39.0
5627,AVFOOD,"AFS Technologies, Inc.",10.0
5628,AVFUL,Avfuel Corp,2.0
5629,AVFWMN,Avon Foundation for Women,43.0
5630,AVGNTC,Avegant Inc.,2.0
5631,AVGTPL,Avesthagen Limited,26.0
5632,AVHLTZ,Advanced Health Limited,2.0
5633,AVHOLL,Avent Holdings Ltd,3.0
5634,AVIAGL,Aviagen Group Ltd,8.0
5635,AVIAIV,Cientifica plc,1.0
5636,AVIASS,Avison Young (Canada) Inc.,68.0
5637,AVICHN,AviChina Industry & Technology Co Ltd,1.0
5638,AVICIS,Soapstone Networks Inc,1.0
5639,AVICKI,Aeroquip-Vickers Inc,3.0
5640,AVICR,Aviation Industry Corporation of China,7.0
5641,AVIDAV,Avidal Vascular GmbH,4.0
5642,AVIDG,Abbott Vascular Instruments Deutschland GmbH,13.0
5643,AVIDTC,Avid Technology Inc,290.0
5644,AVIDXI,AvidXchange Inc.,13.0
5645,AVIDYC,Avidyne Corporation,2.0
5646,AVIGCP,Avigo Capital Partners Pvt Ltd,2.0
5647,AVIGDA,Aviva Investors France SA,8.0
5648,AVIGEN,Synageva BioPharma Corp,2464.0
5649,AVIGN,Avigen Inc.,103.0
5650,AVIIR,Aviir Inc,12.0
5651,AVILAT,Avila Therapeutics Inc.,321.0
5652,AVILLA,Aston Villa Ltd.,1.0
5653,AVINGU,Avinger Inc.,2241.0
5654,AVINNV,AVI-SPL,33.0
5655,AVINST,Advanced Instruments Inc,66.0
5656,AVIPAR,"AVI Partners, LLC",8.0
5657,AVISBC,Aviva Systems Biology Corporation,25.0
5658,AVISUZ,Avenir Suisse,5.0
5659,AVISYS,AVI Systems Inc,22.0
5660,AVITCO,Avita Corporation,7.0
5661,AVIVAB,AVIVA Biosciences Corp,8.0
5662,AVIVCI,Aviva Canada Inc,2.0
5663,AVIVRE,Aviv REIT Inc.,542.0
5664,AVIVSL,Safe-T Group Ltd,26.0
5665,AVIZIA,Avizia Inc.,36.0
5666,AVLARL,Avolon Holdings Limited,191.0
5667,AVLBNK,Raiffeisen Bank Aval,5.0
5668,AVLBTI,Adverum Biotechnologies Inc.,1087.0
5669,AVLGTI,Avalign Technologies Inc,17.0
5670,AVLHOB,Avalon Holding Group Inc,6.0
5671,AVLINC,AVL Inc,1.0
5672,AVLLII,Agri-Valley Irrigation Inc.,1.0
5673,AVLNBA,Fluicell AB,9.0
5674,AVLNLI,Avalon Laboratories Inc,23.0
5675,AVLP,Avondale Partners LLC,79.0
5676,AVLPPK,Avalanche International Corp,2.0
5677,AVLRI,Avalara Inc.,18.0
5678,AVLSBI,Avelas Biosciences Inc.,158.0
5679,AVLSTR,Market 99 Ltd,2.0
5680,AVMEDH,AvMed Inc,4.0
5681,AVMEIN,Advanced Medical Institute Inc.,2.0
5682,AVMIIC,Alloycorp Mining Inc,3.0
5683,AVMLA,AviaAM Leasing AB,1.0
5684,AVNAIR,Skywest Airlines Ltd,1.0
5685,AVNCKQ,Hill Street Beverage Co. Inc.,5.0
5686,AVNCS,Avon Products Inc,2305.0
5687,AVNDRL,Avendra LLC,21.0
5688,AVNERC,Avnera Corporation,3.0
5689,AVNET,Avnet Inc,451.0
5690,AVNFDS,Glanbia PLC,353.0
5691,AVNFHI,"Avenue Financial Holdings, Inc.",80.0
5692,AVNGIL,Avangard Innovative Lp,2.0
5693,AVNGTB,Avangate B.V.,6.0
5694,AVNMOL,Avanta Managed Offices Limited,1.0
5695,AVNMRC,Glanbia Co-operative Society Ltd,76.0
5696,AVNREI,"Aventine Renewable Energy Holdings, Inc.",18.0
5697,AVNRMI,Avenir Medical Inc.,17.0
5698,AVNSPP,Avenue Supermarts Limited,24.0
5699,AVNTBO,Avanti Feeds Ltd,4.0
5700,AVNTIC,Avanti Communications Group PLC,6.0
5701,AVNTMC,Avant Medical Corporation,4.0
5702,AVNTMT,Avantium Technologies BV,2.0
5703,AVNTPA,Sanofi-Aventis AB,13.0
5704,AVNTPI,Sanofi-Aventis Canada Inc.,23.0
5705,AVNTRN,Avani International Group Inc,2.0
5706,AVOC,Avoca Inc,96.0
5707,AVOCE,Avocet Mining PLC,19.0
5708,AVOEPK,Verde Science Inc,38.0
5709,AVOG,Avner Oil & Gas Ltd,14.0
5710,AVOLN,Avolent Inc,10.0
5711,AVONLP,Avonline Plc,1.0
5712,AVONR,Avon Rubber PLC,21.0
5713,AVOPI,Avo Photonics Inc.,2.0
5714,AVORBO,Avon Lifesciences Ltd,2.0
5715,AVOV,Avino Silver & Gold Mines Ltd,17.0
5716,AVPAS,Sanofi Pasteur Inc,298.0
5717,AVPHRL,Sanofi-Aventis Ireland Ltd,12.0
5718,AVPISN,New Avon LLC,81.0
5719,AVPLC,Avation PLC,6.0
5720,AVPSDC,Sanofi Aventis de Mexico S.A. de C.V.,12.0
5721,AVRBI,Avrobio Inc,344.0
5722,AVREXP,Averitt Express Inc,3.0
5723,AVRGLC,AVARAE Global Coins Limited,2.0
5724,AVRHMP,Avraham Pharmaceuticals Ltd.,16.0
5725,AVRLBI,"Avery Biomedical Devices, Inc.",7.0
5726,AVRN,AVIRNEX Communications Group,3.0
5727,AVRYI,Avery Dennison Corp,1650.0
5728,AVSECY,Avigilon Corporation,36.0
5729,AVSIND,Avis Industrial Corp,2.0
5730,AVSMNC,Alvin J. Siteman Cancer Center,132.0
5731,AVSRUY,Advertising Self-Regulatory Council,3.0
5732,AVSSCF,Advertising Standards Authority of South Africa,5.0
5733,AVSTAC,"Avista Capital Holdings, LP",1597.0
5734,AVTCZZ,Avianca Holdings S.A.,284.0
5735,AVTG,Allied Vision Technologies GmbH,16.0
5736,AVTHBO,AVT Natural Products Ltd,3.0
5737,AVTMNC,Archon Vitamin Llc,2.0
5738,AVTR,AV Homes Inc.,142.0
5739,AVTRPT,Cotinga Pharmaceuticals Inc.,715.0
5740,AVTSUN,Advertising Standards Council of India,4.0
5741,AVTUPG,OncoVista Innovative Therapies Inc.,95.0
5742,AVURET,Avure Technologies Inc.,4.0
5743,AVVNCP,Trakopolis Iot Corp.,2.0
5744,AVVOU,"Avvo, Inc.",3.0
5745,AVVZS,Noble Vici Group Inc,162.0
5746,AVWEIT,"Avery Weigh-Tronix, Inc.",6.0
5747,AVXBI,Avaxia Biologics Inc,96.0
5748,AVXITW,Health Revenue Assurance Holdings Inc.,2.0
5749,AVXPL,Medical Care Technologies Inc.,8.0
5750,AVXUSA,AVX Corp,494.0
5751,AVYINC,Avaya Inc,293.0
5752,AVZAC,"The Staffing Group, Ltd",6.0
5753,AVZF,Avaaz Foundation,32.0
5754,AVZRSC,Harvest Minerals Ltd.,5.0
5755,AWAAVC,AWAS Aviation Capital Ltd.,1.0
5756,AWABK,The Awa Bank Ltd,1.0
5757,AWABU,Association of Washington Business,1.0
5758,AWACNY,AAA Western & Central New York Inc,6.0
5759,AWAH,Allied World Assurance Company Holdings AG,93.0
5760,AWBIPL,AWB India Pvt Ltd,1.0
5761,AWFVA,The Andy Warhol Foundation for the Visual Arts,2.0
5762,AWGFOD,Associated Wholesale Grocers Inc,13.0
5763,AWGRP,Pires Investments PLC,1.0
5764,AWIGI,"AmWINS Group, Inc.",3.0
5765,AWINC,Aware Inc,17.0
5766,AWISDC,Association for Women in Science,15.0
5767,AWK,American Water Works Company Incorporated,983.0
5768,AWKJQK,Hoth Therapeutics Inc,4.0
5769,AWLCOA,Awilco LNG AS,1.0
5770,AWLDRL,Awilco Drilling Ltd,2.0
5771,AWLOGI,AIT Worldwide Logistics Inc,5.0
5772,AWMDXZ,Airway Medix S.A.,1.0
5773,AWMIOB,Rasna Therapeutics Inc,157.0
5774,AWOOD,American Woodmark Corp,622.0
5775,AWOTKW,TDH Holdings Inc,188.0
5776,AWOUCI,Accelecare Wound Centers Inc.,12.0
5777,AWOXF,AwoX SA,4.0
5778,AWRDCP,Spot Coffee (Canada) Ltd.,6.0
5779,AWREVR,A&W Revenue Royalties Income Fund,3.0
5780,AWRNTI,Awareness Technology Inc,11.0
5781,AWRPNC,Awarepoint Corporation,66.0
5782,AWRTIN,Awareness Technologies Inc.,2.0
5783,AWSAFC,Ace Wire Spring & Form Co. Inc.,2.0
5784,AWSLLS,Surgicraft Ltd.,4.0
5785,AWWARF,Water Research Foundation,1.0
5786,AWWI,SIRVA Inc,53.0
5787,AWWVOB,Embrane Inc.,2.0
5788,AXAAL,Axa Advisors LLC,2.0
5789,AXADIR,AXA Direct,1.0
5790,AXAEQR,AXA Equitable Holdings Inc,29.0
5791,AXAIC,AXA Insurance Canada,1.0
5792,AXAIM,Axa Investment Managers SA,1381.0
5793,AXALT,Gemalto NV,128.0
5794,AXANE,Axane,1.0
5795,AXAPE,Ardian,55.0
5796,AXAPRP,AXA Property Trust Limited,9.0
5797,AXAREF,Paris Re Holdings Limited,2.0
5798,AXBPL,Axio Biosolutions Pvt Ltd.,37.0
5799,AXCAPL,Axis Capital Holdings Limited,552.0
5800,AXCAPS,Aptalis Pharma SAS,10.0
5801,AXCAR,Axminster Carpets Ltd,1.0
5802,AXCASI,Aptalis Pharma US Inc.,41.0
5803,AXCIEN,Axcient Inc.,1.0
5804,AXCIND,Axcel A/S,15.0
5805,AXCO,American Exploration Co,2.0
5806,AXCPHM,Aptalis Holdings Inc,714.0
5807,AXDGB,ClearBlade Inc.,2.0
5808,AXDIPZ,iShares MSCI ACWI ex U.S. Consumer Discretionary ETF,1.0
5809,AXEDAC,Axeda Corporation,31.0
5810,AXEHSL,AxelaCare Health Solutions LLC,5.0
5811,AXELAB,Axela Inc,13.0
5812,AXELPR,Axel Plastics Research,2.0
5813,AXEMBG,Visiativ SA,3.0
5814,AXEMCL,Axelgaard Manufacturing Co. Ltd.,1.0
5815,AXEPHI,Axellia Pharmaceuticals Inc.,32.0
5816,AXEQTI,Axeq Technologies Inc.,21.0
5817,AXERTI,Axerion Therapeutics Inc.,38.0
5818,AXESVT,Axess Vision Technology SA,1.0
5819,AXGMIN,Mount Ridley Mines Ltd.,1.0
5820,AXHEPZ,iShares MSCI ACWI ex U.S. Healthcare ETF,1.0
5821,AXIALB,Axial Biotech Inc.,27.0
5822,AXICMI,Axiom Capital Management Inc.,26.0
5823,AXIHPI,Axium Healthcare Pharmacy Inc,71.0
5824,AXIKPI,Axikin Pharmaceuticals Inc.,51.0
5825,AXINSC,Axis Insurance Company,2.0
5826,AXIOGA,Axiogenesis AG,47.0
5827,AXIOMT,Axiomtek Co Ltd,4.0
5828,AXIOSC,AxioMed Spine Corp,58.0
5829,AXISC,Axis AB,35.0
