award_id_fain,award_id_uri,sai_number,obligated_amount,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,record_type_code,record_type_description,last_modified_date
R01HL093767,,SAI UNAVAILABLE,2521482,0,2521482,0,,,,9/1/09,6/30/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,804355790,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",71549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,9500 GILMAN DR DEPT 621,,,LA JOLLA,73,SAN DIEGO,CA,CALIFORNIA,92093,621,52,,,,USA,UNITED STATES,CA*****,,,,CALIFORNIA,,52,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,ZEBRAFISH MODELS OF VASCULAR INFLAMMATION AND ATHEROSCLEROSIS,NON,,6,,2,,2017-06-20 00:00:00+00
R01HL109455,,SAI UNAVAILABLE,2459596,0,2459596,0,,,,9/1/11,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,43207562,YALE UNIVERSITY,43207562,YALE UNIVERSITY,USA,UNITED STATES,105 WALL ST,,,NEW HAVEN,9,NEW HAVEN,CT,CONNECTICUT,6511,8917,3,,,,USA,UNITED STATES,CT52000,NEW HAVEN,9,NEW HAVEN,CONNECTICUT,65191637,3,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,REGULATING ANTI-ENDOTHELIAL T CELL RESPONSES IN GRAFT ARTERIOSCLEROSIS,NON,,20,,2,,2017-07-05 00:00:00+00
N000141612388,,NO SAI  N00014OA20,2362813,0,2362813,0,,,,5/23/16,10/31/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,1425594,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1425594,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,77 MASSACHUSETTS AVE,,11000,CAMBRIDGE,17,MIDDLESEX,MA,MASSACHUSETTS,2139,4301,,,,,USA,UNITED STATES,2511000,CAMBRIDGE,17,MIDDLESEX,MASSACHUSETTS,21394301,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,THIS IS A CONTINUATION OF N00014-13-1-0074 NEXT-GENERATION GENETIC DEVICES: MODEL-GUIDED DISCOVERY AND OPTIMIZATION OF NAVY-RELEVANT CELL-BASED SENSO,,,20,,2,,2016-11-09 00:00:00+00
W81XWH1120230,,NO SAI  W81XWH3297,2298252,0,2298252,0,,,,9/30/11,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,1910777,"JOHNS HOPKINS UNIVERSITY, THE",1910777,"JOHNS HOPKINS UNIVERSITY, THE",USA,UNITED STATES,3400 N CHARLES ST W400 WYMAN PARK B,,4000,BALTIMORE,510,BALTIMORE (CITY),MD,MARYLAND,21218,2680,,,,,USA,UNITED STATES,2404000,BALTIMORE,510,BALTIMORE (CITY),MARYLAND,212182680,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,PREVENTION OF OVARIAN HIGH-GRADE SEROUS CARCINOMA BY ELUCIDATING ITS EARLY CHANGES,,,20,,2,,2016-11-09 00:00:00+00
W81XWH1510104,,NO SAI  W81XWH3370,2225485,0,2225485,0,,,,6/15/15,12/14/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,4514360,UNIVERSITY OF PITTSBURGH THE,4514360,UNIVERSITY OF PITTSBURGH THE,USA,UNITED STATES,3520 FIFTH AVE,,61000,PITTSBURGH,3,ALLEGHENY,PA,PENNSYLVANIA,15213,3320,,,,,USA,UNITED STATES,4261000,PITTSBURGH,3,ALLEGHENY,PENNSYLVANIA,152133320,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,CELL-BASED MENISCAL REPAIR USING AN ALIGNED BIOACTIVE NANOFIBROUS SHEATH,,,20,,2,,2016-11-09 00:00:00+00
R01CA032979,,SAI UNAVAILABLE,2055130,0,2055130,0,,0,,6/1/83,,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,608195277,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,142363428,,USA,UNITED STATES,104 AIRPORT DR STE 2200,,,CHAPEL HILL,135,ORANGE,NC,NORTH CAROLINA,27599,5023,4,,,,USA,UNITED STATES,NC11800,CHAPEL HILL,63,DURHAM,NORTH CAROLINA,27599,4,,93.393,CANCER CAUSE AND PREVENTION RESEARCH,5,,EBV EXPRESSION IN NASOPHARYNGEAL CARCINOMA,NON,,6,,2,,2017-06-20 00:00:00+00
12-CA-006,,,2020000,0,2020000,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,72926041,"VOLUNTEERS OF AMERICA OF LOS ANGELES, INC.",71034615,"VOLUNTEERS OF AMERICA, INC.",USA,UNITED STATES,"3600 WILSHIRE BOULEVARD, SUITE 1500
LOS ANGELES, CA 90010-2619",,,LOS ANGELES,37,LOS ANGELES,CA,CALIFORNIA,90010,2619,34,,,,USA,UNITED STATES,CA*****,,,,CALIFORNIA,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
12-SC-069,,,2020000,0,2020000,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,960375996,ONE-EIGHTY PLACE,,,USA,UNITED STATES,"P.O. BOX 20038
CHARLESTON, SC 29413-0038",,,CHARLESTON,19,CHARLESTON,SC,SOUTH CAROLINA,29413,38,1,,,,USA,UNITED STATES,SC*****,,,,SOUTH CAROLINA,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
S10OD012303,,SAI UNAVAILABLE,1999890,0,1999890,0,,,,7/1/12,6/30/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,832127323,"OHIO STATE UNIVERSITY, THE",1964634,"OHIO STATE UNIVERSITY, THE",USA,UNITED STATES,1960 KENNY RD,,,COLUMBUS,49,FRANKLIN,OH,OHIO,43210,1016,3,,,,USA,UNITED STATES,OH18000,COLUMBUS,41,DELAWARE,OHIO,432101016,3,,93.351,RESEARCH INFRASTRUCTURE PROGRAMS,4,,800 MHZ SOLID-STATE NMR SPECTROMETER FOR BIOMACROMOLECULAR STRUCTURE AND DYNAMICS,NON,,6,,2,,2017-06-20 00:00:00+00
14-CA-324,,,1948148,0,1948148,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,618216519,1736 FAMILY CRISIS CENTER,618216519,1736 FAMILY CRISIS CENTER,USA,UNITED STATES,"2116 ARLINGTON AVE STE 200
LOS ANGELES, CA 90018-1353",,,LOS ANGELES,37,LOS ANGELES,CA,CALIFORNIA,90018,1353,34,,,,USA,UNITED STATES,CA*****,,,,CALIFORNIA,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
R01HL095477,,SAI UNAVAILABLE,1875226,0,1875226,0,,,,6/15/10,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,49179401,"TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK, THE",49179401,"TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK, THE",USA,UNITED STATES,116TH AND BDWY,,,NEW YORK,61,NEW YORK,NY,NEW YORK,10027,7922,13,,,,USA,UNITED STATES,NY51000,NEW YORK,61,NEW YORK,NEW YORK,10027,13,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,NEW TECHNIQUES FOR MICROFABRICATED VASCULARIZED 3D TISSUES,NON,,20,,2,,2017-06-20 00:00:00+00
R01HL105157,,SAI UNAVAILABLE,1813991,0,1813991,0,,,,7/15/10,4/30/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,837322494,"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",,,USA,UNITED STATES,58 EDGEWOOD AVE NE 3RD FL,,,ATLANTA,121,FULTON,GA,GEORGIA,30303,2921,5,,,,USA,UNITED STATES,GA04000,ATLANTA,67,COBB,GEORGIA,30302,5,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,PREVENTION OF HIGH FAT DIET-INDUCED VASCULAR INJURY,NON,,12,,2,,2017-06-20 00:00:00+00
R01HL104030,,SAI UNAVAILABLE,1729761,0,1729761,0,,,,8/1/10,4/30/15,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,41387846,UNIVERSITY OF SOUTH CAROLINA,41387846,UNIVERSITY OF SOUTH CAROLINA,USA,UNITED STATES,1400 WHEAT ST,,,COLUMBIA,79,RICHLAND,SC,SOUTH CAROLINA,29210,4112,2,,,,USA,UNITED STATES,SC16000,COLUMBIA,63,LEXINGTON,SOUTH CAROLINA,292080001,6,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,INTRACELLULAR SORTING OF CONNEXIN 43 BY THE UBIQUITIN LIGASE WWP1,NON,,6,,2,,2017-06-20 00:00:00+00
R01HL105834,,SAI UNAVAILABLE,1646238,0,1646238,0,,,,7/15/11,6/30/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,73757627,"CHILDREN'S HOSPITAL OF PHILADELPHIA, THE",933296568,,USA,UNITED STATES,3401 CIVIC CENTER BLVD,,,PHILADELPHIA,101,PHILADELPHIA,PA,PENNSYLVANIA,19104,4319,2,,,,USA,UNITED STATES,PA60000,PHILADELPHIA,101,PHILADELPHIA,PENNSYLVANIA,191044318,2,,93.838,LUNG DISEASES RESEARCH,4,,CHEMOKINE COMPARTMENTALIZATION AND NEUTROPHIL ACCUMULATION IN THE LUNG,NON,,12,,2,,2017-06-20 00:00:00+00
R37CA064786,,SAI UNAVAILABLE,1569273,0,1569273,0,,,,6/1/95,,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,78576738,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",71549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,1 CYCLOTRON RD,,,BERKELEY,1,ALAMEDA,CA,CALIFORNIA,94720,8099,13,,,,USA,UNITED STATES,CA06000,BERKELEY,1,ALAMEDA,CALIFORNIA,94720,13,,93.396,CANCER BIOLOGY RESEARCH,5,,DEFINITION OF MICROENVIRONMENT IN BREAST CANCER,NON,,6,,2,,2017-06-20 00:00:00+00
R01OD011168,,SAI UNAVAILABLE,1511934,0,1511934,0,,,,9/1/11,7/31/15,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,49515844,GEORGETOWN UNIVERSITY (THE),49515844,GEORGETOWN UNIVERSITY (THE),USA,UNITED STATES,37TH & O ST NW,,,WASHINGTON,1,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,20057,1,98,,,,USA,UNITED STATES,DC50000,WASHINGTON,1,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200570001,98,,93.351,RESEARCH INFRASTRUCTURE PROGRAMS,4,,EMERGING PAPILLOMAVIRUSES IN IMMUNOSUPPRESSED DOGS,NON,,20,,2,,2017-06-20 00:00:00+00
18826106,,SAI EXEMPT,1500000,0,1500000,0,,,,10/20/16,10/20/16,12,DEPARTMENT OF AGRICULTURE (USDA),12D2,FARM SERVICE AGENCY,,,,,,,,,929929743,SOUTH DAKOTA STATE UNIVERSITY,929538999,STATE OF SOUTH DAKOTA-DIVISION OF OASI,USA,UNITED STATES,500 E CAPITOL AVE,STATE OF SOUTH DAKOTA,49600,PIERRE,65,HUGHES,SD,SOUTH DAKOTA,57501,5007,0,,,,USA,UNITED STATES,4649600,PIERRE,65,HUGHES,SOUTH DAKOTA,575015007,0,,10.117,BIOFUEL INFRASTRUCTURE PARTNERSHIP,4,,"""BIP: TO EXPAND INFRASTRUCTURE FOR RENEWABLE FUELS, IN ORDER TO INCREASE THE DEMAND FOR ETHANOL.""",NON,,6,,2,,2016-11-22 00:00:00+00
R01CA150105,,SAI UNAVAILABLE,1491088,0,1491088,0,,,,7/6/10,5/31/15,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,41096314,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",7431505,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",USA,UNITED STATES,13001 E 17TH PLACE F428,,,AURORA,1,ADAMS,CO,COLORADO,80045,2571,6,,,,USA,UNITED STATES,CO04000,AURORA,5,ARAPAHOE,COLORADO,80045,6,,93.393,CANCER CAUSE AND PREVENTION RESEARCH,5,,THE PROSTATE STEM CELL IS A TARGET OF VITAMIN D CHEMOPREVENTION,NON,,20,,2,,2017-06-20 00:00:00+00
12-MN-046,,,1449491,0,1449491,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,137825696,MINNESOTA ASSISTANCE COUNCIL FOR VETERANS,87680174,,USA,UNITED STATES,"360 ROBERT STREET NORTH
SUITE 306
SAINT PAUL, MN 55101-1511",,,SAINT PAUL,123,RAMSEY,MN,MINNESOTA,55101,1511,4,,,,USA,UNITED STATES,MN*****,,,,MINNESOTA,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
DESC0010556,,SAI EXEMPT,1374935,0,1374935,0,,,,9/1/13,8/31/17,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,605799469,UNIVERSITY OF WASHINGTON,42803536,UNIVERSITY OF WASHINGTON,,,4333 BROOKLYN AVE NE,BOX 359472,63000,SEATTLE,33,KING,WA,WASHINGTON,98195,1,7,,,,,,5363000,SEATTLE,,,WASHINGTON,981950001,7,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,4,,SYSTEMS LEVEL INSIGHTS INTO ALTERNATE METHANE CYCLING MODES PHASE II: DECIPHERING MECHANISTIC DETAILS OF INTERSPECIES COOPERATION THROUGH............,NON,,6,,2,,2016-11-03 00:00:00+00
R01AG028556,,SAI UNAVAILABLE,3120110,0,3120110,0,,0,,8/1/08,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,604483045,TRUSTEES OF BOSTON UNIVERSITY,49435266,TRUSTEES OF BOSTON UNIVERSITY,USA,UNITED STATES,85 E NEWTON ST M-921,,,BOSTON,25,SUFFOLK,MA,MASSACHUSETTS,2118,2340,7,,,,USA,UNITED STATES,MA07000,BOSTON,25,SUFFOLK,MASSACHUSETTS,21182841,7,,93.866,AGING RESEARCH,4,,BIOLOGICAL PATHWAYS OF ACUTE AND CHRONIC STRESS IN AGED HIP FRACTURE CAREGIVERS,NON,,20,,2,,2017-06-20 00:00:00+00
70NANB12D297,,EXE,3044683,0,3044683,0,,,,10/1/12,6/30/16,13,DEPARTMENT OF COMMERCE (DOC),1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,,,,,,,,,40542177,AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINIS,40542177,"AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATORS, THE",USA,UNITED STATES,4301 WILSON BOULEVARD,SUITE 400,3000,ARLINGTON,13,ARLINGTON,VA,VIRGINIA,22203,,8,,,,USA,UNITED STATES,5103000,ARLINGTON,13,ARLINGTON,VIRGINIA,22203,8,,11.609,MEASUREMENT AND ENGINEERING RESEARCH AND STANDARDS,5,,CROSS-SECTOR DIGITAL IDENTITY INITIATIVE,NON,,12,,2,,2016-11-01 00:00:00+00
AID111A1200004,,SAI NOT AVAILABLE,2879654,3433220,6312874,0,,,,9/25/12,9/24/15,72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,,,,,,,,,683521200,ENTERPRISE INCUBATOR FOUNDATION,,,ARM,ARMENIA,123,HOVSEP EMIN STREET,FORGN,YEREVAN,,,,,,,,,,,ARM,ARMENIA,00FORGN,,,,0,,,,98.001,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,5,,ESTABLISHMENT OF ARMENIAN NATIONAL ENGINEERING LABORATORY,,,12,,2,,2016-10-24 00:00:00+00
2012MOBXK001,,SAI NOT AVAILABLE,2785904,0,2785904,0,,,,10/1/12,10/31/16,15,DEPARTMENT OF JUSTICE (DOJ),1550,OFFICE OF JUSTICE PROGRAMS,,,15,"JUSTICE, DEPARTMENT OF (1500)",1550,OFFICE OF JUSTICE PROGRAMS,,,47905955,COUNCIL OF STATE GOVERNMENTS,47905955,"COUNCIL OF STATE GOVERNMENTS, THE",USA,UNITED STATES,1776 AVENUE OF THE STATES,,,LEXINGTON,67,FAYETTE,KY,KENTUCKY,40511,8482,6,,,,USA,UNITED STATES,KY46027,LEXINGTON,67,FAYETTE,KENTUCKY,405118482,6,,16.751,EDWARD BYRNE MEMORIAL COMPETITIVE GRANT PROGRAM,5,,STATE-BASED CAPACITY BUILDING: TECHNICAL ASSISTANCE,NON,,12,,2,,2017-06-02 00:00:00+00
2010DJBXK080,,SAI NOT AVAILABLE,2599960.54,0,2599960.54,0,,,,10/1/10,5/31/16,15,DEPARTMENT OF JUSTICE (DOJ),1550,OFFICE OF JUSTICE PROGRAMS,,,15,"JUSTICE, DEPARTMENT OF (1500)",,,,,945754414,CENTER FOR EFFECTIVE PUBLIC POLICY,945754414,"CENTER FOR EFFECTIVE PUBLIC POLICY, INC.",USA,UNITED STATES,8605 CAMERON ST STE 514,SUITE 514,,SILVER SPRING,31,MONTGOMERY,MD,MARYLAND,20910,3728,8,,,,USA,UNITED STATES,MD72450,SILVER SPRING,31,MONTGOMERY,MARYLAND,209103728,8,,16.751,EDWARD BYRNE MEMORIAL COMPETITIVE GRANT PROGRAM,5,,RESOURCE CENTER ON WOMEN INVOLVED IN THE CRIMINAL JUSTICE SYSTEM,NON,,12,,2,,2017-02-02 00:00:00+00
N000141612161,,NO SAI  N00014OB04,2541929,0,2541929,0,,,,3/1/16,9/30/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,41968306,NEW YORK UNIVERSITY,41968306,NEW YORK UNIVERSITY,USA,UNITED STATES,70 WASHINGTON SQ S,,51000,NEW YORK,61,NEW YORK,NY,NEW YORK,10012,1019,,,,,USA,UNITED STATES,3651000,NEW YORK,61,NEW YORK,NEW YORK,100121019,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,THIS GRANT IS A CONTINUATION OF N00014-12-1-0912 PHYSICS CONSTRAINED STOCHASTIC-STATISTICAL MODELS FOR EXTENDED RANGE ENVIRONMENTAL PREDICTION,,,20,,2,,2016-11-09 00:00:00+00
AIDOAAF1600090,,SAI NOT AVAILABLE,2499999,0,2499999,0,,,,10/1/16,10/2/18,72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,,,,,,,,,791200293,"IBIS BIOSCIENCES, INC.",1307602,ABBOTT LABORATORIES,USA,UNITED STATES,2251 FARADAY AVE. STE 150,,11194,CARLSBAD,60,SAN DIEGO,CA,CALIFORNIA,92008,7209,,,,,USA,UNITED STATES,611194,CARLSBAD,73,SAN DIEGO,CALIFORNIA,920087209,,,98.001,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,4,,RAPID HIGH SENSITIVITY DIGITAL IMMUNASSAY FOR ZIKA USING A HAND-HELD CLIA WAIVABLE BATTERY-OPERATED DEVICE,NON,,12,,2,,2016-10-31 00:00:00+00
W911NF1620147,,NO SAI  W911NF8806,2405182,0,2405182,0,,,,9/29/16,9/28/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,605799469,UNIVERSITY OF WASHINGTON,42803536,UNIVERSITY OF WASHINGTON,USA,UNITED STATES,4333 BROOKLYN AVE NE,,63000,SEATTLE,33,KING,WA,WASHINGTON,98195,1,,,,,USA,UNITED STATES,5363000,SEATTLE,33,KING,WASHINGTON,981959472,,,12.431,BASIC SCIENTIFIC RESEARCH,5,,"TISSUE CHARACTERIZATION COOPERATIVE AGREEMENT, MECHANICAL SCIENCES 1.2.1",,,6,,2,,2016-11-09 00:00:00+00
R01CA113733,,SAI UNAVAILABLE,2353986,0,2353986,0,,0,,8/1/05,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,73130411,"MASSACHUSETTS GENERAL HOSPITAL, THE",825636988,"PARTNERS HEALTHCARE SYSTEM, INC",USA,UNITED STATES,55 FRUIT ST,,,BOSTON,25,SUFFOLK,MA,MASSACHUSETTS,2114,2621,8,,,,USA,UNITED STATES,MA07000,BOSTON,25,SUFFOLK,MASSACHUSETTS,21997603,7,,93.396,CANCER BIOLOGY RESEARCH,5,,"MOLECULAR FUNCTION OF THE NF2 TUMOR SUPPRESSOR, MERLIN",NON,,12,,2,,2017-07-05 00:00:00+00
R01HL105734,,SAI UNAVAILABLE,2283672,0,2283672,0,,,,6/15/11,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,57123192,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,57123192,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,USA,UNITED STATES,1801 N BROAD ST,,,PHILADELPHIA,101,PHILADELPHIA,PA,PENNSYLVANIA,19122,6003,1,,,,USA,UNITED STATES,PA60000,PHILADELPHIA,101,PHILADELPHIA,PENNSYLVANIA,191405104,2,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,THE CONTRIBUTION OF MELANOCYTE-LIKE CELLS TO ATRIAL FUNCTION AND DEVELOPMENT,NON,,20,,2,,2017-06-20 00:00:00+00
R01HL104032,,SAI UNAVAILABLE,2137467,0,2137467,0,,,,9/1/10,5/31/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,30811269,"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",825636988,"PARTNERS HEALTHCARE SYSTEM, INC",USA,UNITED STATES,75 FRANCIS ST,,,BOSTON,25,SUFFOLK,MA,MASSACHUSETTS,2115,6110,7,,,,USA,UNITED STATES,MA07000,BOSTON,25,SUFFOLK,MASSACHUSETTS,21155804,7,,93.837,CARDIOVASCULAR DISEASES RESEARCH,4,,CAVEOLIN-1 AND VASCULAR DYSFUNCTION,NON,,12,,2,,2017-06-20 00:00:00+00
16-NY-057,,,2097483,0,2097483,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,151491602,"VETERANS OUTREACH CENTER, INC.",,,USA,UNITED STATES,"459 SOUTH AVENUE
ROCHESTER, NY 14620-1020",,,ROCHESTER,55,MONROE,NY,NEW YORK,14620,1020,25,,,,USA,UNITED STATES,NY*****,,,,NEW YORK,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
