,clean fda company name,original fda company,fda row,corporate family,clean ndc row,clean ndc company,original ndc company,fuzz ratio
158,interpharma praha,INTERPHARMA PRAHA AS,427,interpharma praha,[3256],['interpharma praha'],"['Interpharma Praha, a.s.']",[100]
159,invagen,INVAGEN PHARMS,429,invagen,"[3258, 3259]","['invagen', 'invagen']","['InvaGen Pharmaceuticals Inc.', 'InvaGen Pharmaceuticals, Inc.']","[100, 100]"
160,inventia,INVENTIA HLTHCARE,430,inventia,[3261],['inventia'],['Inventia Healthcare Limited'],[100]
161,iroko,"IROKO PHARMS, IROKO PHARMS LLC","436, 437",iroko,"[3274, 3275]","['iroko', 'iroko']","['Iroko Pharmaceuticals LLC', 'Iroko Pharmaceuticals, LLC']","[100, 100]"
162,ironwood,IRONWOOD PHARMS INC,438,ironwood,[3277],['ironwood'],"['Ironwood Pharmaceuticals, Inc.']",[100]
163,janssen,JANSSEN PHARMS,444,janssen,"[3349, 3350, 3351, 3352, 3353, 3354]","['janssen', 'janssen', 'janssen', 'janssen', 'janssen', 'janssen']","['Janssen Pharmaceutical, Inc.', 'Janssen Pharmaceuticals Inc.', 'Janssen Pharmaceuticals, Inc', 'Janssen Pharmaceuticals, Inc.', 'Janssen Products LP', 'Janssen Products, LP']","[100, 100, 100, 100, 100, 100]"
164,janssen biotech,JANSSEN BIOTECH,443,janssen biotech,[3348],['janssen biotech'],"['Janssen Biotech, Inc.']",[100]
165,jazz,"JAZZ PHARMS, JAZZ PHARMS INC","450, 452",jazz,[3362],['jazz'],"['Jazz Pharmaceuticals, Inc.']",[100]
166,jiangsu hansoh,JIANGSU HANSOH PHARM,453,jiangsu hansoh,[3387],['jiangsu hansoh'],"['Jiangsu Hansoh Pharmaceutical Group Co., Ltd.']",[100]
167,jubilant cadista,JUBILANT CADISTA,457,jubilant cadista,"[3422, 3423]","['jubilant cadista', 'jubilant cadista']","['Jubilant Cadista Pharmaceuticals Inc', 'JUBILANT CADISTA PHARMACEUTICALS INC.']","[100, 100]"
168,jubilant draximage,JUBILANT DRAXIMAGE,458,jubilant draximage,"[3425, 3426, 3427]","['jubilant draximage', 'jubilant draximage', 'jubilant draximage']","['Jubilant Draximage (USA) Inc.', 'Jubilant DraxImage Inc', 'Jubilant DraxImage Inc.']","[100, 100, 100]"
169,kadmon,KADMON PHARMS LLC,460,kadmon,[3442],['kadmon'],"['Kadmon Pharmaceuticals, LLC']",[100]
170,kaleo,KALEO INC,461,kaleo,"[3447, 3448]","['kaleo', 'kaleo']","['kaleo, Inc', 'kaleo, Inc.']","[100, 100]"
171,kremers urban,KREMERS URBAN PHARMS,471,kremers urban,[3555],['kremers urban'],['Kremers Urban Pharmaceuticals Inc.'],[100]
172,kyowa kirin,KYOWA KIRIN,474,kyowa kirin,"[3577, 3578]","['kyowa kirin', 'kyowa kirin']","['KYOWA KIRIN, INC,', 'Kyowa Kirin, Inc.']","[100, 100]"
173,l perrigo,L PERRIGO CO,476,l perrigo,"[3582, 3583]","['l perrigo', 'l perrigo']","['L Perrigo Company', 'L. Perrigo Company']","[100, 100]"
174,lannett,"LANNETT, LANNETT CO INC, LANNETT HOLDINGS INC","479, 480, 481",lannett,"[3650, 3651, 3652]","['lannett', 'lannett', 'lannett']","['Lannett Company Inc.', 'Lannett Company, Inc.', 'Lannett Company, Inc..']","[100, 100, 100]"
175,larken,"LARKEN LABS, LARKEN LABS INC","484, 485",larken,"[3657, 3658]","['larken', 'larken']","['Larken Laboratories Inc.', 'Larken Laboratories, Inc.']","[100, 100]"
176,leading,LEADING PHARMA LLC,487,leading,[3686],['leading'],"['Leading Pharma, LLC']",[100]
177,leo,"LEO LABS, LEO PHARMA AS","489, 490",leo,[3697],['leo'],['LEO Pharma Inc.'],[100]
178,liebel-flarsheim,LIEBEL-FLARSHEIM,493,liebel-flarsheim,[3730],['liebel-flarsheim'],['Liebel-Flarsheim Company LLC'],[100]
179,lifestar,LIFESTAR PHARMA,494,lifestar,"[3735, 3736]","['lifestar', 'lifestar']","['Lifestar Pharma LLC', 'Lifestar Pharma LLC.']","[100, 100]"
180,linde gas north america,LINDE GAS NORTH AMERICA LLC,496,linde gas north america,[3749],['linde gas north america'],['Linde Gas North America LLC'],[100]
181,lnk,LNK,501,lnk,[3584],['lnk'],"['L.N.K. International, Inc.']",[100]
182,loreal,LOREAL USA,502,loreal,"[3588, 3589, 3590, 3591]","['loreal', 'loreal', 'loreal', 'loreal']","[""L'Oreal USA Products Inc"", ""L'Oreal USA Products Inc."", ""L'Oreal USA Products, Inc."", ""L'OREAL USA, INC.""]","[100, 100, 100, 100]"
183,lukare,LUKARE MEDICAL LLC,506,lukare,[3807],['lukare'],"['Lukare Medical, LLC']",[100]
184,lundbeck,LUNDBECK PHARMS LLC,508,lundbeck,[3809],['lundbeck'],['Lundbeck Pharmaceuticals LLC'],[100]
185,lupin,"LUPIN, LUPIN LTD, LUPIN PHARMS","509, 511, 512",lupin,"[3813, 3814, 3815, 3816]","['lupin', 'lupin', 'lupin', 'lupin']","['LUPIN LIMITED', 'Lupin Pharma', 'Lupin Pharmaceuticals Inc', 'Lupin Pharmaceuticals, Inc.']","[100, 100, 100, 100]"
186,lyne,LYNE,514,lyne,[3826],['lyne'],"['Lyne Laboratories, Inc.']",[100]
187,m,3M,1,m,"[20, 22]","['m', 'm']","['3M Company', '3M Health Care']","[100, 100]"
188,macleods,"MACLEODS PHARMA, MACLEODS PHARMS LTD","517, 518",macleods,[3834],['macleods'],['Macleods Pharmaceuticals Limited'],[100]
189,mallinckrodt,MALLINCKRODT INC,521,mallinckrodt,"[3871, 3872]","['mallinckrodt', 'mallinckrodt']","['Mallinckrodt Inc (Brand Pharmaceuticals)', 'Mallinckrodt, Inc.']","[100, 100]"
190,mallinckrodt ard,MALLINCKRODT ARD,519,mallinckrodt ard,[3869],['mallinckrodt ard'],['Mallinckrodt ARD LLC'],[100]
191,mannkind,MANNKIND,524,mannkind,[3879],['mannkind'],['Mannkind Corporation'],[100]
192,marina biotech,MARINA BIOTECH,525,marina biotech,[3891],['marina biotech'],['Marina BioTech'],[100]
193,marksans,MARKSANS PHARMA,526,marksans,[3897],['marksans'],['MARKSANS PHARMA LIMITED'],[100]
194,marnel,MARNEL PHARMS,527,marnel,"[3904, 3905]","['marnel', 'marnel']","['Marnel Pharmaceuticals, Inc.', 'Marnel Pharmaceuticals, LLC']","[100, 100]"
195,matheson tri-gas,MATHESON TRI-GAS INC,528,matheson tri-gas,[3915],['matheson tri-gas'],"['Matheson Tri-Gas, Inc.']",[100]
196,mayer,MAYER LABS INC,530,mayer,[3927],['mayer'],"['Mayer Laboratories, Inc.']",[100]
197,mayne,"MAYNE PHARMA, MAYNE PHARMA INC, MAYNE PHARMA INTL","531, 532, 533",mayne,"[3931, 3932, 3933]","['mayne', 'mayne', 'mayne']","['Mayne Pharma', 'Mayne Pharma Inc', 'Mayne Pharma Inc.']","[100, 100, 100]"
198,meda,MEDA PHARMS,535,meda,"[3979, 3980]","['meda', 'meda']","['Meda Pharmaceuticals', 'Meda Pharmaceuticals Inc.']","[100, 100]"
199,medac,MEDAC PHARMA INC,536,medac,[3981],['medac'],"['Medac Pharma, Inc']",[100]
200,medication,INTL MEDICATION,428,medication,[3249],['medication'],"['International Medication Systems, Limited']",[100]
201,medicines,"MEDICINES360, THE MEDICINES CO","537, 862",medicines,[6256],['medicines'],['The Medicines Company'],[100]
202,medicis,MEDICIS,538,medicis,[4016],['medicis'],['Medicis Pharmaceutical Corp'],[100]
203,medicure,MEDICURE,539,medicure,"[4018, 4019]","['medicure', 'medicure']","['Medicure International Inc', 'Medicure International Inc.']","[100, 100]"
204,medimetriks,MEDIMETRIKS PHARMS,541,medimetriks,"[4022, 4023, 4024, 4025, 4026]","['medimetriks', 'medimetriks', 'medimetriks', 'medimetriks', 'medimetriks']","['Medimetriks Pharmaceuticals', 'Medimetriks Pharmaceuticals Inc', 'Medimetriks Pharmaceuticals Inc.', 'Medimetriks Pharmaceuticals, Inc', 'Medimetriks Pharmaceuticals, Inc.']","[100, 100, 100, 100, 100]"
205,medimmune,MEDIMMUNE,542,medimmune,[4027],['medimmune'],"['MedImmune, LLC']",[100]
206,medtech,MEDTECH PRODUCTS,543,medtech,[4048],['medtech'],['Medtech Products Inc.'],[100]
207,merz,MERZ PHARMS,549,merz,[4099],['merz'],"['Merz Pharmaceuticals, LLC']",[100]
208,midatech,MIDATECH PHARMA US,553,midatech,"[4136, 4137]","['midatech', 'midatech']","['Midatech Pharma US Inc.', 'Midatech Pharma US, Inc.']","[100, 100]"
209,mikart,MIKART,555,mikart,"[4153, 4154, 4155]","['mikart', 'mikart', 'mikart']","['Mikart Inc.', 'Mikart, Inc.', 'Mikart, LLC']","[100, 100, 100]"
210,millennium,MILLENNIUM PHARMS,556,millennium,"[4158, 4159]","['millennium', 'millennium']","['Millennium Medical Supply', 'Millennium Pharmaceuticals, Inc.']","[100, 100]"
211,mission pharmacal,MISSION PHARMACAL CO,559,mission pharmacal,"[4178, 4179]","['mission pharmacal', 'mission pharmacal']","['Mission Pharmacal', 'Mission Pharmacal Company']","[100, 100]"
212,mylan,"MYLAN, MYLAN LABS, MYLAN LABS LTD, MYLAN PHARMA, MYLAN PHARMS INC, MYLAN TECHNOLOGIES","569, 573, 574, 575, 576, 579",mylan,[4254],['mylan'],['Mylan Pharmaceuticals Inc.'],[100]
213,mylan institutional,MYLAN INSTITUTIONAL,571,mylan institutional,"[4251, 4252, 4253]","['mylan institutional', 'mylan institutional', 'mylan institutional']","['Mylan Institutional', 'Mylan Institutional Inc.', 'Mylan Institutional LLC']","[100, 100, 100]"
214,napo,NAPO PHARMS INC,581,napo,[4274],['napo'],"['Napo Pharmaceuticals, Inc.']",[100]
215,natco,"NATCO PHARMA, NATCO PHARMA LTD","582, 583",natco,[4285],['natco'],['Natco Pharma Limited'],[100]
216,navinta,NAVINTA LLC,584,navinta,[4340],['navinta'],['Navinta LLC'],[100]
217,ncm bronx,NCM USA BRONX LLC,585,ncm bronx,[4343],['ncm bronx'],['NCM USA Bronx LLC'],[100]
218,nexair,NEXAIR,589,nexair,[4503],['nexair'],"['NexAir, LLC']",[100]
219,nexgen,"NEXGEN PHARMA, NEXGEN PHARMA INC","590, 591",nexgen,"[4505, 4506]","['nexgen', 'nexgen']","['Nexgen', 'Nexgen Pharma, Inc.']","[100, 100]"
220,nextwave,NEXTWAVE PHARMS,592,nextwave,"[4511, 4512]","['nextwave', 'nextwave']","['NextWave Pharmaceuticals, Inc', 'NextWave Pharmaceuticals, Inc.']","[100, 100]"
221,niagara,NIAGARA PHARMS,593,niagara,"[4516, 4517]","['niagara', 'niagara']","['Niagara Pharmaceuticals Inc.', 'Niagara Pharmaceuticals, Inc.']","[100, 100]"
222,nitrous oxide,NITROUS OXIDE CORP,594,nitrous oxide,[4542],['nitrous oxide'],['Nitrous Oxide'],[100]
223,nitrous oxide canada,NITROUS OXIDE OF CANADA,595,nitrous oxide canada,[4543],['nitrous oxide canada'],['Nitrous Oxide of Canada'],[100]
224,noden,NODEN PHARMA,596,noden,[4551],['noden'],"['Noden Pharma USA, Inc.']",[100]
225,norco,NORCO INC,597,norco,"[4553, 4554]","['norco', 'norco']","['Norco, Inc', 'Norco, Inc.']","[100, 100]"
226,nostrum,NOSTRUM LABS INC,600,nostrum,[4580],['nostrum'],"['Nostrum Laboratories, Inc.']",[100]
227,nova,NOVA LABS LTD,601,nova,[4584],['nova'],"['Nova Laboratories, Ltd']",[100]
228,novartis,"NOVARTIS, NOVARTIS PHARM, NOVARTIS PHARMS, NOVARTIS PHARMS CORP","602, 603, 604, 605",novartis,"[4590, 4591]","['novartis', 'novartis']","['Novartis Pharmaceutical Corporation', 'Novartis Pharmaceuticals Corporation']","[100, 100]"
229,novel,NOVEL LABS INC,608,novel,[4592],['novel'],"['Novel Laboratories, Inc.']",[100]
230,novo nordisk,"NOVO NORDISK, NOVO NORDISK INC","611, 612",novo nordisk,"[4597, 4598]","['novo nordisk', 'novo nordisk']","['Novo Nordisk', 'Novo Nordisk Pharma, Inc.']","[100, 100]"
231,nu,NU PHARM,614,nu,[4606],['nu'],"['Nu Care Pharmaceuticals, Inc.']",[100]
232,oak,"OAK PHARMS, OAK PHARMS INC","618, 620",oak,[4666],['oak'],"['Oak Pharmaceuticals, Inc. (Subsidiary of Akorn, Inc.)']",[100]
233,ohm,"OHM LABS, OHM LABS INC","623, 624",ohm,"[4691, 4692, 4693, 4694]","['ohm', 'ohm', 'ohm', 'ohm']","['OHM LABORATORIES INC', 'OHM LABORATORIES INC.', 'Ohm Laboratories, Inc.', 'OHM PHARMA INC.']","[100, 100, 100, 100]"
234,omeros,OMEROS,625,omeros,[4707],['omeros'],['Omeros Corporation'],[100]
235,orexo,OREXO US INC,630,orexo,[4743],['orexo'],"['Orexo US, Inc.']",[100]
236,organon,ORGANON USA INC,632,organon,[4747],['organon'],['Organon USA Inc.'],[100]
237,orient,ORIENT PHARMA CO LTD,633,orient,"[4749, 4750]","['orient', 'orient']","['Orient Pharma Co., Ltd.', 'Orient Pharma Co.,Ltd']","[100, 100]"
238,orit,ORIT LABS LLC,636,orit,[4753],['orit'],['ORIT LABORATORIES LLC'],[100]
239,orphan europe,ORPHAN EUROPE,637,orphan europe,[4754],['orphan europe'],['Orphan Europe SARL'],[100]
240,otonomy,OTONOMY INC,644,otonomy,[4762],['otonomy'],"['Otonomy, Inc.']",[100]
241,otsuka america,OTSUKA AMERICA PHARM,646,otsuka america,[4763],['otsuka america'],"['Otsuka America Pharmaceutical, Inc.']",[100]
242,oxarc,OXARC INC,650,oxarc,[4777],['oxarc'],"['Oxarc, Inc.']",[100]
243,oxford,OXFORD PHARMS,651,oxford,[4778],['oxford'],"['Oxford Pharmaceuticals, LLC']",[100]
244,pacific,PACIFIC PHARMA,652,pacific,[4799],['pacific'],"['Pacific Pharma, Inc.']",[100]
245,pacira,PACIRA PHARMS INC,653,pacira,[4802],['pacira'],['Pacira Pharmaceuticals Inc.'],[100]
246,paddock,"PADDOCK LABS, PADDOCK LLC","654, 655",paddock,"[4805, 4806]","['paddock', 'paddock']","['Paddock Laboratories LLC', 'Paddock Laboratories, LLC']","[100, 100]"
247,par,"PAR PHARM, PAR PHARM INC","657, 658",par,"[4820, 4821, 4822, 4823, 4824]","['par', 'par', 'par', 'par', 'par']","['Par Pharmaceutical', 'Par Pharmaceutical Inc', 'Par Pharmaceutical Inc.', 'Par Pharmaceutical, Inc.', 'Par Pharmaceuticals, Inc.']","[100, 100, 100, 100, 100]"
248,parapro,PARAPRO LLC,661,parapro,[4830],['parapro'],['ParaPRO LLC'],[100]
249,perrigo,"PERRIGO, PERRIGO CO, PERRIGO PHARMA INTL, PERRIGO PHARMS CO","668, 669, 673, 674",perrigo,[4920],['perrigo'],['Perrigo Company'],[100]
250,perrigo new york,PERRIGO NEW YORK,672,perrigo new york,"[4921, 4922]","['perrigo new york', 'perrigo new york']","['Perrigo New York Inc', 'Perrigo New York Inc.']","[100, 100]"
251,pfizer,"PFIZER, PFIZER INC, PFIZER LABS, PFIZER PHARMS","680, 682, 684, 685",pfizer,[4937],['pfizer'],"['Pfizer, Inc.']",[100]
252,pharmacia upjohn,"PHARMACIA AND UPJOHN, PHARMACIA UPJOHN","689, 690",pharmacia upjohn,[4957],['pharmacia upjohn'],['Pharmacia and Upjohn Company LLC'],[100]
253,pharmacyclics,PHARMACYCLICS INC,691,pharmacyclics,[4965],['pharmacyclics'],['Pharmacyclics LLC'],[100]
254,pharmalucence,PHARMALUCENCE,692,pharmalucence,"[4971, 4972]","['pharmalucence', 'pharmalucence']","['Pharmalucence Inc.', 'Pharmalucence, Inc.']","[100, 100]"
255,pharmascience,PHARMASCIENCE INC,693,pharmascience,[4976],['pharmascience'],['Pharmascience Inc.'],[100]
256,pierre fabre,PIERRE FABRE,694,pierre fabre,"[5008, 5009, 5010]","['pierre fabre', 'pierre fabre', 'pierre fabre']","['Pierre Fabre Pharmaceuticals, Inc.', 'Pierre Fabre USA', 'Pierre Fabre USA Inc.']","[100, 100, 100]"
257,pierrel,PIERREL,696,pierrel,[5011],['pierrel'],['Pierrel S.p.A.'],[100]
258,piramal critical,PIRAMAL CRITICAL,698,piramal critical,"[5019, 5020, 5021]","['piramal critical', 'piramal critical', 'piramal critical']","['Piramal Critical Care Inc', 'Piramal Critical Care Inc.', 'Piramal Critical Care, Inc.']","[100, 100, 100]"
259,powder,POWDER PHARMS,704,powder,[5045],['powder'],['Powder Pharmaceuticals Inc.'],[100]
260,pragma,PRAGMA PHARMS LLC,705,pragma,[5047],['pragma'],"['Pragma Pharmaceuticals, LLC']",[100]
261,praxair,PRAXAIR INC,709,praxair,[5055],['praxair'],"['Praxair, Inc.']",[100]
262,praxair canada,PRAXAIR CANADA INC,706,praxair canada,[5051],['praxair canada'],"['Praxair Canada, Inc.']",[100]
263,praxair distribution,PRAXAIR DISTRIBUTION INC,707,praxair distribution,"[5052, 5053]","['praxair distribution', 'praxair distribution']","['Praxair Distribution, Inc', 'Praxair Distribution, Inc.']","[100, 100]"
264,precision nuclear,PRECISION NUCLEAR,711,precision nuclear,[5060],['precision nuclear'],['Precision Nuclear LLC'],[100]
265,promius,PROMIUS PHARMA,714,promius,"[5175, 5176]","['promius', 'promius']","['Promius Pharma, LLC', 'Promius Pharma, LLC.']","[100, 100]"
266,puracap,PURACAP PHARM LLC,717,puracap,"[5215, 5217, 5218]","['puracap', 'puracap', 'puracap']","['PuraCap Laboratories LLC', 'PuraCap Laboratories, LLC', 'PuraCap Pharmaceutical LLC']","[100, 100, 100]"
267,purdue,"PURDUE PHARMA, PURDUE PHARMA LP","718, 719",purdue,"[5221, 5222]","['purdue', 'purdue']","['Purdue Pharma LP', 'Purdue Products LP']","[100, 100]"
268,qilu,QILU PHARM CO LTD,721,qilu,[5249],['qilu'],"['Qilu Pharmaceutical Co., Ltd.']",[100]
269,r,R2 PHARMA LLC,725,r,[5286],['r'],"['R2 Pharma, LLC']",[100]
270,ranbaxy,"RANBAXY, RANBAXY LABS LTD","726, 727",ranbaxy,"[5302, 5303, 5304]","['ranbaxy', 'ranbaxy', 'ranbaxy']","['Ranbaxy Laboratories Inc.', 'Ranbaxy Pharmaceuticals Inc', 'Ranbaxy Pharmaceuticals Inc.']","[100, 100, 100]"
271,reckitt benckiser,RECKITT BENCKISER,728,reckitt benckiser,"[5330, 5331, 5332]","['reckitt benckiser', 'reckitt benckiser', 'reckitt benckiser']","['Reckitt Benckiser', 'Reckitt Benckiser (UK) Ltd', 'Reckitt Benckiser LLC']","[100, 100, 100]"
272,regeneron,REGENERON PHARMACEUTICALS,732,regeneron,[5350],['regeneron'],"['Regeneron Pharmaceuticals, Inc.']",[100]
273,reliant,RELIANT HOLDINGS LTD,733,reliant,[5369],['reliant'],"['Reliant Holdings, Ltd']",[100]
274,relypsa,RELYPSA INC,734,relypsa,[5371],['relypsa'],"['Relypsa, Inc.']",[100]
275,renaissance ssa,RENAISSANCE SSA LLC,736,renaissance ssa,[5377],['renaissance ssa'],"['Renaissance SSA, LLC']",[100]
276,rhodes,RHODES PHARMS,737,rhodes,[5410],['rhodes'],['Rhodes Pharmaceuticals L.P.'],[100]
277,rising,RISING PHARMS INC,739,rising,"[5429, 5431, 5432, 5433, 5434]","['rising', 'rising', 'rising', 'rising', 'rising']","['Rising Health, LLC', 'Rising Pharmaceuticals', 'Rising Pharmaceuticals Inc.', 'Rising Pharmaceuticals, Inc', 'Rising Pharmaceuticals, Inc.']","[100, 100, 100, 100, 100]"
278,ritedose,RITEDOSE CORP,740,ritedose,[5440],['ritedose'],"['Ritedose Pharmaceuticals, LLC']",[100]
279,roche,ROCHE,741,roche,[5458],['roche'],['Roche Laboratories Inc.'],[100]
280,rockwell,ROCKWELL MEDICAL INC,744,rockwell,[5461],['rockwell'],"['Rockwell Medical, Inc']",[100]
281,romark,ROMARK,745,romark,[5469],['romark'],"['Romark Laboratories, L.C.']",[100]
282,roxane,ROXANE,746,roxane,[5480],['roxane'],"['Roxane Laboratories, Inc']",[100]
283,sagent,SAGENT PHARMS,752,sagent,[5535],['sagent'],['Sagent Pharmaceuticals'],[100]
284,salix,SALIX PHARMS,754,salix,"[5548, 5549, 5550]","['salix', 'salix', 'salix']","['Salix Pharmaceuticals Inc.', 'Salix Pharmaceuticals, Inc', 'Salix Pharmaceuticals, Inc.']","[100, 100, 100]"
285,sandoz,"SANDOZ, SANDOZ INC","756, 757",sandoz,"[5573, 5574, 5575]","['sandoz', 'sandoz', 'sandoz']","['Sandoz GmbH', 'Sandoz Inc', 'Sandoz Inc.']","[100, 100, 100]"
286,sanofi,"SANOFI US, SANOFI US SERVICES","761, 762",sanofi,[5581],['sanofi'],['Sanofi US Corporation'],[100]
287,sanofi-aventis,SANOFI-AVENTIS US,763,sanofi-aventis,[5582],['sanofi-aventis'],['Sanofi-Aventis U.S. LLC'],[100]
288,santarus,SANTARUS INC,764,santarus,"[5584, 5585, 5586]","['santarus', 'santarus', 'santarus']","['Santarus Inc.', 'Santarus, Inc.', 'Santarus, Inc..']","[100, 100, 100]"
289,sciegen,SCIEGEN PHARMS INC,770,sciegen,"[5627, 5628, 5629]","['sciegen', 'sciegen', 'sciegen']","['ScieGen Pharmaceuticals Inc', 'ScieGen Pharmaceuticals, Inc', 'ScieGen Pharmaceuticals, Inc.']","[100, 100, 100]"
290,scios,SCIOS LLC,771,scios,[5637],['scios'],['Scios LLC'],[100]
291,seattle genetics,SEATTLE GENETICS,773,seattle genetics,[5650],['seattle genetics'],"['Seattle Genetics, Inc.']",[100]
292,septodont,SEPTODONT,777,septodont,"[5671, 5672, 5673]","['septodont', 'septodont', 'septodont']","['Septodont Inc', 'Septodont Inc.', 'Septodont, Inc.']","[100, 100, 100]"
293,seton,SETON PHARM,781,seton,"[5683, 5684]","['seton', 'seton']","['Seton Pharmaceuticals', 'Seton Pharmaceuticals, LLC']","[100, 100]"
294,shertech,SHERTECH LABS LLC,784,shertech,[5725],['shertech'],"['Shertech Laboratories, LLC']",[100]
295,shionogi,SHIONOGI INC,785,shionogi,[5732],['shionogi'],['Shionogi Inc.'],[100]
296,shire,"SHIRE, SHIRE LLC","786, 790",shire,[5733],['shire'],['Shire LLC'],[100]
297,sigmapharm,SIGMAPHARM LABS LLC,795,sigmapharm,[5763],['sigmapharm'],"['Sigmapharm Laboratories, LLC']",[100]
298,silarx,"SILARX, SILARX PHARMS INC","796, 797",silarx,[5764],['silarx'],"['Silarx Pharmaceuticals, Inc.']",[100]
299,silvergate,SILVERGATE PHARMS,798,silvergate,[5766],['silvergate'],"['Silvergate Pharmaceuticals, Inc.']",[100]
300,skinmedica,SKINMEDICA,799,skinmedica,[5804],['skinmedica'],"['SkinMedica Pharmaceuticals, Inc.']",[100]
301,sofie,SOFIE,803,sofie,[5851],['sofie'],['SOFIE Co.'],[100]
302,sovereign,SOVEREIGN PHARMS,806,sovereign,[5893],['sovereign'],"['Sovereign Pharmaceuticals, LLC']",[100]
303,specgx,SPECGX LLC,808,specgx,[5907],['specgx'],['SpecGx LLC'],[100]
304,spectron mrc,SPECTRON MRC LLC,809,spectron mrc,[5910],['spectron mrc'],"['Spectron mrc, LLC']",[100]
305,spectrum,SPECTRUM PHARMS,810,spectrum,[5913],['spectrum'],"['Spectrum Pharmaceuticals, Inc.']",[100]
306,sprout,SPROUT PHARMS,812,sprout,[5923],['sprout'],"['Sprout Pharmaceuticals, Inc.']",[100]
307,sti,STI PHARMA LLC,815,sti,"[5966, 5967]","['sti', 'sti']","['STI Pharma LLC', 'STI Pharma, LLC']","[100, 100]"
308,stiefel,"STIEFEL, STIEFEL LABS INC","816, 817",stiefel,"[5968, 5969]","['stiefel', 'stiefel']","['Stiefel Laboratories Inc', 'Stiefel Laboratories, Inc']","[100, 100]"
309,strides,STRIDES PHARMA,820,strides,"[5994, 5995]","['strides', 'strides']","['Strides Pharma Inc', 'Strides Pharma Inc.']","[100, 100]"
310,strides arcolab,STRIDES ARCOLAB LTD,819,strides arcolab,[5992],['strides arcolab'],['Strides Arcolab Limited'],[100]
311,strongbridge,STRONGBRIDGE US,821,strongbridge,"[6002, 6003]","['strongbridge', 'strongbridge']","['Strongbridge U.S. Inc', 'Strongbridge US Inc.']","[100, 100]"
312,sun industries,SUN PHARM INDUSTRIES,827,sun industries,"[6015, 6016, 6017, 6018, 6019]","['sun industries', 'sun industries', 'sun industries', 'sun industries', 'sun industries']","['Sun Pharmaceutical Industries Inc.', 'Sun Pharmaceutical Industries Ltd.', 'Sun Pharmaceutical Industries, Inc', 'Sun Pharmaceutical Industries, Inc.', 'Sun Pharmaceuticals Industries, Inc.']","[100, 100, 100, 100, 100]"
313,sunovion,"SUNOVION, SUNOVION PHARMS INC","829, 830",sunovion,[6034],['sunovion'],['Sunovion Pharmaceuticals Inc.'],[100]
314,sunstar americas,SUNSTAR AMERICAS,831,sunstar americas,[6041],['sunstar americas'],"['Sunstar Americas, Inc.']",[100]
315,supernus,SUPERNUS PHARMS,832,supernus,"[6054, 6055]","['supernus', 'supernus']","['Supernus Pharmaceuticals', 'Supernus Pharmaceuticals, Inc.']","[100, 100]"
316,taro,"TARO, TARO PHARM, TARO PHARMS","839, 840, 842",taro,"[6131, 6132, 6133, 6134, 6135]","['taro', 'taro', 'taro', 'taro', 'taro']","['Taro Pharmaceuticals U.S.A. Inc.', 'Taro Pharmaceuticals U.S.A., Inc', 'Taro Pharmaceuticals U.S.A., Inc.', 'TARO PHARMACEUTICALS USA, INC.', 'Taro Pharmaceuticals, Inc.']","[100, 100, 100, 100, 100]"
317,tasman,TASMAN PHARMA,845,tasman,[6138],['tasman'],['Tasman Pharma Inc.'],[100]
318,teligent,"TELIGENT, TELIGENT PHARMA INC","849, 850",teligent,"[6169, 6170]","['teligent', 'teligent']","['Teligent Pharma, Inc.', 'Teligent, Inc.']","[100, 100]"
319,tesaro,TESARO INC,852,tesaro,[6192],['tesaro'],"['Tesaro, Inc.']",[100]
320,teva,"TEVA, TEVA PHARMS, TEVA PHARMS INTL, TEVA PHARMS USA, TEVA PHARMS USA INC","853, 856, 857, 858, 859",teva,"[6197, 6198, 6199, 6200]","['teva', 'teva', 'teva', 'teva']","['Teva Pharmaceuticals USA Inc', 'Teva Pharmaceuticals USA Inc.', 'Teva Pharmaceuticals USA, Inc.', 'Teva Pharmaceuticals, Inc.']","[100, 100, 100, 100]"
321,teva womens,TEVA WOMENS,860,teva womens,[6203],['teva womens'],"[""Teva Women's Health, Inc.""]",[100]
322,theratechnologies,THERATECHNOLOGIES,866,theratechnologies,[6299],['theratechnologies'],['Theratechnologies Inc.'],[100]
323,tolmar,TOLMAR,870,tolmar,"[6345, 6346]","['tolmar', 'tolmar']","['TOLMAR Inc.', 'TOLMAR PHARMACEUTICALS INC.']","[100, 100]"
324,torrent,"TORRENT PHARMA INC, TORRENT PHARMS, TORRENT PHARMS LLC, TORRENT PHARMS LTD","872, 873, 874, 875",torrent,[6386],['torrent'],['Torrent Pharmaceuticals Limited'],[100]
325,tris,TRIS PHARMA INC,876,tris,"[6427, 6428]","['tris', 'tris']","['Tris Pharma Inc', 'Tris Pharma Inc.']","[100, 100]"
326,twi,TWI PHARMS INC,878,twi,[6460],['twi'],"['TWi Pharmaceuticals, Inc.']",[100]
327,ucb,UCB INC,879,ucb,[6476],['ucb'],"['UCB, Inc.']",[100]
328,unichem,"UNICHEM, UNICHEM LABS LTD, UNICHEM PHARMS (USA)","883, 884, 885",unichem,[6501],['unichem'],"['Unichem Pharmaceuticals (USA), Inc.']",[100]
329,united states welding,UNITED STATES WELDING INC,890,united states welding,[6533],['united states welding'],"['United States Welding, Inc.']",[100]
