"","fam","certification","number","x1","x2","name_cert"
"551","17","Federal Aviation Administration (FAA) Certification",9,"Federal Aviation Administration (FAA) ","Federal Aviation Administration (FAA) ","Federal Aviation Administration (FAA) "
"552","17","Fellow of the Casualty Actuarial Society (FCAS)",3,"Fellow of the Casualty Actuarial Society (FCAS)","Fellow of the Casualty Actuarial Society (FCAS)","Fellow of the Casualty Actuarial Society (FCAS)"
"553","17","Financial Risk Manager (FRM)",6,"Financial Risk Manager (FRM)","Financial Risk Manager (FRM)","Financial Risk Manager (FRM)"
"554","17","Firefighter",4,"Firefighter","Firefighter","Firefighter"
"555","17","First Aid Cpr Aed",365,"First Aid Cpr Aed","First Aid Cpr Aed","First Aid Cpr Aed"
"556","17","Fluid Power Certification",17,"Fluid Power ","Fluid Power ","Fluid Power "
"557","17","Food Handler Certification",2,"Food Handler ","Food Handler ","Food Handler "
"558","17","Food Service Certification",2,"Food Service ","Food Service ","Food Service "
"559","17","Forklift Operator Certification",443,"Forklift Operator ","Forklift Operator ","Forklift Operator "
"560","17","Gaming & Vending Technician (GVT)",6,"Gaming & Vending Technician (GVT)","Gaming & Vending Technician (GVT)","Gaming & Vending Technician (GVT)"
"561","17","General Business",2,"General Business","General Business","General Business"
"562","17","General Radiotelephone Operator License",32,"General Radiotelephone Operator License","General Radiotelephone Operator License","General Radiotelephone Operator License"
"563","17","Geometric Dimensioning and Tolerancing Professional",4,"Geometric Dimensioning and Tolerancing Professional","Geometric Dimensioning and Tolerancing Professional","Geometric Dimensioning and Tolerancing Professional"
"564","17","GIAC Certified Enterprise Defender",2,"GIAC Certified Enterprise Defender","GIAC  Enterprise Defender","GIAC  Enterprise Defender"
"565","17","GIAC Certified Forensic Analyst",2,"GIAC Certified Forensic Analyst","GIAC  Forensic Analyst","GIAC  Forensic Analyst"
"566","17","GIAC Certified Forensic Examiner",2,"GIAC Certified Forensic Examiner","GIAC  Forensic Examiner","GIAC  Forensic Examiner"
"567","17","GIAC Certified Incident Handler (GCIH)",4,"GIAC Certified Incident Handler (GCIH)","GIAC  Incident Handler (GCIH)","GIAC  Incident Handler (GCIH)"
"568","17","GIAC Certified Intrusion Analyst",2,"GIAC Certified Intrusion Analyst","GIAC  Intrusion Analyst","GIAC  Intrusion Analyst"
"569","17","GIAC Information Security Professional (GISP)",114,"GIAC Information Security Professional (GISP)","GIAC Information Security Professional (GISP)","GIAC Information Security Professional (GISP)"
"570","17","GIAC Security Essentials (GSEC)",27,"GIAC Security Essentials (GSEC)","GIAC Security Essentials (GSEC)","GIAC Security Essentials (GSEC)"
"571","17","Global Food Safety Initiative (GFSI)",7,"Global Food Safety Initiative (GFSI)","Global Food Safety Initiative (GFSI)","Global Food Safety Initiative (GFSI)"
"572","17","Gmdss Radio Operator's License",20,"Gmdss Radio Operator's License","Gmdss Radio Operator's License","Gmdss Radio Operator's License"
"573","17","Good Conduct",8,"Good Conduct","Good Conduct","Good Conduct"
"574","17","Google Earth Certification",2,"Google Earth ","Google Earth ","Google Earth "
"575","17","Hardware Technician",5,"Hardware Technician","Hardware Technician","Hardware Technician"
"576","17","Hazard Analysis and Critical Control Point (HACCP) Certification",1,"Hazard Analysis and Critical Control Point (HACCP) ","Hazard Analysis and Critical Control Point (HACCP) ","Hazard Analysis and Critical Control Point (HACCP) "
"577","17","Hazardous Materials Certification",117,"Hazardous Materials ","Hazardous Materials ","Hazardous Materials "
"578","17","Hazardous Materials Technician",2,"Hazardous Materials Technician","Hazardous Materials Technician","Hazardous Materials Technician"
"579","17","HazMat Awareness",2,"HazMat Awareness","HazMat Awareness","HazMat Awareness"
"580","17","HazMat Technician",5,"HazMat Technician","HazMat Technician","HazMat Technician"
"581","17","Hazwoper",101,"Hazwoper","Hazwoper","Hazwoper"
"582","17","HDI Desktop Support Technician (DST)",2,"HDI Desktop Support Technician (DST)","HDI Desktop Support Technician (DST)","HDI Desktop Support Technician (DST)"
"583","17","Health Occupations",8,"Health Occupations","Health Occupations","Health Occupations"
"584","17","Heavy Truck",3,"Heavy Truck","Heavy Truck","Heavy Truck"
"585","17","Home Health Aide",1,"Home Health Aide","Home Health Aide","Home Health Aide"
"586","17","Hubbell Premise Wiring",2,"Hubbell Premise Wiring","Hubbell Premise Wiring","Hubbell Premise Wiring"
"587","17","Hydraulic Specialist Certification",1,"Hydraulic Specialist ","Hydraulic Specialist ","Hydraulic Specialist "
"588","17","IAHCSMM Certification",202,"IAHCSMM ","IAHCSMM ","IAHCSMM "
"589","17","Industrial Electricity Certificate",4,"Industrial Electricity Certificate","Industrial Electricity Certificate","Industrial Electricity "
"590","17","Industrial Electronics",24,"Industrial Electronics","Industrial Electronics","Industrial Electronics"
"591","17","Industrial Electronics Technician",1,"Industrial Electronics Technician","Industrial Electronics Technician","Industrial Electronics Technician"
"592","17","Industrial Technology",11,"Industrial Technology","Industrial Technology","Industrial Technology"
"593","17","Information Systems Certification",16,"Information Systems ","Information Systems ","Information Systems "
"594","17","Information Technology Certification",21,"Information Technology ","Information Technology ","Information Technology "
"595","17","Injection Molding Certification",4,"Injection Molding ","Injection Molding ","Injection Molding "
"596","17","Insurance Agent Certification",14,"Insurance Agent ","Insurance Agent ","Insurance Agent "
"597","17","Insurance License",14,"Insurance License","Insurance License","Insurance License"
"598","17","Interior Design Certification",2,"Interior Design ","Interior Design ","Interior Design "
"599","17","IPC Certification",1205,"IPC ","IPC ","IPC "
"600","17","ISO 9000 Quality Management",29,"ISO 9000 Quality Management","ISO 9000 Quality Management","ISO 9000 Quality Management"
"601","17","ISTQB Certified",71,"ISTQB Certified","ISTQB ","ISTQB "
"602","17","IT Infrastructure Library (ITIL) Certification",100,"IT Infrastructure Library (ITIL) ","IT Infrastructure Library (ITIL) ","IT Infrastructure Library (ITIL) "
"603","17","ITIL Certification",46,"ITIL ","ITIL ","ITIL "
"604","17","ITIL Foundation",1,"ITIL Foundation","ITIL Foundation","ITIL Foundation"
"605","17","ITIL Intermediate",2,"ITIL Intermediate","ITIL Intermediate","ITIL Intermediate"
"606","17","IV (Intravenous) Certification",13,"IV (Intravenous) ","IV (Intravenous) ","IV (Intravenous) "
"607","17","Java Certification",2,"Java ","Java ","Java "
"608","17","Journeyman Millwright",2,"Journeyman Millwright","Journeyman Millwright","Journeyman Millwright"
"609","17","Juniper Networks Certified Internet Associate",10,"Juniper Networks Certified Internet Associate","Juniper Networks  Internet Associate","Juniper Networks  Internet Associate"
"610","17","Kaizen Certification",1,"Kaizen ","Kaizen ","Kaizen "
"611","17","L.S. Certificate",26,"L.S. Certificate","L.S. Certificate","L.S. "
"612","17","Laboratory Animal Technician",9,"Laboratory Animal Technician","Laboratory Animal Technician","Laboratory Animal Technician"
"613","17","Law Enforcement Certification",5,"Law Enforcement ","Law Enforcement ","Law Enforcement "
"614","17","Leadership In Energy And Environmental Design (LEED) Certified",224,"Leadership In Energy And Environmental Design (LEED) Certified","Leadership In Energy And Environmental Design (LEED) ","Leadership In Energy And Environmental Design (LEED) "
"615","17","Lean Certification",132,"Lean ","Lean ","Lean "
"616","17","Lean Six Sigma Certification",7,"Lean Six Sigma ","Lean Six Sigma ","Lean Six Sigma "
"617","17","Learning Behavioral Specialist I",2,"Learning Behavioral Specialist I","Learning Behavioral Specialist I","Learning Behavioral Specialist I"
"618","17","LEED AP",354,"LEED AP","LEED AP","LEED AP"
"619","17","LEED AP Building Design and Construction (AP BD+C)",1,"LEED AP Building Design and Construction (AP BD+C)","LEED AP Building Design and Construction (AP BD+C)","LEED AP Building Design and Construction (AP BD+C)"
"620","17","LEED Green Associate (GA)",49,"LEED Green Associate (GA)","LEED Green Associate (GA)","LEED Green Associate (GA)"
"621","17","Lexmark Certified",4,"Lexmark Certified","Lexmark ","Lexmark "
"622","17","Licensed Alcohol and Drug Counselor",1,"Licensed Alcohol and Drug Counselor","Licensed Alcohol and Drug Counselor","Licensed Alcohol and Drug Counselor"
"623","17","Licensed Practical Nurse (LPN)",5,"Licensed Practical Nurse (LPN)","Licensed Practical Nurse (LPN)","Licensed Practical Nurse (LPN)"
"624","17","Licensed Professional Engineer",729,"Licensed Professional Engineer","Licensed Professional Engineer","Licensed Professional Engineer"
"625","17","Licensed Professional Surveyor",375,"Licensed Professional Surveyor","Licensed Professional Surveyor","Licensed Professional Surveyor"
"626","17","Licensed Vocational Nurse (LVN)",14,"Licensed Vocational Nurse (LVN)","Licensed Vocational Nurse (LVN)","Licensed Vocational Nurse (LVN)"
"627","17","Line & Antenna Sweeping (LAS)",3,"Line & Antenna Sweeping (LAS)","Line & Antenna Sweeping (LAS)","Line & Antenna Sweeping (LAS)"
"628","17","Linux Professional Institute Certification",6,"Linux Professional Institute ","Linux Professional Institute ","Linux Professional Institute "
"629","17","Linux Server Professional (LPIC-1)",6,"Linux Server Professional (LPIC-1)","Linux Server Professional (LPIC-1)","Linux Server Professional (LPIC-1)"
"630","17","Lock Out Tag Out",10,"Lock Out Tag Out","Lock Out Tag Out","Lock Out Tag Out"
"631","17","Machine Shop",9,"Machine Shop","Machine Shop","Machine Shop"
"632","17","Machinist Certification",1,"Machinist ","Machinist ","Machinist "
"633","17","Maintenance Certification",39,"Maintenance ","Maintenance ","Maintenance "
"634","17","Manufacturing Certification",7,"Manufacturing ","Manufacturing ","Manufacturing "
"635","17","Master Electrician License",68,"Master Electrician License","Master Electrician License","Master Electrician License"
"636","17","Master Mechanic",1,"Master Mechanic","Master Mechanic","Master Mechanic"
"637","17","Master Project Management",3,"Master Project Management","Master Project Management","Master Project Management"
"638","17","Mbe Certified",20,"Mbe Certified","Mbe ","Mbe "
"639","17","Mechanical Drafting",44,"Mechanical Drafting","Mechanical Drafting","Mechanical Drafting"
"640","17","MECP Advanced Certification",2,"MECP Advanced ","MECP Advanced ","MECP Advanced "
"641","17","MECP Basic Installation",1,"MECP Basic Installation","MECP Basic Installation","MECP Basic Installation"
"642","17","Medical Billing and Coding Certification",10,"Medical Billing and Coding ","Medical Billing and Coding ","Medical Billing and Coding "
"643","17","Medical Examiner's License",21,"Medical Examiner's License","Medical Examiner's License","Medical Examiner's License"
"644","17","Medical Technician",2,"Medical Technician","Medical Technician","Medical Technician"
"645","17","Mentor Certification",2,"Mentor ","Mentor ","Mentor "
"646","17","Microsoft Certified IT Professional (MCITP)",1,"Microsoft Certified IT Professional (MCITP)","Microsoft  IT Professional (MCITP)","Microsoft  IT Professional (MCITP)"
"647","17","Microsoft Certified Professional (MCP)",65,"Microsoft Certified Professional (MCP)","Microsoft  Professional (MCP)","Microsoft  Professional (MCP)"
"648","17","Microsoft Certified Solutions Associate (MCSA)",31,"Microsoft Certified Solutions Associate (MCSA)","Microsoft  Solutions Associate (MCSA)","Microsoft  Solutions Associate (MCSA)"
"649","17","Microsoft Certified Solutions Developer (MCSD)",1,"Microsoft Certified Solutions Developer (MCSD)","Microsoft  Solutions Developer (MCSD)","Microsoft  Solutions Developer (MCSD)"
"650","17","Microsoft Certified Solutions Expert (MCSE)",8,"Microsoft Certified Solutions Expert (MCSE)","Microsoft  Solutions Expert (MCSE)","Microsoft  Solutions Expert (MCSE)"
"651","17","Microsoft Certified Technology Specialist (MCTS)",76,"Microsoft Certified Technology Specialist (MCTS)","Microsoft  Technology Specialist (MCTS)","Microsoft  Technology Specialist (MCTS)"
"652","17","Microsoft Office Specialist (MOS): Excel",1,"Microsoft Office Specialist (MOS): Excel","Microsoft Office Specialist (MOS): Excel","Microsoft Office Specialist (MOS): Excel"
"653","17","Microsoft Technology Associate (MTA)",1,"Microsoft Technology Associate (MTA)","Microsoft Technology Associate (MTA)","Microsoft Technology Associate (MTA)"
"654","17","Mobile Crane Operator",4,"Mobile Crane Operator","Mobile Crane Operator","Mobile Crane Operator"
"655","17","Mobile Electronics Certified Professional",44,"Mobile Electronics Certified Professional","Mobile Electronics  Professional","Mobile Electronics  Professional"
"656","17","Mobile Electronics Certified Professional (MECP)",42,"Mobile Electronics Certified Professional (MECP)","Mobile Electronics  Professional (MECP)","Mobile Electronics  Professional (MECP)"
"657","17","Msha Certified",20,"Msha Certified","Msha ","Msha "
"658","17","National Career Readiness Certificate (NCRC)",3,"National Career Readiness Certificate (NCRC)","National Career Readiness Certificate (NCRC)","National Career Readiness  (NCRC)"
"659","17","National Council of Architectural Registration Boards (NCARB)",14,"National Council of Architectural Registration Boards (NCARB)","National Council of Architectural Registration Boards (NCARB)","National Council of Architectural Registration Boards (NCARB)"
"660","17","National Electric Code Certification",8,"National Electric Code ","National Electric Code ","National Electric Code "
"661","17","National Institute of Standards and Technology (NIST)",22,"National Institute of Standards and Technology (NIST)","National Institute of Standards and Technology (NIST)","National Institute of Standards and Technology (NIST)"
"662","17","Nccer Instrument Technician",1,"Nccer Instrument Technician","Nccer Instrument Technician","Nccer Instrument Technician"
"663","17","Neonatal Resuscitation Program (NRP)",2,"Neonatal Resuscitation Program (NRP)","Neonatal Resuscitation Program (NRP)","Neonatal Resuscitation Program (NRP)"
"664","17","Nephrology Certification",14,"Nephrology ","Nephrology ","Nephrology "
"665","17","Network Cabling Certification",3,"Network Cabling ","Network Cabling ","Network Cabling "
"666","17","NICET Construction",3,"NICET Construction","NICET Construction","NICET Construction"
"667","17","NICET Electrical Power Testing",12,"NICET Electrical Power Testing","NICET Electrical Power Testing","NICET Electrical Power Testing"
"668","17","NICET Fire Alarm Systems",4,"NICET Fire Alarm Systems","NICET Fire Alarm Systems","NICET Fire Alarm Systems"
"669","17","NICET I",16,"NICET I","NICET I","NICET I"
"670","17","NICET II",43,"NICET II","NICET II","NICET II"
"671","17","Niosh 582",2,"Niosh 582","Niosh 582","Niosh 582"
"672","17","North American Board of Energy Practitioners (NABCEP)",27,"North American Board of Energy Practitioners (NABCEP)","North American Board of Energy Practitioners (NABCEP)","North American Board of Energy Practitioners (NABCEP)"
"673","17","North American Defense Contractors Accreditation Program (NAD-CAP)",17,"North American Defense Contractors Accreditation Program (NAD-CAP)","North American Defense Contractors Accreditation Program (NAD-CAP)","North American Defense Contractors Accreditation Program (NAD-CAP)"
"674","17","North American Technician Excellence (NATE)",1,"North American Technician Excellence (NATE)","North American Technician Excellence (NATE)","North American Technician Excellence (NATE)"
"675","17","Notary License",1,"Notary License","Notary License","Notary License"
"676","17","Occupational Safety and Health Administration Certification",298,"Occupational Safety and Health Administration ","Occupational Safety and Health Administration ","Occupational Safety and Health Administration "
"677","17","Operations Certification",5,"Operations ","Operations ","Operations "
"678","17","OSHA Forklift Certification",2,"OSHA Forklift ","OSHA Forklift ","OSHA Forklift "
"679","17","OSHA Safety 10 Hour",79,"OSHA Safety 10 Hour","OSHA Safety 10 Hour","OSHA Safety 10 Hour"
"680","17","OSHA Safety 30 Hour",75,"OSHA Safety 30 Hour","OSHA Safety 30 Hour","OSHA Safety 30 Hour"
"681","17","Paralegal Certification",7,"Paralegal ","Paralegal ","Paralegal "
"682","17","Passive Intermodulation Testing (PIM)",1,"Passive Intermodulation Testing (PIM)","Passive Intermodulation Testing (PIM)","Passive Intermodulation Testing (PIM)"
"683","17","Patient Care Certification",30,"Patient Care ","Patient Care ","Patient Care "
"684","17","Pediatric Advanced Life Support (PALS) Certification",2,"Pediatric Advanced Life Support (PALS) ","Pediatric Advanced Life Support (PALS) ","Pediatric Advanced Life Support (PALS) "
"685","17","Personal Fitness Trainer Certification",13,"Personal Fitness Trainer ","Personal Fitness Trainer ","Personal Fitness Trainer "
"686","17","Pest Control Applicator",26,"Pest Control Applicator","Pest Control Applicator","Pest Control Applicator"
"687","17","Pharmacist License",4,"Pharmacist License","Pharmacist License","Pharmacist License"
"688","17","Pharmacy Intern License",1,"Pharmacy Intern License","Pharmacy Intern License","Pharmacy Intern License"
"689","17","Pharmacy Technician Certification Board (PTCB)",21,"Pharmacy Technician  Board (PTCB)","Pharmacy Technician  Board (PTCB)","Pharmacy Technician  Board (PTCB)"
"690","17","Pharmacy Technology",5,"Pharmacy Technology","Pharmacy Technology","Pharmacy Technology"
"691","17","Phlebotomy Certification",5,"Phlebotomy ","Phlebotomy ","Phlebotomy "
"692","17","Pilot Certification",27,"Pilot ","Pilot ","Pilot "
"693","17","Plc Programming",19,"Plc Programming","Plc Programming","Plc Programming"
"694","17","Plumbing Certification",106,"Plumbing ","Plumbing ","Plumbing "
"695","17","Plumbing License",6,"Plumbing License","Plumbing License","Plumbing License"
"696","17","PMI Certified Associate in Project Management (CAPM)",2,"PMI Certified Associate in Project Management (CAPM)","PMI  Associate in Project Management (CAPM)","PMI  Associate in Project Management (CAPM)"
"697","17","PMMI Mechatronics Certification",1,"PMMI Mechatronics ","PMMI Mechatronics ","PMMI Mechatronics "
"698","17","Pole Climbing Certification",1,"Pole Climbing ","Pole Climbing ","Pole Climbing "
"699","17","Police Officer",4,"Police Officer","Police Officer","Police Officer"
"700","17","Polygraph",2,"Polygraph","Polygraph","Polygraph"
"701","17","Private Security",2,"Private Security","Private Security","Private Security"
"702","17","Production Certificate",47,"Production Certificate","Production Certificate","Production "
"703","17","Professional Community Association Manager",3,"Professional Community Association Manager","Professional Community Association Manager","Professional Community Association Manager"
"704","17","Programming Certification",13,"Programming ","Programming ","Programming "
"705","17","Project Management Certification",273,"Project Management ","Project Management ","Project Management "
"706","17","Project Management Professional (PMP)",75,"Project Management Professional (PMP)","Project Management Professional (PMP)","Project Management Professional (PMP)"
"707","17","Public Safety Certificate",15,"Public Safety Certificate","Public Safety Certificate","Public Safety "
"708","17","Quality System",10,"Quality System","Quality System","Quality System"
"709","17","Radiation Safety Certification",38,"Radiation Safety ","Radiation Safety ","Radiation Safety "
"710","17","Radiation Safety Certified",38,"Radiation Safety Certified","Radiation Safety ","Radiation Safety "
"711","17","Radio Operator",10,"Radio Operator","Radio Operator","Radio Operator"
"712","17","Real Estate Certification",92,"Real Estate ","Real Estate ","Real Estate "
"713","17","Red Hat Certified System Adminstrator (RHCSA)",7,"Red Hat Certified System Adminstrator (RHCSA)","Red Hat  System Adminstrator (RHCSA)","Red Hat  System Adminstrator (RHCSA)"
"714","17","Red Seal License",1,"Red Seal License","Red Seal License","Red Seal License"
"715","17","Red X Certification",2,"Red X ","Red X ","Red X "
"716","17","Refrigeration Technician Certification",1,"Refrigeration Technician ","Refrigeration Technician ","Refrigeration Technician "
"717","17","Registered Architect",61,"Registered Architect","Registered Architect","Registered Architect"
"718","17","Registered Behavior Technician",10,"Registered Behavior Technician","Registered Behavior Technician","Registered Behavior Technician"
"719","17","Registered Cardiac Electrophysiology Specialist",3,"Registered Cardiac Electrophysiology Specialist","Registered Cardiac Electrophysiology Specialist","Registered Cardiac Electrophysiology Specialist"
"720","17","Registered Cardiac Sonographer",144,"Registered Cardiac Sonographer","Registered Cardiac Sonographer","Registered Cardiac Sonographer"
"721","17","Registered Cardiovascular Invasive Specialist",15,"Registered Cardiovascular Invasive Specialist","Registered Cardiovascular Invasive Specialist","Registered Cardiovascular Invasive Specialist"
"722","17","Registered Communications Distribution Designer (RCDD)",126,"Registered Communications Distribution Designer (RCDD)","Registered Communications Distribution Designer (RCDD)","Registered Communications Distribution Designer (RCDD)"
"723","17","Registered Diagnostic Cardiac Sonographer",113,"Registered Diagnostic Cardiac Sonographer","Registered Diagnostic Cardiac Sonographer","Registered Diagnostic Cardiac Sonographer"
"724","17","Registered Diagnostic Medical Sonographer",30,"Registered Diagnostic Medical Sonographer","Registered Diagnostic Medical Sonographer","Registered Diagnostic Medical Sonographer"
"725","17","Registered Health Information Administrator",14,"Registered Health Information Administrator","Registered Health Information Administrator","Registered Health Information Administrator"
"726","17","Registered Health Information Technician",18,"Registered Health Information Technician","Registered Health Information Technician","Registered Health Information Technician"
"727","17","Registered Polysomnographic Technologist",42,"Registered Polysomnographic Technologist","Registered Polysomnographic Technologist","Registered Polysomnographic Technologist"
"728","17","Registered Pulmonary Function Technologist",6,"Registered Pulmonary Function Technologist","Registered Pulmonary Function Technologist","Registered Pulmonary Function Technologist"
"729","17","Registered Respiratory Therapist",4,"Registered Respiratory Therapist","Registered Respiratory Therapist","Registered Respiratory Therapist"
"730","17","Registered Surveyor",2,"Registered Surveyor","Registered Surveyor","Registered Surveyor"
"731","17","Registered Telecommunication Project Manager",7,"Registered Telecommunication Project Manager","Registered Telecommunication Project Manager","Registered Telecommunication Project Manager"
"732","17","Registered Vascular Specialist",56,"Registered Vascular Specialist","Registered Vascular Specialist","Registered Vascular Specialist"
"733","17","Registered Vascular Technologist",72,"Registered Vascular Technologist","Registered Vascular Technologist","Registered Vascular Technologist"
"734","17","Respiratory Care Practitioner (RCP)",1,"Respiratory Care Practitioner (RCP)","Respiratory Care Practitioner (RCP)","Respiratory Care Practitioner (RCP)"
"735","17","SANS/GIAC Certification",149,"SANS/GIAC ","SANS/GIAC ","SANS/GIAC "
"736","17","SAP Certification",1,"SAP ","SAP ","SAP "
"737","17","Seating and Mobility Specialist",27,"Seating and Mobility Specialist","Seating and Mobility Specialist","Seating and Mobility Specialist"
"738","17","Security Certified Network Specialist",5,"Security Certified Network Specialist","Security  Network Specialist","Security  Network Specialist"
"739","17","Security Clearance",6552,"Security Clearance","Security Clearance","Security Clearance"
"740","17","Security Technician Certificate of Approval",1,"Security Technician Certificate of Approval","Security Technician Certificate of Approval","Security Technician  of Approval"
"741","17","Senior Certified Welding Inspector (SCWI)",2,"Senior Certified Welding Inspector (SCWI)","Senior  Welding Inspector (SCWI)","Senior  Welding Inspector (SCWI)"
"742","17","Sensory Integration and Praxis Test (SIPT)",2,"Sensory Integration and Praxis Test (SIPT)","Sensory Integration and Praxis Test (SIPT)","Sensory Integration and Praxis Test (SIPT)"
"743","17","Series 3",8,"Series 3","Series 3","Series 3"
"744","17","Series 6",1,"Series 6","Series 6","Series 6"
"745","17","Series 63",1,"Series 63","Series 63","Series 63"
"746","17","Series 7",10,"Series 7","Series 7","Series 7"
"747","17","ServSafe",4,"ServSafe","ServSafe","ServSafe"
"748","17","Sheet Metal Certification",6,"Sheet Metal ","Sheet Metal ","Sheet Metal "
"749","17","SHRM Certified Professional (SHRM-CP)",1,"SHRM Certified Professional (SHRM-CP)","SHRM  Professional (SHRM-CP)","SHRM  Professional (SHRM-CP)"
"750","17","SHRM Senior Certified Professional",4,"SHRM Senior Certified Professional","SHRM Senior  Professional","SHRM Senior  Professional"
"751","17","Six Sigma Black Belt Certification",12,"Six Sigma Black Belt ","Six Sigma Black Belt ","Six Sigma Black Belt "
"752","17","Six Sigma Certification",174,"Six Sigma ","Six Sigma ","Six Sigma "
"753","17","Six Sigma Green Belt Certification",32,"Six Sigma Green Belt ","Six Sigma Green Belt ","Six Sigma Green Belt "
"754","17","Six Sigma Yellow Belt",5,"Six Sigma Yellow Belt","Six Sigma Yellow Belt","Six Sigma Yellow Belt"
"755","17","Small Engine",3,"Small Engine","Small Engine","Small Engine"
"756","17","Soldering Certification",257,"Soldering ","Soldering ","Soldering "
"757","17","Stationary Engineer License",8,"Stationary Engineer License","Stationary Engineer License","Stationary Engineer License"
"758","17","Structured Cabling Certification",4,"Structured Cabling ","Structured Cabling ","Structured Cabling "
"759","17","Subspecialty Certification in Cardiac Surgery",4,"Subspecialty  in Cardiac Surgery","Subspecialty  in Cardiac Surgery","Subspecialty  in Cardiac Surgery"
"760","17","Systems Security Certified Practitioner (SSCP)",81,"Systems Security Certified Practitioner (SSCP)","Systems Security  Practitioner (SSCP)","Systems Security  Practitioner (SSCP)"
"761","17","Teachers of English To Speakers of Other Languages (TESOL)",1,"Teachers of English To Speakers of Other Languages (TESOL)","Teachers of English To Speakers of Other Languages (TESOL)","Teachers of English To Speakers of Other Languages (TESOL)"
"762","17","Telecommunications Certification",1,"Telecommunications ","Telecommunications ","Telecommunications "
"763","17","The American Society For Nondestructive Testing (ASNT) Certification",35,"The American Society For Nondestructive Testing (ASNT) ","The American Society For Nondestructive Testing (ASNT) ","The American Society For Nondestructive Testing (ASNT) "
"764","17","TOGAF Certification",1,"TOGAF ","TOGAF ","TOGAF "
"765","17","Tool and Die",1,"Tool and Die","Tool and Die","Tool and Die"
"766","17","Total Productive Maintenance Certification",5,"Total Productive Maintenance ","Total Productive Maintenance ","Total Productive Maintenance "
"767","17","Train The Trainer",69,"Train The Trainer","Train The Trainer","Train The Trainer"
"768","17","Transportation of Dangerous Goods",1,"Transportation of Dangerous Goods","Transportation of Dangerous Goods","Transportation of Dangerous Goods"
"769","17","Typing Certification",9,"Typing ","Typing ","Typing "
"770","17","U.S. Department of Labor",2,"U.S. Department of Labor","U.S. Department of Labor","U.S. Department of Labor"
"771","17","Uscg Captains License",2,"Uscg Captains License","Uscg Captains License","Uscg Captains License"
"772","17","Vocational Rehabilitation License",12,"Vocational Rehabilitation License","Vocational Rehabilitation License","Vocational Rehabilitation License"
"773","17","Vocational Technical Certificate",31,"Vocational Technical Certificate","Vocational Technical Certificate","Vocational Technical "
"774","17","Wastewater Collection License",24,"Wastewater Collection License","Wastewater Collection License","Wastewater Collection License"
"775","17","Wastewater Treatment Certification",4,"Wastewater Treatment ","Wastewater Treatment ","Wastewater Treatment "
"776","17","Wastewater Treatment Plant Operator",67,"Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator"
"777","17","Wastewater Treatment Plant Operator Grade Ii",2,"Wastewater Treatment Plant Operator Grade Ii","Wastewater Treatment Plant Operator Grade Ii","Wastewater Treatment Plant Operator Grade Ii"
"778","17","Welding Certification",119,"Welding ","Welding ","Welding "
"779","17","Workplace Hazardous Materials Information System",4,"Workplace Hazardous Materials Information System","Workplace Hazardous Materials Information System","Workplace Hazardous Materials Information System"
"780","19","5-S",1,"5-S","5-S","5-S"
"781","19","Addiction Treatment Counselor",2,"Addiction Treatment Counselor","Addiction Treatment Counselor","Addiction Treatment Counselor"
"782","19","Adjuster License",2,"Adjuster License","Adjuster License","Adjuster License"
"783","19","Administrative Support Certification",1,"Administrative Support ","Administrative Support ","Administrative Support "
"784","19","Air Brake Certified",2,"Air Brake Certified","Air Brake ","Air Brake "
"785","19","Airframe and Powerplant (A and P) Certification",3,"Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) "
"786","19","American Board for Engineering and Technology (ABET) Accredited",2,"American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited"
"787","19","American Concrete Institute (ACI)",1,"American Concrete Institute (ACI)","American Concrete Institute (ACI)","American Concrete Institute (ACI)"
"788","19","American Council of Pharmaceutical Education (ACPE)",1,"American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)"
"789","19","American Heart Association Certification",1,"American Heart Association ","American Heart Association ","American Heart Association "
"790","19","American Registry of Radiologic Technologists (ARRT) Certification",5,"American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) "
"791","19","American Society For Clinical Pathology (ASCP) Certification",6,"American Society For Clinical Pathology (ASCP) ","American Society For Clinical Pathology (ASCP) ","American Society For Clinical Pathology (ASCP) "
"792","19","American Society for Testing and Materials (ASTM)",39,"American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)"
"793","19","Animal Science",1,"Animal Science","Animal Science","Animal Science"
"794","19","Applicators License",2,"Applicators License","Applicators License","Applicators License"
"795","19","Automation Certification",2,"Automation ","Automation ","Automation "
"796","19","Automotive Service Excellence (ASE) Certification",1,"Automotive Service Excellence (ASE) ","Automotive Service Excellence (ASE) ","Automotive Service Excellence (ASE) "
"797","19","Back-Flow Certification",3,"Back-Flow ","Back-Flow ","Back-Flow "
"798","19","Back-Flow Prevention Certificate",1,"Back-Flow Prevention Certificate","Back-Flow Prevention Certificate","Back-Flow Prevention "
