"","Var1","Freq"
"813","Certified Registered Central Service Technician (CRCST)",713
"814","Certified Registered Locksmith",27
"815","Certified Registered Nurse Practitioner",12
"816","Certified Regulatory Compliance Manager (CRCM)",13
"817","Certified Rehab Nurse",4
"818","Certified Rehabilitation Counselor",78
"819","Certified Reliability Engineer",22
"820","Certified Repair Technician",52
"821","Certified Repairman",10
"822","Certified Research Administrator (CRA)",9
"823","Certified Residential Appraiser",13
"824","Certified Residential Building Inspector",10
"825","Certified Residential Specialist",2
"826","Certified Respiratory Therapist",4934
"827","Certified Respiratory Therapy Assistant",241
"828","Certified Retirement Services Professional (CRSP)",1
"829","Certified Rheumatology Coder",1
"830","Certified Rhythm Analysis Technician",8
"831","Certified Rigger",26
"832","Certified Risk Manager (CRM)",1
"833","Certified Rt",27
"834","Certified Rv Technician",27
"835","Certified Safety and Security Director",19
"836","Certified Safety Professional",216
"837","Certified Sales Executive",2
"838","Certified Salesforce Administrator",134
"839","Certified Salesforce Advanced Administrator",18
"840","Certified Salesforce Advanced Developer",2
"841","Certified Salesforce Platform Developer",13
"842","Certified Salesforce Platform Developer I",9
"843","Certified Salesforce Platform Developer II",8
"844","Certified Salesforce Sales Cloud Consultant",5
"845","Certified Salesforce Service Cloud Consultant",10
"846","Certified Salesforce Technical Architect",1
"847","Certified Sanitarian",16
"848","Certified Satellite Installer (CSI)",181
"849","Certified Scrub Technician",995
"850","Certified Scrum Product Owner (CSPO)",4
"851","Certified ScrumMaster (CSM)",208
"852","Certified Secure Software Lifecycle Professional (CSSLP)",3
"853","Certified Securities Operations Professional (CSOP)",1
"854","Certified Senior Radio Engineer",6
"855","Certified Senior System Architect",3
"856","Certified Server",1
"857","Certified Service Advisor",37
"858","Certified Service Consultant",1
"859","Certified Service Manager (CSM)",63
"860","Certified Service Provider",1
"861","Certified Service Tech",15
"862","Certified Service Technician",710
"863","Certified Service Writer",1
"864","Certified Software Business Analyst",5
"865","Certified Software Process Engineer",7
"866","Certified Software Project Manager",15
"867","Certified Software Quality Analyst (CSQA)",27
"868","Certified Software Quality Engineer (CSQE)",3
"869","Certified Software Test Automation Specialist",4
"870","Certified Software Tester",4
"871","Certified Solid Works",89
"872","Certified Sous Chef",417
"873","Certified Specimen Collector",3
"874","Certified Spotter",1
"875","Certified Staffing Professional",7
"876","Certified Sterile Processing Technician",244
"877","Certified Storm Water",33
"878","Certified Storm Water Operator",29
"879","Certified Strength and Conditioning Specialist",52
"880","Certified Substance Abuse Counselor",44
"881","Certified Superintendent",3
"882","Certified Supply Chain Professional (CSCP)",54
"883","Certified Surgical Assistant (CSA)",88
"884","Certified Surgical First Assistant (CSFA)",413
"885","Certified Surgical Technician",7524
"886","Certified Surgical Technologist",15280
"887","Certified Survey Technician (CST)",254
"888","Certified System Administrator",130
"889","Certified System Architect",1
"890","Certified Systems Integrator",10
"891","Certified Tax Credit Specialist",3
"892","Certified Teacher",507
"893","Certified Team Leader",1
"894","Certified Technical Specialist",10
"895","Certified Technologist",25
"896","Certified Tester",74
"897","Certified Tester Foundation Level (CTFL)",4
"898","Certified Testing Advanced Level",4
"899","Certified Testing Technician",4
"900","Certified Therapeutic Recreation Specialist (CTRS)",2
"901","Certified Therapist",93
"902","Certified Tig",9
"903","Certified Tissue Bank Specialist",5
"904","Certified To Carry A Firearm",3
"905","Certified To Operate Heavy Machinery",1
"906","Certified Translator",3
"907","Certified Transplant Preservationist",6
"908","Certified Treasury Professional (CTP)",61
"909","Certified Trust and Financial Advisor (CTFA)",36
"910","Certified Tumor Registrar",34
"911","Certified Type 2",2
"912","Certified Typist",3
"913","Certified Unit Secretary",52
"914","Certified Urology Coder",21
"915","Certified Valuation Analyst (CVA)",2
"916","Certified Value Specialist",1
"917","Certified Veterinary Assistant",24
"918","Certified Veterinary Technician",5608
"919","Certified Video Engineer",2
"920","Certified Volunteer",6
"921","Certified Water Operator",21
"922","Certified Water Restoration Technician",2
"923","Certified Water Technician",18
"924","Certified Wedding Planner",4
"925","Certified Welding Inspector (CWI)",667
"926","Certified Wireless Network Administrator (CWNA)",17
"927","Certified Wireless Security Professional",2
"928","Certified Wireless Technology Specialist (CWTS)",4
"929","Certified Working Chef",4
"930","Certifiied Lubrication Specialist (ClS)",10
"931","Ceu's Certificate",56
"932","Chain of Custody",4
"933","Chartered Accountant",1
"934","Chartered Advisor For Senior Living",17
"935","Chartered Alternative Investment Analyst (CAIA)",4
"936","Chartered Financial Analyst (CFA)",211
"937","Chartered Financial Consultant",54
"938","Chartered Global Management Accountant (CGMA)",21
"939","Chartered Institute of Personnel and Development (CIPD)",12
"940","Chartered Life Underwriter (ClU)",32
"941","Chartered Property Casualty Underwriter (CPCU)",115
"942","Chartered Retirement Planning Counselor",2
"943","Check Point Certified Managed Security Expert",1
"944","Check Point Certified Security Administrator",28
"945","Check Point Certified Security Expert",6
"946","Chemical Application License",1
"947","Chemical Applicator License",17
"948","Chemical Engineering Certificate",6
"949","Chemical Handling Certificate",8
"950","Chemical License",2
"951","Chemical Operator Certificate",20
"952","Chevrolet Certified Technician",2
"953","Chief Engineer License",7
"954","Chief Financial Officer Certification",2
"955","Child Abuse and Neglect",7
"956","Child Development Associate (CDA)",75
"957","Child Welfare Certificate",18
"958","Child Welfare Licensing",1
"959","Childhood Development Certification",1
"960","Chiropractic Assistant",4
"961","Chiropractor License",11
"962","Chrysler Certified",2283
"963","Chrysler Certified Service",23
"964","Cisco Certified Design Associate (CCDA)",12
"965","Cisco Certified Design Expert (CCDE)",14
"966","Cisco Certified Design Professional (CCDP)",81
"967","Cisco Certified Entry Networking Technician (CCENT)",271
"968","Cisco Certified Internetwork Expert (CCIE)",107
"969","Cisco Certified Internetwork Professional (CCIP)",183
"970","Cisco Certified Network Associate (CCNA)",1853
"971","Cisco Certified Network Professional (CCNP)",354
"972","Cisco Certified Security Professional",1
"973","Cisco Certified Voice Professional (CCVP)",12
"974","Citrix Certified Administrator",6
"975","Citrix Certified Advanced Administrator (CCAA)",12
"976","Citrix Certified Associate - Networking (CCA-N)",9
"977","Citrix Certified Associate - Virtualization (CCA-V)",1
"978","Citrix Certified Enterprise Administrator",1
"979","Citrix Certified Enterprise Architect",4
"980","Citrix Certified Integration Architect",15
"981","Citrix Certified Professional - Virtualization (CCP-V)",1
"982","Civil Engineering Certificate",495
"983","Civil Litigation Certificate",1
"984","Civil Service Certification",572
"985","Class 1 Operator",3
"986","Class 2 Certification",262
"987","Class 3 License",26
"988","Class 3 Solder",8
"989","Class 4 Operator",1
"990","Class D Security License",11
"991","Class F Endorsement",3
"992","Class Fcc License",12
"993","Class N",1
"994","Class T",4
"995","Clia Certified",14
"996","Climate Control",75
"997","Clinical Documentation Improvement Practitioner",7
"998","Clinical Exercise Physiologist",1
"999","Clinical Exercise Specialist",1
"1000","Clinical Laboratory Scientist (ClS)",51
"1001","Clinical Laboratory Technologist",15
"1002","Clinical Medical Assistant (CCMA)",2
"1003","Clinical Nurse Specialist (CNS) License",21
"1004","Cmm Operation Certificate",1
"1005","Cna Program",1
"1006","Cna1",1
"1007","CNC Certification",101
"1008","CNC Machine Certification",2
"1009","CNC Machining Certificate",5
"1010","CNC Programming",10
"1011","Co-Op",13
"1012","Commercial Applicator Certification",41
"1013","Commercial Applicators License",106
"1014","Commercial Fishing License",6
"1015","Commercial Food Equipment Service Association (CFESA)",720
"1016","Commercial Pest Control Certification",11
"1017","Commercial Pesticide License",16
"1018","Commercial Pilot's License",20
"1019","Commercial Plumbing License",3
"1020","Commercial Refrigeration Certificate",92
"1021","Commercial Refrigeration Certification",55
"1022","Commission License",102
"1023","Commissioning Process Management Professional",25
"1024","Communication Site Installer (R56)",161
"1025","Community Association Management License",2
"1026","Community Health Certificate",85
"1027","Community Service",29
"1028","Company Licensed",23
"1029","Competent Person Certification",904
"1030","Component Identification (Certificate)",4
"1031","Composite Repair Certificate",15
"1032","CompTIA Advanced Security Practitioner (CASP)",154
"1033","CompTIA Cloud Essentials",1
"1034","CompTIA Cloud+",10
"1035","CompTIA comptia comptia security+",170
"1036","comptia comptia security+",27
"1037","CompTIA CSA+",21
"1038","CompTIA CTT+",6
"1039","CompTIA IT Fundamentals",65
"1040","CompTIA Linux+",99
"1041","CompTIA Network+",2607
"1042","CompTIA Project+",43
"1043","CompTIA Security+",1994
"1044","CompTIA Server+",259
"1045","Computer Aided Design (CAD) Certification",388
"1046","Computer Applications",84
"1047","Computer Business Certificate",15
"1048","Computer Drafting Certificate",13
"1049","Computer Engineering Certificate",3
"1050","Computer Fundamentals",2
"1051","Computer Information Systems (CIS) Certificate",20
"1052","Computer Learning Certificate",2
"1053","Computer Maintenance Certification",32
"1054","Computer Management Certificate",1
"1055","Computer Operation",99
"1056","Computer Science Certification",43
"1057","Computer Service Technician (CST)",1
"1058","Computer Skills Certification",1
"1059","Computer Technician Certification",5
"1060","Computer Technology",26
"1061","Concert Promoter",2
"1062","Conflict Resolution",104
"1063","Construction Health and Safety Technician",96
"1064","Construction Health and Safety Technologist",2
"1065","Construction Safety Course",8
"1066","Construction Technology",53
"1067","Contractors License",2944
"1068","Control Plans",4
"1069","Conveyor Mechanic",1
"1070","Cooking Certification",6
"1071","Corrections Officer",5
"1072","Cosmetology Certification",7
"1073","Cosmetology License",678
"1074","Counseling Certification",67
"1075","Credit Business Fellow (CBF)",7
"1076","Criminal Justice Addictions Professional (CCJP)",2
"1077","Criminal Justice Certification",21
"1078","Criminal Offender Record Information (CORI) Certified",2
"1079","Crisis Intervention Certification",60
"1080","Critical Care Registered Nurse (CCRN)",35
"1081","Cross-Cultural Language and Academic Development",8
"1082","Crowd Management Certification",12
"1083","ctt+ Certification",35
"1084","Custodial Maintenance",3
"1085","Customer Service Certification",8
"1086","Data Architecture and Management Designer",1
"1087","Data Cabling Installer Certification",5
"1088","Data Center Design Consultant",13
"1089","Data Warehouse Certification",2
"1090","Database Administrator (DBA)",4
"1091","DEA Certificate",67
"1092","Defensive Tactics",1
"1093","Dental Hygienist Certification",47
"1094","Dental Radiology License",16
"1095","Department of Transportation (DOT) Certified",439
"1096","Department of Transportation (DOT) Medical Certification",860
"1097","Dermatology Certification",3
"1098","Design Technology",7
"1099","Desktop Publishing Certificate",22
"1100","Diagnostic Radiologic Technologists",3
"1101","Dialysis Technician",14
"1102","Diesel Mechanic Certification",1947
"1103","Direct Care",29
"1104","Direct Support Professional - Specialist (DSP-S)",2
"1105","Distance Learning",3
"1106","Diving",79
"1107","Domestic Violence",25
"1108","Drafting and Design",113
"1109","Drafting Certification",147
"1110","Driver's License",574264
"1111","Driver/Operator Aerial",19
"1112","Driver/Operator Mobile Water Supply",114
"1113","Driver/Operator Pumper",148
"1114","Driving Instructor",5
"1115","E.K.G. Certification",9
"1116","Early Childhood Education Certification",15
"1117","Educational Technology",2
"1118","Eeg Technologist",1
"1119","Electric Vehicle Technician (EVT)",575
"1120","Electrical Certification",2044
"1121","Electrical Contractor",639
"1122","Electrician Certification",18205
"1123","Electronic Assembly",10
"1124","Electronic Data Processing",2
"1125","Electronic Engineering Certification",65
"1126","Electronic Fetal Monitoring",2
"1127","Electronic Technician Certification",177
"1128","Elevator Journeyman",19
"1129","Elevator Mechanic",158
"1130","Embalming License",5
"1131","Emergency Medical Technician (EMT)",2075
"1132","Emergency Vehicle Operator",35
"1133","Employability Skills",10
"1134","Ems Certificate",1
"1135","EnCase Certified Examiner (EnCE)",4
"1136","Engineer in Training Certification",621
"1137","English Certification",6
"1138","Enrolled Actuary (EA)",1
"1139","Enterprise Resource Planning",2
"1140","Entertainment Technician Certification",16
"1141","Environmental Protection Agency Certification",22288
"1142","Epa 410A",578
"1143","Epa 608",2415
"1144","Epa 609",870
"1145","EPA CFC/HCFC Certification",13652
"1146","Epa Lead Certification",26
"1147","Epic Certification",176
"1148","Exercise Physiologist Certified",23
"1149","Explosive License",28
"1150","Facilitation Certification",1
"1151","Facility Management Professional",10
"1152","Fair Credit Reporting Act Certification",1
"1153","Fair Housing",551
"1154","Federal Aviation Administration (FAA) Certification",220
"1155","Fellow of the Casualty Actuarial Society (FCAS)",166
"1156","Fiber Optics Certification",1
"1157","Fiduciary Investment Risk Specialist",2
"1158","Finance Certification",5
"1159","Financial Accounting Standards Board (FASB)",59
"1160","Financial Risk Manager (FRM)",49
"1161","Fire Fighter",7
"1162","Fire Fighter I",1
"1163","Fire Inspector",120
"1164","Fire Inspector I",225
"1165","Fire Inspector II",83
"1166","Fire Inspector III",10
"1167","Fire Instructor",29
"1168","Fire Instructor I",203
"1169","Fire Instructor II",74
"1170","Fire Instructor III",8
"1171","Fire Officer",145
"1172","Fire Officer I",184
"1173","Fire Officer II",71
"1174","Fire Officer III",71
"1175","Fire Officer IV",4
"1176","Fire Sprinkler License",29
"1177","Firefighter",1978
"1178","Firefighter I",1225
"1179","Firefighter II",795
"1180","First Aid Cpr Aed",17811
"1181","Florida Bar",4
"1182","Fluid Power Certification",175
"1183","Food Handler Certification",4913
"1184","Food Safety Manager Certification",156
"1185","Food Service Certification",1612
"1186","Forklift Operator Certification",7513
"1187","FSSC 22000",32
"1188","Fundamental Payroll Certification",91
"1189","Gaming & Vending Technician (GVT)",18
"1190","Gas Technician",9
"1191","General Business",11
"1192","General Radiotelephone Operator License",201
"1193","General Studies",25
"1194","Geometric Dimensioning and Tolerancing Professional",4
"1195","Geriatric Nursing Assistant",26
"1196","GIAC Certified Enterprise Defender",31
"1197","GIAC Certified Firewall Analyst",1
"1198","GIAC Certified Forensic Analyst",7
"1199","GIAC Certified Forensic Examiner",6
"1200","GIAC Certified Incident Handler (GCIH)",41
"1201","GIAC Certified Intrusion Analyst",15
"1202","GIAC Information Security Fundamentals",8
"1203","GIAC Information Security Professional (GISP)",117
"1204","GIAC Legal Issues in Information Technology & Security",3
"1205","GIAC Mobile Device Security Analyst (GMOB)",1
"1206","GIAC Penetration Tester (GPEN)",1
"1207","GIAC Reverse Engineering Malware",1
"1208","GIAC Security Essentials (GSEC)",116
"1209","GIAC Security Essentials Certification",3
"1210","GIAC Security Leadership (GSLC)",32
"1211","GIAC Web Application Penetration Tester (GWAPT)",5
"1212","Global Food Safety Initiative (GFSI)",144
"1213","Global Professional in Human Resources",4
"1214","Gm Certified",238
"1215","Gmdss Radio Operator's License",35
"1216","Good Conduct",501
"1217","Google AdWords Training",1
"1218","Google Apps Certified Administrator (GACA)",3
"1219","Google Earth Certification",2
"1220","Grant Writing Certification",1
"1221","Graphic Arts",8
"1222","Graphic Design Certification",1
"1223","Group Exercise Instructor",12
"1224","Hadoop/Cloud Developer Certification",2
"1225","Hardware Technician",10
"1226","Hazard Analysis and Critical Control Point (HACCP) Certification",377
"1227","Hazard Communication",12
"1228","Hazardous Materials Certification",1449
"1229","Hazardous Materials Technician",100
"1230","Hazardous Waste Incinerator Operator",7
"1231","Hazardous Waste Transportation Certificate",7
"1232","HazMat Awareness",255
"1233","HazMat Incident Commander",112
"1234","HazMat Operations",378
"1235","HazMat Technician",261
"1236","Hazwoper",1331
"1237","HDI Desktop Support Manager (DSM)",5
"1238","HDI Desktop Support Technician (DST)",157
"1239","HDI Support Center Analyst (SCA)",12
"1240","Health Care Administration",5
"1241","Health Occupations",16
"1242","Health Service",43
"1243","Health Unit Coordinator",88
"1244","Hearing Aid Specialist",1
"1245","Heavy Truck",980
"1246","Help Desk Certification",14
"1247","High Capacity Fossil Fuel Fired Plant (Boiler) Operator",6
"1248","Histologic Technician",2
"1249","Histotechnologist",11
"1250","Hiv Counseling",1
"1251","Home Care Certificate",221
"1252","Home Energy Raters (HERS) Certification",51
"1253","Home Health Aide",275
"1254","Home Inspection",393
"1255","Homeland Security",22
"1256","Honorable Discharge",5
"1257","Horse Racing",10
"1258","Hospitality Management Certification",15
"1259","Hp Accredited Integration Specialist",1
"1260","HP Accredited Systems Engineer (ASE)",1
"1261","Hp Certified",11
"1262","Hp Master Accredited Systems Engineer (MASE)",3
"1263","Hubbell Premise Wiring",13
"1264","Human Capital Strategist (HCS)",37
"1265","Hydraulic Specialist Certification",1
"1266","I-Car",378
"1267","IAHCSMM Certification",326
"1268","Income Tax Certificate",36
"1269","Industrial Electricity Certificate",43
"1270","Industrial Electronics",64
"1271","Industrial Electronics Technician",1
"1272","Industrial Hydraulic Technician",5
"1273","Industrial Technology",121
"1274","Information Systems Certification",100
"1275","Information Technology Certification",86
"1276","Injection Molding Certification",19
"1277","Installation Inspector Certificate",8
"1278","Institute of Internal Auditors (IIA)",23
"1279","Insurance Adjuster, Public",2
"1280","Insurance Agent Certification",745
"1281","Insurance License",771
"1282","Integration Architecture Designer",1
"1283","Interior Design Certification",4
"1284","Interpreter For The Deaf",3
"1285","Investment Advisor",320
"1286","IPC Certification",1801
"1287","Ipma Certified Project Management Associate",91
"1288","IRS Enrolled Agent",5
"1289","IS0 22000",2
"1290","ISO 9000 Quality Management",91
"1291","ISO AS9100",5
"1292","ISTQB Certified",77
"1293","IT Infrastructure Library (ITIL) Certification",4261
"1294","It Service Management",33
"1295","Italian Language Certification",5
"1296","ITIL Certification",1996
"1297","ITIL Expert",16
"1298","ITIL Foundation",515
"1299","ITIL Intermediate",53
"1300","IV (Intravenous) Certification",220
"1301","Japanese Language Certification",6
"1302","Java Certification",11
"1303","Journeyman Ironworker",6
"1304","Journeyman Millwright",70
"1305","Journeyman Painter",2
"1306","Juniper Networks Certified Internet Associate",54
"1307","Juniper Networks Certified Internet Expert",6
"1308","Juniper Networks Certified Internet Professional",7
"1309","Juniper Networks Certified Internet Specialist",9
"1310","Kaizen Certification",22
"1311","Kansas Bar",1
"1312","L.S. Certificate",45
"1313","Laboratory Animal Technician",828
"1314","Laboratory Animal Technologist (LATG)",185
"1315","Laboratory Skills Certificate",2
"1316","Land Title",2
"1317","Landscape Architect License",1
"1318","Landscape Design Certification",10
"1319","Law Enforcement Certification",28
"1320","Leadership and Management",2
"1321","Leadership and Supervision",3
"1322","Leadership Certification",32
"1323","Leadership In Energy And Environmental Design (LEED) Certified",1324
"1324","Lean Bronze Certification",8
"1325","Lean Certification",380
"1326","Lean Gold Certification",5
"1327","Lean Six Sigma Certification",145
"1328","Learning Behavioral Specialist I",20
"1329","LEED AP",533
"1330","LEED AP Building Design and Construction (AP BD+C)",2
"1331","LEED Green Associate (GA)",122
"1332","Legal Assistant",9
"1333","Legal Secretary Certification",8
"1334","Lexmark Certified",5
"1335","Librarian Certification",7
"1336","License To Carry Firearms",3
"1337","Licensed Acupuncturist",1
"1338","Licensed Alcohol and Drug Counselor",27
"1339","Licensed Attorney",135
"1340","Licensed Bachelor of Social Work (LBSW)",18
"1341","Licensed Barber",18
"1342","Licensed Clinical Social Worker (LCSW)",102
"1343","Licensed Construction Supervisor",5
"1344","Licensed Counselor",15
"1345","Licensed Funeral Director",13
"1346","Licensed Independent Clinical Social Worker (LICSW)",44
"1347","Licensed Independent Social Worker (LISW)",13
"1348","Licensed Marriage and Family Therapist",43
"1349","Licensed Master Social Worker - Advanced Generalist (LMSW-AG)",5
"1350","Licensed Master Social Worker (LMSW)",100
"1351","Licensed Mental Health Counselor (LMHC)",67
"1352","Licensed Mortgage Loan Originator",19
"1353","Licensed Nursing Assistant",3
"1354","Licensed Orthodontist",2
"1355","Licensed Practical Nurse (LPN)",1088
"1356","Licensed Professional Counselor",93
"1357","Licensed Professional Engineer",3232
"1358","Licensed Professional Geologist",3
"1359","Licensed Professional Surveyor",410
"1360","Licensed Prosthodontist",1
"1361","Licensed Real Estate Broker",9
"1362","Licensed Vocational Nurse (LVN)",376
"1363","Life and Health Insurance License",138
"1364","Life Insurance License",169
"1365","Life Skills",3
"1366","Line & Antenna Sweeping (LAS)",125
"1367","Linux Professional Institute Certification",17
"1368","Linux Server Professional (LPIC-1)",15
"1369","Lobbyist's License",1
"1370","Local Anesthesia Certification",1
"1371","Lock Out Tag Out",192
"1372","Long Term Care Certification",4
"1373","Mac Certified",2
"1374","Machine Operator Certificate",41
"1375","Machine Shop",145
"1376","Machine Technology",4
"1377","Machinist Certification",47
"1378","Mail Clerk",1
"1379","Maintenance Certification",497
"1380","Makeup Artist",976
"1381","Management Accounting",4
"1382","Management Education",2
"1383","Manicurist Certification",76
"1384","Manufacturing Certification",51
"1385","Manufacturing Technician Level 1 (MT1) Certification",1
"1386","Manufacturing Technology",3
"1387","Map Certified",4
"1388","Marine Radio Operator Permit",1
"1389","Marketing Automation Certification",8
"1390","Marketing Cloud Consultant",4
"1391","Massage Therapist Certification",32
"1392","Master Business Continuity Professional",6
"1393","Master Certified Technician",227
"1394","Master Electrician License",2012
"1395","Master Financial Professional",7
"1396","Master Ford Certified",1
"1397","Master Gardener Certification",20
"1398","Master Hvac License",129
"1399","Master Installer",78
"1400","Master Mechanic",494
"1401","Master Plumber License",342
"1402","Master Project Management",144
"1403","Maternal Child",6
"1404","Math Certification",4
"1405","Mbe Certified",391
"1406","Mechanical Drafting",44
"1407","MECP Advanced Certification",913
"1408","MECP Basic Installation",1116
"1409","MECP Master Installation",89
"1410","Mediation Certification",4
"1411","Medical Billing and Coding Certification",323
"1412","Medical Exam Certificate",50
"1413","Medical Examiner's License",567
"1414","Medical Fitness",19
"1415","Medical Front Office",1
"1416","Medical Laboratory Technologist",2
"1417","Medical Secretary",443
"1418","Medical Surgical Nurse",2
"1419","Medical Technician",27
"1420","Medical Terminology Certification",44
"1421","Member of The American Academy of Actuaries (MAAA)",45
"1422","Mental Health Certification",35
"1423","Mentor Certification",29
"1424","Mercruiser Certified",5
"1425","Michigan Bar",2
"1426","Microsoft Access Certification (Legacy)",8
"1427","Microsoft Certified Application Specialist (MCAS)",3
"1428","Microsoft Certified Desktop Support Technician (Legacy)",87
"1429","Microsoft Certified IT Professional (MCITP)",26
"1430","Microsoft Certified Professional (MCP)",1014
"1431","Microsoft Certified Solutions Associate (MCSA)",565
"1432","Microsoft Certified Solutions Developer (MCSD)",61
"1433","Microsoft Certified Solutions Expert (MCSE)",639
"1434","Microsoft Certified Systems Administrator (Legacy)",27
"1435","Microsoft Certified Systems Engineer (Legacy)",155
"1436","Microsoft Certified Technology Specialist (MCTS)",231
"1437","Microsoft Certified Trainer (MCT)",2
"1438","Microsoft Dynamics CRM Certification",12
"1439","Microsoft Office Specialist (MOS)",151
"1440","Microsoft Office Specialist (MOS): Excel",17
"1441","Microsoft Office Specialist (MOS): PowerPoint",2
"1442","Microsoft Office Specialist (MOS): Word",1
"1443","Microsoft Technology Associate (MTA)",21
"1444","Mine Safety Certificate",14
"1445","Missouri Bar",1
"1446","Mobile Crane Operator",16
"1447","Mobile Electronics Certified Professional",2182
"1448","Mobile Electronics Certified Professional (MECP)",2179
"1449","Mobile Hydraulic Mechanic",14
"1450","Mobile Hydraulic Technician",5
"1451","Mobility Assistance Vehicle Technician",82
"1452","Mold Remediation Certification",50
"1453","Mortgage Broker",5
"1454","Mortgage Lending Certificate",25
"1455","Mortgage License",89
"1456","Mortgage Loan Officer",11
"1457","Motorcycle Repair",11
"1458","Msd Certified",1
"1459","Msha Certified",97
"1460","MSSC Certification",2
"1461","Municipal Solid Waste Combustion Facilities Operator",11
"1462","N.E.C",6
"1463","Nail Technology",1
"1464","Nate Heat Pump/Air Conditioning",5
"1465","National Board for Certification in Occupational Therapy (NBCOT)",18
"1466","National Career Readiness Certificate (NCRC)",153
"1467","National Council For Interior Design Qualification (NCIDQ) Certified",1
"1468","National Council of Architectural Registration Boards (NCARB)",39
"1469","National Electric Code Certification",60
"1470","National Institute of Healthcare Sterile Processing and Distribution Personnel (NICHSPDP)",1
"1471","National Institute of Standards and Technology (NIST)",44
"1472","National Registry of Emergency Medical Technicians (NREMT)",342
"1473","Nationally Certified Psychiatric Technician",2
"1474","Naui Certified",1
"1475","Nccer Commercial Electrician",1
"1476","Nccer Concrete Finisher",1
"1477","Nccer Industrial Boilermaker",1
"1478","Nccer Industrial Carpenter",5
"1479","Nccer Industrial Electrician",11
"1480","Nccer Industrial Maintenance Mechanic",1
"1481","Nccer Industrial Pipefitter",1
"1482","Nccer Instrument Technician",3
"1483","Nccer Rigger",18
"1484","Nccer Scaffold Builder",8
"1485","Neonatal Nursing",1
"1486","Neonatal Pediatric Transport",4
"1487","Neonatal Resuscitation Program (NRP)",3764
"1488","Nephrology Certification",286
"1489","Network Cabling Certification",12
"1490","NICET Asphalt",6
"1491","NICET Audio Systems",1
"1492","NICET Concrete",4
"1493","NICET Construction",18
"1494","NICET Electrical Power Testing",16
"1495","NICET Fire Alarm Systems",19
"1496","NICET Highway Construction",133
"1497","NICET I",230
"1498","NICET II",1004
"1499","NICET Industrial Instrumentation",1
"1500","NICET Inspection and Testing of Water-Based Systems",3
"1501","NICET Soils",2
"1502","NICET Video Security Systems Technician",1
"1503","Nih Stroke Scale Certified",1
"1504","Niosh 582",12
"1505","Nitrous Oxide Certification",1
"1506","Nortel Networks Certificate",3
"1507","North American Board of Energy Practitioners (NABCEP)",893
"1508","North American Defense Contractors Accreditation Program (NAD-CAP)",94
"1509","North American Technician Excellence (NATE)",2536
"1510","Notary License",257
"1511","Npdes Certified",4
"1512","Nurse Anesthetist",29
"1513","Nurse Practitioner",66
"1514","Nurse-Midwife",5
"1515","Nursing Administration",5
"1516","Nursing Home Administrator",7
"1517","Nursing Leadership Certification",1
"1518","Nutrition Certification",17
"1519","Occupational Hearing Conservationist",2
"1520","Occupational Safety and Health Administration Certification",11436
"1521","Office Occupations",230
"1522","Office Services Certificate",1
"1523","Office Technician",4
"1524","Office Technology",278
"1525","Offset Printing",3
"1526","Oil Burner Technician",24
"1527","Oil Heating Certification",2
"1528","Oklahoma Bar",1
"1529","Open Water Scuba Certificate",4
"1530","Operating Room Surgical Technician",23
"1531","Operating Room Technician",674
"1532","Operations Certification",56
"1533","Optician",23
"1534","Oracle Certification",36
"1535","Oracle Certified Master (OCM)",1
"1536","Oracle Database Certification",3
"1537","Oracle SOA Certification",1
"1538","Oregon Bar",55
"1539","Orthotic and Prosthetic Technician",8
"1540","OSHA Forklift Certification",92
"1541","OSHA Safety 10 Hour",3817
"1542","OSHA Safety 30 Hour",2033
"1543","Painting Certification",43
"1544","Paralegal Certification",305
"1545","Paramedic Certification",601
"1546","Passive Intermodulation Testing (PIM)",658
"1547","Patient Care Assistant",26
"1548","Patient Care Certification",30
"1549","Patient Care Technician",66
"1550","Pawnbroker",1
"1551","Pc Repair",10
"1552","Pdi+",6
"1553","Pediatric Advanced Life Support (PALS) Certification",1585
"1554","Perfect Attendance",5
"1555","Personal Care Assistant (PCA)",6
"1556","Personal Fitness Trainer Certification",122
"1557","Personal Protection",18
"1558","Pest Control Applicator",965
"1559","Pest Control Operator",23
"1560","Pharmaceutical GMP Professional (CPGP)",3
"1561","Pharmacist License",60
"1562","Pharmacy Intern License",3
"1563","Pharmacy Technician Certification Board (PTCB)",76
"1564","Pharmacy Technology",5
"1565","Phlebotomy Certification",342
"1566","Photography Certification",1
"1567","Photovoltaic (PV) Installer Certification",111
"1568","Photovoltaic Installer",44
"1569","Physical Fitness",53
"1570","Physician's Assistants Certification",2
"1571","Pilot Certification",158
"1572","Pipefitter",451
"1573","Pipelayer",14
"1574","Pistol License",3
"1575","Planning and Scheduling Professional (PSP)",23
"1576","Plc Programming",237
"1577","Plumbing Certification",5414
"1578","Plumbing License",4935
"1579","PMI Agile Certified Practitioner (PMI-ACP)",29
"1580","PMI Certified Associate in Project Management (CAPM)",54
"1581","PMI Professional in Business Analysis (PMI-PBA)",6
"1582","PMI Risk Management Professional (PMI-RMP)",3
"1583","PMI Scheduling Professional (PMI-SP)",24
"1584","PMMI Mechatronics Certification",39
"1585","Pole Climbing Certification",140
"1586","Police Officer",127
"1587","Polygraph",62
"1588","Portfolio Management Professional (PfMP)",1
"1589","Power Generation Equipment Certification",22
