,Certification.Name,Certifying.Organization,Type,SOC
334,Veterinary Internal Medicine Technician - Small Animal Internal Medicine,Academy of Internal Medicine for Veterinary Technicians,Specialty,29-2056
335,Certified Surgical First Assistant,National Board of Surgical Technology and Surgical Assisting,Core,29-9093
336,Ophthalmic Surgical Assisting,Joint Commission on Allied Health Personnel in Ophthalmology,Core,29-9093
337,Certified Surgical Assistant,American Board of Surgical Assistants,Core,29-9093
338,Sartech I/ Crewleader,National Association for Search and Rescue,Advanced,33-2011
339,Airport Master Firefighter,American Association of Airport Executives,Specialty,33-2011
340,WSO - Certified Hazardous Materials Technician I,World Safety Organization,Core,33-2011
341,Airport Fire Officer,Aircraft Rescue and Fire Fighting Training Alliance,Unclassified,33-2011
342,Certified Wildfire Mitigation Specialist,National Fire Protection Association,Core,33-2011
343,WSO - Certified Hazardous Materials Technician Level II,World Safety Organization,Advanced,33-2011
344,Certified Fire Protection Specialist,National Fire Protection Association,Specialty,33-2011
345,Sartech III,National Association for Search and Rescue,Advanced,33-2011
346,Sartech II,National Association for Search and Rescue,Advanced,33-2011
347,Certified Hazard Recognition Specialist,National Fire Protection Association,Core,33-2011
348,Certified Working Pastry Chef,"American Culinary Federation, Inc.",Specialty,35-1011
349,Master Certified Food Executive,International Food Service Executives Association,Advanced,35-1011
350,Certified Personal Chef,United States Personal Chef Association,Advanced,35-1011
351,Certified Chef de Cuisine,"American Culinary Federation, Inc.",Advanced,35-1011
352,Certified Master Chef,"American Culinary Federation, Inc.",Advanced,35-1011
353,Certified Executive Pastry Chef,"American Culinary Federation, Inc.",Specialty,35-1011
354,Certified Executive Chef,"American Culinary Federation, Inc.",Advanced,35-1011
355,Certified Sous Chef,"American Culinary Federation, Inc.",Specialty,35-1011
356,Certified Master Pastry Chef,"American Culinary Federation, Inc.",Specialty,35-1011
357,Certified Secondary Culinary Educator,"American Culinary Federation, Inc.",Advanced,35-1011
358,Fundamental Payroll Certification,American Payroll Association,Core,43-6014
359,Microsoft Office Specialist: Microsoft Excel 2016 Expert,Microsoft Corporation,Product/Equipment,43-6014
360,Microsoft Office Specialist: Microsoft Outlook 2016,Microsoft Corporation,Product/Equipment,43-6014
361,Microsoft Office Specialist: Excel Associate (Excel and Excel 2019),Microsoft Corporation,Product/Equipment,43-6014
362,Microsoft Office Specialist: Microsoft Access Expert (Access and Access 2019),Microsoft Corporation,Product/Equipment,43-6014
363,Certified Associate in Project Management,Project Management Institute,Core,43-6014
364,Microsoft Office Specialist: Microsoft Excel Expert (Excel and Excel 2019),Microsoft Corporation,Product/Equipment,43-6014
365,Microsoft Office Specialist: Word Associate (Word and Word 2019),Microsoft Corporation,Product/Equipment,43-6014
366,Microsoft Office Specialist: Microsoft Word 2016 Expert,Microsoft Corporation,Product/Equipment,43-6014
367,Microsoft Office Specialist: Associate (Office 365 and Office 2019),Microsoft Corporation,Product/Equipment,43-6014
368,Microsoft Office Specialist: PowerPoint Associate 2019,Microsoft Corporation,Product/Equipment,43-6014
369,Microsoft Office Specialist: Outlook Associate (Outlook and Outlook 2019),Microsoft Corporation,Product/Equipment,43-6014
370,Certified Administrative Professional,International Association of Administrative Professionals,Core,43-6014
371,Microsoft Office Specialist: Microsoft Word 2016,Microsoft Corporation,Product/Equipment,43-6014
372,Microsoft Office Specialist: Microsoft Word Expert (Word and Word 2019),Microsoft Corporation,Product/Equipment,43-6014
373,Microsoft Office Specialist: Microsoft PowerPoint 2016,Microsoft Corporation,Product/Equipment,43-6014
374,Microsoft Office Specialist: Expert - Office 365 and Office 2019,Microsoft Corporation,Product/Equipment,43-6014
375,Microsoft Office Specialist: Microsoft Office 2016 Master Specialist,Microsoft Corporation,Product/Equipment,43-6014
376,Microsoft Office Specialist: Expert (Office 365 and Office 2019),Microsoft Corporation,Product/Equipment,43-6014
377,Microsoft Office Specialist: PowerPoint Associate (PowerPoint and PowerPoint 2019),Microsoft Corporation,Product/Equipment,43-6014
378,Certified Medical Publication Professional,International Society for Medical Publication Professionals,Specialty,43-9031
379,Master Ground Water Contractor,National Ground Water Association,Advanced,47-1011
380,Graduate Master Builder,National Association of Home Builders,Advanced,47-1011
381,Certified Kitchen and Bath Remodeler,National Association of the Remodeling Industry,Specialty,47-1011
382,Master Trainer,National Center for Construction Education and Research,Advanced,47-1011
383,Construction Site Safety Orientation,National Center for Construction Education and Research,Core,47-1011
384,Traffic Signal Inspector Level I,International Municipal Signal Association,Advanced,47-1011
385,Craft Instructor,National Center for Construction Education and Research,Advanced,47-1011
386,Tilt-Up Supervisor & Technician,American Concrete Institute International,Advanced,47-1011
387,Concrete Construction Special Inspector,American Concrete Institute International,Advanced,47-1011
388,Supervisor Certification,International Masonry Institute,Core,47-1011
389,Mobile Crane Operator,National Commission for the Certification of Crane Operators,Advanced,47-1011
390,Craft Instructor,National Center for Construction Education and Research,Core,47-1011
391,Construction Site Safety Supervisor,National Center for Construction Education and Research,Advanced,47-1011
392,Masonry Field Testing Technician,American Concrete Institute International,Core,47-1011
393,Certified Remodeler Associate,National Association of the Remodeling Industry,Advanced,47-1011
394,Master Certified Remodeler,National Association of the Remodeling Industry,Advanced,47-1011
395,Certified Graduate Builder,National Association of Home Builders,Advanced,47-1011
396,Certified Remodeler Specialist,National Association of the Remodeling Industry,Advanced,47-1011
397,Certification in Construction Materials Testing - Asphalt Level IV,National Institute for Certification in Engineering Technologies,Advanced,47-1011
398,Construction Superintendant Certification,National Center for Construction Education and Research,Core,47-1011
399,Certification in Construction Materials Testing - Asphalt Level III,National Institute for Certification in Engineering Technologies,Advanced,47-1011
400,Certification in Construction Materials Testing - Asphalt Level II,National Institute for Certification in Engineering Technologies,Advanced,47-1011
401,Architectural Openings Consultants,Door and Hardware Institute,Advanced,47-1011
402,Master Craft/Technician Instructor,National Center for Construction Education and Research,Advanced,47-1011
403,PV System Inspector,North American Board of Certified Energy Practitioners,Advanced,47-1011.03
404,Solar Heating Installer,North American Board of Certified Energy Practitioners,Core,47-1011.03
405,PV Installation Professional,North American Board of Certified Energy Practitioners,Advanced,47-1011.03
406,National Board New Construction Inspector Commission,The National Board of Boiler and Pressure Vessel Inspectors,Advanced,47-2011
407,National Board Inservice Inspector Commission,The National Board of Boiler and Pressure Vessel Inspectors,Advanced,47-2011
408,Structural Masonry Special Inspector,International Code Council,Specialty,47-2021
409,Supervisor Certification,International Masonry Institute,Core,47-2021
410,Masonry Field Testing Technician,American Concrete Institute International,Core,47-2021
411,Certified Installer and Sand & Finisher,National Wood Flooring Association,Core,47-2031
412,Door + Hardware Specification Consultant,Door and Hardware Institute,Advanced,47-2031
413,Door + Hardware Industry Associate - Level I,Door and Hardware Institute,Core,47-2031
414,Rain Screen Systems,International Masonry Institute,Advanced,47-2031
415,Certified Craftsman,National Wood Flooring Association,Core,47-2031
416,Architectural Openings Consultants,Door and Hardware Institute,Advanced,47-2031
417,InstallationMasters,Fenestration and Glazing Industry Alliance,Advanced,47-2031
418,FenestrationAssociate,Fenestration and Glazing Industry Alliance,Core,47-2031
419,Adhesive Anchor Installer,American Concrete Institute International,Core,47-2031
420,Certified Graduate Associate,National Association of Home Builders,Core,47-2031
421,Certified Lead Carpenter,National Association of the Remodeling Industry,Core,47-2031
422,Certified Installer,Vinyl Siding Institute,Core,47-2031
423,Certified Door Consultants,Door and Hardware Institute,Advanced,47-2031
424,LEED Green Associate,Green Business Certification Inc.,Core,47-2031
425,Door + Hardware Consultant  - Level III,Door and Hardware Institute,Advanced,47-2031
426,FenestrationMaster,Fenestration and Glazing Industry Alliance,Advanced,47-2031
427,Certified Master Craftsman,National Wood Flooring Association,Advanced,47-2031
428,Door + Hardware Technician - Level II,Door and Hardware Institute,Advanced,47-2031
429,Certified Graduate Associate,National Association of Home Builders,Core,47-2061
430,Certification in Construction Materials Testing - Asphalt,National Institute for Certification in Engineering Technologies,Core,47-2061
431,Signalperson,National Commission for the Certification of Crane Operators,Core,47-2061
432,Qualified Rigger Advanced,Crane Institute Certification,Advanced,47-2061
433,LEED Green Associate,Green Business Certification Inc.,Core,47-2061
434,Graduate Master Remodeler,National Association of Home Builders,Advanced,47-2061
435,Qualified Signalperson & Basic Rigger Certification,Crane Institute Certification,Core,47-2061
436,Certification in Construction Materials Testing - Asphalt Level IV,National Institute for Certification in Engineering Technologies,Advanced,47-2061
437,Certification in Construction Materials Testing - Asphalt Level III,National Institute for Certification in Engineering Technologies,Advanced,47-2061
438,Certification in Construction Materials Testing - Asphalt Level II,National Institute for Certification in Engineering Technologies,Advanced,47-2061
439,Certification in Construction Materials Testing - Concrete Level I,National Institute for Certification in Engineering Technologies,Core,47-2061
440,Concrete Construction Special Inspector,American Concrete Institute International,Advanced,47-2061
441,Associate Constructor,American Institute of Constructors,Core,47-2061
442,Rigger Level I,National Commission for the Certification of Crane Operators,Core,47-2061
443,Construction Site Safety Technician,National Center for Construction Education and Research,Advanced,47-2061
444,Certified Concrete Surface Repair Technician,International Concrete Repair Institute,Core,47-2061
445,Certification in Construction Materials Testing - Concrete Level I,National Institute for Certification in Engineering Technologies,Core,47-2071
446,ACI Shotcrete Nozzleman (Wet-Mix Process),American Concrete Institute International,Core,47-2071
447,ACI Shotcrete Nozzleman (Dry-Mix Process),American Concrete Institute International,Core,47-2071
448,Certification in Construction Materials Testing - Asphalt,National Institute for Certification in Engineering Technologies,Core,47-2071
449,Certified Electrical Inspector - Master,International Association of Electrical Inspectors,Advanced,47-2111
450,Certified Electrical Inspector - Residential,International Association of Electrical Inspectors,Core,47-2111
451,Electrified Hardware Consultant,Door and Hardware Institute,Advanced,47-2111
452,Construction Code Professionals One- and Two-Family Dwellings,International Association of Electrical Inspectors,Advanced,47-2111
453,ETT Certified Assistant Technician Level II,InterNational Electrical Testing Association,Core,47-2111
454,Electrical Plans Examiner,International Code Council,Core,47-2111
455,Certified Lighting Controls Professional,International Association of Lighting Management Companies,Core,47-2111
456,ALA Certified Lighting Consultant,American Lighting Association,Advanced,47-2111
457,ALA Lighting Specialist,American Lighting Association,Specialty,47-2111
458,Residential Electrical Inspector,International Code Council,Core,47-2111
459,Certified Entertainment Electrician,Professional Lighting and Sound Association,Advanced,47-2111
460,Electrical Certification,ESCO Group,Core,47-2111
461,FenestrationMaster,Fenestration and Glazing Industry Alliance,Advanced,47-2121
462,InstallationMasters,Fenestration and Glazing Industry Alliance,Advanced,47-2121
463,FenestrationAssociate,Fenestration and Glazing Industry Alliance,Core,47-2121
464,STAR Steamfitting-Pipefitting Mastery,"National Inspection, Testing and Certification Corporation",Advanced,47-2151
465,STAR Plumber Mastery,"National Inspection, Testing and Certification Corporation",Advanced,47-2151
466,IAPMO Plumbing Plans Examiner,"National Inspection, Testing and Certification Corporation",Core,47-2152
467,UPC Journeyman Plumber,"National Inspection, Testing and Certification Corporation",Core,47-2152
468,Infection Control & Water Quality Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
469,Journey Level Pipefitter-Steamfitter,"National Inspection, Testing and Certification Corporation",Core,47-2152
470,Plumbing Plans Examiner,International Code Council,Advanced,47-2152
471,STAR Fire SprinklerFitter Mastery,"National Inspection, Testing and Certification Corporation",Advanced,47-2152
472,STAR Plumber Mastery,"National Inspection, Testing and Certification Corporation",Advanced,47-2152
473,Rainwater Catchment Systems Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
474,Residential Potable Water Fire Protection Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
475,Hydronic Heating and Cooling Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
476,Medical Gas Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
477,Infection Control & Water Quality Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
478,Commercial Plumbing Inspector,International Code Council,Core,47-2152
479,IAPMO Plumbing Inspector,"National Inspection, Testing and Certification Corporation",Core,47-2152
480,STAR Steamfitting-Pipefitting Mastery,"National Inspection, Testing and Certification Corporation",Advanced,47-2152
481,UPC Residential and Commercial Plumbing Inspector,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
482,Plumbing Plans Examiner,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
483,Backflow Prevention Assembly Repairer Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
484,Service Plumbing Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
485,Backflow Prevention Cross-Connection Control Surveyor Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
486,Backflow Prevention Assembly Tester Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
487,Water-Based Fire Protection Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
488,Backflow Prevention Program Specialist/Administrator Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-2152
489,Reinforced Concrete Special Inspector,International Code Council,Advanced,47-2171
490,Registered Roof Observer,Roof Consultants Institute,Core,47-2181
491,Registered Roof Consultant,Roof Consultants Institute,Core,47-2181
492,Registered Waterproofing Consultant,Roof Consultants Institute,Core,47-2181
493,Structural Steel and Bolting Special Inspector,International Code Council,Advanced,47-2221
494,Photovoltaic System Installation Certification,"Underwriters Laboratories, Inc.",Advanced,47-2231
495,Photovoltaic Installer - Level 1,ETA International,Core,47-2231
496,Certified Electrical Safety Technician,National Fire Protection Association,Core,47-2231
497,PV Installation Professional,North American Board of Certified Energy Practitioners,Advanced,47-2231
498,Photovoltaic Installer/Designer,ETA International,Advanced,47-2231
499,Photovoltaic Associate,North American Board of Certified Energy Practitioners,Core,47-2231
500,PV Installer Specialist,North American Board of Certified Energy Practitioners,Specialty,47-2231
501,Solar PV Certification,Electrical Training Alliance,Core,47-2231
502,Masonry Field Testing Technician,American Concrete Institute International,Core,47-3011
503,Certified Graduate Associate,National Association of Home Builders,Core,47-3012
504,Electrified Hardware Consultant,Door and Hardware Institute,Advanced,47-3013
505,Residential Electrical Inspector,International Code Council,Core,47-3013
506,Certified Entertainment Electrician,Professional Lighting and Sound Association,Advanced,47-3013
507,UPC Journeyman Plumber,"National Inspection, Testing and Certification Corporation",Core,47-3015
508,Structural Masonry Special Inspector,International Code Council,Specialty,47-4011
509,IAPMO Mechanical Inspector,"National Inspection, Testing and Certification Corporation",Core,47-4011
510,Coastal and Flood Plains Construction Inspector,International Code Council,Advanced,47-4011
511,Prestressed Concrete Special Inspector,International Code Council,Advanced,47-4011
512,Zoning Inspector,International Code Council,Core,47-4011
513,Commercial Plumbing Inspector,International Code Council,Core,47-4011
514,Residential Electrical Inspector,International Code Council,Core,47-4011
515,Accessibility Inspector/Plans Examiner,International Code Council,Core,47-4011
516,Concrete Construction Special Inspector,American Concrete Institute International,Advanced,47-4011
517,IAPMO Plumbing Inspector,"National Inspection, Testing and Certification Corporation",Core,47-4011
518,Certified Professional Constructor,American Institute of Constructors,Advanced,47-4011
519,National Board Inservice Inspector Commission,The National Board of Boiler and Pressure Vessel Inspectors,Advanced,47-4011
520,Architectural Hardware Consultants,Door and Hardware Institute,Advanced,47-4011
521,UPC Residential and Commercial Plumbing Inspector,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
522,Plumbing Plans Examiner,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
523,Healthy Home Evaluator,Building Performance Institute,Core,47-4011
524,Backflow Prevention Assembly Repairer Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
525,Service Plumbing Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
526,Registered Construction Inspector in Public Works,American Construction Inspectors Association,Specialty,47-4011
527,Certified Commercial Inspector,National Wood Flooring Association,Advanced,47-4011
528,Coating Inspector Program Level 1 - Nuclear Specialty,NACE International,Advanced,47-4011
529,Registered Construction Inspector - Concrete,American Construction Inspectors Association,Advanced,47-4011
530,Backflow Prevention Cross-Connection Control Surveyor Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
531,Backflow Prevention Assembly Tester Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
532,Water-Based Fire Protection Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
533,Backflow Prevention Program Specialist/Administrator Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
534,Spray-Applied Fireproofing Special Inspector,International Code Council,Specialty,47-4011
535,Residential Plumbing Inspector - P1,International Code Council,Advanced,47-4011
536,Residential Mechanical Inspector - M1,International Code Council,Unclassified,47-4011
537,Certified Electrical Inspector - Master,International Association of Electrical Inspectors,Advanced,47-4011
538,Certified Electrical Inspector - Residential,International Association of Electrical Inspectors,Core,47-4011
539,Certified Building Commissioning Professional,Association of Energy Engineers,Advanced,47-4011
540,Commercial Mechanical Inspector,International Code Council,Core,47-4011
541,Property Maintenance and Housing Inspector,International Code Council,Unclassified,47-4011
542,Residential Building Inspector,International Code Council,Core,47-4011
543,Mechanical Plans Examiner,International Code Council,Core,47-4011
544,Building Plans Examiner,International Code Council,Core,47-4011
545,Graduate Master Builder,National Association of Home Builders,Advanced,47-4011
546,IAPMO Plumbing Plans Examiner,"National Inspection, Testing and Certification Corporation",Core,47-4011
547,Structural Steel and Bolting Special Inspector,International Code Council,Advanced,47-4011
548,Existing Building Commissioning Professional,Association of Energy Engineers,Advanced,47-4011
549,Coating Inspector Program Level 2 - Marine Specialty,NACE International,Specialty,47-4011
550,Residential and Commercial Mechanical Inspector,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
551,Residential and Commercial Electrical Inspector,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
552,Certified Commissioning Authority,AABC Commissioning Group,Advanced,47-4011
553,Code Specialist,International Code Council,Advanced,47-4011
554,Associate Commissioning Professional,Building Commission Association,Advanced,47-4011
555,Certified Specialist of Inspection Housing Quality Standards,National Association of Housing and Redevelopment Officials,Specialty,47-4011
556,Traffic Signal Inspector Level I,International Municipal Signal Association,Advanced,47-4011
557,Certified Building Official - Legal Module,International Code Council,Core,47-4011
558,Registered Construction Inspector - Electrical,American Construction Inspectors Association,Specialty,47-4011
559,Certified Wood Flooring Inspectors,National Wood Flooring Association,Advanced,47-4011
560,Solar Heating System Inspector,North American Board of Certified Energy Practitioners,Specialty,47-4011
561,Infection Control & Water Quality Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
562,Concrete Transportation Construction Inspector,American Concrete Institute International,Core,47-4011
563,Certified Ventilation Inspector,National Air Ducts Cleaning Association,Advanced,47-4011
564,Building Analyst,Building Performance Institute,Core,47-4011
565,Construction Code Professionals One- and Two-Family Dwellings,International Association of Electrical Inspectors,Advanced,47-4011
566,Multifamily Building Operator,Building Performance Institute,Core,47-4011
567,Certified Public Infrastructure Inspector,American Public Works Association,Core,47-4011
568,IAPMO Accessibility Inspector Certification,"National Inspection, Testing and Certification Corporation",Core,47-4011
569,Certified Commissioning Professional,Building Commission Association,Core,47-4011
570,Graduate Master Remodeler,National Association of Home Builders,Advanced,47-4011
571,Certified National Home Inspector,Examination Board of Professional Home Inspectors,Core,47-4011
572,Commercial Building Inspector,International Code Council,Core,47-4011
573,Reinforced Concrete Special Inspector,International Code Council,Advanced,47-4011
574,Plumbing Plans Examiner,International Code Council,Advanced,47-4011
575,Electrical Plans Examiner,International Code Council,Core,47-4011
576,Commercial Electrical Inspector,International Code Council,Core,47-4011
577,Certified Fire Plan Examiner I,National Fire Protection Association,Core,47-4011
578,Permit Technician,International Code Council,Core,47-4011
579,Master Certified Green Professional,National Association of Home Builders,Advanced,47-4011
580,IgCC Commercial Inspector with ASHRAE 189.1,International Code Council,Specialty,47-4011
581,Certified Specialist of Inspection Uniform Physical Condition Standards,National Association of Housing and Redevelopment Officials,Specialty,47-4011
582,Quality Control Inspector,Building Performance Institute,Core,47-4011
583,Building Commissioning Professional Certification,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",Advanced,47-4011
584,Rainwater Catchment Systems Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
585,Residential Potable Water Fire Protection Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
586,Hydronic Heating and Cooling Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
587,Medical Gas Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
588,Infection Control & Water Quality Certification,International Association of Plumbing and Mechanical Officials,Advanced,47-4011
589,ASHI Certified Inspector,American Society of Home Inspectors,Core,47-4011
590,Registered Construction Inspector in Building,American Construction Inspectors Association,Specialty,47-4011
591,Registered Construction Inspector - Engineering,American Construction Inspectors Association,Specialty,47-4011
592,Building Codes and Standards,International Code Council,Advanced,47-4011
593,Registered Construction Inspector - Fire Doors,American Construction Inspectors Association,Advanced,47-4011
594,Certified Home Energy Rater,Residential Energy Services Network,Core,47-4011.01
595,Energy Auditor,Building Performance Institute,Specialty,47-4011.01
596,Certified Building Energy Simulation Analyst,Association of Energy Engineers,Advanced,47-4011.01
597,Level I Thermography Certification,Infrared Training Center,Core,47-4011.01
598,Optical Gas Imaging II Certification,Infrared Training Center,Advanced,47-4011.01
599,Level I FLIR GF309 Furnace Inspection,Infrared Training Center,Core,47-4011.01
600,Building Analyst,Building Performance Institute,Core,47-4011.01
601,Multifamily Building Operator,Building Performance Institute,Core,47-4011.01
602,Rating Field Inspector,Residential Energy Services Network,Core,47-4011.01
603,Energy Risk Professional,Global Association of Risk Professionals,Core,47-4011.01
604,Level I Electrical Thermography Certification,Infrared Training Center,Core,47-4011.01
605,Level I Certified Building Investigations,Infrared Training Center,Core,47-4011.01
606,Commercial Energy Plans Examiner,International Code Council,Core,47-4011.01
607,Certified Residential Energy Auditor,Association of Energy Engineers,Core,47-4011.01
608,Certified Energy Auditor,Association of Energy Engineers,Advanced,47-4011.01
609,Commercial Energy Inspector,International Code Council,Core,47-4011.01
610,National Insulation Energy Appraiser,"National Inspection, Testing and Certification Corporation",Core,47-4011.01
611,Optical Gas Imaging Certification,Infrared Training Center,Advanced,47-4011.01
612,Certified Energy Insulation Appraisers,National Insulation Association,Core,47-4011.01
613,Multifamily Building Analyst,Building Performance Institute,Core,47-4011.01
614,Master Specialist Hands On Envelope Leak Testing,ESCO Group,Advanced,47-4011.01
615,Level II Thermography Certification,Infrared Training Center,Core,47-4011.01
616,Certified Residential Energy Auditor,ESCO Group,Advanced,47-4011.01
617,Level III Thermography Certification,Infrared Training Center,Advanced,47-4011.01
618,Certified Residential Energy Auditor,ESCO Group,Specialty,47-4011.01
619,Level II Electrical Thermography Certification,Infrared Training Center,Core,47-4011.01
620,Certified Accessibility Technician,National Association of Elevator Contractors,Core,47-4021
621,Certified Elevator Technician,National Association of Elevator Contractors,Core,47-4021
622,Qualified Elevator Inspector,National Association of Elevator Contractors,Advanced,47-4021
623,Digger Derrick Operator,National Commission for the Certification of Crane Operators,Core,47-5011
624,Rigger and Signal Person Certification,National Center for Construction Education and Research,Advanced,47-5012
625,Oil Monitoring Analyst I,Society of Tribologists and Lubrication Engineers,Core,47-5013
626,Fluid Power Connector and Conductor,International Fluid Power Society,Advanced,47-5013
627,Master Ground Water Contractor,National Ground Water Association,Advanced,47-5023
628,Certified Vertical Closed Loop Driller,National Ground Water Association,Advanced,47-5023
629,Certified Well Driller,National Ground Water Association,Core,47-5023
630,Oil Monitoring Analyst I,Society of Tribologists and Lubrication Engineers,Core,47-5041
631,Certified Supervisor of Maintenance/Equipment,North American Transportation Management Institute,Advanced,49-1011
632,Certified Residential Geothermal Designer,International Ground Source Heat Pump Association,Advanced,49-1011
633,Certified Service Manager,Professional Service Association,Core,49-1011
634,Certified Maintenance & Reliability Professional,Society for Maintenance & Reliability Professionals,Advanced,49-1011
635,Master Specialist Hands On Calculating Indoor Air CFM,ESCO Group,Advanced,49-1011
636,Certified Ventilation Inspector,National Air Ducts Cleaning Association,Advanced,49-1011
637,Certified GeoExchange Designer,International Ground Source Heat Pump Association,Advanced,49-1011
638,Certified Equipment Manager,Association of Equipment Management Professionals,Advanced,49-1011
639,Master Specialist Hands On Building Automation Systems Set-up and Commissioning,ESCO Group,Advanced,49-1011
640,Master Specialist Hands On Demand-Controlled Ventilation Set-up and Commissioning,ESCO Group,Advanced,49-1011
641,CompTIA A+ Certification,Computing Technology Industry Association (CompTIA),Core,49-2011
642,Apple Certified iOS Technician (ACiT) Certification (2019),"Apple Computer, Inc.",Product/Equipment,49-2011
643,Microwave Radio Technician,ETA International,Core,49-2021
644,"BICSI Installer 2, Copper",Building Industry Consulting Service International,Advanced,49-2022
645,Broadband Premises Installer,Society of Cable Telecommunications Engineers,Specialty,49-2022
646,Nokia Network Routing Specialist II,Nokia,Product/Equipment,49-2022
647,DOCSIS Engineering Professional,Society of Cable Telecommunications Engineers,Specialty,49-2022
648,Certified Satellite Installer,ETA International,Advanced,49-2022
649,"BICSI Installer 2, Optical Fiber",Building Industry Consulting Service International,Advanced,49-2022
650,BICSI Technician,Building Industry Consulting Service International,Core,49-2022
651,Certified Premises Cabling Technician,The Fiber Optic Association Inc.,Specialty,49-2022
652,Distributed Antenna Systems,ETA International,Advanced,49-2022
653,BICSI Installer 1,Building Industry Consulting Service International,Core,49-2022
654,Wireless Communications Technician,ETA International,Core,49-2022
655,Broadband TelecomCenter Specialist,Society of Cable Telecommunications Engineers,Specialty,49-2022
656,Broadband Transport Specialist,Society of Cable Telecommunications Engineers,Specialty,49-2022
657,Line and Antenna Sweeping,ETA International,Core,49-2022
658,Business Class Services Specialist,Society of Cable Telecommunications Engineers,Specialty,49-2022
659,General Communications Technician - Level 3,ETA International,Core,49-2022
660,Inside Electrical Craft Certification,Electrical Training Alliance,Core,49-2022
661,Cable Splicing Certification,Electrical Training Alliance,Core,49-2022
662,Telecommunications,ETA International,Advanced,49-2022
663,Avionics Electronics Technician,ETA International,Core,49-2091
664,RADAR Electronics Technician,ETA International,Advanced,49-2091
665,Aircraft Electronics Technician,National Center for Aerospace & Transportation Technologies,Advanced,49-2091
666,Electric Vehicle Technician,ETA International,Advanced,49-2092
667,Certified Electronics Technician - Journeyman-Level - Radar,International Society of Certified Electronics Technicians,Specialty,49-2093
668,Traffic Signal Senior Field Technician Level III,International Municipal Signal Association,Advanced,49-2093
669,"IPC-7721& IPC-7711 Rework, Repair, & Modification of Printed Boards & Electronic Assemblies",IPC - Association Connecting Electronics Industries,Advanced,49-2094
670,Certified Maintenance and Reliability Technician,Society for Maintenance & Reliability Professionals,Core,49-2094
671,Certified Electronics Technician - Journeyman-Level - Communications,International Society of Certified Electronics Technicians,Specialty,49-2094
672,Certified Electronics Systems Associate,International Society of Certified Electronics Technicians,Core,49-2094
673,Certified Electronics Technician - Journeyman-Level - Radar,International Society of Certified Electronics Technicians,Specialty,49-2094
674,Certified Electronics Technician - Journeyman-Level - Industrial,International Society of Certified Electronics Technicians,Specialty,49-2094
675,Certified Electronics Technician - Journeyman-Level - Multimedia Systems Technician,International Society of Certified Electronics Technicians,Specialty,49-2094
676,PMMI Mechatronics: Industrial Electricity 1,Packaging Machinery Manufacturing Institute,Core,49-2094
677,Instrumentation Certification,Electrical Training Alliance,Core,49-2095
678,Cable Splicing Certification,Electrical Training Alliance,Core,49-2095
679,Master Truck Equipment Specialist,National Institute for Automotive Service Excellence,Advanced,49-2096
680,Certified Electronics Technician - Journeyman-Level - Multimedia Systems Technician,International Society of Certified Electronics Technicians,Specialty,49-2097
681,Certified Satellite Installer,ETA International,Advanced,49-2097
682,Certified Electronics Technician - Journeyman-Level - Consumer,International Society of Certified Electronics Technicians,Specialty,49-2097
683,Certified Service Technician,Electronic Security Association,Advanced,49-2098
684,Certified Systems Integrator,Electronic Security Association,Advanced,49-2098
685,Certified Fire Alarm ITM Specialist for Facility Managers,National Fire Protection Association,Core,49-2098
686,Certified Alarm Security Technician,ETA International,Core,49-2098
687,Certification in Fire Alarm Systems,National Institute for Certification in Engineering Technologies,Core,49-2098
688,Certified Video Technician,Electronic Security Association,Core,49-2098
