Timestamp,Please copy and paste the Document ID of the article you are submitting responses for. ,Does this article mention a new or improved drug that differs from the company’s previous drugs (regardless of whether or not a similar drug is already being sold by another company)?,"Based on the article, what is the current stage of the drug?","Please copy and paste the names of any new drugs mentioned in the article. Be sure that the commas separate the products. If a product name contains a comma, please remove it. ","Please copy and paste the names of any companies that introduced the new drug(s). Be sure that the commas separate the company names. If a company name contains a comma, please remove it. ","Based on the article, is the drug new to the market? (The company introduced the drug before other companies, and no similar drugs are already being sold either by this company or by other companies)",Based on the article is this drug new only to the company? (The company introduced a drug that was already available from other companies with little or no additional modification)
7/24/2019 11:46:30,CHEMEC0020150515eb5m0002h,No,Unsure,,,Unsure,Unsure
7/24/2019 11:46:31,GENT000020150206eb2c0000q,Unsure,Undergoing clinical trials,,,Unsure,Unsure
7/24/2019 11:46:54,DAIM000020150615eb6g0000d ,No,,,,,
7/24/2019 11:47:07,WDAN000020150226eb2q0001v,Yes,Approved by FDA and scheduled to be launched,Avycaz,Forest Laboratories,Yes,No
7/24/2019 11:47:25,ATPHAB0020150514eb5e0005o,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Yes,Yes
7/24/2019 11:47:44,MLFRDDN020151029ebas00007,Yes,Available to consumers (has been launched on the market),"Addyi, flibanserin ",Sprout Pharmaceuticals ,Yes,No
7/24/2019 11:47:45,ATPHAM0020150518eb5d0003g,Yes,Undergoing clinical trials,NEOD001,Prothena,Yes,No
7/24/2019 11:47:46,GLOMCP0020151105ebb500ky4,Yes,Available to consumers (has been launched on the market),"Unituxin injection, Remodulin,Remodulin injection, Tyvaso inhalation solution, Adcirca tablets,  Orenitram Extended-Release ","United Therapeutics Corporation ,DEKA Research & Development Corp",Yes,Yes
7/24/2019 11:48:01,BIWK000020150612eb6h0006s,Yes,Unsure,Oxycodone Hydrochloride,ANI Pharmaceuticals Inc.,Unsure,Yes
7/24/2019 11:48:09,BNZNGA0020150326eb3q0005m,No,,,,,
7/24/2019 11:48:11,JOENG00020150227eb34003c0,Yes,Unsure,Wireless detection of motion,Vertex Pharmaceuticals,Unsure,Unsure
7/24/2019 11:48:11,AIWFIE0020150928eb9s0002w,Yes,Unsure,Elepsia XR ,SPARC,Unsure,Unsure
7/24/2019 11:48:14,PHBW000020150612eb6f00037,Yes,Available to consumers (has been launched on the market),guanfacine,Teva,No,Yes
7/24/2019 11:48:23,RTNW000020150702eb72000ff,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Yes,Unsure
7/24/2019 11:48:26,BWR0000020151019ebaj000g3,Yes,Undergoing clinical trials,"Cotempla XR-ODT,amphetamine XR-ODT,NT-0202,Cotempla XR--ODT,NT--0202",Neos Therapeutics,Unsure,Unsure
7/24/2019 11:48:35,DAIM000020150615eb6g0000d,No,Unsure,,,Unsure,Unsure
7/24/2019 11:48:35,BIOELSE020150930eb9p0000u ,No,,,,,
7/24/2019 11:48:41,ATPHAM0020151215ebce0000h,Yes,Undergoing clinical trials,Pyridorin,NephroGenex,Unsure,Unsure
7/24/2019 11:48:58,GLOMCP0020151103ebb30004l,No,,,,,
7/24/2019 11:49:07,HAMW000020150410eb4h0004r,No,,,,,
7/24/2019 11:49:15,BIWK000020150529eb63000tm,No,,,,,
7/24/2019 11:49:24,BIWK000020150417eb4m000ps,No,,,,,
7/24/2019 11:49:29,OFBOAR0020151005eba1001j6,No,,,,,
7/24/2019 11:49:31,DRGW000020150529eb650005a,Yes,Approved by FDA and scheduled to be launched,HCV NS5B Drug Resistance Assay,Laboratory Corporation of America ,,
7/24/2019 11:49:34,ATPHAM0020150529eb5r000bt,Yes,Approved by FDA and scheduled to be launched,Xifaxan 550 mg,Valeant Pharmaceuticals International,Yes,No
7/24/2019 11:49:36,ATPHAM0020151218ebch00039,No,,,,,
7/24/2019 11:49:48,CTRW000020150612eb6f0005v,No,,,,,
7/24/2019 11:49:49,DJDN000020150305eb35002ui,No,,,,,
7/24/2019 11:49:53,BHLD000020150518eb5d00011,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Yes,No
7/24/2019 11:49:58,BIOELSE020150903eb8s0001l,No,,,,,
7/24/2019 11:50:03,ATTOPN0020150823eb8l00006,Yes,Approved by FDA but not scheduled to be launched,flibanserin,Sprout Pharmaceuticals,Yes,No
7/24/2019 11:50:16,ATPHAB0020151019ebaj00036,No,,,,,
7/24/2019 11:50:27,BWR0000020151019ebaj000g3,Yes,Approved by FDA and scheduled to be launched,XR-ODT,Neos,Yes,No
7/24/2019 11:50:33,NBPPBS0020150410eb4b0020b,No,,,,,
7/24/2019 11:50:45,OBWK000020150522eb5u00024,No,,,,,
7/24/2019 11:50:47,BHLD000020151023eban0003h,Yes,Undergoing clinical trials,,Merrimack,Yes,No
7/24/2019 11:50:53,BWR0000020151019ebaj000g3,Yes,FDA application submission and/or FDA testing,"Cotempla XR-ODT, NT-0202",Neos Therapeutics,Yes,No
7/24/2019 11:50:58,BBPUB00020151112ebbc000ea,No,,,,,
7/24/2019 11:51:02,ATEHEA0020150512eb5c00001,Yes,Approved by FDA and scheduled to be launched,"HF10 therapy, HF10",,No,No
7/24/2019 11:51:03,LBA0000020150702eb7200qb9,Yes,Approved by FDA and scheduled to be launched,Orkambi,Vertex,Yes,No
7/24/2019 11:51:11,RTTNEW0020150630eb6t00043,Unsure,Unsure,N/A,Celgene,Unsure,Unsure
7/24/2019 11:51:12,WDAN000020150226eb2q0001v,Yes,FDA application submission and/or FDA testing,Avycaz,Actavis,Unsure,Unsure
7/24/2019 11:51:29,IDAHOSJ020150503eb530001f,No,,,,,
7/24/2019 11:51:35,RTWK000020150403eb4600007,No,,,,,
7/24/2019 11:51:37,TELWK00020150313eb3i000ec,No,,,,,
7/24/2019 11:51:41,ATPHAM0020150501eb4u0000r,Yes,Approved by FDA but not scheduled to be launched,Protege MRI,St. Jude Medical,Yes,No
7/24/2019 11:51:53,BIOELSE020150930eb9p0000u,Unsure,Unsure,NARCAN ,,Unsure,Unsure
7/24/2019 11:51:53,INDFED0020150805eb850020a,No,,,,,
7/24/2019 11:51:55,ATPHAB0020151019ebaj00036,No,,,,,
7/24/2019 11:51:56,POLGOV0020151008eba800067,No,,,,,
7/24/2019 11:52:14,PIQUADC020150505eb2r000k2,No,,,,,
7/24/2019 11:52:30,CHWKNW0020150410eb4e00050,Yes,Undergoing clinical trials,IFN(alpha)-Kinoid,"Neovacs,Stellar",Yes,No
7/24/2019 11:52:36,NYTFEED020151228ebct00335,No,,,,,
7/24/2019 11:52:37,RTTNEW0020151106ebb5000gp ,No,,,,,
7/24/2019 11:52:45,KUWNA00020151215ebce000b8,Yes,Available to consumers (has been launched on the market),NINLARO,Takeda,Unsure,Unsure
7/24/2019 11:52:45,DJDN000020150430eb4u002md,Yes,Approved by FDA but not scheduled to be launched,"KYBELLA(TM),ATX-101",KYTHERA Biopharmaceuticals,Yes,No
7/24/2019 11:52:51,WDAN000020150828eb8s0001w,Yes,Available to consumers (has been launched on the market),Synjardy,Boehringer Ingelheim,No,Yes
7/24/2019 11:52:57,DJDN000020150702eb72001pv,Yes,Available to consumers (has been launched on the market),HETLIOZ(R),Vanda Pharmaceuticals Inc. ,Yes,No
7/24/2019 11:52:59,LBA0000020150424eb4o00qgt ,No,,,,,
7/24/2019 11:53:08,BIWK000020150612eb6h0006s ,No,Unsure,,,Unsure,Unsure
7/24/2019 11:53:17,DJDN000020150512eb5c001xe,No,,,,,
7/24/2019 11:53:28,INDFED0020150116eb1g001nx ,No,,,,,
7/24/2019 11:53:45,BWR0000020150217eb2h00047,No,Unsure,,,Unsure,Unsure
7/24/2019 11:53:59,CHWKNW0020150410eb4e00050 ,Yes,Undergoing clinical trials,IFN(alpha)-Kinoid ,Neovacs,Yes,No
7/24/2019 11:53:59,HAMW000020150529eb6500135,Yes,Undergoing clinical trials,"OpRegen,OpRegen(R),AST-OPC1,Renevia(TM),Renevia,PanC-Dx,PanC-Dx(TM),AST-VAC2",BioTime,Unsure,Unsure
7/24/2019 11:53:59,FWIR000020151123ebc10000q,No,,,,,
7/24/2019 11:54:02,DEALNEW020150316eb390000a,Yes,Undergoing clinical trials,"Neo-Kidney Augment, Neo-Urinary Conduit",Tengion,Yes,No
7/24/2019 11:54:14,PBRELS0020150209eb2300005,No,,,,,
7/24/2019 11:54:27,HUGNEN0020150914eb9e001xh,Yes,Approved by FDA and scheduled to be launched,evera mri icd,medtronic,Yes,Yes
7/24/2019 11:54:29,MTEU000020150618eb6i000dz,Yes,Approved by FDA and scheduled to be launched,SAPIEN 3 valve,SAPIEN,Yes,No
7/24/2019 11:54:30,DJDN000020150812eb8c001oy,Yes,Undergoing clinical trials,TB4,RegeneRx Biopharmaceuticals Inc,Yes,Yes
7/24/2019 11:54:35,RTTNEW0020151027ebar001ur,Yes,Approved by FDA but not scheduled to be launched,KEYTRUDA,Merck,Yes,No
7/24/2019 11:54:43,CTRW000020150501eb54000m3,Unsure,Undergoing clinical trials,,ImmunoGen Inc.,Yes,No
7/24/2019 11:55:13,APRS000020150916eb9g00and,No,,,,,
7/24/2019 11:55:23,CHWKNW0020150410eb4e00050 ,Yes,Undergoing clinical trials, IFN(alpha)-Kinoid,"Neovacs, Stellar",Yes,No
7/24/2019 11:55:33,INVEN00020151208ebc7000b6,No,,,,,
7/24/2019 11:55:45,DRGW000020150109eb1g0003u,Yes,Unsure,MC4R ,University of Cambridge,Yes,Unsure
7/24/2019 11:55:53,ATPHAB0020151212ebcc0000d,Yes,FDA application submission and/or FDA testing,Reslizumab,Biologics License Application,Yes,No
7/24/2019 11:56:01,BIWK000020150612eb6h0006s ,,,,,,
7/24/2019 11:56:28,AIWINE0020150619eb6k000s1,Yes,FDA application submission and/or FDA testing,a generic version of Copaxone,Natco,Yes,No
7/24/2019 11:56:32,BWR0000020150217eb2h00047 ,,,,,,
7/24/2019 11:56:47,CHPR000020150819eb8b0001n,No,,,,,
7/24/2019 11:56:55,BIOELSE020150407eb3q0000p,No,Unsure,,,Unsure,Unsure
7/24/2019 11:57:19,JOENG00020150313eb3i0002v,Yes,Available to consumers (has been launched on the market),intelliport system,"BD, CRISI",Unsure,Unsure
7/24/2019 11:57:19,MENAFI0020151028ebas0000b,Yes,Undergoing clinical trials,Methylnaltrexone,,No,Yes
7/24/2019 11:57:24,PHBW000020150709eb7900005,Yes,Undergoing clinical trials,VT-464,Innocrin,Unsure,Unsure
7/24/2019 11:57:36,INVDAI0020150317eb3g00002,No,,,,,
7/24/2019 11:57:42,DRGW000020150612eb6j0008h,No,Unsure,,,Unsure,Unsure
7/24/2019 11:57:49,DJDN000020150116eb1g002ak,No,,,,,
7/24/2019 11:57:49,BIWK000020150703eb730008f,No,,,,,
7/24/2019 11:57:52,DJDN000020150108eb18000zc,Yes,Undergoing clinical trials,Plazomicin,Achaogen,Yes,No
7/24/2019 11:58:04,BWR0000020150609eb69000gh,No,,,,,
7/24/2019 11:58:11,BIOELSE020150123eb1g00013,Yes,FDA application submission and/or FDA testing,Durezol,Akorn,No,Yes
7/24/2019 11:58:23,DJDN000020150403eb430019x,No,Unsure,,,Unsure,Unsure
7/24/2019 11:58:23,DJDN000020150728eb7s001k1,Yes,Unsure,,"Merck, cCAM Biotherapeutics",Unsure,Unsure
7/24/2019 11:58:24,CTRW000020150501eb54000m3,Yes,Undergoing clinical trials,Maytansinol,ImmunoGen Inc.,Yes,No
7/24/2019 11:58:57,DJDN000020150105eb15001u2,Yes,Approved by FDA and scheduled to be launched,MarginProb, Dune Medical Devices,Yes,Unsure
7/24/2019 11:58:59,AIWINE0020150619eb6k000s1,Yes,Available to consumers (has been launched on the market),Copaxone,Teva,No,Yes
7/24/2019 11:59:14,RTTNEW0020151030ebat00106,No,,,,,
7/24/2019 11:59:14,SFBJO00020150928eb9s0005l,Yes,FDA application submission and/or FDA testing,ocrelizumab,Genentech,Yes,No
7/24/2019 11:59:18,INVDAI0020150429eb4t0001g,Yes,Undergoing clinical trials,"Januvia,Tecos",Merck,No,Yes
7/24/2019 11:59:21,NBPPBS0020150310eb3a0010p,No,,,,,
7/24/2019 11:59:23,DJDN000020150105eb15001vz,No,,,,,
7/24/2019 11:59:30,SAUDPA0020151014ebad000p2,Yes,Approved by FDA and scheduled to be launched,Xtampza ER,Collegium Pharmaceutical Inc,Unsure,Yes
7/24/2019 11:59:34,ATDOMB0020150522eb5m0005r,No,Unsure,,,Unsure,Unsure
7/24/2019 11:59:48,ATPHAM0020150602eb5t00030,No,,,,,
7/24/2019 11:59:55,RVESEN0020150414eb4e0040j,Yes,Unsure,rVSV-ZEBOV,,No,Unsure
7/24/2019 11:59:58,PRESSA0020150727eb7r003mm,Yes,Undergoing clinical trials,MANTA 18F,"Essential Medical, Inc.",Yes,No
7/24/2019 12:00:05,JORTI00020150921eb9i0008g ,Unsure,Undergoing clinical trials,"Talked w/ Gizem and team about this. Innovation appears to be administration regimen (novel combination of two drugs, but it's unclear if the drugs are new)",,Unsure,Unsure
7/24/2019 12:00:13,AIWINE0020150619eb6k000s1,Yes,FDA application submission and/or FDA testing,,"Novartis, Sandoz, Momenta Pharmaceuticals, Mylan, Natco Pharma",No,Yes
7/24/2019 12:00:27,CTRW000020150109eb1c0000i,Yes,Undergoing clinical trials,,,Yes,No
7/24/2019 12:00:31,DJDN000020150304eb340038c ,Unsure,,,,,
7/24/2019 12:00:38,BIOELSE020150407eb3q0000p ,No,,,,,
7/24/2019 12:00:41,BIOELSE020150522eb5e0000f,Yes,Available to consumers (has been launched on the market),Zorvolex,Iroko Pharmaceuticals,Unsure,Unsure
7/24/2019 12:00:47,BHLD000020150518eb5d00011,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Yes,No
7/24/2019 12:00:48,POSTCOUR20150127eb1r00013,Yes,Undergoing clinical trials,,AstraZeneca PLC ,Unsure,Unsure
7/24/2019 12:00:48,HAMW000020150529eb6500135,,,"OpRegen(R),AST-OPC1,Renevia(TM),PanC-Dx(TM),AST-VAC2",BioTime,Yes,No
7/24/2019 12:00:53,DJDN000020151215ebcf0038v,No,,,,,
7/24/2019 12:01:14,BIWK000020150612eb6h0006s,No,,,,,
7/24/2019 12:01:22,ATPHAM0020150930eb9u000el,No,,,,,
7/24/2019 12:01:28,NBPPBS0020150507eb58001vs,No,Unsure,,,Unsure,Unsure
7/24/2019 12:01:41,SAUDPA0020151014ebad000p2,Yes,Unsure,xtampza ER,collegium pharmaceutical,Unsure,Unsure
7/24/2019 12:01:50,BWR0000020150209eb290004b,Yes,Undergoing clinical trials,LJPC-501,La Jolla,Yes,Unsure
7/24/2019 12:01:52,ATPHAM0020150110eb18000bc,No,,,,,
7/24/2019 12:02:12,RTNSIN0020150731eb7v0003f,,Approved by FDA and scheduled to be launched,Benzonatate ,"Bangalore, Strides ",Yes,Unsure
7/24/2019 12:02:13,DRGW000020150612eb6j0008h ,Unsure,,,,,
7/24/2019 12:02:17,DEALNEW020150316eb390000a,No,,,,,
7/24/2019 12:02:24,BTBW000020150921eb9l0000h,Yes,,REPATHA,"Amgen Inc., Diplomat",Yes,Unsure
7/24/2019 12:02:38,ATPHAM0020151112ebba0005o,Yes,Unsure,PRX302,,Unsure,Unsure
7/24/2019 12:02:44,DJDN000020151218ebci0002z,No,,,,,
7/24/2019 12:03:04,RTTNEW0020151106ebb5000gp,No,,,,,
7/24/2019 12:03:06,DEALNEW020150316eb390000a,No,,,,,
7/24/2019 12:03:07,DJDN000020150528eb5s002th,No,,,,,
7/24/2019 12:03:09,DJDN000020150403eb430019x ,No,,,,,
7/24/2019 12:03:11,DJDN000020150302eb320019u,Yes,FDA application submission and/or FDA testing,EXPAREL,Pacira Pharmaceutical,Yes,Yes
7/24/2019 12:03:18,STLBJO0020150611eb6b0002w,No,,,,,
7/24/2019 12:03:28,FLYWAL0020150925eb9p008c1 ,No,,,,,
7/24/2019 12:03:36,ATPHAM0020151218ebch00039,No,,,,,
7/24/2019 12:03:38,SACBJO0020150923eb9n0005l,No,,,,,
7/24/2019 12:03:41,JOENG00020150313eb3i000k8,Yes,Available to consumers (has been launched on the market),TrueBeam STx System ,"Varian Medical Systems, Inc.",Yes,Unsure
7/24/2019 12:03:45,DJDN000020150311eb3b004c0,Yes,FDA application submission and/or FDA testing,Nuplazid,Acadia,Yes,No
7/24/2019 12:03:46,APRS000020150819eb8j00030,Yes,Approved by FDA and scheduled to be launched,"flibanserin, Addyi ",Sprout Pharmaceuticals ,No,Yes
7/24/2019 12:03:47,CHPR000020150904eb8v0000i,No,,,,,
7/24/2019 12:03:47,OBWK000020150522eb5u000dt,No,,,,,
7/24/2019 12:04:17,PHBW000020150123eb1q0000g ,No,,,,,
7/24/2019 12:04:18,BIWK000020150709eb79000na,No,,,,,
7/24/2019 12:04:30,IUST000020150424eb4o0000h,No,,,,,
7/24/2019 12:04:33,CHPR000020150904eb8v0000i,No,,,,,
7/24/2019 12:04:36,FNWIR00020151117ebbh000b6,No,,,,,
7/24/2019 12:04:40,ATDOMB0020150522eb5m0005r,No,,,,,
7/24/2019 12:04:51,PRGRSS0020150725eb7p0001h,No,,,,,
7/24/2019 12:05:21,INVDAI0020150317eb3g00002,No,,,,,
7/24/2019 12:05:25,PRESSA0020151008eba8003uy,Yes,,MCNA,Telesta Therapeutics,Yes,No
7/24/2019 12:05:35,CTRW000020150424eb4r000ga,No,,,,,
7/24/2019 12:05:54,DNVR000020151227ebco0000d,No,,,,,
7/24/2019 12:06:04,J000000020150808eb8800015,No,,,,,
7/24/2019 12:06:16,HAMW000020150109eb1g004bm,,,ETC-1002,,Yes,No
7/24/2019 12:06:27,RTTNEW0020150709eb79001b9,Yes,FDA application submission and/or FDA testing,"UCART19, Lexmark NilRead","Cellectis and Servier, Lexmark",Yes,Unsure
7/24/2019 12:06:32,BHLD000020150518eb5d00011,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Yes,No
7/24/2019 12:06:51,SFBJO00020150408eb4700001,Yes,FDA application submission and/or FDA testing,F/TAF,Gilead ,Yes,Unsure
7/24/2019 12:06:54,BIOELSE020150831eb8o0000e,Yes,Undergoing clinical trials,Tazemetostat,Epizyme,Unsure,Unsure
7/24/2019 12:06:55,ATPHAM0020151008eba800090 ,No,,,,,
7/24/2019 12:07:11,NBPPBS0020150417eb4h000rz ,No,,,,,
7/24/2019 12:07:13,NBPPBS0020150507eb58001vs ,No,,,,,
7/24/2019 12:07:36,LBA0000020150722eb7m00eyx,Unsure,Unsure,"Appears to be a stock report on multiple companies, so it's not clear what to focus on in the ""article""",,Unsure,Unsure
7/24/2019 12:08:52,ATPHAM0020151112ebba0005o,Yes,Unsure,PRX302,,Unsure,Unsure
7/24/2019 12:09:04,JOENG00020151102ebb2001ss,,FDA application submission and/or FDA testing,,Embrechts,Yes,No
7/24/2019 12:09:04, NJDE000020150819eb8j00037,Yes,Approved by FDA and scheduled to be launched,"Addyi, Viagra, Flibanserin",,Yes,Yes
7/24/2019 12:09:19,BIWK000020150116eb1l000go,No,,,Varian Medical Systems,,
7/24/2019 12:09:22,MSP0000020150924eb9k00015,No,,,,,
7/24/2019 12:09:23,LFSW000020151020ebak001dv,No,Unsure,,Genentech Inc.,,
7/24/2019 12:09:29,BIWK000020150619eb6o000wo,Yes,Unsure,??,??,Yes,No
7/24/2019 12:09:29, MANAVG0020150910eb9a0003b,No,,,,,
7/24/2019 12:09:39,PBRELS0020150615eb680000k,No,,,,,
7/24/2019 12:10:43,HAMW000020150410eb4h0004r,No,,,,,
7/24/2019 12:11:05,PHBW000020151102ebb200089,Yes,Undergoing clinical trials,lifitegrast ,"Ophthalmics, Foresight Biotherapeutics, SARcode Bioscience, Premacure AB, BIKAM Pharmaceuticals",Yes,No
7/24/2019 12:11:25,CTRW000020150619eb6m000g9,Yes,Undergoing clinical trials,Quantitative Lung Ultrasound Comet Measurement,Weill Cornell Medical College,Yes,No
7/24/2019 12:11:37,BWR0000020150730eb7u000b3,Yes,Available to consumers (has been launched on the market),Quell Health Cloud,NeuroMetrix,Unsure,Unsure
7/24/2019 12:11:53,ATPHAM0020151030ebat0006f,No,,,,,
7/24/2019 12:12:35,DJDN000020150702eb72001pv,Yes,Approved by FDA but not scheduled to be launched,HETLIOZ,Vanda Pharmaceuticals Inc.,Yes,No
7/24/2019 12:12:37,OBWK000020151030ebau0005h,No,,,,,
7/24/2019 12:14:01,HNFRDSNT20150502eb35000qq ,Yes,Available to consumers (has been launched on the market),Contrave,,Yes,No
7/24/2019 12:14:43,BWR0000020150227eb2r0000g,,FDA application submission and/or FDA testing,,"Avedro, Inc.",Yes,No
7/24/2019 12:14:47,BIWK000020151216ebcg0004y,Yes,FDA application submission and/or FDA testing,HuMab 5B1,MabVax,Yes,Unsure
7/24/2019 12:14:53,DJDN000020151209ebc9002np,No,,,,,
7/24/2019 12:14:55,DRGW000020150206eb2d0000g,No,,,,,
7/24/2019 12:15:04,ATPHAM0020150807eb850002u,No,,,,,
7/24/2019 12:15:58,SAUDPA0020150604eb63000e1,No,,,,,
7/24/2019 12:17:05,DJDN000020150507eb57001nu,No,,,,,
7/24/2019 12:17:48,DJDN000020151228ebcs00258,No,,,,,
7/24/2019 12:18:34,LBA0000020150720eb7k00jll,Yes,FDA application submission and/or FDA testing,cabozantinib,EXELIXIS INC,Yes,No
7/24/2019 12:19:11,DJDN000020150305eb35002ui,No,,,,,
7/24/2019 12:19:29,ATPHAM0020151120ebbj000ec,No,,,,,
7/24/2019 12:20:23,DJDN000020151012ebac0001t,No,,,,,
7/24/2019 12:21:05,MTEU000020151001eb9u0002t,Yes,Undergoing clinical trials,Tack Endovascular System,Intact Vascular,Yes,No
7/24/2019 12:21:13,MDST000020150213eb2m000us,No,,,,,
7/24/2019 12:23:36,ATPHAM0020150602eb5t0008f,Yes,Approved by FDA and scheduled to be launched,Quell,Quell Relief,Unsure,Unsure
7/24/2019 12:24:19,INDFED0020150114eb1d002gf,No,,,,,
7/24/2019 12:59:55,JOENG00020150612eb6h00039,No,,,,,
7/24/2019 13:01:26,JOENG00020150612eb6h00039,No,,,,,
7/24/2019 13:02:11,JOENG00020150612eb6h00039,No,,,,,
7/24/2019 13:03:52,JOENG00020150612eb6h00039,No,,,,,
7/24/2019 13:04:15,JOENG00020150612eb6h00039,No,,,,,
7/24/2019 13:06:04,JOENG00020150612eb6h00039,Yes,Approved by FDA and scheduled to be launched,Xeomin,,Yes,Unsure
7/24/2019 13:06:59,BWR0000020150720eb7k00096,No,,,,,
7/24/2019 13:08:06,DJDN000020150108eb18000zc,Yes,FDA application submission and/or FDA testing,Plazomicin,Achaogen,Yes,Yes
7/24/2019 13:09:45,J000000020150617eb6h00033,No,,,,,
7/24/2019 13:12:13,CLADV00020150605eb6100003,Yes,Undergoing clinical trials,enalapril,,Yes,Unsure
7/24/2019 13:13:05,LFSW000020151020ebak001dv,No,,,,,
7/24/2019 13:42:07,DJDN000020150511eb5b004nh,No,Available to consumers (has been launched on the market),,,No,No
7/24/2019 13:42:45,ATPHAM0020150831eb8u000bn,No,,,,,
7/24/2019 13:44:40,RAUNEW0020150406eb4300003,Yes,Undergoing clinical trials,SpaceOAR ,Augmenix ,Unsure,Unsure
7/24/2019 13:46:29,UWIR000020150417eb4g000f1,No,,,,,
7/24/2019 13:51:48,HAMW000020150529eb6500135,Yes,Undergoing clinical trials,"OpRegen(R), AST-OPC1, Renevia(TM), PanC-Dx(TM) cancer diagnostics, AST-VAC2","BioTime Inc., Asterias Biotherapeutics Inc., Cell Cure Neurosciences Ltd., OncoCyte Corporation, LifeMap Sciences Inc., LifeMap Solutions Inc., ES Cell International Pte Ltd, OrthoCyte Corporation, ReCyte Therapeutics Inc.",Yes,Yes
7/24/2019 13:52:20,NBPPBS0020151020ebak0020h,No,,,,,
7/24/2019 13:54:07,HAMW000020150130eb26001ab,Yes,Undergoing clinical trials,"ThermoDox (R), ",Celsion ,Yes,Yes
7/24/2019 13:54:19,DJDN000020150116eb1g002ak,No,,,,,
7/24/2019 13:56:48,ATPHAB0020151212ebcc0000d,Yes,Approved by FDA and scheduled to be launched,reslizumab BLA,,Yes,Yes
7/24/2019 13:57:47,DJDN000020150105eb15001mn,No,,,,,
7/24/2019 13:58:11,APRS000020150401eb41008qa,No,,,,,
7/24/2019 13:59:49,DJDN000020151119ebbj003f3,Yes,FDA application submission and/or FDA testing,drisapersen ,BioMarin,No,Yes
7/24/2019 14:00:23,MSP0000020150924eb9k00015,No,,,,,
7/24/2019 14:02:29,DJDN000020150302eb320019u,Yes,FDA application submission and/or FDA testing,"EXPAREL(R), bupivacaine liposome injectable suspension",Pacira Pharmaceuticals Inc.,Yes,Unsure
7/24/2019 14:13:18,ATPHAM0020150206eb24000eq,No,,,,,
7/24/2019 14:14:44,DRIDY00020150520eb5k00006,No,,,,,
7/24/2019 14:15:23,INDFED0020150805eb850020a,No,,,,,
7/24/2019 14:19:03,DJDN000020151001eba1002ac,Yes,FDA application submission and/or FDA testing,Yervoy-Opdivo combination,Bristol-Myers ,Yes,No
7/24/2019 14:23:26,ENPNEW0020150130eb1u00044,Yes,Approved by FDA and scheduled to be launched,IMBRUVICA ,Janssen and Pharmacyclics Inc,Yes,Yes
7/24/2019 14:26:12,DJDN000020150403eb430019x,No,,,,,
7/25/2019 13:35:04,PHBW000020150716eb7g0000t,Yes,Undergoing clinical trials,Moxduo,QRx Pharma,Unsure,Unsure
7/25/2019 13:37:25,DRIDY00020150623eb6n00002,Yes,Approved by FDA and scheduled to be launched,Fycompa,Eisai,No,Yes
7/25/2019 13:44:33,BWR0000020150209eb290004b,Yes,Undergoing clinical trials,LJPC-501,La Jolla Pharmaceutical Company,Yes,No
7/25/2019 13:42:51,ATPHAM0020150515eb5e0007f,No,,,,,
7/25/2019 13:45:10,BIWK000020150612eb6h0006s,No,,,,,
7/25/2019 13:45:58,BIOELSE020150930eb9p0000u,No,,,,,
7/25/2019 14:03:47,RVESEN0020150414eb4e0040j ,Yes,Undergoing clinical trials,rVSV-ZEBOV vaccine,,Yes,No
7/25/2019 14:04:59,BTBW000020150921eb9l0000h,No,,,,,
7/25/2019 14:05:07,ATPHAM0020151008eba800090 ,No,,,,,
7/25/2019 14:05:25,NBPPBS0020150417eb4h000rz,No,,,,,
7/25/2019 14:06:37,STLBJO0020150611eb6b0002w,Yes,Undergoing clinical trials,Brain Computer Interface (BCI),NeuroLutions,Unsure,Unsure
7/25/2019 14:06:22,MANAVG0020150910eb9a0003b ,No,Approved by FDA and scheduled to be launched,,,,
7/25/2019 14:06:42,ATPHAM0020150602eb5t0008f ,No,,,,,
7/25/2019 14:07:25,ELECWK0020150320eb3p000rf ,No,,,,,
7/25/2019 14:07:49, LFSW000020150313eb3h001e3,No,,,,,
7/25/2019 14:08:11,BIOELSE020151117ebb90001r,No,,,,,
7/25/2019 14:08:53,,Yes,Undergoing clinical trials,F/TAF,Gilead,Yes,Yes
7/25/2019 14:08:55,IFDAW00020151023eban00009,No,,,,,
7/25/2019 14:10:13,CHIMOG0020151019eba90000b ,No,,,,,
7/25/2019 14:11:55,IHPDB00020151102ebb200006,Unsure,Approved by FDA but not scheduled to be launched,Exparel,,Unsure,Unsure
7/25/2019 14:12:16,BIOELSE020150916eb9900019 ,No,,,,,
7/25/2019 14:12:24,BIWK000020151216ebcg0004y,Yes,Undergoing clinical trials,HuMab 5B1,MabVax Therapeutics Holdings Inc,Yes,Yes
7/25/2019 14:13:24,ATPHAB0020150317eb3h0002t ,Yes,Approved by FDA but not scheduled to be launched,Watchman LAAC Device,Boston Scientific,Unsure,Unsure
