"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"557","12505 14TH ST NE, SHARON, ND, 58277","""12505"" 14TH ST NE, SHARON, ND, 58277",NA,NA,NA,NA,NA
"558","14771 62ND ST NE, GRAFTON, ND, 58237","""14771"" 62ND ST NE, GRAFTON, ND, 58237",NA,NA,NA,"14771 62nd St NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 5823714771 62nd St NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"559","314 HEROM ST, MINTO, ND, 58261","""314"" HEROM ST, MINTO, ND, 58261",NA,NA,NA,"314 Herom St, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 58261314 Herom St, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"560","313 HEROM ST, MINTO, ND, 58261","""313"" HEROM ST, MINTO, ND, 58261","3","1.5","2940","313 Herom St, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 58261313 Herom St, Minto, ND 58261 is currently not for sale. The 2940 Square Feet single family home is a 3 beds, 1.5 baths property.","zillow"
"561","14843 COUNTY ROAD 15, MINTO, ND, 58261","""14843"" COUNTY ROAD 15, MINTO, ND, 58261",NA,NA,NA,"14843 County Road 15, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 5826114843 County Road 15, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"562","14734 62ND ST NE, GRAFTON, ND, 58237","""14734"" 62ND ST NE, GRAFTON, ND, 58237","3","2","2688","14734 62nd St NE, Grafton, ND 58237 - Realtor.comwww.realtor.com › ... › Walsh County › Grafton › 62nd StView 31 photos for 14734 62nd St NE, Grafton, ND 58237, a 3 bed, 2 bath, 2688 Sq. Ft. single family home built in 1978 that was last sold on 09/06/2006.","realtor"
"563","14744 62ND ST NE, GRAFTON, ND, 58237","""14744"" 62ND ST NE, GRAFTON, ND, 58237",NA,NA,NA,"14744 62nd St NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 5823714744 62nd St NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"564","311 HEROM ST, MINTO, ND, 58261","""311"" HEROM ST, MINTO, ND, 58261",NA,NA,NA,"311 Herom St, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 58261311 Herom St, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"565","6060 147TH AVE NE, MINTO, ND, 58261","""6060"" 147TH AVE NE, MINTO, ND, 58261",NA,NA,NA,"6060 147th Ave NE, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 582616060 147th Ave NE, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"566","14644 COUNTY ROAD 15, VOSS, ND, 58261","""14644"" COUNTY ROAD 15, VOSS, ND, 58261","3","2","3360","14644 County Road 15, Voss, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Voss › 5826114644 County Road 15, Voss, ND 58261 is currently not for sale. The 3360 Square Feet single family home is a 3 beds, 2 baths property.","zillow"
"567","6077 150TH AVE NE, MINTO, ND, 58261","""6077"" 150TH AVE NE, MINTO, ND, 58261",NA,NA,NA,"6077 150th Ave NE, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 582616077 150th Ave NE, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"568","6075 150TH AVE NE, MINTO, ND, 58261","""6075"" 150TH AVE NE, MINTO, ND, 58261",NA,NA,NA,"Find Real Estate Teams in Minto, ND | realtor.com®www.realtor.com › find RealtorsAre you looking for real estate teams in Minto, ND? ... 6075 150th Ave NE Minto 58261 ND · 14457 County Road 15 Minto 58261 ND · 229 Wilson Ave Minto 58261 ...","realtor"
"569","6051 148TH AVE NE, MINTO, ND, 58261","""6051"" 148TH AVE NE, MINTO, ND, 58261",NA,NA,NA,"6051 148th Ave NE, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 582616051 148th Ave NE, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"570","1173 143RD AVE NE, HATTON, ND, 58240","""1173"" 143RD AVE NE, HATTON, ND, 58240",NA,NA,NA,"1173 143rd Ave NE, Hatton, ND 58240 | Zillowwww.zillow.com › ... › Steele County › Hatton › 582401173 143rd Ave NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"571","8158 159TH AVE NE, DRAYTON, ND, 58225","""8158"" 159TH AVE NE, DRAYTON, ND, 58225",NA,NA,NA,"8158 159th Ave NE, Drayton, ND 58225 | Zillowwww.zillow.com › ... › Pembina County › Drayton8158 159th Ave NE, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"572","1104 142ND AVE NE, HATTON, ND, 58240","""1104"" 142ND AVE NE, HATTON, ND, 58240",NA,NA,NA,"1104 142nd Ave NE, Hatton, ND 58240 - Zillowwww.zillow.com › ... › Steele County › Northwood › 582401104 142nd Ave NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"573","14121 11TH ST NE, HATTON, ND, 58240","""14121"" 11TH ST NE, HATTON, ND, 58240",NA,NA,NA,"14121 11th St NE, Hatton, ND 58240 | Zillowwww.zillow.com › ... › North Dakota › Traill County › Hatton14121 11th St NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"574","14048 12TH ST NE, HATTON, ND, 58240","""14048"" 12TH ST NE, HATTON, ND, 58240",NA,NA,NA,"14048 12th St NE, Hatton, ND 58240 | realtor.com®www.realtor.com › North Dakota › SteeleView detailed information about property 14048 12th St NE, Hatton, ND 58240 including listing details, property photos, school and neighborhood data, ...","realtor"
"575","1043 141ST AVE NE, HATTON, ND, 58240","""1043"" 141ST AVE NE, HATTON, ND, 58240",NA,NA,NA,"1043 141st Ave NE, Hatton, ND 58240 - Zillowwww.zillow.com › ... › Steele County › Hatton › 582401043 141st Ave NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"576","1159 140TH AVE NE, HATTON, ND, 58240","""1159"" 140TH AVE NE, HATTON, ND, 58240",NA,NA,NA,"1159 140th Ave NE, Hatton, ND 58240 | Zillowwww.zillow.com › ... › Steele County › Hatton › 582401159 140th Ave NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"577","14097 11TH ST NE, HATTON, ND, 58240","""14097"" 11TH ST NE, HATTON, ND, 58240",NA,NA,NA,"14097 11th St NE, Hatton, ND 58240 - Zillowwww.zillow.com › ... › Steele County › Hatton › 5824014097 11th St NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"578","15951 HIGHWAY 66, DRAYTON, ND, 58225","""15951"" HIGHWAY 66, DRAYTON, ND, 58225","3","2","3472","15951 Highway 66, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Pembina County › Drayton › 5822515951 Highway 66, Drayton, ND 58225 is currently not for sale. The 3472 Square Feet single family home is a 3 beds, 2 baths property.","zillow"
"579","13850 COUNTY ROAD 19, FOREST RIVER, ND, 58233","""13850"" COUNTY ROAD 19, FOREST RIVER, ND, 58233",NA,NA,NA,"13850 County Road 19, Forest River, ND 58233 | Zillowwww.zillow.com › ... › Walsh County › Inkster › 5823313850 County Road 19, Forest River, ND 58233 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"580","140 COUNTY ROAD 12A, PISEK, ND, 58273","""140"" COUNTY ROAD 12A, PISEK, ND, 58273",NA,NA,NA,"140 County Road 12a, Pisek, ND 58273 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 58273140 County Road 12a, Pisek, ND 58273 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"581","15921 HIGHWAY 66, DRAYTON, ND, 58225","""15921"" HIGHWAY 66, DRAYTON, ND, 58225",NA,NA,NA,"15921 Highway 66, Drayton, ND 58225 | Zillowwww.zillow.com › ... › Pembina County › Drayton › 5822515921 Highway 66, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"582","6215 HIGHWAY 18, PISEK, ND, 58273","""6215"" HIGHWAY 18, PISEK, ND, 58273","0","0",NA,"6215 Highway 18, Pisek, ND 58273 | realtor.com®www.realtor.com › ... › Walsh County › Pisek › Highway 186215 Highway 18, a single family home located in Pisek, ND has 0 beds, 0 baths. It was last sold in 2009.","realtor"
"583","13809 61ST ST NE, PISEK, ND, 58273","""13809"" 61ST ST NE, PISEK, ND, 58273","1","1",NA,"13809 61st St NE, Pisek, ND 58273 | Zillowwww.zillow.com › For Sale › North Dakota › Walsh County13809 61st St NE, Pisek, ND 58273 is currently not for sale. The -- sqft single family home is a 1 bed, 1 bath property. This home was built in null and ...","zillow"
"584","13935 63RD ST NE, PISEK, ND, 58273","""13935"" 63RD ST NE, PISEK, ND, 58273",NA,NA,NA,"13935 63rd St NE, Pisek, ND 58273 - Zillowwww.zillow.com › ... › Walsh County › Pisek › 5827313935 63rd St NE, Pisek, ND 58273 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"585","15949 79TH ST NE, DRAYTON, ND, 58225","""15949"" 79TH ST NE, DRAYTON, ND, 58225",NA,NA,NA,"15949 79th St NE, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Pembina County › Drayton › 5822515949 79th St NE, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"586","7071 142ND AVE NE, GRAFTON, ND, 58237","""7071"" 142ND AVE NE, GRAFTON, ND, 58237",NA,NA,NA,NA,NA
"587","7012 142ND AVE NE, GRAFTON, ND, 58237","""7012"" 142ND AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"7012 142nd Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582377012 142nd Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"588","6988 142ND AVE NE, GRAFTON, ND, 58237","""6988"" 142ND AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6988 142nd Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376988 142nd Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"589","6933 141ST AVE NE, GRAFTON, ND, 58237","""6933"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6933 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376933 141st Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"590","7192 HIGHWAY 18, HOOPLE, ND, 58243","""7192"" HIGHWAY 18, HOOPLE, ND, 58243",NA,NA,NA,"7192 Highway 18, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437192 Highway 18, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"591","13745 69TH ST NE, PARK RIVER, ND, 58270","""13745"" 69TH ST NE, PARK RIVER, ND, 58270",NA,NA,NA,NA,NA
"592","13989 COUNTY ROAD 11, PARK RIVER, ND, 58270","""13989"" COUNTY ROAD 11, PARK RIVER, ND, 58270",NA,NA,NA,"13989 County Road 11, Park River, ND 58270 | Zillowwww.zillow.com › ... › Walsh County › Hoople › 5827013989 County Road 11, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"593","6937 141ST AVE NE, GRAFTON, ND, 58237","""6937"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6937 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376937 141st Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"594","6939 141ST AVE NE, GRAFTON, ND, 58237","""6939"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6939 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376939 141st Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"595","6951 139TH AVE NE, PARK RIVER, ND, 58270","""6951"" 139TH AVE NE, PARK RIVER, ND, 58270",NA,NA,NA,NA,NA
"596","978 140TH AVE NE, PORTLAND, ND, 58274","""978"" 140TH AVE NE, PORTLAND, ND, 58274",NA,NA,NA,NA,NA
"597","6938 141ST AVE NE, GRAFTON, ND, 58237","""6938"" 141ST AVE NE, GRAFTON, ND, 58237","4","2","1900","6938 141st Ave NE, Park River, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376938 141st Ave NE, Park River, ND 58237 is currently not for sale. The 1900 Square Feet single family home is a 4 beds, 2 baths property.","zillow"
"598","6957 141ST AVE NE, GRAFTON, ND, 58237","""6957"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6957 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376957 141st Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"599","6929 141ST AVE NE, GRAFTON, ND, 58237","""6929"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,NA,NA
"600","6925 HIGHWAY 18, PARK RIVER, ND, 58270","""6925"" HIGHWAY 18, PARK RIVER, ND, 58270",NA,NA,NA,"6925 Highway 18, Park River, ND 58270 | realtor.com®www.realtor.com › ... › Park River › Highway 18See 6925 Highway 18, Park River, ND 58270, a single family home. View property details, similar homes, and the nearby school and neighborhood information. Use ...","realtor"
"601","13859 69TH ST NE, PARK RIVER, ND, 58270","""13859"" 69TH ST NE, PARK RIVER, ND, 58270",NA,NA,NA,NA,NA
"602","6897 HIGHWAY 18, PARK RIVER, ND, 58270","""6897"" HIGHWAY 18, PARK RIVER, ND, 58270",NA,NA,NA,"6897 Highway 18, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582706897 Highway 18, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"603","6895 141ST AVE NE, GRAFTON, ND, 58237","""6895"" 141ST AVE NE, GRAFTON, ND, 58237","3","2","1761","6895 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376895 141st Ave NE, Grafton, ND 58237 is currently not for sale. The 1761 Square Feet single family home is a 3 beds, 2 baths property.","zillow"
"604","6866 HIGHWAY 18, PARK RIVER, ND, 58270","""6866"" HIGHWAY 18, PARK RIVER, ND, 58270",NA,NA,NA,"6866 Highway 18, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582706866 Highway 18, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"605","6856 HIGHWAY 18, PARK RIVER, ND, 58270","""6856"" HIGHWAY 18, PARK RIVER, ND, 58270",NA,NA,NA,"6856 Highway 18, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582706856 Highway 18, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"606","6936 138TH AVE NE, PARK RIVER, ND, 58270","""6936"" 138TH AVE NE, PARK RIVER, ND, 58270",NA,NA,NA,"6936 138th Ave NE, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Park River › 582706936 138th Ave NE, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"607","13829 69TH ST NE, PARK RIVER, ND, 58270","""13829"" 69TH ST NE, PARK RIVER, ND, 58270",NA,NA,NA,"13829 69th St NE, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Park River › 5827013829 69th St NE, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"608","6894 138TH AVE NE, PARK RIVER, ND, 58270","""6894"" 138TH AVE NE, PARK RIVER, ND, 58270","3","3","3870","6894 138th Ave NE, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Park River › 582706894 138th Ave NE, Park River, ND 58270 is currently not for sale. The 3870 Square Feet single family home is a 3 beds, 3 baths property.","zillow"
"609","6823 141ST AVE NE, GRAFTON, ND, 58237","""6823"" 141ST AVE NE, GRAFTON, ND, 58237",NA,NA,NA,"6823 141st Ave NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Grafton › 582376823 141st Ave NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"610","502 HILLTOP DR, PARK RIVER, ND, 58270","""502"" HILLTOP DR, PARK RIVER, ND, 58270",NA,NA,NA,"502 Hilltop Dr, Park River, ND 58270 - Zillowwww.zillow.com › ... › Walsh County › Park River › 58270502 Hilltop Dr, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"611","13817 66TH ST NE, PARK RIVER, ND, 58270","""13817"" 66TH ST NE, PARK RIVER, ND, 58270",NA,NA,NA,NA,NA
"612","14349 77TH ST NE, HOOPLE, ND, 58243","""14349"" 77TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"14349 77th St NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824314349 77th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"613","6740 138TH AVE NE, PARK RIVER, ND, 58270","""6740"" 138TH AVE NE, PARK RIVER, ND, 58270",NA,NA,NA,"6740 138th Ave NE, Park River, ND 58270 | Zillowwww.zillow.com › ... › Walsh County › Park River › 582706740 138th Ave NE, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"614","7575 139TH AVE NE, HOOPLE, ND, 58243","""7575"" 139TH AVE NE, HOOPLE, ND, 58243",NA,NA,NA,"7575 139th Ave NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437575 139th Ave NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"615","7603 HWY, HOOPLE, ND, 58243","""7603"" HWY, HOOPLE, ND, 58243",NA,NA,NA,"7603 Highway, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437603 Highway, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"616","13971 COUNTY ROAD 1A, HOOPLE, ND, 58243","""13971"" COUNTY ROAD 1A, HOOPLE, ND, 58243",NA,NA,NA,"13971 County Road 1a, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313971 County Road 1a, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"617","7751 139TH AVE NE, HOOPLE, ND, 58243","""7751"" 139TH AVE NE, HOOPLE, ND, 58243",NA,NA,NA,"7751 139th Ave NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437751 139th Ave NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"618","13867 76TH ST NE, HOOPLE, ND, 58243","""13867"" 76TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"13867 76th St NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313867 76th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"619","13867 76TH ST NE, HOOPLE, ND, 58243","""13867"" 76TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"13867 76th St NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313867 76th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"620","7744 HIGHWAY 18, HOOPLE, ND, 58243","""7744"" HIGHWAY 18, HOOPLE, ND, 58243",NA,NA,NA,"7744 Highway 18, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437744 Highway 18, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"621","13979 COUNTY ROAD 1A, HOOPLE, ND, 58243","""13979"" COUNTY ROAD 1A, HOOPLE, ND, 58243",NA,NA,NA,"13979 County Road 1a, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313979 County Road 1a, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"622","14331 76TH ST NE, HOOPLE, ND, 58243","""14331"" 76TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"14331 76th St NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824314331 76th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"623","7658 142ND DR NE, HOOPLE, ND, 58243","""7658"" 142ND DR NE, HOOPLE, ND, 58243","4","4","2900","7658 142nd Dr NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437658 142nd Dr NE, Hoople, ND 58243 is currently not for sale. The 2900 Square Feet single family home is a 4 beds, 4 baths property.","zillow"
"624","14379 76TH ST NE, GRAFTON, ND, 58237","""14379"" 76TH ST NE, GRAFTON, ND, 58237",NA,NA,NA,"14379 76th St NE, Grafton, ND 58237 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5823714379 76th St NE, Grafton, ND 58237 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"625","7658 142ND DR NE, HOOPLE, ND, 58243","""7658"" 142ND DR NE, HOOPLE, ND, 58243","4","4","2900","7658 142nd Dr NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437658 142nd Dr NE, Hoople, ND 58243 is currently not for sale. The 2900 Square Feet single family home is a 4 beds, 4 baths property.","zillow"
"626","7650 142ND DR NE, HOOPLE, ND, 58243","""7650"" 142ND DR NE, HOOPLE, ND, 58243",NA,NA,NA,"7650 142nd Dr NE, Hoople, ND 58243 | Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437650 142nd Dr NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"627","7575 139TH AVE NE, HOOPLE, ND, 58243","""7575"" 139TH AVE NE, HOOPLE, ND, 58243",NA,NA,NA,"7575 139th Ave NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437575 139th Ave NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"628","13874 COUNTY ROAD 9, HOOPLE, ND, 58243","""13874"" COUNTY ROAD 9, HOOPLE, ND, 58243","4","2",NA,"13874 County Road 9, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313874 County Road 9, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a 4 beds, 2 baths property. This home was built in 1968 ...","zillow"
"629","7537 142ND AVE NE, HOOPLE, ND, 58243","""7537"" 142ND AVE NE, HOOPLE, ND, 58243",NA,NA,NA,"7537 142nd Ave NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437537 142nd Ave NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"630","14143 75TH ST NE, HOOPLE, ND, 58243","""14143"" 75TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"14143 75th St NE, Hoople, ND 58243 | Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824314143 75th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"631","7408 HIGHWAY 18, HOOPLE, ND, 58243","""7408"" HIGHWAY 18, HOOPLE, ND, 58243",NA,NA,NA,"7408 Highway 18, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437408 Highway 18, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"632","14207 74TH ST NE, HOOPLE, ND, 58243","""14207"" 74TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,"14207 74th St NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824314207 74th St NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"633","7352 HIGHWAY 18, HOOPLE, ND, 58243","""7352"" HIGHWAY 18, HOOPLE, ND, 58243",NA,NA,NA,"7352 Highway 18, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437352 Highway 18, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"634","14036 74TH ST NE, HOOPLE, ND, 58243","""14036"" 74TH ST NE, HOOPLE, ND, 58243",NA,NA,NA,NA,NA
"635","939 140TH AVE NE, PORTLAND, ND, 58274","""939"" 140TH AVE NE, PORTLAND, ND, 58274",NA,NA,NA,"939 140th Ave NE, Portland, ND 58274 - Zillowwww.zillow.com › ... › Steele County › Portland › 58274939 140th Ave NE, Portland, ND 58274 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"636","14097 8TH ST NE, PORTLAND, ND, 58274","""14097"" 8TH ST NE, PORTLAND, ND, 58274",NA,NA,NA,NA,NA
"637","7313 139TH AVE NE, HOOPLE, ND, 58243","""7313"" 139TH AVE NE, HOOPLE, ND, 58243",NA,NA,NA,"7313 139th Ave NE, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 582437313 139th Ave NE, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"638","776 142ND AVE NE, PORTLAND, ND, 58274","""776"" 142ND AVE NE, PORTLAND, ND, 58274",NA,NA,NA,"776 142nd Ave NE, Portland, ND 58274 | Zillowwww.zillow.com › ... › Steele County › Portland › 58274776 142nd Ave NE, Portland, ND 58274 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"639","13971 COUNTY ROAD 1, HOOPLE, ND, 58243","""13971"" COUNTY ROAD 1, HOOPLE, ND, 58243",NA,NA,NA,"13971 County Road 1a, Hoople, ND 58243 - Zillowwww.zillow.com › ... › Walsh County › Hoople › 5824313971 County Road 1a, Hoople, ND 58243 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
