"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"656","551 20TH ST NE, THOMPSON, ND, 58278","""551"" 20TH ST NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/551-20th-St-NE...551 20th St NE, Thompson, ND 58278 | ZillowWeb551 20th St NE , Thompson, ND 58278-9388 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 551 20th St NE, Thompson, 58278, ND","zillow"
"657","551 20TH ST NE, THOMPSON, ND, 58278","""551"" 20TH ST NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/551-20th-St-NE...551 20th St NE, Thompson, ND 58278 | ZillowWeb551 20th St NE , Thompson, ND 58278-9388 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 551 20th St NE, Thompson, 58278, ND","zillow"
"658","550 27TH ST NE, NORTHWOOD, ND, 58267","""550"" 27TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 550-27th-St-NE...550 27th St NE, Northwood, ND 58267 | ZillowWebBeautiful 11.9 acre hobby farm, located just 25 miles SW of Grand Forks. Seller has completed many recent updates to include windows, propane forced air, heating system, …","zillow"
"659","556 26TH ST NE, NORTHWOOD, ND, 58267","""556"" 26TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/556-26th-St-NE...556 26th St NE, Northwood, ND 58267 | ZillowWeb556 26th St NE, Northwood, ND 58267 | Zillow By Agent By Owner New Construction Coming Soon Coming Soon listings are homes that will soon be on the market. The listing agent for these homes has added a …","zillow"
"660","560 41ST ST NE, NORTHWOOD, ND, 58267","""560"" 41ST ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com › homedetails › 560-41st-St-NE...560 41st St NE, Northwood, ND 58267 | ZillowWeb560 41st St NE , Northwood, ND 58267-9543 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"661","551 35TH ST NE, NORTHWOOD, ND, 58267","""551"" 35TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/551-35th-St-NE...551 35th St NE, Northwood, ND 58267 | ZillowWeb551 35th St NE , Northwood, ND 58267 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"662","2651 6TH AVE NE, NORTHWOOD, ND, 58267","""2651"" 6TH AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2651-6th-Ave-NE...2651 6th Ave NE, Northwood, ND 58267 | ZillowWeb2651 6th Ave NE , Northwood, ND 58267-9718 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"663","3017 6TH AVE NE, NORTHWOOD, ND, 58267","""3017"" 6TH AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3017-6th-Ave-NE...3017 6th Ave NE, Northwood, ND 58267 | ZillowWeb3017 6th Ave NE , Northwood, ND 58267-9712 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 628 31st St NE, Pleasant lake, 58267, ND","zillow"
"664","2395 6TH AVE NE, NORTHWOOD, ND, 58267","""2395"" 6TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2395-6th-Ave-NE...2395 6th Ave NE, Union, ND 58267 | ZillowWeb2395 6th Ave NE, Union, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"665","595 25TH ST NE, NORTHWOOD, ND, 58267","""595"" 25TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/595-25th-St-NE...595 25th St NE, Northwood, ND 58267 Web595 25th St NE , Northwood, ND 58267-9727 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"666","3582 6TH AVE NE, NORTHWOOD, ND, 58267","""3582"" 6TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,NA,NA
"667","2394 6TH AVE NE, NORTHWOOD, ND, 58267","""2394"" 6TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2394-6th-Ave-NE...2394 6th Ave NE, Northwood, ND 58267 | ZillowWeb2394 6th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"668","2288 6TH AVE NE, THOMPSON, ND, 58278","""2288"" 6TH AVE NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2288-6th-Ave-NE...2288 6th Ave NE, Thompson, ND 58278 | ZillowWeb2288 6th Ave NE , Thompson, ND 58278-9200 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"669","627 31ST ST NE, NORTHWOOD, ND, 58267","""627"" 31ST ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/627-31st-St-NE...627 31st St NE, Northwood, ND 58267 | ZillowWeb627 31st St NE, Northwood, ND 58267 is currently not for sale. The -- sqft home type unknown home is a -- beds, -- baths property. This home was built in null and last sold …","zillow"
"670","637 29TH ST NE, NORTHWOOD, ND, 58267","""637"" 29TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/637-29th-St-NE...637 29th St NE, Northwood, ND 58267 WebView this $0 0 bed, 0.0 bath, sqft single family home located at 637 29th St NE built in on Zillow. MLS #.","zillow"
"671","655 39TH ST NE, NORTHWOOD, ND, 58267","""655"" 39TH ST NE, NORTHWOOD, ND, 58267","5","3","3,300","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...655 39th St NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 655 39th St NE, Northwood, ND 58267, a 5 bed, 3 bath, 3,300 Sq. Ft. single family home built in 1906 that was last sold on 10/02/2002. …","realtor"
"672","661 25TH ST NE, NORTHWOOD, ND, 58267","""661"" 25TH ST NE, NORTHWOOD, ND, 58267","4","3","2,676","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...661 25th St NE, Northwood, ND 58267 | realtor.com®WebView 18 photos for 661 25th St NE, Northwood, ND 58267, a 4 bed, 3 bath, 2,676 Sq. Ft. single family home built in 2003 that was last sold on 06/29/2022.","realtor"
"673","654 29TH ST NE, NORTHWOOD, ND, 58267","""654"" 29TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/654-29th-St-NE...654 29th St NE, Northwood, ND 58267 | ZillowWeb654 29th St NE , Northwood, ND 58267-9714 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"674","659 38TH ST NE, NORTHWOOD, ND, 58267","""659"" 38TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/659-38th-St-NE...659 38th St NE, Northwood, ND 58267 | ZillowWeb659 38th St NE , Northwood, ND 58267-9536 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"675","2674 7TH AVE NE, NORTHWOOD, ND, 58267","""2674"" 7TH AVE NE, NORTHWOOD, ND, 58267","3","1","2,308","Zillowhttps://www.zillow.com/homedetails/2674-7th-Ave-NE...2674 7th Ave NE, Northwood, ND 58267 | ZillowWeb2674 7th Ave NE, Northwood, ND 58267 is currently not for sale. The 2,308 Square Feet single family home is a 3 beds, 1 bath property. This home was built in 1940 and last …","zillow"
"676","3520 7TH AVE NE, NORTHWOOD, ND, 58267","""3520"" 7TH AVE NE, NORTHWOOD, ND, 58267","3","1","2,236","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3520 7th Ave NE, Northwood, ND 58267 | realtor.com®Web3520 7th Ave NE, is a single family home, built in 1924, with 3 beds and 1 bath, at 2,236 sqft. This home is currently not for sale, this home is estimated to be valued at $260,200.","realtor"
"677","751 32ND ST NE, NORTHWOOD, ND, 58267","""751"" 32ND ST NE, NORTHWOOD, ND, 58267","3","1","1,498","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...751 32nd St NE, Northwood, ND 58267 | realtor.com®WebView 39 photos for 751 32nd St NE, Northwood, ND 58267, a 3 bed, 1 bath, 1,498 Sq. Ft. single family home built in 1925 that was last sold on 08/11/2017.","realtor"
"678","754 27TH ST NE, NORTHWOOD, ND, 58267","""754"" 27TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/754-27th-St-NE...754 27th St NE, Northwood, ND 58267 | ZillowWeb754 27th St NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"679","3475 8TH AVE NE, NORTHWOOD, ND, 58267","""3475"" 8TH AVE NE, NORTHWOOD, ND, 58267","5","2.0","2,892","Zillowhttps://www.zillow.com/homedetails/3475-8th-Ave-NE...3475 8th Ave NE, Northwood, ND 58267 | ZillowWebThe 2,892 sq. ft. single-family home is a 5 bed, 2.0 bath property. This home was built in 1917 and last sold on for. View more property details, sales history and Zestimate data …","zillow"
"680","3592 8TH AVE NE, NORTHWOOD, ND, 58267","""3592"" 8TH AVE NE, NORTHWOOD, ND, 58267","3","2","1,506","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3592 8th Ave NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 3592 8th Ave NE, Northwood, ND 58267, a 3 bed, 2 bath, 1,506 Sq. Ft. single family home built in 1926 that was last sold on 09/07/2006.","realtor"
"681","854 36TH ST NE, NORTHWOOD, ND, 58267","""854"" 36TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/854-36th-St-NE...854 36th St NE, Avon, ND 58267 | ZillowWeb854 36th St NE , Avon, ND 58267 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"682","856 31ST ST NE, NORTHWOOD, ND, 58267","""856"" 31ST ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/856-31st-St-NE...856 31st St NE, Northwood, ND 58267 | ZillowWeb856 31st St NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"683","862 32ND ST NE, NORTHWOOD, ND, 58267","""862"" 32ND ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/862-32nd-St-NE...862 32nd St NE, Northwood, ND 58267 | ZillowWeb862 32nd St NE , Northwood, ND 58267-9618 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"684","890 34TH ST NE, NORTHWOOD, ND, 58267","""890"" 34TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/890-34th-St-NE...890 34th St NE, Northwood, ND 58267 | MLS #23-466WebAgent listed New construction Foreclosures These properties are currently listed for sale. They are owned by a bank or a lender who took ownership through foreclosure …","zillow"
"685","890 37TH ST NE, NORTHWOOD, ND, 58267","""890"" 37TH ST NE, NORTHWOOD, ND, 58267","3","2","3,340","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...890 37th St NE, Northwood, ND 58267 | realtor.com®Web890 37th St NE, is a single family home, built in 1974, with 3 beds and 2 bath, at 3,340 sqft. This home is currently not for sale, this home is estimated to be valued at $249,619.","realtor"
"686","890 37TH ST NE, NORTHWOOD, ND, 58267","""890"" 37TH ST NE, NORTHWOOD, ND, 58267","3","2","3,340","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...890 37th St NE, Northwood, ND 58267 | realtor.com®Web890 37th St NE, is a single family home, built in 1974, with 3 beds and 2 bath, at 3,340 sqft. This home is currently not for sale, this home is estimated to be valued at $249,619.","realtor"
"687","3850 9TH AVE NE, NORTHWOOD, ND, 58267","""3850"" 9TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3850-9th-Ave-NE...3850 9th Ave NE, Northwood, ND 58267 | ZillowWeb3850 9th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family …","zillow"
"688","3924 9TH AVE NE, NORTHWOOD, ND, 58267","""3924"" 9TH AVE NE, NORTHWOOD, ND, 58267","4","1","2,025","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3924 9th Ave NE, Northwood, ND 58267 | realtor.com®WebView 70 photos for 3924 9th Ave NE, Northwood, ND 58267, a 4 bed, 1 bath, 2,025 Sq. Ft. single family home built in 1915 that was last sold on 03/16/2021.","realtor"
"689","3540 10TH AVE NE, NORTHWOOD, ND, 58267","""3540"" 10TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3540-10th-Ave...3540 10th Ave NE, Northwood, ND 58267 | ZillowWebThe home is comfortable, spacious, quiet and relaxing. It is 6 miles from Northwood and 30 miles from Grand Forks. If interested call and I can go over in more detail. Neighborhood …","zillow"
"690","3544 10TH AVE NE, NORTHWOOD, ND, 58267","""3544"" 10TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3544-10th-Ave...3544 10th Ave NE, Northwood, ND 58267 | ZillowWeb3544 10th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"691","1027 RAILROAD ST, NORTHWOOD, ND, 58267","""1027"" RAILROAD ST, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/1027-Railroad...1027 Railroad St, Northwood, ND 58267 | ZillowWeb1027 Railroad St , Northwood, ND 58267-4700 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 1031 Railroad St, Northwood, 58267, ND","zillow"
"692","1061 31ST ST NE, NORTHWOOD, ND, 58267","""1061"" 31ST ST NE, NORTHWOOD, ND, 58267","3","1","1,140","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...1061 31st St NE, Northwood, ND 58267 | realtor.com®Web10.89 acre lot. 1061 31st St NE, is a single family home, built in 1962, with 3 beds and 1 bath, at 1,140 sqft. This home is currently not for sale, this home is estimated to be …Location: 1061 31st St NE, Northwood, 58267, ND","realtor"
"693","1063 34TH ST NE, NORTHWOOD, ND, 58267","""1063"" 34TH ST NE, NORTHWOOD, ND, 58267","5","3","3,802","Zillowhttps://www.zillow.com/homedetails/1063-34th-St-NE...1063 34th St NE, Northwood, ND 58267 | ZillowWeb1063 34th St NE, Northwood, ND 58267 is currently not for sale. The 3,802 Square Feet single family home is a 5 beds, 3 baths property. This home was built in 1965 and last …","zillow"
"694","2944 11TH AVE NE, NORTHWOOD, ND, 58267","""2944"" 11TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2944-11th-Ave...2944 11th Ave NE, Northwood, ND 58267 | ZillowWeb2944 11th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"695","4115 11TH AVE NE, NORTHWOOD, ND, 58267","""4115"" 11TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,"9,398","realtor.comhttps://www.realtor.com › ...4115 11th Ave NE, Northwood, ND 58267 | realtor.com®Web4115 11th Ave NE, Northwood, ND 58267. 9,398 sqft lot. 4115 11th Ave NE, is a single family home. This home is currently not for sale, this home is estimated to be valued at …Location: 4115 11th Ave NE, Northwood, 58267, ND","realtor"
"696","4115 11TH AVE NE, NORTHWOOD, ND, 58267","""4115"" 11TH AVE NE, NORTHWOOD, ND, 58267","3","2","2,270","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...4115 11th Ave NE, Northwood, ND 58267 | realtor.com®WebView 22 photos for 4115 11th Ave NE, Northwood, ND 58267, a 3 bed, 2 bath, 2,270 Sq. Ft. single family home built in 1915 that was last sold on 07/14/2022.Location: 4115 11th Ave NE, Northwood, 58267, ND","realtor"
"697","4115 11TH AVE NE, NORTHWOOD, ND, 58267","""4115"" 11TH AVE NE, NORTHWOOD, ND, 58267","3","2","2,270","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...4115 11th Ave NE, Northwood, ND 58267 | realtor.com®WebView 22 photos for 4115 11th Ave NE, Northwood, ND 58267, a 3 bed, 2 bath, 2,270 Sq. Ft. single family home built in 1915 that was last sold on 07/14/2022.Location: 4115 11th Ave NE, Northwood, 58267, ND","realtor"
"698","1145 30TH ST NE, EMERADO, ND, 58228","""1145"" 30TH ST NE, EMERADO, ND, 58228",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1145-30th-St-NE...1145 30th St NE, Emerado, ND 58228 | ZillowWeb1145 30th St NE, Emerado, ND 58228 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"699","1176 46TH ST NE, LARIMORE, ND, 58251","""1176"" 46TH ST NE, LARIMORE, ND, 58251","4","2","2,975","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...1176 46th St NE, Larimore, ND 58251 | realtor.com®WebView 32 photos for 1176 46th St NE, Larimore, ND 58251, a 4 bed, 2 bath, 2,975 Sq. Ft. single family home built in 1900 that was last sold on 05/06/2015.","realtor"
"700","3055 12TH AVE NE, ARVILLA, ND, 58214","""3055"" 12TH AVE NE, ARVILLA, ND, 58214",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3055-12th-Ave...3055 12th Ave NE, Arvilla, ND 58214 | ZillowWeb3055 12th Ave NE, Arvilla, ND 58214 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"701","3810 12TH AVE NE, LARIMORE, ND, 58251","""3810"" 12TH AVE NE, LARIMORE, ND, 58251","3","1","1,930","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3810 12th Ave NE, Larimore, ND 58251 | realtor.com®Web3810 12th Ave NE, is a single family home, built in 1922, with 3 beds and 1 bath, at 1,930 sqft. This home is currently not for sale, this home is estimated to be valued at $183,616.","realtor"
"702","1213 41ST ST NE, LARIMORE, ND, 58251","""1213"" 41ST ST NE, LARIMORE, ND, 58251","3","1","2,016","realtor.comhttps://www.realtor.com › ...1213 41st St NE, Larimore, ND 58251 | realtor.com®WebSee sales history and home details for 1213 41st St NE, Larimore, ND 58251, a 3 bed, 1 bath, 2,016 Sq. Ft. single family home built in 1925 that was last sold on 06/03/2003. …","realtor"
"703","3547 13TH AVE NE, LARIMORE, ND, 58251","""3547"" 13TH AVE NE, LARIMORE, ND, 58251","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3547-13th-Ave...3547 13th Ave NE, Larimore, ND 58251 | ZillowWeb3547 13th Ave NE , Larimore, ND 58251-9767 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"704","4013 13TH AVE NE, LARIMORE, ND, 58251","""4013"" 13TH AVE NE, LARIMORE, ND, 58251","4","2","3,874","Zillowhttps://www.zillow.com/homedetails/4013-13th-Ave...4013 13th Ave NE, Larimore, ND 58251 | ZillowWeb4013 13th Ave NE, Larimore, ND 58251 is currently not for sale. The 3,874 Square Feet single family home is a 4 beds, 2 baths property. This home was built in 1954 and last …","zillow"
"705","3342 13TH AVE NE, ARVILLA, ND, 58214","""3342"" 13TH AVE NE, ARVILLA, ND, 58214","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3342-13th-Ave...3342 13th Ave NE, Arvilla, ND 58214 | ZillowWeb3342 13th Ave NE , Arvilla, ND 58214-9402 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"706","1310 33RD ST NE, ARVILLA, ND, 58214","""1310"" 33RD ST NE, ARVILLA, ND, 58214",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1310-33rd-St-NE...1310 33rd St NE, Arvilla, ND 58214 | ZillowWeb1310 33rd St NE, Arvilla, ND 58214 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"707","1342 31ST ST NE, ARVILLA, ND, 58214","""1342"" 31ST ST NE, ARVILLA, ND, 58214","3","2","1,800","Zillowhttps://www.zillow.com/homedetails/1342-31st-St-NE...1342 31st St NE, Arvilla, ND 58214 | ZillowWeb1342 31st St NE, Arvilla, ND 58214 is currently not for sale. The 1,800 Square Feet single family home is a 3 beds, 2 baths property. This home was built in 2001 and last sold on …","zillow"
"708","1344 31ST ST NE, ARVILLA, ND, 58214","""1344"" 31ST ST NE, ARVILLA, ND, 58214","4","1","1,849","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...1344 31st St NE, Arvilla, ND 58214 | realtor.com®WebView 33 photos for 1344 31st St NE, Arvilla, ND 58214, a 4 bed, 1 bath, 1,849 Sq. Ft. single family home built in 1935 that was last sold on 12/09/2016.","realtor"
"709","1352 38TH ST NE, LARIMORE, ND, 58251","""1352"" 38TH ST NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1352-38th-St-NE...1352 38th St NE, Larimore, ND 58251 | ZillowWeb1352 38th St NE, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on 2012-09 …","zillow"
"710","3493 14TH AVE NE, LARIMORE, ND, 58251","""3493"" 14TH AVE NE, LARIMORE, ND, 58251","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3493-14th-Ave...3493 14th Ave NE, Larimore, ND 58251 | ZillowWeb3493 14th Ave NE , Larimore, ND 58251-9705 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"711","1490 32ND ST NE, ARVILLA, ND, 58214","""1490"" 32ND ST NE, ARVILLA, ND, 58214",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1490-32…1490 32nd St NE, Arvilla, ND 58214 | ZillowWebArvilla homes for sale. Homes for sale; Foreclosures; For sale by owner; Open houses; New construction; Coming soon; Recent home sales; All homes; Bundle buying & selling. Buy and sell with Zillow 360; …","zillow"
"712","3362 15TH AVE NE, ARVILLA, ND, 58214","""3362"" 15TH AVE NE, ARVILLA, ND, 58214","4","2","1,750","Zillowhttps://www.zillow.com/homedetails/3362-15th-Ave...3362 15th Ave NE, Arvilla, ND 58214 | ZillowWeb3362 15th Ave NE, Arvilla, ND 58214 is currently not for sale. The 1,750 Square Feet single family home is a 4 beds, 2 baths property. This home was built in 1905 and last …","zillow"
"713","3356 15TH AVE NE, ARVILLA, ND, 58214","""3356"" 15TH AVE NE, ARVILLA, ND, 58214","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3356-15th-Ave...3356 15th Ave NE, Arvilla, ND 58214 | ZillowWeb3356 15th Ave NE , Arvilla, ND 58214-9410 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"714","3918 15TH AVE NE, LARIMORE, ND, 58251","""3918"" 15TH AVE NE, LARIMORE, ND, 58251","3","2.0","2016","Zillowhttps://www.zillow.com/homedetails/3918-15…3918 15th Ave NE, Larimore, ND 58251 | ZillowWebThis 2016 square foot single family home has 3 bedrooms and 2.0 bathrooms. This home is located at 3918 15th Ave NE, Larimore, ND 58251.","zillow"
"715","4146 15TH AVE NE, LARIMORE, ND, 58251","""4146"" 15TH AVE NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/4146-15th-Ave...4146 15th Ave NE, Larimore, ND 58251 | ZillowWeb4146 15th Ave NE, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"716","1515 43RD ST NE, LARIMORE, ND, 58251","""1515"" 43RD ST NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1515-43rd-St-NE...1515 43rd St NE, Larimore, ND 58251 | ZillowWeb1515 43rd St NE, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"717","1550 32ND ST NE, ARVILLA, ND, 58214","""1550"" 32ND ST NE, ARVILLA, ND, 58214",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 1550-32nd-St-NE...1550 32nd St NE, Arvilla, ND 58214 | ZillowWeb1550 32nd St NE, Arvilla, ND 58214 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"718","1595 44TH ST NE, LARIMORE, ND, 58251","""1595"" 44TH ST NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1595-44th-St-NE...1595 44th St NE, Larimore, ND 58251 | ZillowWebNote: This property is not currently for sale or for rent on Zillow. The description and property data below may’ve been provided by a third party, the homeowner or public records. What a nice spot! 8 acres of quiet …","zillow"
"719","3537 16TH AVE NE, ARVILLA, ND, 58214","""3537"" 16TH AVE NE, ARVILLA, ND, 58214","0","0.0",NA,"Zillowhttps://www.zillow.com › homedetails › 3537-16th-Ave...3537 16th Ave NE, Arvilla, ND 58214 | ZillowWeb3537 16th Ave NE , Arvilla, ND 58214-9406 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"720","3544 16TH AVE NE, LARIMORE, ND, 58251","""3544"" 16TH AVE NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3544-16th-Ave...3544 16th Ave NE, Larimore, ND 58251 | ZillowWeb3544 16th Ave NE, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View more property details, sales history, and Zestimate data on Zillow.","zillow"
"721","4210 16TH AVE NE, LARIMORE, ND, 58251","""4210"" 16TH AVE NE, LARIMORE, ND, 58251","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/4210-16th-Ave...4210 16th Ave NE, Larimore, ND 58251 | ZillowWeb4210 16th Ave NE , Larimore, ND 58251-9622 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"722","1669 41ST ST NE, LARIMORE, ND, 58251","""1669"" 41ST ST NE, LARIMORE, ND, 58251","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/1669-41st-St-NE...1669 41st St NE, Larimore, ND 58251 | ZillowWeb1669 41st St NE , Larimore, ND 58251-9617 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
