,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
167,clarus therapeutics,"Clarus Therapeutics, Inc.",1533,clarus therapeutics,[12410],['clarus therapeutics'],"['Clarus Therapeutics, Inc.']",[100]
168,cleanwell,"CleanWell, LLC",1538,cleanwell,[14252],['cleanwell'],['Cleanwell Company'],[100]
169,clinigen,"Clinigen Group PLC, Clinigen Healthcare Ltd, Clinigen Healthcare Ltd.","1553, 1554, 1555",clinigen,[31818],['clinigen'],['Clinigen Group PLC'],[100]
170,clorox,The Clorox Company,6215,clorox,[12655],['clorox'],['The Clorox Co'],[100]
171,clover,Clover Pharmaceuticals Corp.,1561,clover,[12661],['clover'],['Clover Corporation Ltd'],[100]
172,clovis oncology,"Clovis Oncology, Inc.",1563,clovis oncology,[12662],['clovis oncology'],"['Clovis Oncology, Inc.']",[100]
173,cmc,"CMC Group Inc., CMC Group, Inc.","1564, 1565",cmc,"[12840, 12848]","['cmc', 'cmc']","['CMC Corporation', 'CMC Ltd']","[100, 100]"
174,cole,"Cole Care, Inc.",1587,cole,"[13659, 32191]","['cole', 'cole']","['Cole National Corporation', 'Cole Capital Partners LLC']","[100, 100]"
175,colgate-palmolive,"Colgate-Palmolive, COLGATE-PALMOLIVE (THAILAND) LIMITED, Colgate-Palmolive Company","1590, 1591, 1593",colgate-palmolive,[13689],['colgate-palmolive'],['Colgate-Palmolive Company'],[100]
176,coloplast,Coloplast Corp.,1596,coloplast,"[12674, 13686, 14234]","['coloplast', 'coloplast', 'coloplast']","['Coloplast Corp', 'Coloplast Ltd', 'Coloplast A/S']","[100, 100, 100]"
177,colorescience,"Colorescience, Colorescience, Inc.","1598, 1599",colorescience,[2149],['colorescience'],['Colorescience'],[100]
178,combe,Combe Incorporated,1601,combe,[13728],['combe'],['Combe Inc'],[100]
179,commonwealth,"Commonwealth Home Health Care, Inc.",1605,commonwealth,"[11626, 55550]","['commonwealth', 'commonwealth']","['Commonwealth Health Corporation', 'The Commonwealth']","[100, 100]"
180,continuum,"Continuum, LLC",1628,continuum,[13421],['continuum'],"['Continuum Health Partners, Inc.']",[100]
181,contract pharmacal,Contract Pharmacal Corp.,1629,contract pharmacal,[13301],['contract pharmacal'],['Contract Pharmacal Corporation'],[100]
182,convatec,"ConvaTec Inc, ConvaTec Inc., ConvaTec, Inc.","1635, 1636, 1637",convatec,"[13443, 15483]","['convatec', 'convatec']","['Convatec Inc.', 'ConvaTec Group PLC']","[100, 100]"
183,coopersurgical,"CooperSurgical, Inc.",1641,coopersurgical,[14296],['coopersurgical'],['CooperSurgical Inc'],[100]
184,corcept therapeutics,Corcept Therapeutics,1643,corcept therapeutics,[14447],['corcept therapeutics'],['Corcept Therapeutics Inc'],[100]
185,corepharma,"CorePharma, LLC",1644,corepharma,[13991],['corepharma'],['Corepharma L.L.C.'],[100]
186,coson,"Coson Co., Ltd.",1674,coson,[44993],['coson'],"['COSON Co., Ltd.']",[100]
187,costco wholesale,"Costco Wholesale, Costco Wholesale Company, COSTCO WHOLESALE CORPORATION","1675, 1676, 1677",costco wholesale,[44172],['costco wholesale'],['Costco Wholesale Corporation'],[100]
188,cotherix,"CoTherix, Inc.",1681,cotherix,[20411],['cotherix'],['CoTherix Inc'],[100]
189,coty,Coty US LLC,1682,coty,[15342],['coty'],['Coty Inc'],[100]
190,crawford,"Crawford Healthcare, Inc.",1697,crawford,"[11468, 14883]","['crawford', 'crawford']","['The Crawford Group Inc', 'Crawford Technologies Inc']","[100, 100]"
191,crc,CRC (Cosmoceutical Research Center),1698,crc,[14436],['crc'],['CRC Health Corp'],[100]
192,cronus,Cronus Pharma LLC,1704,cronus,[14663],['cronus'],['Cronus Partners LLC'],[100]
193,crosstex,Crosstex International Inc.,1712,crosstex,"[14586, 14705]","['crosstex', 'crosstex']","['Crosstex International Inc.', 'Crosstex Energy Inc']","[100, 100]"
194,crown,Crown Laboratories,1713,crown,"[14647, 14878]","['crown', 'crown']","['Crown Holdings Inc.', 'Crown Capital Partners Inc.']","[100, 100]"
195,csl behring,"CSL Behring AG, CSL Behring GmbH, CSL Behring LLC","1718, 1719, 1721",csl behring,[11214],['csl behring'],['CSL Behring LLC'],[100]
196,cure,Cure Medical LLC,1727,cure,[15434],['cure'],['Cure International'],[100]
197,cutanea life sciences,"Cutanea Life Sciences, Inc.",1738,cutanea life sciences,[15392],['cutanea life sciences'],['Cutanea Life Sciences Inc.'],[100]
198,cutispharma,"CutisPharma, Inc.",1739,cutispharma,[15304],['cutispharma'],"['CutisPharma, Inc.']",[100]
199,cvs,"CVS, CVS Health, CVS Health Corp, CVS Health Corp.","1740, 1741, 1742, 1743",cvs,"[15541, 38746]","['cvs', 'cvs']","['CVS Group PLC', 'CVS Health Corp']","[100, 100]"
200,cvs pharmacy,"CVS Pharmacy, CVS Pharmacy Inc, CVS Pharmacy, Inc, CVS Pharmacy, Inc.","1745, 1746, 1747, 1748",cvs pharmacy,[15543],['cvs pharmacy'],['CVS Pharmacy Inc'],[100]
201,cypress,"Cypress Pharmaceutical, Inc.",1756,cypress,"[15678, 15709, 15714]","['cypress', 'cypress', 'cypress']","['The Cypress Group', 'Cypress Corp', 'Cypress Energy Partners LP']","[100, 100, 100]"
202,daiichi sankyo,"Daiichi Sankyo Inc., Daiichi Sankyo, Inc.","1769, 1770",daiichi sankyo,"[15873, 52697]","['daiichi sankyo', 'daiichi sankyo']","['Daiichi Sankyo Company Limited', 'Daiichi Sankyo Inc']","[100, 100]"
203,deb,"Deb USA, Inc.",1804,deb,[16290],['deb'],['Deb Group Ltd'],[100]
204,decatur memorial hospital,Decatur Memorial Hospital,1805,decatur memorial hospital,[16311],['decatur memorial hospital'],['Decatur Memorial Hospital'],[100]
205,degrees,"60 Degrees Pharmaceuticals, LLC",28,degrees,"[18744, 57798, 57872]","['degrees', 'degrees', 'degrees']","['89 Degrees LLC', '361 Degrees International Ltd', '32 Degrees Capital']","[100, 100, 100]"
206,delta,"Delta, Delta Pharma Inc.","1819, 1827",delta,"[4484, 16371, 17080, 17096]","['delta', 'delta', 'delta', 'delta']","['Delta Corp Ltd', 'Delta International llc', 'Delta Partners Ltd.', 'Delta plc']","[100, 100, 100, 100]"
207,demoulas super markets,"Demoulas Super Markets, Demoulas Super Markets Inc, Demoulas Super Markets, Inc","1831, 1832, 1833",demoulas super markets,[17737],['demoulas super markets'],['DeMoulas Super Markets Inc.'],[100]
208,dendreon,Dendreon Pharmaceuticals LLC,1840,dendreon,[886],['dendreon'],['Dendreon Corp'],[100]
209,dental,"Dental Health Products, Inc., Dental Technologies, Inc.","1849, 1850",dental,"[2931, 2939, 16465]","['dental', 'dental', 'dental']","['American Dental Partners Inc', 'American Dental Association', 'Dental Technologies Inc.']","[100, 100, 100]"
210,dermadoctor,DERMAdoctor,1878,dermadoctor,[17608],['dermadoctor'],['DERMAdoctor Inc'],[100]
211,dermarite industries,"Dermarite Industries LLC, DermaRite Industries, LLC","1888, 1889",dermarite industries,[17613],['dermarite industries'],['DermaRite Industries LLC'],[100]
212,dermazone solutions,"Dermazone Solutions, Inc.",1892,dermazone solutions,[17620],['dermazone solutions'],['Dermazone Solutions Inc.'],[100]
213,dermira,"Dermira, Inc.",1895,dermira,[55452],['dermira'],['Dermira Inc.'],[100]
214,dhc,DHC USA Incorporated,1914,dhc,[16695],['dhc'],['DHC Corporation'],[100]
215,dial,The Dial Corporation,6219,dial,[16754],['dial'],['The Dial Corporation'],[100]
216,diamond wipes,Diamond Wipes International,1918,diamond wipes,[16764],['diamond wipes'],['Diamond Wipes International Inc.'],[100]
217,dimensional merchandising,Dimensional Merchandising Inc.,1927,dimensional merchandising,[16855],['dimensional merchandising'],['Dimensional Merchandising Inc'],[100]
218,discount drug mart,"Discount Drug Mart, Discount Drug Mart Inc., DISCOUNT DRUG MART, INC, DISCOUNT DRUG MART, INC.","1935, 1936, 1937, 1938",discount drug mart,[17697],['discount drug mart'],['Discount Drug Mart Inc'],[100]
219,discus dental,"Discus Dental, LLC",1940,discus dental,[16910],['discus dental'],['Discus Dental Inc'],[100]
220,diversey,"Diversey, Inc., Diversey. Inc.","1944, 1945",diversey,[50432],['diversey'],['Diversey Holdings Inc.'],[100]
221,dmg america,"DMG AMERICA, LLC",1959,dmg america,[20906],['dmg america'],['DMG America LLC'],[100]
222,dolgencorp,"Dolgencorp, Dolgencorp Inc, Dolgencorp Inc., Dolgencorp LLC, DOLGENCORP, INC, Dolgencorp, Inc., Dolgencorp, Inc. (DOLLAR GENERAL & REXALL), Dolgencorp, LLC, DOLGENCORP, LLC.","1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983",dolgencorp,[17350],['dolgencorp'],['Dolgencorp LLC'],[100]
223,dollar general,"Dollar General, Dollar General Corporation","1985, 1986",dollar general,[17354],['dollar general'],['Dollar General Corporation'],[100]
224,dorel juvenile,Dorel Juvenile Group,1999,dorel juvenile,[17413],['dorel juvenile'],['Dorel Juvenile Group Inc'],[100]
225,dr fresh,"Dr. Fresh LLC, Dr. Fresh, Inc, Dr. Fresh, Inc.","2020, 2021, 2022",dr fresh,[16621],['dr fresh'],['Dr. Fresh Inc.'],[100]
226,duchesnay,"Duchesnay USA, Inc.",2074,duchesnay,[17878],['duchesnay'],['Duchesnay Inc'],[100]
227,dukal,"Dukal Corp, Dukal Corporation","2075, 2076",dukal,[16986],['dukal'],['Dukal Corporation'],[100]
228,durata therapeutics,Durata Therapeutics Inc.,2080,durata therapeutics,[17956],['durata therapeutics'],"['Durata Therapeutics, Inc']",[100]
229,dyax,Dyax Corp.,2088,dyax,[44321],['dyax'],['Dyax Corp'],[100]
230,dynarex,"Dynarex, Dynarex Corporation","2090, 2091",dynarex,[18141],['dynarex'],['Dynarex Corporation'],[100]
231,dynavax,Dynavax Technologies Corporation,2092,dynavax,[18125],['dynavax'],['Dynavax Technologies Corp'],[100]
232,e,"e5 Pharma, LLC",2108,e,"[18559, 33654, 55948]","['e', 'e', 'e']","['3E Company', 'E1 Corporation', '2e2 Group Ltd']","[100, 100, 100]"
233,e-z-em,"E-Z-EM, INC.",2103,e-z-em,[20517],['e-z-em'],['E-Z-Em Inc'],[100]
234,e-z-em canada,E-Z-EM Canada Inc,2102,e-z-em canada,[20516],['e-z-em canada'],['E-Z-EM Canada Inc'],[100]
235,eagle,"Eagle Home Medical Corp., Eagle Pharmaceuticals, Inc, Eagle Pharmaceuticals, Inc.","2109, 2111, 2112",eagle,[23843],['eagle'],['American Eagle Energy Corp.'],[100]
236,eci,"ECI Pharmaceuticals LLC, ECI Pharmaceuticals, LLC","2126, 2127",eci,"[18363, 18600]","['eci', 'eci']","['ECI Partners LLP', 'ECI Inc.']","[100, 100]"
237,ecolab,"Ecolab, Ecolab Inc.","2133, 2137",ecolab,"[18401, 18403]","['ecolab', 'ecolab']","['Ecolab Pty Ltd', 'Ecolab Inc']","[100, 100]"
238,ecr,"ECR Pharmaceuticals Co., Inc.",2142,ecr,[18431],['ecr'],"['ECR International, Inc.']",[100]
239,edwards,"Edwards Pharmaceuticals, Inc, EDWARDS PHARMACEUTICALS, INC.","2154, 2155",edwards,[18551],['edwards'],['Edwards Limited'],[100]
240,egalet,Egalet US Inc.,2161,egalet,"[18630, 18631]","['egalet', 'egalet']","['Egalet Corporation', 'Egalet a/s']","[100, 100]"
241,eight,Eight and Company L.L.C,2165,eight,[24625],['eight'],['The Group of Eight'],[100]
242,eisai,Eisai Inc.,2167,eisai,"[18765, 18766, 18767, 18768]","['eisai', 'eisai', 'eisai', 'eisai']","['Eisai Co Ltd', 'Eisai Inc.', 'Eisai Ltd', 'Eisai SAS']","[100, 100, 100, 100]"
243,elemis,ELEMIS Limited,2174,elemis,[18892],['elemis'],['Elemis Ltd'],[100]
244,eli lilly,Eli Lilly and Company,2176,eli lilly,"[18812, 18931, 18933, 33845]","['eli lilly', 'eli lilly', 'eli lilly', 'eli lilly']","['Eli Lilly and Company Limited', 'Eli Lilly Holdings Ltd', 'Eli Lilly International Corporation', 'Eli Lilly and Co']","[100, 100, 100, 100]"
245,elizabeth arden,"ELIZABETH ARDEN, INC",2182,elizabeth arden,[54950],['elizabeth arden'],['Elizabeth Arden Inc.'],[100]
246,elusys therapeutics,"Elusys Therapeutics, Inc.",2193,elusys therapeutics,[19047],['elusys therapeutics'],['EluSys Therapeutics Inc'],[100]
247,emami,EMAMI LIMITED,2196,emami,"[19069, 19224]","['emami', 'emami']","['Emami Group', 'Emami Ltd']","[100, 100]"
248,emd serono,"EMD Serono, Inc.",2197,emd serono,[50979],['emd serono'],['EMD Serono Inc'],[100]
249,endexx,ENDEXX CORPORATION,2221,endexx,[51421],['endexx'],['Endexx Corporation'],[100]
250,endo,"Endo Pharmaceuticals Inc., Endo Pharmaceuticals, Inc.","2222, 2223",endo,[19274],['endo'],['Endo International PLC'],[100]
251,eon labs,"Eon Labs, Inc.",2242,eon labs,[19508],['eon labs'],['Eon Labs Inc'],[100]
252,eos,eos Products LLC,2243,eos,[19520],['eos'],['Eos Partners L.P.'],[100]
253,epic,"Epic Pharma LLC, Epic Pharma, LLC","2246, 2247",epic,"[19548, 19621, 36563, 55877]","['epic', 'epic', 'epic', 'epic']","['Epic Systems Corp', 'Epic Technologies Llc', 'Epic Health Services Inc', 'Epic Corporation']","[100, 100, 100, 100]"
254,equipment,"American Home Medical Equipment and Services, Inc., Home Care Equipment, Inc., Home Health Medical Equipment, Inc.","368, 3014, 3018",equipment,[36161],['equipment'],['Medical Equipment Technologies Inc.'],[100]
255,essendant,"Essendant Co,, Essendant Co.","2268, 2269",essendant,[59572],['essendant'],['Essendant Inc.'],[100]
256,essential,Essential Pharmaceutical Corp.,2274,essential,[18590],['essential'],['Essential Energy Services Ltd.'],[100]
257,ethicon,"Ethicon Inc, Ethicon, Inc, Ethicon, Inc.","2283, 2284, 2285",ethicon,[20025],['ethicon'],['Ethicon Inc'],[100]
258,everyday,Everyday Medical LLC,2299,everyday,[62709],['everyday'],['Everyday Health Inc.'],[100]
259,evolus,"Evolus, Inc.",2300,evolus,[4508],['evolus'],['Evolus Inc'],[100]
260,evolution,Evolution,2301,evolution,[26047],['evolution'],['Health Evolution Partners'],[100]
261,exelixis,"Exelixis, Inc.",2315,exelixis,[63164],['exelixis'],['Exelixis Inc'],[100]
262,express,Express Medical Inc,2320,express,"[3007, 23911, 39235]","['express', 'express', 'express']","['American Express Co', 'Express Inc.', 'National Express Group PLC']","[100, 100, 100]"
263,extremity,Extremity Healthcare Inc,2322,extremity,[20484],['extremity'],['Extremity Medical LLC'],[100]
264,ezra,"Ezra Laboratories, Llc",2329,ezra,[20529],['ezra'],['Ezra Holdings Limited'],[100]
265,fabrication enterprises,Fabrication Enterprises,2330,fabrication enterprises,[20746],['fabrication enterprises'],['Fabrication Enterprises Inc.'],[100]
266,family,Family Medical Supply Inc.,2350,family,"[3028, 20603, 20606, 21732]","['family', 'family', 'family', 'family']","['American Family Association', 'Family Health International Inc', 'Family Inc', 'Family Co. Ltd.']","[100, 100, 100, 100]"
267,family dollar stores,"FAMILY DOLLAR STORES, INC.",2346,family dollar stores,[20909],['family dollar stores'],['Family Dollar Stores Inc'],[100]
268,fastenal,Fastenal,2362,fastenal,[22474],['fastenal'],['Fastenal Co'],[100]
269,fdc,FDC Limited,2364,fdc,[20872],['fdc'],['FDC Ltd'],[100]
270,feinstein institute for research,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,6226,feinstein institute for research,[55999],['feinstein institute for research'],['The Feinstein Institute for Medical Research'],[100]
271,fenwal,"Fenwal, Inc.",2368,fenwal,[21016],['fenwal'],['Fenwal Inc.'],[100]
272,ferring,Ferring Pharmaceuticals Inc.,2371,ferring,"[21047, 22326]","['ferring', 'ferring']","['Ferring SAS', 'Ferring SpA']","[100, 100]"
273,first community,First Community Care,2386,first community,[22370],['first community'],['First Community Corp'],[100]
274,flanders,Flanders Inc,2398,flanders,[21468],['flanders'],['Flanders Corporation'],[100]
275,fleet,FLEET LABORATORIES LTD,2400,fleet,[21647],['fleet'],['Fleet Services Inc.'],[100]
276,flex,"FLEX24 INC, Flex24, Inc.","2403, 2404",flex,"[21537, 63092]","['flex', 'flex']","['Flex Ltd', 'The Flex Company']","[100, 100]"
277,flexion therapeutics,"Flexion Therapeutics, Inc.",2405,flexion therapeutics,[22584],['flexion therapeutics'],['Flexion Therapeutics Inc.'],[100]
278,fnc,FNC MEDICAL CORPORATION,2415,fnc,[21781],['fnc'],['FNC Incorporated'],[100]
279,focus,"Focus Health Group, FOCUS Laboratories, Inc.","2417, 2418",focus,[20756],['focus'],['Energy Focus Inc.'],[100]
280,forever,Forever 21,2431,forever,[22633],['forever'],['Forever 21 Inc'],[100]
281,formula,Formula Corp.,2433,formula,[21955],['formula'],['Formula Systems (1985) Ltd'],[100]
282,fosun,"Fosun Pharma USA Inc, Fosun Pharma USA Inc.","2446, 2447",fosun,[21981],['fosun'],['Fosun International Limited'],[100]
283,foundation,"Foundation Health, LLC",2451,foundation,"[9294, 20810, 21742, 21786]","['foundation', 'foundation', 'foundation', 'foundation']","['B612 Foundation', 'Foundation Capital Ltd.', 'Foundation Medical Partners', 'Foundation Capital']","[100, 100, 100, 100]"
284,freds,"Fred's Inc, Fred's Inc., Fred's, Inc, Fred's, Inc., Freds, Freds Inc, FREDS, INC, Freds, Inc.","2461, 2462, 2463, 2464, 2466, 2467, 2468, 2469",freds,[22138],['freds'],"[""Fred's Inc""]",[100]
285,fresenius kabi,"Fresenius Kabi, Fresenius Kabi USA, LLC, Fresenius Kabi, LLC","2471, 2474, 2475",fresenius kabi,"[21443, 22167]","['fresenius kabi', 'fresenius kabi']","['Fresenius Kabi Ltd', 'Fresenius Kabi AG']","[100, 100]"
286,fresh market,The Fresh Market,6229,fresh market,[22171],['fresh market'],['The Fresh Market Inc'],[100]
287,galderma,"GALDERMA LABORATORIES, L.P, Galderma Laboratories, L.P.","2511, 2512",galderma,[43512],['galderma'],['Galderma SA'],[100]
288,galen,Galen US Incorporated,2513,galen,"[14230, 23959]","['galen', 'galen']","['Galen Partners LLC', 'Galen Limited']","[100, 100]"
289,galt,"Galt Pharmaceuticals LLC, Galt Pharmaceuticals, LLC","2518, 2519",galt,[24038],['galt'],['Galt Medical Corp.'],[100]
290,gas,Gas and Supply,2525,gas,"[2983, 22954, 40071]","['gas', 'gas', 'gas']","['American Gas Association', 'The Gas Company LLC', 'National Gas']","[100, 100, 100]"
291,gc,GC US CORPORATION,2532,gc,"[23086, 24954]","['gc', 'gc']","['GC Corporation', 'GC Services LP']","[100, 100]"
292,gc america,GC America Inc.,2530,gc america,[23072],['gc america'],['Gc America Inc.'],[100]
293,ge,"GE Healthcare, GE Healthcare Inc.","2533, 2534",ge,[24107],['ge'],['GE Medical Systems Ltd'],[100]
294,genentech,"Genentech Inc., Genentech, Inc, Genentech, Inc.","2555, 2556, 2557",genentech,[23375],['genentech'],['Genentech Inc'],[100]
295,genesis,"Genesis Pharmaceutical, Inc.",2576,genesis,"[24200, 24243, 24269]","['genesis', 'genesis', 'genesis']","['Genesis Energy LP', 'Genesis Partners Ltd.', 'Genesis Energy Limited']","[100, 100, 100]"
296,gentex,Gentex Pharma,2598,gentex,[23374],['gentex'],['Gentex Corp'],[100]
297,genus,"Genus Medical Technologies, LLC",2604,genus,[23338],['genus'],['Genus PLC'],[100]
298,genzyme,Genzyme Corporation,2608,genzyme,[24298],['genzyme'],['Genzyme Corp'],[100]
299,geritrex,"GERITREX LLC, Geritrex, LLC","2622, 2623",geritrex,[24845],['geritrex'],['Geritrex Corp'],[100]
300,gilead sciences,"Gilead Sciences, Inc, Gilead Sciences, Inc., Gilead Sciences, LLC","2631, 2632, 2633",gilead sciences,"[23647, 23648, 23656, 23682, 24913, 24915]","['gilead sciences', 'gilead sciences', 'gilead sciences', 'gilead sciences', 'gilead sciences', 'gilead sciences']","['Gilead Sciences GmbH', 'Gilead Sciences Ltd', 'Gilead Sciences Inc', 'Gilead Sciences Srl', 'Gilead Sciences International Ltd', 'Gilead Sciences Pty Limited']","[100, 100, 100, 100, 100, 100]"
301,gl,"GL 360, GL360","2639, 2640",gl,[8985],['gl'],['GL Ltd.'],[100]
302,glaxosmithkline,GlaxoSmithKline LLC,2649,glaxosmithkline,"[23757, 23760, 23767, 23770, 23776, 23910, 24057, 24059, 24063]","['glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline', 'glaxosmithkline']","['GlaxoSmithKline AB', 'GlaxoSmithKline Capital plc', 'GlaxoSmithKline AG', 'GlaxoSmithKline Oy', 'GlaxoSmithKline Services Unlimited', 'GlaxoSmithKline Holdings Pty Ltd', 'GlaxoSmithKline Spa', 'GlaxoSmithKline PLC', 'GlaxoSmithKline B.V.']","[100, 100, 100, 100, 100, 100, 100, 100, 100]"
303,glaxosmithkline biologicals,GlaxoSmithKline Biologicals SA,2645,glaxosmithkline biologicals,[23750],['glaxosmithkline biologicals'],['GlaxoSmithKline Biologicals Sa'],[100]
304,global,"Global Healthcare, Global Medical LLC, Global Products Group, LLC","2666, 2667, 2671",global,"[8648, 18774, 23807, 23909, 23973, 24105, 24349, 62354, 62598, 63633]","['global', 'global', 'global', 'global', 'global', 'global', 'global', 'global', 'global', 'global']","['Global Health Group AG', 'Global 360 Inc', 'Global Technologies Group Inc.', 'Global Health Pvt Ltd', 'Global Partners LP', 'Global Medical Llc', 'Global Holdings, Inc.', 'Global Medical REIT Inc', 'Global Health Limited', 'Global Energy Holdings Group Inc.']","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
305,global blood therapeutics,Global Blood Therapeutics Inc.,2664,global blood therapeutics,[23035],['global blood therapeutics'],['Global Blood Therapeutics Inc.'],[100]
306,gojo industries,"GOJO Industries, Inc.",2681,gojo industries,[24351],['gojo industries'],"['GOJO Industries, Inc.']",[100]
307,gordon food service,"Gordon Food Service, Inc.",2703,gordon food service,[23504],['gordon food service'],['Gordon Food Service Inc'],[100]
308,granules india,"Granules India Limited, Granules India Ltd","2712, 2713",granules india,[24747],['granules india'],['Granules India Ltd'],[100]
309,great atlantic&pacific tea,The Great Atlantic & Pacific Tea Company,6232,great atlantic&pacific tea,[22927],['great atlantic&pacific tea'],"['The Great Atlantic & Pacific Tea Company, Inc.']",[100]
310,green,Green Pharmaceuticals,2734,green,"[30250, 42638, 56411]","['green', 'green', 'green']","['American Green Group Inc', 'Green Energy Group Ltd', 'American Green Inc']","[100, 100, 100]"
311,green cross,Green Cross Corp,2733,green cross,"[6776, 24585, 31848, 49947]","['green cross', 'green cross', 'green cross', 'green cross']","['Green Cross Health Ltd.', 'Green Cross International', 'Green Cross Holdings Corporation', 'Green Cross Corporation']","[100, 100, 100, 100]"
312,greenstone,Greenstone LLC,2742,greenstone,"[1571, 14633]","['greenstone', 'greenstone']","['Greenstone Pty Ltd', 'Greenstone Ltd']","[100, 100]"
313,greenwich,"Greenwich Biosciences, Inc.",2745,greenwich,[24882],['greenwich'],['Greenwich Holdings Ltd'],[100]
314,grifols,"GRIFOLS USA, LLC",2747,grifols,"[24659, 55284]","['grifols', 'grifols']","['Grifols, S.A.', 'Grifols Inc']","[100, 100]"
315,groupe marcelle,Groupe Marcelle Inc.,2750,groupe marcelle,[14012],['groupe marcelle'],['Groupe Marcelle Inc'],[100]
316,guardian,Guardian,2766,guardian,"[23075, 24590]","['guardian', 'guardian']","['Guardian Capital Group Ltd', 'Guardian 8 Holdings']","[100, 100]"
317,guardian drug,Guardian Drug Company,2768,guardian drug,[25065],['guardian drug'],['Guardian Drug Company Inc.'],[100]
318,guerbet,Guerbet LLC,2769,guerbet,[25145],['guerbet'],['Guerbet SA'],[100]
319,guthy-renker,"Guthy-Renker LLC, GUTHY-RENKER, LLC","2782, 2783",guthy-renker,[25158],['guthy-renker'],['Guthy-Renker Corporation'],[100]
320,haemonetics,Haemonetics Corporation,2811,haemonetics,[25317],['haemonetics'],['Haemonetics Corporation'],[100]
321,hain celestial,"The Hain Celestial Group, The Hain Celestial Group Inc, The Hain Celestial Group, Inc, The Hain Celestial Group, Inc.","6237, 6238, 6239, 6240",hain celestial,[31962],['hain celestial'],"['The Hain Celestial Group, Inc.']",[100]
322,halton,Halton Laboratories,2827,halton,[25381],['halton'],['Halton Co.'],[100]
323,hampshire,Hampshire Laboratories Inc,2835,hampshire,[26665],['hampshire'],['Hampshire Group Ltd'],[100]
324,hannaford brothers,Hannaford Brothers Company,2860,hannaford brothers,[27105],['hannaford brothers'],['Hannaford Brothers Co'],[100]
325,hanson,"Hanson Medical, Inc",2862,hanson,[26761],['hanson'],['Hanson plc'],[100]
326,harmon stores,"Harmon Stores, Harmon Stores Inc, Harmon Stores Inc., Harmon Stores, Inc","2870, 2871, 2872, 2873",harmon stores,[3629],['harmon stores'],['Harmon Stores Inc'],[100]
327,harris,"Harris Pharmaceutical, Inc, Harris Pharmaceutical, Inc.","2880, 2881",harris,"[25520, 27173]","['harris', 'harris']","['Harris Corporation', 'Harris Group Inc']","[100, 100]"
328,harris teeter,"Harris Teeter, Harris Teeter, LLC, Harris Teeter, LLC.","2882, 2883, 2884",harris teeter,[27339],['harris teeter'],['Harris Teeter Inc'],[100]
329,haw par,Haw Par Healthcare Ltd.,2893,haw par,[25590],['haw par'],['Haw Par Corporation Limited'],[100]
330,healthpoint,"HEALTHPOINT, LTD",2922,healthpoint,"[25834, 26564]","['healthpoint', 'healthpoint']","['Healthpoint Capital LLC', 'Healthpoint Ltd']","[100, 100]"
331,healthy directions,"Healthy Directions, Healthy Directions, LLC","2927, 2928",healthy directions,[45747],['healthy directions'],"['Healthy Directions, LLC']",[100]
332,henkel,Henkel Corporation,2949,henkel,"[25978, 25980]","['henkel', 'henkel']","['Henkel Corporation', 'Henkel Ltd']","[100, 100]"
333,henry schein,"Henry Schein, Henry Schein Inc, Henry Schein Inc., Henry Schein, Inc.","2951, 2952, 2953, 2954",henry schein,[26756],['henry schein'],['Henry Schein Inc'],[100]
334,heraeus kulzer,Heraeus Kulzer LLC,2956,heraeus kulzer,[26000],['heraeus kulzer'],['Heraeus Kulzer Inc.'],[100]
335,herbalife america,Herbalife International of America Inc.,2959,herbalife america,[26325],['herbalife america'],['Herbalife International of America Inc'],[100]
336,heritage,"Heritage Pharmaceuticals, Heritage Pharmaceuticals Inc, Heritage Pharmaceuticals Inc., Heritage Pharmaceuticals, Inc.","2967, 2968, 2969, 2971",heritage,"[8564, 11827]","['heritage', 'heritage']","['American Heritage Holdings', 'American Heritage International Inc.']","[100, 100]"
337,heritage labs,"Heritage Pharma Labs, Inc",2966,heritage labs,[26018],['heritage labs'],['Heritage Labs International LLC'],[100]
338,hero,"Hero, Hero LLC","2972, 2974",hero,"[26028, 27158]","['hero', 'hero']","['Hero Group', 'Hero AG']","[100, 100]"
339,heron therapeutics,"Heron Therapeutics, Heron Therapeutics, Inc.","2975, 2976",heron therapeutics,[3953],['heron therapeutics'],['Heron Therapeutics Inc.'],[100]
340,hi-tech pharmacal,"Hi-Tech Pharmacal Co. Inc., Hi-Tech Pharmacal Co., Inc.","2987, 2988",hi-tech pharmacal,[26377],['hi-tech pharmacal'],['Hi-Tech Pharmacal Co. Inc.'],[100]
341,hisamitsu america,"Hisamitsu America, Inc.",3002,hisamitsu america,[27267],['hisamitsu america'],['Hisamitsu America Inc'],[100]
342,hls therapeutics,"HLS Therapeutics (USA), Inc.",3006,hls therapeutics,[2542],['hls therapeutics'],['HLS Therapeutics Inc.'],[100]
343,hobart,"Hobart Laboratories, Inc.",3008,hobart,[26792],['hobart'],['Hobart Corporation'],[100]
