summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Topics,Scientific/Engineering,Artificial Intelligence,3976,6/17/21 12:20,machine-learning|deep-learning|tensorflow|nlp|pytorch|artificial-intelligence|neural-network|natural-language-processing|neural-networks|machine-learning-algorithms|nlp-machine-learning|machine-learning-library|machinelearning|text-mining|word2vec|machine-learning-api|automated-machine-learning|keras-tensorflow|tensorflow-examples|tensorflow2|node2vec|tensorflow-tutorials|tensorflow-models|tensorflow-lite|browser-tensorflow|dcgan-tensorflow|rnn-tensorflow|sklearn-tensorflow-ml|tensorflow-api|tensorflow-binding|tensorflow-classification|tensorflow-cookbook|tensorflow-emscripten|tensorflow-experiments|tensorflow-framework|tensorflow-gpu|tensorflow-hmm|tensorflow-io|tensorflow-java|tensorflow-keras|tensorflow-library|tensorflow-mobile|tensorflow-serving|tensorflow-src-learnt|tensorflow-tool|tensorflowjs|tensorflowlite|tensorflowsharp|artificial-neural-network|back-propagation|back-propagation-neural-network|computational-intelligence|computer-vision|convolutional-neural-network|deep-belief-network|deep-convolutional-neural-network|deep-learn|deep-neural-network|elman-network|elman-neural-network|expert-system|fee-forward-neural-network|inference-engine|machine-intelligence|machine-learn|machine-translation|machine-vision|multilayer-neural-network|natural-language-process|random-forest|rbf-neural-network|recurrent-neural-network|self-organize-map|spike-neural-network|supervise-learn|support-vector-machine|svm-classifier|unsupervised-learn|adaboost|perceptron|bioinformatics|humanoid|robot|sarsa|actor-critic|analog-vlsi|associative-memory|autonomous-vehicle|bayes-classifer|bayesian-belief-network|camera-calibration|collaborative-system|commonsense-reason|computational-biology|datum-mine|decision-tree|description-logic|dimensionality-reduction|discriminant-analysis|fuzzy-logic|gene-ontology|hide-markov-model|image-alignment|image-match|information-retrieval|kegg-pathway|knowledge-base|knowledge-representation-and-reason|linear-discriminant|markov-decision-process|mulitclass-classification|naive-bayes|name-entity-recognition|near-neighbor-classifier|neural-network|neuro-fuzzy|neuromorphic-compute|neuromorphic-hardware|non-rigid-registration|nonmonotonic-reason|object-recognition|opinion-mine|optimal-search|pattern-analysis|pattern-recognition|person-re-identification|principal-component-analysis|question-answer|radial-basis-function|rbf-kernel|reinforcement-learn|rigid-registration|sensor-datum-fusion|sensor-network|speech-recognition|stereo-match|symbolic-reason|system-and-control-theory|template-match|text-categorization|text-mine|text-summarization|word-sense-disambiguation,,
Topics,Scientific/Engineering,Mathematics,3943,6/17/21 12:20,,,
Topics,Scientific/Engineering,Bio-Informatics,3517,6/17/21 12:20,,,
Topics,Scientific/Engineering,Simulations,3139,6/17/21 12:20,,,
Topics,Scientific/Engineering,Visualization,3071,6/17/21 12:20,visualization|data-visualization|visualisation|network-visualization|scientific-visualization|visualizer|interactive-visualizations|data-visualisation|genomics-visualization|d3-visualization|datavisualization|geovisualization|visualizations,,
Topics,Scientific/Engineering,Information Analysis,2233,6/17/21 12:20,,,
Topics,Scientific/Engineering,Physics,1655,6/17/21 12:20,,,
Topics,Scientific/Engineering,Mapping,1424,6/17/21 12:20,,,
Topics,Scientific/Engineering,Medical Science Applications,1224,6/17/21 12:20,,,
Topics,Scientific/Engineering,Robotics,1164,6/17/21 12:20,,,
Topics,Scientific/Engineering,Human Machine Interfaces,1140,6/17/21 12:20,,,
Topics,Scientific/Engineering,Chemistry,832,6/17/21 12:20,,,
Topics,Scientific/Engineering,Electronic Design Automation,786,6/17/21 12:20,,,
Topics,Scientific/Engineering,Earth Sciences,737,6/17/21 12:20,,,
Topics,Scientific/Engineering,Astronomy,715,6/17/21 12:20,,,
Topics,Scientific/Engineering,Test and Measurement,656,6/17/21 12:20,,,
Topics,Scientific/Engineering,Molecular Science,554,6/17/21 12:20,,,
Topics,Scientific/Engineering,Linguistics,455,6/17/21 12:20,,,
Topics,Scientific/Engineering,Interace Engine/Protocol Translator,440,6/17/21 12:20,,,
Topics,Scientific/Engineering,Mechanical and Civil Engineering,400,6/17/21 12:20,,,
Topics,Scientific/Engineering,Ecosystem Sciences,299,6/17/21 12:20,,,
Topics,Scientific/Engineering,SCADA,151,6/17/21 12:20,,,
Topics,Scientific/Engineering,Building Automation,114,6/17/21 12:20,,,
Topics,Scientific/Engineering,Medical Physics,85,6/17/21 12:20,,,
Topics,Scientific/Engineering,Molecular Mechanics,41,,,,
Topics,Scientific/Engineering,Quantum Computing,34,6/17/21 12:20,,,
Topics,Social Sciences,,773,6/17/21 12:20,,,
Topics,Social Sciences,Geneology,181,6/17/21 12:20,,,
Topics,Social Sciences,History,135,6/17/21 12:20,,,
Topics,Social Sciences,Psychology,75,6/17/21 12:20,,,
Topics,Social Sciences,Voting,47,6/17/21 12:20,,,
Topics,Social Sciences,Politics,45,6/17/21 12:20,,,
Topics,Software Development,,44976,6/17/21 12:20,,,
Topics,Software Development,Internationalization and Location (I18N),7968,6/17/21 12:20,,,
Topics,Software Development,Libraries,3779,6/17/21 12:20,,,
Topics,Software Development,Code Generators,3647,6/17/21 12:20,,,
Topics,Software Development,User Interfaces,3407,6/17/21 12:20,,,
Topics,Software Development,Build tools,3386,6/17/21 12:20,,,
Topics,Software Development,Testing,2432,6/17/21 12:20,,,
Topics,Software Development,Object Oriented,2394,6/17/21 12:20,,,
Topics,Software Development,Compilers,2256,6/17/21 12:20,,,
Topics,Software Development,Algorithms,1983,6/17/21 12:20,,,
Topics,Software Development,Version Control,1220,6/17/21 12:20,,,
Topics,Software Development,Debuggers,1161,6/17/21 12:20,,,
Topics,Software Development,Quality Assurance,1146,6/17/21 12:20,,,
Topics,Software Development,Design,1114,6/17/21 12:20,,,
Topics,Software Development,Modeling,1074,6/17/21 12:20,,,
Topics,Software Development,Frameworks,1050,6/17/21 12:20,,,
Topics,Software Development,Virtual Machines,742,6/17/21 12:20,,,
Topics,Software Development,Usability,736,6/17/21 12:20,,,
Topics,Software Development,Application Servers,497,6/17/21 12:20,,,
Topics,Software Development,Object Brokering,484,6/17/21 12:20,,,
Topics,Software Development,Agile development tools,447,6/17/21 12:20,,,
Topics,Software Development,Profiling,405,6/17/21 12:20,,,
Topics,Software Development,CASE,401,6/17/21 12:20,,,
Topics,Software Development,Source Code Analysis,352,6/17/21 12:20,,,
Topics,Software Development,Templates,337,6/17/21 12:20,,,
Topics,Software Development,Cross compilers,330,6/17/21 12:20,,,
Topics,Software Development,Collaborative Development Tools,240,6/17/21 12:20,,,
Topics,Software Development,Object Relational Mapping (ORM),227,6/17/21 12:20,,,
Topics,Software Development,Source Code Browsing,147,6/17/21 12:20,,,
Topics,Software Development,Source Code Review,139,6/17/21 12:20,,,
Topics,Software Development,Assemblers,107,6/17/21 12:20,,,
Topics,Software Development,Binary editors,90,6/17/21 12:20,,,
Topics,Software Development,Package Manager,31,6/17/21 12:20,,,
Utility,Security,,6977,6/17/21 12:20,security|cryptography|privacy,,
Utility,Security,Cryptography,2267,6/17/21 12:20,cryptography|encryption,,
Utility,Security,Password Manager,333,6/17/21 12:20,password management,,
Utility,Security,Anti-Malware,163,6/17/21 12:20,anti-malware,,
Utility,Security,Anti-Virus,144,6/17/21 12:20,anti-virus,,
Utility,Security,Anti-Spam,80,6/17/21 12:20,anti-spam,,
Utility,,,NA,6/17/21 12:20,,,
