Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Web link of the tool,Variables Used (list all that apply),Geographic Levels,Geographic Levels2,number of geographic levels,Data Sources-Census,Data Sources-Census2,Data Sources-Non Census,Data Sources-Non Census2,Direct links to Census,Census link,Frequency,Age of data,Age of data2,Age of data_range,Historical data,Data Linkage,Citation,Notes
,California,Estimates,Table Download,Summary Population and Housing Data:  2020,,"Total population, Population 18 years and older, Household population, Group quarters population, persons per square mile, total housing units, occupied housing units, Vacant housing units, vacancy rate","California, Counties, Incorporated Cities/Towns, and Census Designated Places (CDP)","State, County,  City/Town, Census Designated Place",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Download,Population in Group Quarters by Major Type,,"Total group quarters, total institutional group quarters, correctional facilities for adults, juvenile facilities, nursing facilities/skilled nursing facilities,other instituitional facilities, total non institutional group quarters, college/university student housing, military quarters, other non institutional facilities","California, Counties, Incorporated Cities/Towns, and Census Designated Places (CDP)","State, County,  City/Town, Census Designated Place",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Download,Summary Population and Housing Data:  2020 Census,,"Total population, Population 18 years and older, Household population, Group quarters population, persons per square mile, total housing units, occupied housing units, Vacant housing units, vacancy rate","California, Counties, and Census Tracts","State, County, Census Tract",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Download,Population in Group Quarters by Major Type,,"Total population, Population 18 years and older, Household population, Group quarters population, persons per square mile, total housing units, occupied housing units, Vacant housing units, vacancy rate","California, Counties, and Census Tracts","State, County, Census Tract",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Viewer/Download,2020 Census Redistricting Profile - US,https://dof.ca.gov/wp-content/uploads/sites/352/Forecasting/Demographics/Documents/2020Census_PL942020_Profile_USA.pdf,"Population type, count, percent",United States,Nation,,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Viewer/Download,2020 Census Redistricting Profile - California and Counties,https://dof.ca.gov/wp-content/uploads/sites/352/Forecasting/Demographics/Documents/2020Census_PL942020_Profile_CalifSTCO.pdf,"Population type, count, percent",California and Counties,"State, County",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Viewer ,Full 2020 Demographic Profile for California and counties,https://dof.ca.gov/forecasting/Demographics/2020-census-data/#DP,"Population type, count, percent",California and Counties,"State, County",,US Census Bureau,Census Bureau,,,Y,https://data.census.gov/table?g=050XX00US06003&d=DEC+Demographic+Profile,As released,2020,2020,2020,N ,N,N ,
,California,Estimates,Table Download,"January Population and Housing Estimates for Cities, Counties, and the State  
January 1, 2022 and 2023",,"Total Population, Total Housing: 1/1/2022-1/1/2023","City, County, State","State, County, City/Town",,,,"Data used in estimation models come from administrative records of several state and federal government departments and agencies, and from the local jurisdictions for which Finance produces population estimates.",,N,N,As released,2023,2023,2022,Y,N,Y,
,California,Estimates,Table Download,"July Population California County Population Estimates and Components of Change by Year — July 1, 2020-2022",,"Total population; Change: Number and Percent; Components of change: Births, Deaths, Natural Increase, Net Migration, Net immigration, Net domestic migration",County,County,,,,"Data used in estimation models come from administrative records of several state and federal government departments and agencies, and from the local jurisdictions for which Finance produces population estimates.",,N,N,As released,2022,2022,"2020, 2022",Y,N,N,
,California,Projections,Table Download,"Total Estimated and Projected Population for California: July 1, 2010 to 2060",,"Estimates, Projections",State,State,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Total Estimated and Population Projections by Single Year of Age, 2010-2060",,"Median Age, Estimates and Projections by age",State,State,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Total Estimated and Projected Population for California by 5-year Age Group and Sex: July 1, 2010 to 2060",,Estimates and projections by sex and 5-year age group,State,State,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Total Estimated and Projected Population for California and Counties: July 1, 2010 to 2060",,"Estimates, Projections",County,County,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Population Projections by Individual Year of Age, 2010-2060",,"Median Age, Estimates and Projections by age",County,County,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Population Projections by Sex and 5-year Age Group, 2010-2060",,Estimates and projections by sex and 5-year age group,County,County,,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Population Projections Race/Ethnicity and Sex by Individual Years of Age, 2010 to 2060",,"Estimates and projections by age, sex, race/ethnicity","State, County","State, County",,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Projected Total Population and Components of Change, 2010-2060",,"Starting data: Starting year, Start population; Components of change: Births, Deaths, Net migration; Ending data: End year, End population","State, County","State, County",,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,"Historical and Projected Fertility Rates and Births, 
Calendar Year 1990-2040",,"By calendar year: Births by mother's age, Fertility rate of women by age, total births","State, county","State, County",,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,Household Projections for California Counties: 2020–2030,,"Total population, Household population, Group Quarters, Total households, PPH","State, county","State, County",,"Census, ACS PUMS","Census Bureau, ACS ","California Department of Public Health, Department of Finance estimated migration, e driver’s license address changes, IRS tax return data, Medicare and Medi-Cal enrollment,
federal immigration reports, elementary school enrollments, and group quarters population","California Department of Public Health, Department of Finance,  Driver’s License Address, IRS, Medicare and Medi-Cal enrollment, California Department of Education, Immigration Statistics",N,N,As released,2020,2020,2020,N ,N,Y,
,California,Projections,Table Download,California Public K–12 Graded Enrollment and High School Graduate Projections by County — 2022 Series,,"K-12 Enrollment, HS graduates, ","State, county","State, County",,,,"California Department of Education, California Department of Public Health, Demographic Research Unit","California Department of Education, California Department of Public Health, Demographic Research Unit",N,N,As released,2022,2022,2022,N ,N,Y,
,Colorado,Estimates,Table Download,Preliminary Population Estimates for Colorado regions 2000-2021,,Population estimates,"State, Substate Regions, County","State, Substate Region, County",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2021,2021,Y,N,N,
,Colorado,Estimates,Table Download,State and Regional Population Profiles 1985-2020,,"Total population, births, census building permits, deaths, group quarters population, household population, natural increase, net migration, total housing units, vacant housing units, vacancy rate, household size ","State, Region","State, Region",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2020,"1985, 2020",Y,N,N,
,Colorado,Estimates,Table Download,"State and Regional Population Estimates by Race/Ethnicity, Age and Sex 2010-2020",,"Year, age, race, sex, ethnicity, county","State, Region","State, Region",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2020,2020,"2010, 2020",Y,N,N,
,Colorado,Estimates,Table Download,"State and Regional Population Estimates by Race/Ethnicity, Age and Sex 2020-Current Estimate Year",,"Year, age, race, sex, ethnicity, county","State, Region","State, Region",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2021,"2020, 2021",Y,N,N,
,Colorado,Estimates,Table Download,State and Regional Population Estimates by Single Year od Age 1990-2050,,"Year, age, datatype (estimate, forecast), male population, femle population, total population","State, Region","State, Region",,"Census American Community Survey Public Use Microdata Samples data , Current Population Survey , Survival and fertility rates calculated by Census, decennial census data to calculate net migration","ACS, CPS, Census Bureau, Decennial Census",,,N,N,As released,2021,2021,2021,N ,N,N,
,Colorado,Projections,Table Download,"State, Substate Regions, County Population 5-year Forecasts, 2000 to 2050",,"Estimates, projections and average annual percent change in 5-year group","State, Substate Regions, County","State, Substate Region, County",,"Census American Community Survey Public Use Microdata Samples data , Current Population Survey , Survival and fertility rates calculated by Census, decennial census data to calculate net migration","ACS, CPS, Census Bureau, Decennial Census",,,N,N,As released,2021,2021,2021,N ,N,N,
,Colorado,Projections,Table Download,"State, Substate Regions, County Population 1-year Forecasts, 2000 to 2050",,"Estimates, projections  in 1-year group","State, Substate Regions, County","State, Substate Region, County",,"Census American Community Survey Public Use Microdata Samples data , Current Population Survey , Survival and fertility rates calculated by Census, decennial census data to calculate net migration","ACS, CPS, Census Bureau, Decennial Census",,,N,N,As released,2021,2021,2021,N ,N,N,
,Colorado,Estimates,Table Download,"County Population Estimates, 2010 to current year",,"July 2010, Census 2020, July 2020, July 2021,  2021 rank",County,County,,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,"2010, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"County Race and Ethnicity Estimates by Age Group, Current Year",,"Total population: Total, 18 and over, less than 18; White alone, non-Hispanic: Total, 18 and over, less than 18; Hispanic: Total, 18 and over, less than 18; Black or African American alone non Hispanic: Total, 18 and over, less than 18; Asian alone, non-Hispanic: Total, 18 and over, less than 18; Native Hawaiian and Other Pacific Island alone, non-Hispanic: Total, 18 and over, less than 18; American Indian alone, non-Hispanic: Total, 18 and over, less than 18; Two or more, non-Hispanic: Total, 18 and over, less than 18",County,County,,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,2021,N ,N,N ,
,Colorado,Estimates,Table Download,"County Estimates by Age Group, Current Year",,"Total population all ages; Age group: less than 18, 18 to 24, 25 to 44, 45 to 64, 65 and over; Share of total by Age group: less than 18, 18 to 24, 25 to 44, 45 to 64, 65 and over",County,County,,,,,,N,N,As released,2021,2021,2021,N ,N,N ,
,Colorado,Estimates,Table Download,"Median Age by County, 1990-2050",,Estimated and projected population by year,County,County,,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2019,2019,2019,N ,N,N ,
,Colorado,Estimates,Table Download,"County Population Profiles, 1985 to Current Year",,"Total population, births, census building permits, deaths, group quarters population, household population, households, natural increase, net migration, total housing units, vacant housing units, vacancy rate, household size ",County,County,,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2021,"1985, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"County Population Estimates by Race/Ethnicity, Age and Sex, 2010 to 2020",,"Race, Ethinicity, Sex, Age, Year, Count",County,County,,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,Colorado,Estimates,Table Download,"County Population Estimates by Race/Ethnicity, Age and Sex, 2020 to Current Estimate Year",,"Race, Ethinicity, Sex, Age, Year, Count",County,County,,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,"2020, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"County Population Estimates by Single Year of Age, 1990 to 2050",,"Year, Age, County, Male population, Female population, Total population, Datatype",County,County,,"Census American Community Survey Public Use Microdata Samples data , Current Population Survey , Survival and fertility rates calculated by Census, decennial census data to calculate net migration","ACS, CPS, Census Bureau, Decennial Census",,,N,N,As released,2021,2021,2021,N ,N,N ,
,Colorado,Estimates,Table Download,Population density by County,,"April 2020 population, Square miles, acres, person per square mile","State, County","State, County",,,,,,N,N,As released,2020,2020,2020,N ,N,N ,
,Colorado,Projections,Table Download,"County Population 5-year Forecasts, 2010 to 2050",,"SDO estimates: 2010, 2015, 2020;SDO Projections: 2025, 2030, 2035, 2040, 2045, 2050 (SDO=State Demography Office)","State, County","State, County",,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,2021,N ,N,N ,
,Colorado,Projections,Table Download,"County Population 1-year Forecasts, 2000 to 2050",,SDO estimates and projections by year (SDO=State Demography Office),"State, County","State, County",,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,2021,N ,N,N ,
,Colorado,Estimates,Table Download,"Municipalities within County estimates, 2010 to current year",,"County FIPS, Place FIPS, Area, July 2010, Census 2020, July 2020, July 2021","County, Municipality","County, Municipality",,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,"2010, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"Municipalities ranked by population, current year",,"County FIPS, Place FIPS, Area, Census 2020, July 2020, July 2021, 2021 Rank","County, Municipality","County, Municipality",,,,Colorado State Demography Office,Colorado State Demography Office,N,N,As released,2021,2021,"2020, 2021",N ,N,N ,
,Colorado,Estimates,Table Download,"County and Muncipal Timeseries, 1980 to Current Year",,"County FIPS, Place FIPS, Municipality Name, Year, Total population","County, Municipality","County, Municipality",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2021,"1980, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"Municipal Population and Housing Timeseries, 2010 to Current Year",,"Year, County FIPS, Place FIPS, Total population, Household population, Group Quarters Population, Household size, Total housing, Occupied housing, Vacant housing, Vacancy percent","County, Municipality","County, Municipality",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2021,2021,"2010, 2021",Y,N,N ,
,Colorado,Estimates,Table Download,"County and Municipal Population tools, 1870-2010",,"Area name, area type, incorporation year, county incorporated, population year, total population","County, Municipality","County, Municipality",,,,"Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey sent to local govt by SDO, IRS, Medicare and Immigration Statistics","Colorado Department of Public Heath and Environment, Annual Residential Construction and Group Quarters Survey, IRS, Medicare, Immigration Statistics",N,N,As released,2010,2010,"1870, 2010",Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Census Annual Population Estimates by County,,"Year, Population estimates","State, County","State, County",,US Census,Census Bureau,,,N,N,As released,2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Census Annual Population Estimates by Town,,"Year, Population estimates","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Decennial Population by County,,"Year, Gender, Race/Ethnicity, Age Cohort, Measure type: number and percent, population","State, County","State, County",,US Census,Census Bureau,,,N,N,As released,2010,2010,2010,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Decennial Population by Town,,"Year, Gender, Race/Ethnicity, Age Cohort, Measure type: number and percent, population","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2010,2010,2010,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,DPH Annual Population Estimates by County,,"Year, Measure type : number and percent, estimated population","State, County","State, County",,,,Connecticut Department of Public Health,Connecticut Department of Public Health,N,N,As released,2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,DPH Annual Population Estimates by Town,,"Year, Measure type : number and percent, estimated population","State, Town","State, City/Town",,,,Connecticut Department of Public Health,Connecticut Department of Public Health,N,N,As released,2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Population by Age by County,,"Year (5-year intervals), Race ethnicity, gender,  Age cohort, population","State, County","State, County",,US Census,Census Bureau,,,N,N,As released,2014-2018,2018,2018,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Population by Age by Town,,"Year (5-year intervals), Race ethnicity, gender, Age cohort, population","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2016-2020,2020,2020,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Population by Race by County,,"Year (5-year intervals), Race ethnicity, population","State, County","State, County",,US Census,Census Bureau,,,N,N,As released,2015-2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Population by Race by Town,,"Year (5-year intervals), Race ethnicity,  population","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2016-2020,2020,2020,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Median Age by County,,"Year (5-year intervals), Race/ethnicity, gender, median age","State, County","State, County",,US Census,Census Bureau,,,N,N,As released,2015-2019,2019,2019,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Median Age by Town,,"Year (5-year intervals), Race/ethnicity, gender, median age","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2017-2021,2021,2021,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Veteran Status,,"Year (5-year intervals), age cohorts, veteran status, gender, value","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2017-2021,2021,2021,Y,N,N ,
,Connecticut,Estimates,Table Viewer/Download,Birth data,,"Year, Indicator: Birth count, birth rate, population","State, Town","State, City/Town",,US Census,Census Bureau,,,N,N,As released,2020,2020,2020,Y,N,N ,
,Connecticut,Projections,Table Viewer/Download,Population Projections by County till 2025,,"State, year, gender, age cohort, projected population","State, County","State, County",,,,CT State Data Center,CT State Data Center,N,N,As released,,,,,N,N ,
,Connecticut,Projections,Table Viewer/Download,Population Projections by Town till 2040,,"State, year, gender, age cohort, projected population","State, Town","State, City/Town",,,,CT State Data Center,CT State Data Center,N,N,As released,,,,,N,N ,
,Connecticut,Estimates,Table Viewer,ACS 2021 Tool,https://acs2021.ctdata.org/,"Median household income, per capita income, median home value, median gross rent, median age, total population, % with bachelor degree or higher, %w/o health insurance, % working from home, % self employed, households receiving SNAP/Food stamps, families living in poverty, people with a disability, population not speaking english at home",Towns,City/Town,,"2011, 2016, and 2021 US Census American Community Survey estimates, 5-year estimates.",ACS,,,Y,Y,As released,2021,2021,2021,Y,N,N ,
,Connecticut,Estimates,Table Viewer,Connecticut ACS 2018 Map,https://acs2018.ctdata.org/,"Median household income, per capita income, median home value, median gross rent, population, median age, % high school graduates or higher, % population with bachelor's degree or higher",Towns and Census Tracts,"City/Town, Census Tract",,"American Community Survey 2018 5-year estimates, ACS 2013 5-year estimates",ACS,,,N,N ,As released,2018,2018,2018,N ,N,N,
,Connecticut,Estimates,Infographic,County Stories,https://countystories.ctdata.org/,,County,County,,,,CT Data Collaborative,CT Data Collaborative,N,N ,As released,N/A,N/A,N/A,N ,N,N,
,Connecticut,Estimates,Infographic,DMHAS Regional Data Stories,https://dmhasregions.ctdata.org/,,Regions,Region,,,,CT Data Collaborative,CT Data Collaborative,N,N ,As released,N/A,N/A,N/A,N ,N,N,
,Connecticut,Estimates,Table Viewer,Connecticut Population and Demographics Changes between 2010 and 2020,https://www.ctdata.org/census-2020-explorer-page,"2010 Census, 2020 Census, Change",Towns,City/Town,,US Census,Census Bureau,,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,Connecticut,Estimates,Report,Connecticut Demographic Report,https://www.ctdata.org/demographics-report,"Population, Housing, Race and Ethnicity, Youth Population decline, Household income",,,,,,,,,,,,,,,,,
,Connecticut,Estimates,Table Download,Census 2020 Redistricting Data,,"Race, Housing units total, Housing units occupied, Housing units vacant","Census tract, counties, towns, blocks","Census Tract, County, City/Town, Block",,,,,,,,,2020,2020,2020,,,,
,Connecticut,Estimates,Crosswalk,Census 2020 Geospatial Tools -2010 And 2020 Census Tracts → Town,https://github.com/CT-Data-Collaborative/ct-census-tract-to-town,,,,,,,,,N,N,As released,2020,2020,2020,Y,Y,N ,
,Connecticut,Estimates,Crosswalk,Census 2020 Geospatial Tools - 2010 And 2020 Census BLOCKS → Town,https://github.com/CT-Data-Collaborative/ct-census-block-to-town,,,,,,,,,N,N,As released,2020,2020,2020,Y,Y,N ,
,Connecticut,Estimates,Crosswalk,Geospatial Data Tools,https://www.ctdata.org/geospatial-data-tools-gis,,,,,,,,,N,N,As released,2020,2020,2020,Y,Y,N ,
,Connecticut,Estimates,Crosswalk,Connecticut 2010 Census Tract to Town Converter,,,,,,,,,,N,N,As released,2010,2010,2010,Y,Y,N ,
,District of Columbia,Estimates,Infographic,Data Profiles,https://opdatahub.dc.gov/,"Population, Income, Race & Ethnicity, Households, Educational Attainment, At-risk populations, Housing, Age distribution","DC, Ward","State, Ward",,American Community Survey (ACS) 2017-2021 5-year Estimates,ACS,,,,,,,,,,,,
,District of Columbia,Estimates,Infographic,Demographic and Economic Analysis,https://opdatahub.dc.gov/,"By ward: Total Population, Median household income, bachelor's degree or higher, owner-occupied households, renter-occupied households, poverty rate, disability rate, internet subscriptions; By census tract: black population, foreign-born population, 65 and older population, average household size, Median household income, bachelor's degree or higher, uninsured population, median age,  poverty rate, umemployment rate, internet subscriptions","Ward, census tract","Ward, Census Tract",,American Community Survey (ACS) 2017-2021 5-year Estimates,ACS,,,N,N,As released,2021,2021,2021,N ,N,N,
,District of Columbia,Estimates,Report,2017-2021 ACS Key Demographic Indicators,https://planning.dc.gov/sites/default/files/dc/sites/op/publication/attachments/Key%20Indicators%202017-2021.pdf,"Total Population, Population by age, Population by race, Hispanic/Latino Population, Foreign-born population, Commuting to work, Mean travel time to work, Households with vehicles, % employed, Educational attainment, Income, Poverty, Housing Occupancy, Meadian value of owner occupied housing units, median monthly gross rent, Households by type, average household size, average family size, language spoken at home","US, DC, Ward","Nation, State, Ward",,"U.S. Census Bureau, 2017-2021 American Community Survey 5-Year Estimates Using the 2022 Ward Boundaries","Census Bureau, ACS",,,N,N,As released,2021,2021,2021,N ,N,N,
,District of Columbia,Estimates,Map,Population Change by Ward 2010-2020,https://planning.dc.gov/sites/default/files/dc/sites/op/publication/attachments/Map%20-%20Population%20Change%20by%20Ward%202010-2020.pdf,"2020 population, 2010 population, change",Ward,Ward,,2020 Census Redistricting Data (Public Law 94-171); US Census Bureau,"Census Redistricting, Census Bureau",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N,
,District of Columbia,Estimates,Map,2020 Census Population by Census Tract with Ward Table,https://planning.dc.gov/sites/default/files/dc/sites/op/publication/attachments/Map%202%20-%202020%20Census%20Population%20by%20Census%20Tract%20with%20Ward%20Table.pdf,Estimated population,"Ward, Census tract","Ward, Census Tract",,2020 Census Redistricting Data (Public Law 94-171); US Census Bureau,"Census Redistricting, Census Bureau",,,N,N,As released,2020,2020,2020,N ,N,Y,
,District of Columbia,Estimates,Map,Census Tract Map Book for Ward Redistricting,https://planning.dc.gov/sites/default/files/dc/sites/op/publication/attachments/Census%20Tract%20Map%20Book%20for%20Ward%20Redistricting.pdf,2020 population,"Ward, Census tract","Ward, Census Tract",,2020 Census Redistricting Data (Public Law 94-171); US Census Bureau,"Census Redistricting, Census Bureau",,,N,N,As released,2020,2020,2020,N ,N,Y,
,District of Columbia,Estimates,Table Download,District of Columbia 2010 & 2020 Ward Population and Change,,"2020 population, 2010 population, change",Ward,Ward,,"U.S. Census Bureau, 2020 Census Redistricting Data (Public Law 94-171) Summary File","Census Redistricting, Census Bureau",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N,
,District of Columbia,Estimates,Table Download," Population by Race and Hispanic or Latino Origin, for All Ages and for 18 Years and Over, for the District of Columbia:  2010 & 2020",,"By all ages, for 18 and over and race: 2020 population, 2010 population, change",DC,State ,,"U.S. Census Bureau, 2020 Census Redistricting Data (Public Law 94-171) Summary File","Census Redistricting, Census Bureau",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N,
,District of Columbia,Estimates,Table Download, District of Columbia Population by Ward by Race and Hispanic or Latino Origin: 2010* and 2020,,"By race: 2020 census, 2010 census ","DC, Ward","State, Ward",,"U.S. Census Bureau, 2010 and 2020 Census ","Decennial Census, Census Redistricting",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N,
