Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
GIAC Certified Enterprise Defender,31,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.2997,0.4254,0.1437
Industrial Electricity Certificate,43,Packaging Machinery Manufacturers Institute (PMMI),Mechatronics - Industrial Electricity 2,0.2676,0.4748,0.1433
Red Hat Certified Architect (RHCA),10,RedHat,Red Hat Certified Engineer (RHCE),0.2986,0.4238,0.1427
Business Services Certificate,6,Society of Cable Telecommunications Engineers,Business Class Services Specialist,0.2665,0.4729,0.1421
Certified Medical Assistant,684,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.2656,0.4712,0.1411
Certified Professional Locksmith,20,Associated Locksmiths of America,Certified Professional Locksmith,0.2295,0.5430,0.1405
Class 1 Operator,3,Association of Boards of Certification,Certified Operator Class I,0.2646,0.4694,0.1400
Auto Repair Certification,1099,National Institute for Automotive Service Excellence,Auto Maintenance and Light Repair Certification,0.3237,0.3829,0.1397
Certified Working Chef,4,American Culinary Federation,Certified Working Pastry Chef (CWPC),0.2953,0.4191,0.1395
Health Care Administration,5,Emergency Care & Safety Institute (ECSI),Health Care Provider CPR,0.2634,0.4673,0.1387
Fire Inspector I,225,International Municipal Signal Association,Traffic Signal Inspector Level I,0.3668,0.3345,0.1383
Broadband Distribution Specialist,24,Society of Cable Telecommunications Engineers,Broadband TelecomCenter Specialist,0.2274,0.5380,0.1379
Microsoft Certified IT Professional (MCITP),26,Microsoft,Microsoft Certified Professional,0.2273,0.5377,0.1378
Microsoft Certified Professional (MCP),1014,Microsoft,Microsoft Certified Professional,0.2273,0.5377,0.1378
Professional Medical Services Management,53,Federal Emergency Management Agency (FEMA),Radiological Emergency Management,0.4416,0.2764,0.1376
Associate in Risk Management,13,Federal Emergency Management Agency (FEMA),Social Media in Emergency Management,0.3693,0.3289,0.1369
Certification in Risk Management Assurance (CRMA),13,Federal Emergency Management Agency (FEMA),Social Media in Emergency Management,0.3693,0.3289,0.1369
Certified Defense Financial Manager (CDFM),20,Global Association of Risk Professionals (GARP),Financial Risk Manager (FRM),0.2615,0.4640,0.1368
Certified Government Financial Manager (CGFM),25,Global Association of Risk Professionals (GARP),Financial Risk Manager (FRM),0.2615,0.4640,0.1368
Registered Phlebology Sonographer,1,American Registry for Diagnostic Medical Sonography (ARDMS),Registered Diagnostic Medical Sonographer ,0.2615,0.4640,0.1368
Certified Laboratory Assistant,1,American Association for Laboratory Animal Science,Assistant Laboratory Animal Technician,0.2613,0.4636,0.1366
Certified Administrative Professional,273,International Association of Administrative Professionals,Certified Administrative Professional,0.2262,0.5351,0.1365
Registered Environmental Health Specialist,17,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.3384,0.3575,0.1364
Certified Food and Beverage Executive,6,National Restaurant Association,Principles of Food and Beverage Management 2.0,0.3447,0.3495,0.1358
Federal Aviation Administration (FAA) Certification,220,Federal Aviation Administration (FAA),Aviation Mechanic Powerplant (AMP) Certificate,0.6066,0.1984,0.1357
Certified Risk Manager (CRM),1,Global Association of Risk Professionals (GARP),Financial Risk Manager (FRM),0.2604,0.4621,0.1356
Residential Energy Services Network (Resnet),33,Residential Energy Services Network,Certified Home Energy Rater,0.5225,0.2289,0.1348
Certified Business Analysis Thought Leader (CBATL),1,International Institute of Business Analysis,Certified Business Analysis Professional (CBAP),0.2898,0.4114,0.1344
Board Certified in Emergency Medicine,31,Federal Emergency Management Agency (FEMA),Emergency Planning,0.2492,0.4767,0.1339
Building Energy Modeling Professional,11,Association of Energy Engineers,Certified Building Energy Simulation Analyst,0.3267,0.3633,0.1338
NICET Electrical Power Testing,16,National Coalition of Certification Centers (NC-3),Applied Fluid Power,0.3761,0.3152,0.1337
Medical Front Office,1,National Center for Competency Testing (NCCT),Medical Office Assistant (NCMOA),0.2583,0.4583,0.1335
ASCP Medical Laboratory Scientist,2,American Medical Technologist (AMT),Medical Laboratory Technician (MLT),0.2572,0.4564,0.1323
Certified Dental Technician,192,National Board for Certification in Dental Laboratory Technology,Certified Dental Technician,0.2221,0.5254,0.1315
Registered Radiologic Technologist,135,American Registry of Radiologic Technologists (ARRT),Registered Technologist in Radiography RT(R) ,0.3917,0.2967,0.1310
Interior Design Certification,4,United States Green Building Council (USGBC),LEED AP Interior Design + Construction,0.3134,0.3699,0.1307
Certified Building Official,220,International Code Council,Certified Building Official - Legal Module,0.2857,0.4056,0.1306
Cam Programming Certificate,1,Brainbench,HTML5 Certificate,0.2592,0.4467,0.1305
Certified Lead Inspector,25,Environmental Protection Agency (EPA),Lead Safe Inspector Certification,0.2554,0.4532,0.1305
Association of Energy Engineers (AEE),6,Association of Energy Engineers (AEE),Certified Energy Managers (CEM),0.5035,0.2289,0.1299
Subspecialty Certification in Cardiac Surgery,87,National Center for Competency Testing,Tech in Surgery - Certified,0.2547,0.4519,0.1297
Certified Respiratory Therapy Assistant,241,National Board for Certification in Occupational Therapy,Certified Occupational Therapy Assistant (COTA),0.2836,0.4025,0.1287
Certified Dental Assistant,53,Dental Assisting National Board,Certified Preventative Functions Dental Assistant,0.2814,0.3994,0.1267
Citrix Certified Integration Architect,15,Citrix Systems Incorporated,Citrix ShareFile Certified,0.2986,0.3757,0.1264
Certified in Backflow Prevention,2,International Association of Plumbing and Mechanical Officials,Backflow Prevention Assembly Repairer Certification,0.2807,0.3984,0.1261
AWS Certified Welder,9,American Welding Society (AWS),Certified Welder (CW),0.2975,0.3757,0.1260
Microsoft Dynamics CRM Certification,12,Microsoft Corporation,Microsoft Certified: Dynamics 365 Fundamentals,0.2796,0.3969,0.1251
Supply Chain Analyst,1,APICS,APICS Certified Supply Chain Professional,0.2796,0.3969,0.1251
LEED AP,533,Green Business Certification Inc.,LEED AP Building Design + Construction,0.2796,0.3969,0.1251
Certified Labview Associate Developer,1,aws.amazon.com ,AWS Certified Developer (Associate),0.2494,0.4426,0.1244
Fire Inspector II,83,International Municipal Signal Association,Interior Fire Alarm Technician Level II,0.3698,0.2980,0.1242
Cisco Certified Design Expert (CCDE),14,Cisco,Cisco Certified Design Professional (CCDP),0.2785,0.3953,0.1241
Epa Lead Certification,26,Environmental Protection Agency (EPA),Lead Safe RRP Certification,0.3258,0.3378,0.1241
Construction Safety Course,8,National Center for Construction Education and Research,Construction Site Safety Orientation,0.2488,0.4414,0.1238
Registered Radiologist Assistant,14,American Association of Medical Technologists (AAMT),Registered Medical Assistant (RMA),0.2487,0.4413,0.1237
Microsoft Certified Solutions Developer (MCSD),61,Microsoft,Microsoft Certified Professional,0.2953,0.3704,0.1233
American Concrete Institute (ACI),1029,American Concrete Institute International,Concrete Construction Special Inspector,0.4514,0.2422,0.1232
Certified in Refrigerant Recovery,11,Mobile Air Conditioning Society (MACS),Automotive Refrigerant Recovery & Recycling Certification,0.2774,0.3937,0.1231
Wireless Network Technician (WNT),2,Cisco,Cisco Certified Network Associate (CCNA) Wireless,0.3386,0.3217,0.1228
Heavy Truck,980,National Institute for Automotive Service Excellence,Master Medium/Heavy Truck Specialist,0.2763,0.3922,0.1221
Certified Software Quality Analyst (CSQA),27,American Society for Quality (ASQ),Certified Quality Process Analyst (CQPA),0.2760,0.3917,0.1218
Certified Infection Control,58,International Association of Plumbing and Mechanical Officials,Infection Control & Water Quality Certification,0.2752,0.3907,0.1212
Certified Instrument Specialist (CIS),98,Certification Board for Sterile Processing and Distribution,Certified Surgical Instrument Specialist,0.2453,0.4353,0.1204
Certified System Administrator,130,Apple,Apple Certified System Administrator (ACSA),0.2740,0.3890,0.1202
Data Architecture and Management Designer,1,ETA International,Data Cabling Installer,0.3338,0.3178,0.1196
Certified Application Developer,64,IBM Corporation,IBM Certified Associate Developer - Rational Application Developer V8,0.2855,0.3715,0.1196
Respiratory Care Practitioner (RCP),11551,National Board for Respiratory Care,Neonatal/Pediatric Respiratory Care Specialist,0.2730,0.3875,0.1193
Business Analysis Certificate,8,International Institute of Business Analysis,Certified Business Analysis Professional (CBAP),0.2719,0.3860,0.1183
Certified Coding Specialist,489,American Health Information Management Association (AHIMA),Certified Coding Specialist (CCS),0.2431,0.4314,0.1182
Certified Coding Specialist - Hospital,4,American Health Information Management Association (AHIMA),Certified Coding Specialist (CCS),0.2431,0.4314,0.1182
Certified Control Systems Technician,309,International Society of Automation,ISA Certified Control Systems Technician - Level I,0.3207,0.3251,0.1175
Certified Control Systems Technician (CCST),259,International Society of Automation,ISA Certified Control Systems Technician - Level I,0.3207,0.3251,0.1175
Certified Heavy Equipment Operator,54,National Center for Construction Education and Research (NCCER),Heavy Equipment Operations - Level 2,0.2709,0.3845,0.1174
Licensed Mental Health Counselor (LMHC),67,National Council for Behavioral Health,Mental Health First Aid USA,0.2699,0.3831,0.1166
Mental Health Certification,35,National Council for Behavioral Health,Mental Health First Aid USA,0.2699,0.3831,0.1166
Certified Food Protection Professional,11,National Restaurant Association,ServSafe Food Protection Manager Certification,0.2698,0.3829,0.1164
Aircraft and Powerplant License,10,Federal Aviation Administration (FAA),Light Sport Aircraft Repairman,0.4194,0.2461,0.1163
Commercial Pest Control Certification,11,ESCO Group,Light Commercial Refrigeration Certification,0.3172,0.3245,0.1160
Certified Storm Water Operator,29,Association of Boards of Certification,Water Distribution Operator Class III,0.2781,0.3694,0.1158
Certified Water Operator,21,Association of Boards of Certification,Water Distribution Operator Class III,0.2781,0.3694,0.1158
Certified Alcohol and Drug Abuse Counselor,21,National Restaurant Association,ServSafe Alcohol,0.2071,0.4961,0.1158
Licensed Alcohol and Drug Counselor,27,National Restaurant Association,ServSafe Alcohol,0.2071,0.4961,0.1158
Leadership and Supervision,3,Federal Emergency Management Agency (FEMA),Leadership and Influence,0.2082,0.4925,0.1156
Quality Improvement,25,American Society for Quality (ASQ),Certified Quality Improvement Associate (CQIA),0.2687,0.3814,0.1155
Certified in Small Engine Repair,62,Equipment & Engine Training Council,Principles of Small Engine Technology,0.2687,0.3814,0.1155
Small Engine,107,Equipment & Engine Training Council,Principles of Small Engine Technology,0.2687,0.3814,0.1155
Certified Manager of Quality Organizational Excellence (CMQ/OE),185,National Registry of Environmental Professionals,Indoor Air Quality - Certified Indoor Air Quality Manager (CIAQM),0.3224,0.3178,0.1155
Certified Manager of Software Quality,1,National Registry of Environmental Professionals,Indoor Air Quality - Certified Indoor Air Quality Manager (CIAQM),0.3224,0.3178,0.1155
Broadband Communications Technician,1,Society of Cable Telecommunications Engineers,Broadband Premises Technician,0.2075,0.4909,0.1148
Basic Life Saving (BLS),20838,American Heart Association,Basic Life Support (CPR) Instructor,0.2666,0.3784,0.1137
Certified Hazardous Materials Manager,60,World Safety Organization,WSO - Certified Hazardous Materials Technician I,0.2920,0.3454,0.1137
Basic Electricity Certificate,41,CerTEC,CertTEC Basic Electricity and Electronics,0.2655,0.3769,0.1128
Child Abuse and Neglect,7,American Red Cross,Child CPR,0.2049,0.4883,0.1128
Licensed Professional Engineer,3232,"Society of Broadcast Engineers, Inc.",Professional Broadcast Engineer,0.2040,0.4826,0.1110
Database Administrator (DBA),4,Oracle,Oracle Database 11 Administrator Certified Associate (OCA Administrator),0.2719,0.3604,0.1105
Certified Maintenance Mechanic,6,National Center for Construction Education and Research (NCCER),Industrial Maintenance Mechanic - Level 4,0.2625,0.3726,0.1103
Food Service Certification,1612,National Restaurant Association,ServSafe Food Handler,0.3013,0.3229,0.1097
ctt+ Certification,35,Computing Technology Industry Association (CompTIA),CompTIA CTT+,0.1937,0.5000,0.1092
OSHA Forklift Certification,92,Occupational Safety & Health Administration,OSHA HAZWOPER,0.1937,0.5000,0.1092
Basic Electronics,42,CerTEC,CertTEC Basic Electricity and Electronics,0.2612,0.3708,0.1092
Radiation Safety Certification,504,American Society for Nondestructive Testing,Industry Radiography Radiation Safety Personnel,0.2595,0.3683,0.1077
Radiation Safety Certified,504,American Society for Nondestructive Testing,Industry Radiography Radiation Safety Personnel,0.2595,0.3683,0.1077
Alcohol Server Certification,23,National Restaurant Association,ServSafe Alcohol,0.1926,0.4961,0.1077
Nutrition Certification,17,National Restaurant Association,ManageFirst - Nutrition,0.1926,0.4961,0.1077
Transportation Security Administration,6,Check Point Software Technologies LTD.,Check Point Certified Security Administration,0.2592,0.3678,0.1075
Board Certified Assistant Behavior Analyst (BCaBA),17,Behavior Analyst Certification Board (BACB),Registered Behavior Technician (RBT),0.3808,0.2500,0.1073
Board Certified Behavior Analyst (BCBA),86,Behavior Analyst Certification Board (BACB),Registered Behavior Technician (RBT),0.3808,0.2500,0.1073
Hospitality Management Certification,15,National Restaurant Association,Hospitality Human Resources Management and Supervision ,0.3106,0.3049,0.1067
Phlebotomy Certification,342,American Medical Certification Association (AMCA),Phlebotomy Technician,0.1915,0.4921,0.1062
Certified Fire Service Instructor,1,HDI,HDI Certified Instructor,0.2632,0.3576,0.1061
Applied Measurement Professional,4,National Coalition of Certification Centers (NC-3),Applied Mechanical Systems,0.2807,0.3333,0.1055
Certified Authorization Professional (CAP),5,International Association of Administrative Professionals (IAAP) ,Certified Administrative Professional (CAP),0.2295,0.4072,0.1054
Certified Automation Professional (CAP),16,International Association of Administrative Professionals (IAAP) ,Certified Administrative Professional (CAP),0.2295,0.4072,0.1054
Certified Chiropractic Professional Coder,8,American Association of Professional Coders (AAPC),Certified Professional Coder (CPC),0.2295,0.4072,0.1054
Certified Professional Coder,406,American Association of Professional Coders (AAPC),Certified Professional Coder (CPC),0.2295,0.4072,0.1054
Certified Professional Coder in Dermatology,2,American Association of Professional Coders (AAPC),Certified Professional Coder (CPC),0.2295,0.4072,0.1054
Certified Professional Collector (CPC),2,American Association of Professional Coders (AAPC),Certified Professional Coder (CPC),0.2295,0.4072,0.1054
Certified Protection Professional (CPP),306,American Payroll Association (APA),Certified Payroll Professional (CPP),0.2295,0.4072,0.1054
Chief Financial Officer Certification,2,United States Coast Guard National Maritime Center,Chief Engineer (Unlimited),0.2796,0.3333,0.1051
Class 4 Operator,1,National Center for Construction Education and Research (NCCER),Electrical - Level 4,0.2796,0.3333,0.1051
Department of Transportation (DOT) Medical Certification,860,International Association of Plumbing and Mechanical Officials,Medical Gas Certification,0.2252,0.4131,0.1049
Precision Sheet Metal Operator Certification (PSMO),1,SOLIDWORKS,Certified SOLIDWORKS Advanced Professional Sheet Metal,0.2796,0.3307,0.1042
Sheet Metal Certification,206,SOLIDWORKS,Certified SOLIDWORKS Advanced Professional Sheet Metal,0.2796,0.3307,0.1042
AMSE Pressure Piping,1,American Petroleum Institute,Piping Inspector Certification,0.2785,0.3307,0.1038
Animal Science,69,American Association for Laboratory Animal Science,Laboratory Animal Technologist,0.2785,0.3307,0.1038
CNC Machining Certificate,5,National Institute for Metal Working Skills (NIMS),Machining Level I: CNC Turning: Operator,0.2785,0.3294,0.1034
Microsoft Access Certification (Legacy),8,Microsoft,Microsoft Office Specialist (MOS) - Access 2019  ,0.2785,0.3294,0.1034
Certified Service Technician,710,Electronic Security Association,Certified Service Technician,0.1965,0.4648,0.1030
Wastewater Treatment Plant Operator,2670,Association of Boards of Certification,Certified Operator Class I,0.4044,0.2234,0.1018
Epa 609,870,Mobiles Air Conditioning Society (MACS),EPA Section 609 Refrigerant Recovery Certification,0.2763,0.3268,0.1018
Certified in Confined Spaces,4,Occupational Safety & Health Administration,OSHA Confined Space Safety,0.2255,0.4000,0.1017
Certified Calibration Technician (CCT),228,Cardiovascular Credentialing International,Certified Cardiographic Technician (CCT),0.2254,0.3999,0.1016
Certified Cardiographic Technician,272,Cardiovascular Credentialing International,Certified Cardiographic Technician (CCT),0.2254,0.3999,0.1016
Certified Hemodialysis Technician,276,Board of Nephrology Examiners Technology Nursing,Certified Hemodialysis Bio-Medical Technician,0.2254,0.3999,0.1016
Fire Instructor II,74,Electronic Security Association,Certified Fire AlarmTechnician - Level II,0.2519,0.3576,0.1016
Industrial Technology,121,National Institute for Metal Working Skills (NIMS),Industrial Technology Maintenance: Maintenance Piping,0.2519,0.3576,0.1016
Class 3 License,26,National Center for Construction Education and Research (NCCER),Electrical - Level 3,0.2763,0.3255,0.1014
Class 3 Solder,8,National Center for Construction Education and Research (NCCER),Electrical - Level 3,0.2763,0.3255,0.1014
PMI Risk Management Professional (PMI-RMP),3,Federal Emergency Management Agency (FEMA),Radiological Emergency Management,0.3252,0.2764,0.1013
Certified Culinarian,1,American Culinary Federation,Certified Culinarian,0.1588,0.5635,0.1009
Certified Electronics Technician Journeyman,7,Electronics Technicians Association (ETA) International,"Electronics, Certified Electronics Technician (CET) Associate",0.2167,0.4127,0.1008
Certified Investment Management Analyst (CIMA),4,CFA Institute,Investment Foundation (CFA),0.2678,0.3333,0.1006
Certified Production Technician (CPT),56,National Healthcareer Association (NHA),Certified Phlebotomy Technician (CPT),0.2243,0.3979,0.1006
Network Cabling Certification,12,ETA International,Data Cabling Installer,0.2720,0.3281,0.1006
Manufacturing Certification,51,Manufacturing Skills Institute,Manufacturing Specialist,0.1872,0.4767,0.1006
NICET Fire Alarm Systems,19,Electronic Security Association,Certified Systems Integrator,0.3695,0.2409,0.1003
Certified To Operate Heavy Machinery,1,National Center for Construction Education and Research (NCCER),Highway/Heavy Construction ,0.2709,0.3281,0.1002
Grant Writing Certification,1,Grant Professional Certification Institute,Grant Professionals Certification,0.1937,0.4583,0.1001
Retail Certification,4,National Retail Federation (NRF),Retail Management Certification,0.1937,0.4583,0.1001
Fire Inspector,120,American Construction Inspectors Association,Registered Construction Inspector - Fire Doors,0.2490,0.3534,0.0992
Adp Payroll Certification,1,American Payroll Association,Fundamental Payroll Certification,0.1926,0.4557,0.0989
Alcohol Awareness Certification,171,ESCO Group,Green Awareness Certification,0.1926,0.4557,0.0989
Lean Bronze Certification,8,Manufacturing Skills Institute,Lean Practitioner Certification,0.1926,0.4557,0.0989
Lean Certification,380,Manufacturing Skills Institute,Lean Practitioner Certification,0.1926,0.4557,0.0989
Lean Gold Certification,5,Manufacturing Skills Institute,Lean Practitioner Certification,0.1926,0.4557,0.0989
Epa 608,2415,Air Conditioning Contractors of America,EPA Section 608 Certification - Refrigerant Handling,0.2719,0.3216,0.0986
Certified Plant Maintenance Manager,3,Association of Boards of Certification,Plant Maintenance Technologist Certification Class I,0.2804,0.3105,0.0982
Certified Professional Services Marketer,1,American Bankers Association,Certified IRA Services Professional,0.2208,0.3918,0.0975
Certified Retirement Services Professional (CRSP),1,American Bankers Association,Certified IRA Services Professional,0.2208,0.3918,0.0975
Certified Life Care Planner,3,National Association of Emergency Medical Technicians (NAEMT),Emergency Pediatric Care,0.2719,0.3178,0.0974
Certified Home Inspector,504,American Society of Home Inspectors,ASHI Certified Inspector,0.2690,0.3211,0.0973
Commercial Plumbing License,3,International Association of Plumbing and Mechanical Officials,Service Plumbing Certification,0.2666,0.3229,0.0970
Athletic Trainer Certification,48,American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA),Personal Trainer Certification,0.1904,0.4505,0.0967
Certified Mold Inspector,64,Environmental Protection Agency (EPA),Mold Remediation Supervisor,0.2576,0.3307,0.0960
Automatic Transmission Certification,60,National Institute for Automotive Service Excellence,Automobile and Light Truck Certification:  Automatic Transmission/Transaxle  (A2),0.3280,0.2587,0.0956
Plumbing Certification,5414,International Association of Plumbing and Mechanical Officials,Service Plumbing Certification,0.1893,0.4479,0.0956
server+ Certification,4,CompTIA,CompTIA Server+ Certification,0.1893,0.4479,0.0956
Drafting and Design,113,"Autodesk, Inc.",Autodesk Certified Professional in AutoCAD for Design and Drafting,0.3279,0.2585,0.0956
Juniper Networks Certified Internet Associate,54,Juniper Networks,Juniper Networks Certified Certified Data Center Design Professional,0.2997,0.2817,0.0952
Juniper Networks Certified Internet Expert,6,Juniper Networks,Juniper Networks Certified Certified Data Center Design Professional,0.2997,0.2817,0.0952
Juniper Networks Certified Internet Specialist,9,Juniper Networks,Juniper Networks Certified Certified Data Center Design Professional,0.2997,0.2817,0.0952
National Career Readiness Certificate (NCRC),153,Valvoline Motor Oil Corporation,Valvoline Motor Oil Career Tech Certificate,0.2668,0.3156,0.0949
Certified Repair Technician,52,Department of Environmental Quality,Certified Emissions Repair Technician ,0.2178,0.3863,0.0948
Certified Occupational Health Nurse,37,National Safety Council (NSC),Principles of Occupational Safety and Health,0.2666,0.3154,0.0948
"Certified Erosion, Sediment and Storm Water Inspector",85,International Association of Plumbing and Mechanical Officials,Residential and Commercial Mechanical Inspector,0.3194,0.2627,0.0946
Apmp Foundation Level Certification,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.2426,0.3443,0.0941
Propane and Natural Gas Installer,10,National Institute for Automotive Service Excellence,Transit Bus - Compressed Natural Gas (CNG) Engines (H1),0.3414,0.2432,0.0936
Pest Control Operator,23,American Traffic Safety Services Association,Traffic Control Supervisor,0.2602,0.3178,0.0932
Class 2 Certification,262,National Center for Construction Education and Research (NCCER),Carpentry - Level 2,0.2688,0.3077,0.0932
Licensed Construction Supervisor,5,American Concrete Institute International,Tilt-Up Supervisor & Technician,0.2612,0.3152,0.0928
Certified Professional Environmental Auditor,2,Association of Energy Engineers,Certified Energy Auditor,0.2251,0.3652,0.0927
Certified Professional Medical Auditor,362,Association of Energy Engineers,Certified Energy Auditor,0.2251,0.3652,0.0927
Diagnostic Radiologic Technologists,3,American Registry of Radiologic Technologists (ARRT),Registered Diagnostic Sonographer RT(S),0.4172,0.1969,0.0926
Direct Support Professional - Specialist (DSP-S),2,Apple,Apple Certified Support Professional (ACSP),0.2873,0.2850,0.0923
Computer Information Systems (CIS) Certificate,20,Federal Emergency Management Agency (FEMA),Public Information Officer Awareness,0.3567,0.2289,0.0921
Aircraft Mechanic Certification,100,Federal Aviation Administration (FAA),Light Sport Aircraft Repairman,0.3302,0.2461,0.0916
Certified Building Maintenance,2,International Code Council,Residential Building Inspector,0.2687,0.3003,0.0909
VMware Certified Design Expert (VCDX),2,Microsoft,VMware Certified Professional 5,0.2878,0.2798,0.0908
VMware Certified Implementation Expert (VCIX),2,Microsoft,VMware Certified Professional 5,0.2878,0.2798,0.0908
AWS Certified Welding Educator,2,American Welding Society (AWS),Certified Welding Supervisor (CWS),0.2931,0.2739,0.0905
Safety Trained Supervisor,256,American Traffic Safety Services Association,Traffic Control Supervisor,0.2541,0.3152,0.0903
Certified Cable Installer,29,Society of Cable Telecommunications Engineers,Broadband Premises Installer,0.2667,0.3003,0.0903
Airline Transport Pilot License,8,Federal Aviation Administration (FAA),Airplane Single Engine Land (ASEL) Pilot License,0.2807,0.2846,0.0901
Certified Data Management Professional,3,National Coalition of Certification Centers (NC-3),AMI - Data Sure,0.2512,0.3178,0.0900
Certified Locksmith,70,Associated Locksmiths of America,Fundamental Locksmith,0.1588,0.5000,0.0895
Installation Inspector Certificate,8,North American Board of Certified Energy Practitioners,PV Installation Professional,0.2511,0.3152,0.0892
Certified Occupational Safety Specialist,2,National Safety Council (NSC),Principles of Occupational Safety and Health,0.2584,0.3056,0.0890
NICET Audio Systems,1,ETA International,Commercial Audio Technician,0.2405,0.3281,0.0890
Certified Professional in Erosion and Sediment Control,52,ESCO Group,Certified in Hydrocarbon Refrigerants,0.3344,0.2356,0.0888
Refrigeration Technician Certification,338,"North American Technician Excellence, Inc.",Commercial Refrigeration Service,0.2516,0.3127,0.0887
Mechanical Drafting,44,American Design Drafting Association/American Digital Design Association,Mechanical Certified Drafter,0.2647,0.2954,0.0881
Boom Pump Operator,2,Building Performance Institute,Multifamily Building Operator,0.2624,0.2978,0.0881
Certified Pump Operator,3,Building Performance Institute,Multifamily Building Operator,0.2624,0.2978,0.0881
Information Technology Certification,86,National Coalition of Certification Centers (NC-3),Service Information Level 1 Certification,0.3027,0.2581,0.0881
Certified Software Process Engineer,7,American Society for Quality (ASQ),Certified Quality Engineer (CQE),0.2898,0.2682,0.0876
Leadership In Energy And Environmental Design (LEED) Certified,1324,ESCO Group,Certified in Hydrocarbon Refrigerants,0.3291,0.2356,0.0874
Oracle Database Certification,3,Oracle,Oracle Database 11 Administrator Certified Professional (OCP),0.2763,0.2801,0.0872
Asset Management Certified,1,"Avid Technology, Inc.",Avid Certified Support Representative: MediaCentral | Asset Management,0.2756,0.2795,0.0868
Accident Health and Life (Insurance),79,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.2082,0.3694,0.0867
Life and Health Insurance License,138,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.2082,0.3694,0.0867
Commissioning Process Management Professional,25,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",Building Commissioning Professional Certification,0.2072,0.3677,0.0859
American Board of Surgery Certification (ABS),148,Certification Board for Sterile Processing and Distribution,Certified Ambulatory Surgery Technician,0.3056,0.2480,0.0854
Certified Energy Professional,22,Association of Energy Engineers,Certified Energy Auditor,0.2176,0.3475,0.0853
Security Certified Network Professional,6,Certified Internet Web (CIW),Certified Internet Web (CIW) Web Security Professional,0.3478,0.2175,0.0853
Automotive Service Excellence Front End,3,National Institute for Automotive Service Excellence,Automobile Service Consultant (B6),0.3796,0.1987,0.0850
Certified Safety and Security Director,19,ETA International,Certified Alarm Security Technician,0.2956,0.2551,0.0850
Building Maintenance,1271,International Code Council,Residential Building Inspector,0.2508,0.3003,0.0849
Certified in Construction,21,National Institute for Certification in Engineering Technologies,Certification in Construction Materials Testing - Asphalt,0.2608,0.2873,0.0844
Certified Cyber Forensics Professional (CCFP),10,Institute for the Certification of Computing Professionals,Certified Cyber Security Professional - Foundation,0.2295,0.3258,0.0843
Certified Customer Service Specialist (CSS),2,Microsoft Corporation,Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate,0.3540,0.2109,0.0842
Certified Housing Specialist,8,International Code Council,Code Specialist,0.2431,0.3071,0.0842
Registered Pulmonary Function Technologist,512,American Registry of Radiologic Technologists (ARRT),Registered Technologist in Radiography RT(R) ,0.2508,0.2967,0.0839
Certified Salesforce Advanced Administrator,18,SOLIDWORKS,Certified PDM Administrator Professional,0.2751,0.2701,0.0837
Citrix Certified Advanced Administrator (CCAA),12,SOLIDWORKS,Certified PDM Administrator Professional,0.2751,0.2701,0.0837
Master Hvac License,129,ESCO Group,HVAC EPA Certifications,0.2429,0.3052,0.0836
Cisco Certified Internetwork Professional (CCIP),183,Cisco,Cisco Certified Network Professional (CCNP),0.2284,0.3242,0.0835
Cisco Certified Security Professional,1,Cisco,Cisco Certified Network Professional (CCNP),0.2284,0.3242,0.0835
Cisco Certified Voice Professional (CCVP),12,Cisco,Cisco Certified Network Professional (CCNP),0.2284,0.3242,0.0835
Certified Salesforce Sales Cloud Consultant,5,"SAP America, Inc.",SAP Certified Application Associate - SAP Sales Cloud 1911,0.2888,0.2562,0.0834
NICET Industrial Instrumentation,1,National Center for Construction Education and Research (NCCER),Industrial Maintenance Electrical and Instrumentation - Level 4,0.2698,0.2736,0.0832
Certified Testing Technician,4,ETA International,Termination and Testing Technician,0.2125,0.3452,0.0827
Certified Cloud Security Professional (CCSP),8,Microsoft,Microsoft Certified Professional,0.3478,0.2096,0.0822
HazMat Incident Commander,112,Federal Emergency Management Agency (FEMA),Introduction to Incident Command System,0.2255,0.3200,0.0813
Certified Survey Technician (CST),254,National Society of Professional Surveyors,Certified Survey Technician Level I,0.2254,0.3199,0.0813
Certified Plant Operator,5,Association of Boards of Certification,Certified Operator Class I,0.2825,0.2551,0.0812
Certified Engine Repair,1,Fiat and Chrysler Auto,MOPAR Level 1: Engine Repair and Performance,0.2665,0.2702,0.0812
American Medical Technologist Certification,38,American Medical Technologist (AMT),Medical Laboratory Technician (MLT),0.3332,0.2161,0.0812
Certified Professional - Food Safety,231,National Environmental Health Association (NEHA),Certified Professional Food Manager (CPFM),0.2251,0.3195,0.0811
VMware Certified Associate (VCA),7,Microsoft,VMware Certified Professional 5,0.2560,0.2798,0.0807
