Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Source-Census (Standardized),Data Sources-Non Census,Data Source-Non Census (Standardized),Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Maryland,Employment,"table download, table",Current Employment Estimates (CES),,,,, Bureau of Labor Statistics,Bureau of Labor Statistics,N,N,As released,2021,Y,N,N,,
,Maryland,Wage,"table download, table",Wage & Salary Jobs by Place of Work Through 2021,"Year, state",state,,, Bureau of Labor Statistics,Bureau of Labor Statistics,N,N,As released,2021,Y,N,N,,
,Maryland,Tax,"table download, table",2019 Maryland Individual Income Tax Returns,"Tax return, zip code, adjusted gross income","county, Metropolitan Area, Micropolitan Area",,,"IRS, Statistics of Income Division,  Individual Master File System",Internal Revenue Service,N,N,As released,2019,Y,N,N,,
,Maryland,Income,"table download, table","Maryland ZIP Codes Sorted by Highest Average Adjusted Gross Income, 2019","zip codes, total returns, average AGI","county, Metropolitan Area, Micropolitan Area",,,IRS Statistics of Income by Geographic Areas,Internal Revenue Service,N,N,As released,2019,N,N,N,,
3,Massachusetts,Income,"table download, table, data visualization",Income per capita,Geographical level,"State, county",US Census (ACS),ACS,N/A,,Y,"https://data.census.gov/table?q=B19301&g=040XX00US25$0600000,25&tid=ACSDT1Y2021.B19301",As released,2021,N,N,N,,
,Massachusetts,Labor force,"table download, table, data visualization",Labor force participation,Geographical level,"State, County",US Census (ACS),ACS,N/A,,Y,"https://data.census.gov/table?q=Employment+Status&g=040XX00US25$0600000,25&tid=ACSDP5Y2021.DP03",As released,2021,N,N,N,,
,Massachusetts,Income,"table download, table, data visualization",INCOME INEQUALITY,Geographical level,"State, County",US Census (ACS),ACS,N/A,,Y,"https://data.census.gov/table?q=B19083&g=040XX00US25$0600000,25&tid=ACSDT5Y2021.B19083",As released,2021,N,N,N,,
13,Michigan,Employment & Wage,table,Occupational Employment and Wage Statistics,occupation group,State,,,"Bureau of Labor Statistics, Department of Labor",Bureau of Labor Statistics,N,N,As released,2021,N,N,N,,
,Michigan,Wage,table,Michigan Prosperity Region Hourly Wage Rates,region,region,,,"Occupational Employment and Wage Statistics, Michigan Center for Data and Analytics",Local government/Institute,N,N,As released,2022,N,N,N,,
,Michigan,Employment & Wage,"table download, table",Occupational Employment and Wage Statistics 2022 Data,"Geographical level, occupation group","State, County, Metropolitan Area, Micropolitan Area",,,"Bureau of Labor Statistics, Department of Labor",Bureau of Labor Statistics,N,N,As released,2022,N,N,N,,
,Michigan,Wage,table,Average Weekly Wages,"Industry, avg employment, avg wage",State,,,,,N,N,As released,2021,N,N,N,No data sources,
,Michigan,Wage,table,Earnings and Hours by Industry,"Industry	Employment, Avg. Hours Worked, Avg., Weekly Earnings, Avg. Earnings per Hour",State,,,,,N,N,As released,,N,N,N,No data sources and age of data,
,Michigan,Wage,"table, table download",LARA Wage & Hour Program,,,,,Department of Labor and Economic Opportunity,Local government/Institute,N,N,,,,,,,
,Michigan,Employment,table,Employment Projections,"Industry, occupation",State,,,,,N,N,As released,,,N,N,No data sources,
,Michigan,Employment,table,Michigan Employment Snapshot,"Seasonally adjusted, geographical level","State, county",,,,,N,N,As released,2023,Y,N,N,No data sources,
,Michigan,Employment,table,Unemployment by County Rank,Geographical level,County,,,,,N,N,As released,2023,N,N,N,No data sources,
,Michigan,Employment,table,Unemployment by Metro Area,"Geographical level, labor force, employment, unemployment","Metropolitan Area, Micropolitan Area",,,,,N,N,As released,2023,N,N,N,No data sources,
,Michigan,Labor force,table,County Labor Force,"Geographical level, labor force, employment, unemployment","Metropolitan Area, Micropolitan Area",,,,,N,N,As released,2023,N,N,N,No data sources,
,Michigan,Job,table,Michigan Payroll Jobs by Industry,"Industry, year, percent of change",State,,,,,N,N,As released,2023,Y,N,N,No data sources,
,Michigan,Employment,table,Employment by Firm Size,"Number of employees, number of firms, total employment",State,,,,,N,N,As released,2021,N,N,N,No data sources,
6,Minnesota,Economy,"table, table download",Zip Code Business Pattern,Year,"State, county",US Census ZIP Codes Business Patterns (ZBP) APIs,Census Bureau,,,Y,https://www.census.gov/data/developers/data-sets/cbp-nonemp-zbp/zbp-api.html,As released,2018,Y,N,N,,
,Minnesota,Economy,"table, table download",Economic Census Data Tables,"Year, industry",State,US Census Economic Census Data Tables,Census Bureau,,,Y,https://www.census.gov/programs-surveys/economic-census/data/tables.html,Five years,2017,Y,N,N,,
,Minnesota,Employment & Wage,"Data visualization, table download, table",Quarterly Census of Employment and Wages (QCEW),"Geographical level, industry","State, county, city",,,,,,,,2022,N,N,N,No data sources,
,Minnesota,Employment,"Data visualization, table download, table",Quarterly Employment Demographics,"Geographical level, industry, year, age group","State, county",,,DEED Quarterly Employment Demographics,Local government/Institute,N,N,As released,2021,Y,N,N,,
,Minnesota,Labor force,table download,Minnesota's labor force participation projections by age and sex from 2015-2050,"Sex, Year, age group",State,US Census (American Community Survey 2015),Census Bureau,N/A,,N,N,As released,2017,N,N,N,,
,Minnesota,Labor force,table download,"Minnesota county labor force projections by age, 2015-2030","Geographical level, age group, year",County,,,,,N,N,As released,2017,N,N,N,,
2,Mississippi,Income,Data visualization,Median Household Income from 2008 to 2012,Year,State,US Census (American Community Survey 2012),Census Bureau,N/A,,Y,https://data.census.gov/table?q=ACSCP1Y2017.CP03&g=040XX00US28&tid=ACSCP1Y2019.CP03,As released,2012,Y,N,N,,
,Mississippi,Employment,table download,U.S. Census Bureau EEO Data,Year,State,U.S. Census Bureau EEO Data,Census Bureau,N/A,,Y,https://www2.census.gov/EEO_2006_2010/,As released,2010,Y,N,N,,
4,Missouri,Employment,"table download, table",Equal employment opportunity tables (2006-2010),,State,US Census (ACS),ACS,N/A,,N,N,As released,2010,Y,N,N,,
,Missouri,Employment,"table download, table",Employment statistics from the Bureau of Labor Statistics,,State,,,Bureau of Labor Statistics,Bureau of Labor Statistics,N,N,As released,2022,Y,N,N,,
,Missouri,Income,"table download, table",Small Area Income and Poverty Estimates,,"State, County",US Census,Census Bureau,,,N,N,As released,2021,Y,N,N,,
,Missouri,Tax,"table download, table",IRS tax return data,,County,,,IRS,Internal Revenue Service,N,N,As released,2014,Y,N,N,,
6,Puerto Rico,Employment,table,Employment and Unemployment in Puerto Rico,"employment, hours, wages, number of establishments, and industry group",Island,,,Department of Labor and Human Resources (DTRH),Local government/Institute,N,N,As released,2022,Y,N,N,,
,Puerto Rico,Employment,table,Unemployment in Heads of Family,"Employment, Unemployment, Unemployment Rate and Participation Rate",Island,,,Department of Labor and Human Resources (DTRH),Local government/Institute,N,N,As released,2015,Y,N,N,,
,Puerto Rico,Employment,table,Employment and Unemployment,"Employment, Unemployment, Unemployment Rate and Participation Rate",Island,,,Department of Labor and Human Resources (DTRH),Local government/Institute,N,N,Monthly,2023,Y,N,N,,
,Puerto Rico,Employment,table,Unemployment Statistics by Municipalities,Employed and unemployed,Island,,,Department of Labor and Human Resources (DTRH),Local government/Institute,N,N,Monthly,2023,Y,N,N,,
,Puerto Rico,Labor force,table,Participation of Women in the Labor Force,"Employment, Unemployment, Unemployment Rate and Participation Rate",Island,,,Department of Labor and Human Resources (DTRH),Local government/Institute,N,N,Annually,2022,Y,N,N,,
,Puerto Rico,Economy,table,Economic Census of Island Areas,"Production, added value, materials, employment, payroll, number of owners, operating expenses, inventories, establishments, number of manufacturing e-businesses and working hours, among others",Island,US Census,Census Bureau,,,N,N,every 5 years,2012,N,N,N,,
4,Guam,Economy,"table download, table, data visualization",ANNUAL ECONOMIC SURVEY OF GUAM,"Industry, establishment, employee",State,US Census,Census Bureau,,,N,N,As released,2019,N,N,N,,
,Guam,Economy,table,GUAM CONSUMER PRICE INDEX,"Group, Quarter",State,,," Cost of Living Section, Business and Economic Statistics Program, Bureau of Statistics and Plans, Government of Guam",Local government/Institute,N,N,Annually,2023,Y,N,N,,
,Guam,Economy,table,GUAM IMPORT DATA, Commodity,State,,,Guam Customs and Quarantine Agency,Local government/Institute,N,N,Annually,2022,Y,N,N,,
,Guam,Economy,table,GUAM EXPORT REPORTS,Commodity group,State,,,Guam Customs and Quarantine Agency,Local government/Institute,N,N,Annually,2022,Y,N,N,,
