,EIN,NCCSKEY,FISYR,NAME,STATE,NTEE1,ADDRESS,CITY,ZIP,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,MAJGRPB,CONT
120072,330147357,330147357201905.0,2019,PRO-LIFE PREGANCY COUNSELING & EDUCATIONAL LEAGUE OF SAN DIEGO,CA,E,PO BOX 34605,SAN DIEGO,92163-4605,3,HE,HE,HE,E,221019.0
120107,330164420,330164420201806.0,2018,MOUNTAIN HEALTH & COMMUNITY SERVICES INC,CA,E,1388 BUCKMAN SPRINGS RD,CAMPO,,3,HE,HE,HE,E,5246902.0
120115,330170626,330170626201806.0,2018,RADY CHILDRENS HOSPITAL FOUNDATION- SAN DIEGO,CA,E,3020 CHILDRENS WAY MC 5001,SAN DIEGO,92123-4282,3,HE,HE,HE,E,39387301.0
120127,330176789,330176789201906.0,2019,KERN VALLEY HOSPITAL FOUNDATION,CA,E,PO BOX 1628,LAKE ISABELLA,93240-1628,3,HE,HE,HE,E,101896.0
120137,330185031,330185031201812.0,2018,ST JOSEPH HERITAGE HEALTHCARE,CA,E,200 W CENTER ST PROMENADE 800,ANAHEIM,92805-3960,3,HE,HE,EH,EH,1625000.0
120150,330192846,330192846201812.0,2018,HELLENIC-AMERICAN MEDICAL AND DENTAL SOCIETY OF SOUTHERN CALIFOR,CA,E,1760 TERMINO AVE STE 314,LONG BEACH,90804-2151,3,HE,HE,HE,E,54804.0
120211,330216576,330216576201812.0,2018,ASSOCIATION FOR PRE- AND PERINATAL PSYCHOLOGY AND HEALTH,IL,E,PO BOX 123,WINTHROP HBR,92373-4843,3,HE,HE,HE,E,78735.0
120225,330222508,330222508201806.0,2018,AVALON MEDICAL DEVELOPMENT CORPORATION,CA,E,100 FALLS CANYON RD,AVALON,90704-2990,3,HE,HE,HE,E,201539.0
120313,330258970,330258970201812.0,2018,JOHN F KENNEDY MEMORIAL HOSPITAL AUXILIARY,CA,E,47111 MONROE ST,INDIO,92201-6739,3,HE,HE,HE,E,410.0
120337,330265266,330265000000000.0,2018,CHILDRENS HEALTHCARE OF CALIFORNIA,CA,E,1201 W LA VETA AVE,ORANGE,92868-4203,3,HE,HE,HE,E,89000000.0
120359,330278018,330278018201806.0,2018,RADY CHILDRENS HEALTH SERVICES-SAN DIEGO,CA,E,3020 CHILDRENS WAY MC 5001,SAN DIEGO,92123-4282,3,HE,HE,HE,E,0.0
120371,330283773,330283773201812.0,2018,PROVIDENCE MEDICAL INSTITUTE,WA,E,1801 LIND AVE SW ATTN TAX DEPT,RENTON,98057-3368,3,HE,HE,HE,E,0.0
120380,330289899,330290000000000.0,2018,LIFE CARE RESIDENCES INC,CA,E,20091 MOUNT ISRAEL PL,ESCONDIDO,92029-7505,3,HE,HE,HE,E,0.0
120388,330292783,330292783201806.0,2018,LOMA LINDA UNIVERSITY ANESTHESIOLOGY MEDICAL GROUP INC,CA,E,PO BOX 933,LOMA LINDA,92354-0933,3,HE,HE,HE,E,0.0
120414,330302353,330302353201812.0,2018,BIRTH CHOICE CENTERS INC,CA,E,27488 ENTERPRISE CIRCLE WEST,TEMECULA,92590-4811,3,HE,HE,HE,E,460733.0
120567,330364239,330364239201806.0,2018,LOMA LINDA UNIVERSITY HEALTH CARE,CA,E,PO BOX 2000,LOMA LINDA,92354-0200,3,HE,HE,HE,E,23161573.0
120593,330374018,330374018201806.0,2018,RIVERSIDE UNIVERSITY HEALTH SYSTEM FOUNDATION,CA,E,26520 CACTUS AVE,MORENO VALLEY,92555-3927,3,HE,HE,HE,E,2354346.0
120656,330399504,330399504201812.0,2018,LOMA LINDA UNIVERSITY DENTAL GROUP INC,CA,E,11092 ANDERSON ST,LOMA LINDA,92350-1706,3,HE,HE,HE,E,0.0
120678,330412714,330412714201812.0,2018,AMERICAN HOLISTIC HEALTH ASSOCIATION,CA,E,PO BOX 17400,ANAHEIM,92817-7400,3,HE,HE,HE,E,15709.0
120704,330420041,330420041201806.0,2018,SAN GORGONIO MEMORIAL HOSPITAL,CA,E,600 N HIGHLAND SPRINGS AVE,BANNING,92220-3046,3,HE,HE,EH,EH,559282.0
120749,330440021,330440021201806.0,2018,BORREGO COMMUNITY HEALTH FOUNDATION,CA,E,587 PALM CANYON DR,BORREGO SPGS,92004-4000,3,HE,HE,HE,E,6472050.0
120767,330447409,330447409201812.0,2018,ASSOCIATION FOR RESEARCH IN METAPHYSICS,CA,E,1362 BEACH BLVD STE 12,STANTON,90680-0000,3,HE,HE,HE,E,136544.0
120777,330449527,330449527201809.0,2018,GROSSMONT HOSPITAL CORPORATION,CA,E,4000 RUFFIN RD STE A,SAN DIEGO,92123-1849,3,HE,HE,EH,EH,24658520.0
120780,330450653,330450653201806.0,2018,CASA DE LOS ANGELITOS,CA,E,954 KOLEETA DR,HARBOR CITY,90710-1818,3,HE,HE,HE,E,103829.0
120825,330467982,330467982201812.0,2018,HEMLOCK SOCIETY OF SAN DIEGO INC,CA,E,PO BOX 34237,SAN DIEGO,92120-2616,3,HE,HE,HE,E,88658.0
120837,330473171,330473171201806.0,2018,LA MAESTRA FAMILY CLINIC INC,CA,E,4060 FAIRMOUNT AVE,SAN DIEGO,92105-1608,3,HE,HE,HE,E,7502968.0
120850,330477323,330477323201806.0,2018,NHAN HOA COMPRENESIVE HEALTH CARE CLINIC INC,CA,E,7761 GARDEN GROVE BLVD,GARDEN GROVE,92841-4200,3,HE,HE,HE,E,1574837.0
120851,330477420,330477420201812.0,2018,JULIAN MEDICAL FOUNDATION INC,CA,E,PO BOX 2512,JULIAN,92036-2512,3,HE,HE,HE,E,1000.0
120875,330483197,330483197201812.0,2018,INSTITUTE FOR HEALTHCARE ADVANCEMENT,CA,E,501 S IDAHO ST STE 300,LA HABRA,90631-6598,3,HE,HE,HE,E,557439.0
120913,330491967,330491967201807.0,2018,FRED BROWNS RECOVERY SERVICES INC,CA,E,270 W 14TH STREET,SAN PEDRO,90731-4396,3,HE,HE,HE,E,1740.0
120956,330502682,330502682201812.0,2018,SIDELINES NATIONAL SUPPORT NETWORK,CA,E,2805 PARK PL,LAGUNA BEACH,92651-2039,3,HE,HE,HE,E,65667.0
120985,330516027,330516027201812.0,2018,OPERATION FOOTPRINT BAJA PROJECT INC,CA,E,100 S DOHENY DR APT 1111,LOS ANGELES,90048-6900,3,HE,HE,HE,E,104409.0
120994,330518078,330518078201806.0,2018,MOMS ORANGE COUNTY,CA,E,1128 W SANTA ANA BLVD,SANTA ANA,92703-3833,3,HE,HE,HE,E,527491.0
121032,330528802,330528802201806.0,2018,CHILDRENS HOSPITAL AT MISSION,CA,E,1201 W LA VETA AVE,ORANGE,92868-4203,3,HE,HE,EH,EH,383610.0
121043,330530904,330530904201806.0,2018,MOUNTAINS COMMUNITY HOSPITAL FOUNDATION,CA,E,PO BOX 70,LK ARROWHEAD,92352-0070,3,HE,HE,HE,E,718729.0
121047,330531975,330531975201812.0,2018,ROBERT F KENNEDY INSTITUTE OF COMMUNITY AND FAMILY MEDICINE,CA,E,544 N AVALON BLVD STE 309,WILMINGTON,90744-5806,3,HE,HE,HE,E,171409.0
121057,330533986,330533986201806.0,2018,MOUNTAINS COMMUNITY HOSPITAL AUXILIARY INC,CA,E,PO BOX 813,LK ARROWHEAD,92352-0813,3,HE,HE,HE,E,17814.0
121078,330541124,330541124201812.0,2018,SOUTHERN CALIFORNIA HEALTH CARES,CA,E,415 TENNESSEE ST STE U,REDLANDS,92373-8160,3,HE,HE,HE,E,0.0
121080,330541856,330541856201812.0,2018,SOUTHERN CALIFORNIA ASSOCIATION FOR HEALTHCARE DEVELOPMENT,CA,E,PO BOX 41130,LONG BEACH,90853-1130,3,HE,HE,HE,E,13290.0
121149,330565591,330565591201806.0,2018,LOMA LINDA UNIVERSITY CHILDRENS HOSPITAL FOUNDATION,CA,E,PO BOX 926,LOMA LINDA,92354-0926,3,HE,HE,HE,E,5774234.0
121172,330574214,330574214201806.0,2018,CAMINO HEALTH CENTER,CA,E,30300 CAMINO CAPISTRANO,SAN JUAN CAPO,92675-1304,3,HE,HE,HE,E,6567228.0
121216,330585537,330585537201812.0,2018,KALUSUGAN KALAKASAN CENTER FOR HEALTH & WELLNESS,CA,E,731 DIAMOND DR,CHULA VISTA,91911-6715,3,HE,HE,HE,E,15788.0
121223,330586911,330586911201812.0,2018,CHG FOUNDATION,CA,E,2420 FENTON STREET NO 100,CHULA VISTA,91914-3516,3,HE,HE,HE,E,0.0
121295,330611010,330611010201903.0,2019,BORREGO VALLEY ENDOWMENT FUND INC,CA,E,PO BOX 2714,BORREGO SPGS,92004-2714,3,HE,HE,HE,E,31782.0
121299,330612565,330612565201806.0,2018,CRC REAL ESTATE CORPORATION,CA,E,1201 W LA VETA AVE,ORANGE,92868-4203,3,HE,HE,HE,E,0.0
121414,330638077,330638077201806.0,2018,CONNERS CAUSE FOR CHILDREN,CA,E,1345 ENCINITAS BLVD STE 223,ENCINITAS,92024-2845,3,HE,HE,HE,E,19894.0
121418,330639378,330639378201812.0,2018,DREAM HOME CARE INC,CA,E,20695 S WESTERN AVE STE 132,TORRANCE,90501-1834,3,HE,HE,HE,E,550.0
121450,330648823,330648823201812.0,2018,DESERT CANCER FOUNDATION,CA,E,74091 LARREA ST,PALM DESERT,92260-4466,3,HE,HE,HE,E,619462.0
121459,330652223,330652223201812.0,2018,CALNENA IN A CALIFORNIA CORPORATION,CA,E,PO BOX 492,PALO ALTO,94302-0492,3,HE,HE,HE,E,118282.0
121475,330658322,330658322201812.0,2018,HEALTHCARE AND ELDER LAW PROGRAMS CORPORATION,CA,E,1404 CRAVENS AVE,TORRANCE,90501-2701,3,HE,HE,EH,EH,620806.0
121501,330664371,330664371201806.0,2018,SAC HEALTH SYSTEM,CA,E,250 S G ST,SN BERNRDNO,92410-3320,3,HE,HE,EH,EH,10926471.0
121504,330665548,330665548201812.0,2018,ALTERNATIVES PREGNANCY CARE CLINIC,CA,E,257 E 2ND AVE,ESCONDIDO,92025-4212,3,HE,HE,HE,E,394547.0
121524,330671254,330671254201812.0,2018,ANDRE SOBEL RIVER OF LIFE FOUNDATION,CA,E,PO BOX 390426,ANZA,92539-0426,3,HE,HE,HE,E,254389.0
121528,330672915,330672915201806.0,2018,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,CA,E,11175 CAMPUS STREET 11120,LOMA LINDA,92350-1700,3,HE,HE,HE,E,25137357.0
121545,330676831,330676831201812.0,2018,HOAG CLINIC INC,CA,E,PO BOX 6100,NEWPORT BEACH,92658-6100,3,HE,HE,HE,E,0.0
121563,330680423,330680423201812.0,2018,FIREFIGHTERS ADVISORY COUNCIL,CA,E,8825 AERO DRIVE,SAN DIEGO,92123-2200,3,HE,HE,HE,E,322831.0
121609,330696481,330696481201812.0,2018,BURN INSTITUTE AUXILIARY,CA,E,8825 AERO DRIVE,SAN DIEGO,92123-2200,3,HE,HE,HE,E,76466.0
121627,330703919,330703919201812.0,2018,HEALTHY ALTERNATIVES 2000,CA,E,PO BOX 153,IMPERIAL BCH,91933-0153,3,HE,HE,HE,E,0.0
121661,330710251,330710251201812.0,2018,SAN DIEGO COUNTY BREASTFEEDING COALITION SDCBC,CA,E,3160 CAMINO DEL RIO S STE 101,SAN DIEGO,92108-3813,3,HE,HE,HE,E,18897.0
121677,330715532,330715532201812.0,2018,DORIS A HOWELL FOUNDATION FOR WOMENS HEALTH RESEARCH INC,CA,E,PO BOX 910016,SAN DIEGO,92191-0016,3,HE,HE,HE,E,66492.0
121682,330716808,330716808201812.0,2018,WALTERS CHILDRENS CHARITIES CLASSIC,CA,E,3213 ADAMS ST,RIVERSIDE,92504-4002,3,HE,HE,HE,E,306378.0
121757,330738512,330738512201806.0,2018,RIVERSIDE LIFE SERVICES,CA,E,3727 MCCRAY ST,RIVERSIDE,92506-2928,3,HE,HE,HE,E,145925.0
121801,330758113,330758113201812.0,2018,DR YANGS FAMILY CARE,CA,E,10201 MISSION GORGE RD STE L,SANTEE,92071-3026,3,HE,HE,HE,E,25621.0
121805,330759107,330759107201806.0,2018,COMMUNITY CLINICS HEALTH NETWORK,CA,E,3710 RUFFIN RD,SAN DIEGO,92123-1812,3,HE,HE,HE,E,5373743.0
121884,330782099,330782099201809.0,2018,SCRIPPS HEALTH PLAN SERVICES INC,CA,E,PO BOX 2469,LA JOLLA,92038-2469,3,HE,HE,HE,E,0.0
121916,330791720,330791720201812.0,2018,ORANGE COUNTY DENTAL SOCIETY DENTAL HEALTH FOUNDATION,CA,E,295 S FLOWER ST,ORANGE,92868-3414,3,HE,HE,HE,E,4811.0
121926,330794991,330794991201812.0,2018,FALLBROOK SMILES PROJECT,CA,E,PO BOX 833,FALLBROOK,92088-0833,3,HE,HE,HE,E,73083.0
121978,330806515,330806515201903.0,2019,ORANGE COUNTY GLOBAL MEDICAL CENTER AUXILIARY,CA,E,1001 N TUSTIN AVE,SANTA ANA,92705-3502,3,HE,HE,HE,E,6321.0
122023,330823599,330823599201812.0,2018,TICHENOR SUPPORT FOUNDATION,CA,E,1660 TERMINO AVE,LONG BEACH,90804-2103,3,HE,HE,HE,E,0.0
122105,330844408,330844408201812.0,2018,LITTLE COMPANY OF MARY ANCILLARY SERVICES CORPORATION,WA,E,1801 LIND AVE SW ATTN TAX DEPT,RENTON,98057-3368,3,HE,HE,HE,E,0.0
122115,330846650,330846650201812.0,2018,SOUTHWEST HEALTHCARE SYSTEM AUXILIARY,CA,E,25500 MEDICAL CENTER DR,MURRIETA,92562-5965,3,HE,HE,HE,E,905.0
122120,330847516,330847516201806.0,2018,DESERT HOME CARE,CA,E,PO BOX 1175,BORREGO SPGS,92004-1175,3,HE,HE,HE,E,0.0
122198,330865512,330865512201812.0,2018,SWASHRYA FOUNDATION,CA,E,14082 COLLINS RANCH PL,SAN DIEGO,92130-5572,3,HE,HE,HE,E,49802.0
122227,330871787,330871787201906.0,2019,AMERICAN COLLEGE OF PHYSICIANS,CA,E,11717 SAN TIMOTEO,REDLANDS,92374-0000,3,HE,HE,HE,E,111634.0
122237,330873998,330874000000000.0,2018,LOMA LINDA UNIVERSITY MEDICAL ENTERPRISES,CA,E,PO BOX 926,LOMA LINDA,92354-0926,3,HE,HE,HE,E,0.0
122291,330885475,330885475201812.0,2018,WOUND HEALING FOUNDATION,RI,E,235 PLAIN ST STE 501,PROVIDENCE,02905-3243,3,HE,HE,HE,E,57368.0
122300,330889698,330889698201812.0,2018,MEMBERS HEALTH FAIR INC,CA,E,3717 WALNUT AVE,LONG BEACH,90807-4336,3,HE,HE,HE,E,72000.0
122320,330895418,330895418201812.0,2018,TENDER LOVING CARE HOME FOR BOYS INC,CA,E,11519 CARLISLE PL,RCH CUCAMONGA,91730-7233,3,HE,HE,HE,E,0.0
122327,330896707,330896707201812.0,2018,DR WHITAKERS FREEDOM OF HEALTH FOUNDATION,CA,E,PO BOX 17389,IRVINE,92623-7389,3,HE,HE,HE,E,145726.0
122338,330900937,330901000000000.0,2018,REDLANDS HEALTH FOUNDATION,CA,E,350 TERRACINA BLVD,REDLANDS,92373-4850,3,HE,HE,HE,E,52000000.0
122473,330937846,330937846201812.0,2018,BREAST CANCER ANGELS,CA,E,PO BOX 340,LOS ALAMITOS,90720-0340,3,HE,HE,HE,E,379821.0
122514,330949429,330949429201812.0,2018,LIONS MOBILE HEALTH SCREENING UNIT OF SOUTHERN CALIFORNIA,CA,E,PO BOX 1610,BELLFLOWER,90707-1610,3,HE,HE,HE,E,4040.0
122608,330970731,330970731201812.0,2018,NORTH ORANGE COUNTY REGIONAL HEALTH FOUNDATION,CA,E,901 W ORANGETHORPE AVE,FULLERTON,92801-0000,3,HE,HE,HE,E,124498.0
122626,330986880,330986880201805.0,2018,CENTRO MEDICO COMMUNITY CLINIC INC,CA,E,1307 W 6TH ST STE 113,CORONA,92882-1642,3,HE,HE,HE,E,514297.0
122668,331003630,331003630201806.0,2018,ELLIOT PROFESSIONAL SERVICES,NH,E,1070 HOLT AVE UNIT 1 STE 2100,MANCHESTER,03109-5603,3,HE,HE,HE,E,34268.0
122683,331007002,331007000000000.0,2018,TRINITY HEALTH & AFFILIATES,ND,E,PO BOX 5020,MINOT,58702-5020,3,HE,HE,EH,EH,989846.0
122746,331021411,331021411201812.0,2018,CR FOUNDATION,UT,E,3707 N CANYON ROAD BUILDING 7,PROVO,84604-4592,3,HE,HE,HE,E,75422.0
122763,331024950,331024950201812.0,2018,CALL FOR HEALTH FOUNDATION,TX,E,1770 FM 967,BUDA,78610-2884,3,HE,HE,HE,E,5424.0
122791,331029318,331029318201901.0,2019,NORTHLAND HEALTH PARTNERS COMMUNITY,ND,E,PO BOX 535,TURTLE LAKE,58575-0535,3,HE,HE,HE,E,4097597.0
122799,331031454,331031454201812.0,2018,BERGER HEALTH FOUNDATION,OH,E,600 N PICKAWAY ST,CIRCLEVILLE,43113-1447,3,HE,HE,HE,E,688171.0
122808,331034197,331034197201812.0,2018,ARARAT VOLUNTEER RESCUE SQUAD INC,VA,E,PO BOX 6,ARARAT,24053-0006,3,HE,HE,HE,E,33969.0
122837,331046219,331046219201806.0,2018,ATTACHMENT SERVICES OF CENTRAL FLORIDA INC,FL,E,3624 SIMPTON PLACE,LAKE MARY,32746-0000,3,HE,HE,HE,E,4300.0
122855,331052418,331052418201812.0,2018,LAHAI HEALTH,WA,E,19820 SCRIBER LAKE RD STE 2,LYNNWOOD,98036-6121,3,HE,HE,HE,E,603738.0
122879,331061624,331061624201812.0,2018,JOES HOUSE,NY,E,505 E 79TH ST APT 17E,NEW YORK,10075-0709,3,HE,HE,HE,E,17408.0
122894,331065311,331065311201812.0,2018,STRIVE INC,MI,E,7111 DIXIE HIGHWAY 123,CLARKSTON,48346-2077,3,HE,HE,HE,E,1752.0
122896,331065485,331065485201803.0,2018,LEGACY SALMON CREEK HOSPITAL,WA,E,2211 NE 139TH ST,VANCOUVER,98686-2742,3,HE,HE,HE,E,542108.0
122898,331066346,331066346201812.0,2018,HELPING HANDS CLINIC INC,TN,E,1111 WATERCREST ST,MORRISTOWN,37814-3837,3,HE,HE,HE,E,94456.0
122926,331075317,331075317201809.0,2018,NCHMD INC,FL,E,PO BOX 413029,NAPLES,34101-3029,3,HE,HE,HE,E,0.0
122945,331082985,331082985201812.0,2018,EQUICENTER INC,NY,E,3247 RUSH MENDON RD,HONEOYE FALLS,14472-9333,3,HE,HE,HE,E,1000325.0
122953,331086065,331086065201812.0,2018,LOST RIVERS MEDICAL CENTER FOUNDATION,ID,E,PO BOX 335,ARCO,83213-0335,3,HE,HE,HE,E,22876.0
122972,331092529,331092529201812.0,2018,TEEN WITH A DREAM,CO,E,19110 E CREEKSIDE DR,PARKER,80134-4821,3,HE,HE,HE,E,379.0
122980,331094195,331094195201812.0,2018,BROOKVILLE BEHAVIORAL HEALTH,PA,E,240 ALLEGHENY BLVD STE H,BROOKVILLE,15801-2159,3,HE,HE,HE,E,0.0
123017,331104558,331104558201812.0,2018,N E W PARA-MEDIC RESCUE INC,WI,E,1055 WITTMANN DR,MENASHA,54952-3606,3,HE,HE,HE,E,6200.0
123046,331113484,331113484201812.0,2018,DISTRIBUTION COOPERATIVE INC,GA,E,1281 HIGHWAY 155 S,MC DONOUGH,30253-7316,3,HE,HE,EH,EH,0.0
123083,331124162,331124162201809.0,2018,MINNEWASKA HOME CARE INC,MN,E,PO BOX 40,STARBUCK,,3,HE,HE,HE,E,0.0
123090,331127990,331127990201809.0,2018,SEATTLE CHILDRENS HOSPITAL,WA,E,PO BOX 5371 MSC RC-507,SEATTLE,98145-5005,3,HE,HE,EH,EH,275746.0
123157,331148398,331148398201812.0,2018,HOLY ROSARY INTERNATIONAL MEDICAL MISSION INC,CA,E,4751 MATTERHORN WAY,ANTIOCH,94531-8346,3,HE,HE,HE,E,2014.0
123197,331164946,331164946201809.0,2018,OLD IRVING PARK COMMUNITY CLINIC,IL,E,5425 W ADDISON ST,CHICAGO,60641-3203,3,HE,HE,HE,E,829638.0
123217,331170437,331170437201812.0,2018,COMMUNITY DENTAL FOUNDATION INC,AZ,E,201 S 36TH ST,PHOENIX,85034-2808,3,HE,HE,HE,E,15347.0
123218,331170597,331170597201812.0,2018,THE INHEALTH COMMUNITY WELLNESS CLINIC INC,WI,E,PO BOX 35,BOSCOBEL,53805-0035,3,HE,HE,HE,E,100842.0
123234,331174478,331174478201806.0,2018,JOHN F FINN INSTITUTE FOR PUBLIC SAFETY INC,NY,E,421 NEW KARNER RD STE 12,ALBANY,12205-3861,3,HE,HE,HE,E,351686.0
123240,331177682,331177682201806.0,2018,NYCRX,NY,E,147A MASPETH AVE,BROOKLYN,11211-2603,3,HE,HE,HE,E,0.0
123284,331197054,331197054201806.0,2018,CENTRAL FLORIDA HEALTH INC,FL,E,600 E DIXIE AVE,LEESBURG,34748-5925,3,HE,HE,HE,E,0.0
123328,331210731,331210731201812.0,2018,DOCTORS WITHOUT WALLS-SANTA BARBARA STREET MEDICINE,CA,E,19 E MICHELTORENA ST,SANTA BARBARA,93101-2503,3,HE,HE,HE,E,374916.0
123348,331216751,331217000000000.0,2018,HUGHSTON HOSPITAL INC,GA,E,100 FIRST CT,COLUMBUS,31901-0000,3,HE,HE,EH,EH,0.0
123353,331219572,331219572201812.0,2018,CHIDUME MEDICAL FOUNDATION INC,MD,E,15811 BERRYVILLE RD,DARNESTOWN,20874-3632,3,HE,HE,HE,E,24364.0
123382,340709901,340709901201906.0,2019,SALEM AREA VISITING NURSE ASSOCIATION,OH,E,718 E 3RD ST STE A,SALEM,44460-2915,3,HE,HE,HE,E,30892.0
123392,340714357,340714357201812.0,2018,CHILDRENS HOSPITAL MEDICAL CENTER OF AKRON,OH,E,1 PERKINS SQ,AKRON,44308-1063,3,HE,HE,EH,EH,10809912.0
123393,340714360,340714360201806.0,2018,THE MONTEFIORE HOME,OH,E,1 DAVID N MEYERS PKWY,BEACHWOOD,44122-0000,3,HE,HE,HE,E,2618815.0
123416,340714472,340714472201812.0,2018,OVERLOOK HOUSE,OH,E,PO BOX 161070,ROCKY RIVER,44116-7070,3,HE,HE,HE,E,170202.0
123417,340714479,340714479201806.0,2018,GRACE HOSPITAL,OH,E,2307 WEST 14TH STREET NO 2,CLEVELAND,44113-3612,3,HE,HE,EH,EH,447225.0
123419,340714485,340714485201812.0,2018,ST ALEXIS HOSPITAL,IN,E,PO BOX 1290,MISHAWAKA,46546-1290,3,HE,HE,EH,EH,105478.0
123420,340714504,340714504201812.0,2018,ST JOHNS HOSPITAL OF CLEVELAND OHIO,OH,E,2475 E 22ND ST,CLEVELAND,44115-3221,3,HE,HE,HE,E,0.0
123421,340714512,340714512201812.0,2018,ST JOSEPH CARE CENTER,OH,E,2308 RENO DR,LOUISVILLE,44641-9083,3,HE,HE,HE,E,75749.0
123429,340714585,340714585201712.0,2017,THE CLEVELAND CLINIC FOUNDATION,OH,E,6801 BRECKSVILLE RD RK85,INDEPENDENCE,44195-0001,3,HE,HE,EH,EH,241311504.0
123442,340714643,340714643201809.0,2018,BELMONT COMMUNITY HOSPITAL INC,OH,E,4697 HARRISON ST,BELLAIRE,43906-1338,3,HE,HE,EH,EH,0.0
123444,340714648,340714648201812.0,2018,CLEVELAND HEARING AND SPEECH CENTER,OH,E,11635 EUCLID AVE,CLEVELAND,44106-4319,3,HE,HE,HE,E,1165585.0
123445,340714649,340715000000000.0,2018,GREATER CLEVELAND HEALTHCARE ASSOCIATION,OH,E,1226 HURON RD E,CLEVELAND,44115-1702,3,HE,HE,HE,E,1075658.0
123455,340714679,340714679201812.0,2018,JENNINGS CENTER FOR OLDER ADULTS,OH,E,10204 GRANGER RD,GARFIELD HTS,44125-3106,3,HE,HE,HE,E,1111203.0
123463,340714722,340714722201812.0,2018,VISITING NURSE ASSOCIATION OF CLEVELAND,OH,E,2500 E 22ND ST,CLEVELAND,44115-3204,3,HE,HE,HE,E,748325.0
123473,340714765,340714765201812.0,2018,SISTERS OF ST JOSEPH OF ST MARK- MOUNT ST JOSEPH,OH,E,21800 CHARDON RD,EUCLID,44117-2125,3,HE,HE,HE,E,58929.0
123476,340714775,340714775201712.0,2017,UNIVERSITY HOSPITALS HEALTH SYSTEM INC,OH,E,3605 WARRENSVILLE CENTER RD,SHAKER HTS,44122-5203,3,HE,HE,EH,EH,10830000.0
123479,340714781,340714781201812.0,2018,MARGARET B SHIPLEY CHILD HEALTH CLINIC INC,OH,E,919 2ND ST NE,CANTON,44704-1132,3,HE,HE,HE,E,412717.0
123492,340718413,340718413201812.0,2018,THE WOMENS WELSH CLUBS OF AMERICA,OH,E,22199 CENTER RIDGE RD,ROCKY RIVER,44116-3925,3,HE,HE,HE,E,724340.0
123494,340719172,340719172201812.0,2018,BARNESVILLE HOSPITAL ASSOCIATION INC,OH,E,639 W MAIN ST,BARNESVILLE,43713-1039,3,HE,HE,EH,EH,648955.0
123501,340726068,340726068201812.0,2018,WEST SIDE DEUTSCHER FRAUEN VEREIN,OH,E,18627 SHURMER RD,STRONGSVILLE,44136-6150,3,HE,HE,HE,E,271549.0
123503,340726081,340726081201812.0,2018,ASHTABULA COUNTY MEDICAL CENTER,OH,E,2420 LAKE AVE,ASHTABULA,44004-4954,3,HE,HE,EH,EH,10927688.0
123524,340742712,340742712201808.0,2018,YOUNGSTOWN HEARING AND SPEECH CENTER,OH,E,299 EDWARDS ST,YOUNGSTOWN,44502-1504,3,HE,HE,HE,E,102881.0
123532,340753531,340753531201812.0,2018,SOUTHWEST GENERAL HEALTH CENTER,OH,E,18697 BAGLEY RD,CLEVELAND,44130-3417,3,HE,HE,EH,EH,198592.0
123546,340777659,340777659201812.0,2018,ALLIANCE HOSPITAL AUXILIARY,OH,E,200 E STATE ST,ALLIANCE,44601-4936,3,HE,HE,HE,E,11403.0
123547,340777664,340777664201812.0,2018,ST LUKE LUTHERAN HOME FOR THE AGING,OH,E,220 APPLEGROVE ST NE,NORTH CANTON,44720-1610,3,HE,HE,HE,E,14203.0
123578,340833506,340833506201812.0,2018,CHILDRENS REHABILITATION CENTER,OH,E,885 HOWLAND WILSON RD NE,HOWLAND,44484-2115,3,HE,HE,HE,E,462350.0
123581,340835578,340835578201806.0,2018,THE CLEVELAND EYE BANK FOUNDATION,OH,E,4775 RICHMOND RD,CLEVELAND,44128-5919,3,HE,HE,HE,E,147013.0
123590,340865526,340865526201812.0,2018,MANSFIELD MEMORIAL HOMES INC,OH,E,50 BLYMYER AVE,MANSFIELD,44903-2343,3,HE,HE,HE,E,537164.0
123605,340878993,340878993201812.0,2018,WEST VIEW MANOR INC,OH,E,1715 MECHANICSBURG RD,WOOSTER,44691-2640,3,HE,HE,HE,E,67669.0
123608,340892697,340892697201812.0,2018,LITTLE SISTERS OF THE POOR HOME FOR THE AGED,OH,E,PO BOX 221277,CLEVELAND,44122-0996,3,HE,HE,HE,E,316817.0
123616,340898745,340898745201812.0,2018,FOSTORIA HOSPITAL ASSOCIATION,OH,E,501 VAN BUREN ST,FOSTORIA,43604-1516,3,HE,HE,EH,EH,209156.0
123619,340899610,340899610201812.0,2018,COMMUNITY SKILLED NURSING CENTRE,OH,E,1320 MAHONING AVE NW,WARREN,44483-2002,3,HE,HE,HE,E,0.0
123620,340901052,340901052201812.0,2018,LITTLE SISTERS OF THE POOR,OH,E,930 S WYNN RD,OREGON,43616-3530,3,HE,HE,HE,E,1680555.0
123638,340922268,340922000000000.0,2018,HEALTHSPAN INTEGRATED CARE,OH,E,1701 MERCY HEALTH PL,CINCINNATI,45237-6147,3,HE,HE,HE,E,0.0
123649,340930124,340930124201812.0,2018,FAIRLAWN HAVEN,OH,E,407 E LUTZ RD,ARCHBOLD,43502-1252,3,HE,HE,HE,E,41133.0
123731,341013695,341013695201812.0,2018,ASSUMPTION VILLAGE,OH,E,9800 MARKET ST,NORTH LIMA,44452-9560,3,HE,HE,HE,E,0.0
