"2010 SOC Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","education_STW","knowledge_STW","rothwell_STW","Occupation 2010 Description","2010 Census Code"
"19-1041","19-1041.00","Epidemiologists","Epidemiologists",0,1,0,NA,NA
"19-1042","19-1042.00","Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists",0,1,0,NA,NA
"19-1099","19-1099.00","Life Scientists, All Other","Life Scientists, All Other",NA,NA,NA,"Life scientists, all other","1660"
"19-2011","19-2011.00","Astronomers","Astronomers",0,1,0,NA,NA
"19-2012","19-2012.00","Physicists","Physicists",0,1,0,NA,NA
"19-2021","19-2021.00","Atmospheric and Space Scientists","Atmospheric and Space Scientists",0,1,0,"Atmospheric and space scientists","1710"
"19-2031","19-2031.00","Chemists","Chemists",0,1,0,NA,NA
"19-2032","19-2032.00","Materials Scientists","Materials Scientists",0,1,0,NA,NA
"19-2041","19-2041.00","Environmental Scientists and Specialists, Including Health","Environmental Scientists and Specialists, Including Health",0,1,0,NA,NA
"19-2041","19-2041.01","Climate Change Analysts","Environmental Scientists and Specialists, Including Health",0,1,0,NA,NA
"19-2041","19-2041.02","Environmental Restoration Planners","Environmental Scientists and Specialists, Including Health",0,1,0,NA,NA
"19-2041","19-2041.03","Industrial Ecologists","Environmental Scientists and Specialists, Including Health",0,1,0,NA,NA
"19-2042","19-2042.00","Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographers",0,1,0,NA,NA
"19-2043","19-2043.00","Hydrologists","Hydrologists",0,1,0,NA,NA
"19-2099","19-2099.01","Remote Sensing Scientists and Technologists","Physical Scientists, All Other",0,1,0,"Physical scientists, all other","1760"
"19-2099","19-2099.00","Physical Scientists, All Other","Physical Scientists, All Other",0,1,0,"Physical scientists, all other","1760"
"19-3011","19-3011.01","Environmental Economists","Economists",0,1,0,"Economists","1800"
"19-3011","19-3011.00","Economists","Economists",0,1,0,"Economists","1800"
"19-3022","19-3022.00","Survey Researchers","Survey Researchers",0,1,0,"Survey researchers","1815"
"19-3031","19-3031.00","Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists",0,0,0,NA,NA
"19-3031","19-3031.01","School Psychologists","Clinical, Counseling, and School Psychologists",0,0,0,NA,NA
"19-3031","19-3031.02","Clinical Psychologists","Clinical, Counseling, and School Psychologists",0,0,0,NA,NA
"19-3031","19-3031.03","Counseling Psychologists","Clinical, Counseling, and School Psychologists",0,0,0,NA,NA
"19-3032","19-3032.00","Industrial-Organizational Psychologists","Industrial-Organizational Psychologists",0,1,0,NA,NA
"19-3039","19-3039.00","Psychologists, All Other","Psychologists, All Other",0,1,0,NA,NA
"19-3039","19-3039.01","Neuropsychologists and Clinical Neuropsychologists","Psychologists, All Other",0,1,0,NA,NA
"19-3041","19-3041.00","Sociologists","Sociologists",0,1,0,"Sociologists","1830"
"19-3051","19-3051.00","Urban and Regional Planners","Urban and Regional Planners",0,0,0,"Urban and regional planners","1840"
"19-3091","19-3091.00","Anthropologists and Archeologists","Anthropologists and Archeologists",0,0,0,NA,NA
"19-3091","19-3091.01","Anthropologists","Anthropologists and Archeologists",0,0,0,NA,NA
"19-3091","19-3091.02","Archeologists","Anthropologists and Archeologists",0,0,0,NA,NA
"19-3092","19-3092.00","Geographers","Geographers",0,1,0,NA,NA
"19-3093","19-3093.00","Historians","Historians",0,1,0,NA,NA
"19-3094","19-3094.00","Political Scientists","Political Scientists",0,0,0,NA,NA
"19-3099","19-3099.00","Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other",NA,NA,NA,NA,NA
"19-3099","19-3099.01","Transportation Planners","Social Scientists and Related Workers, All Other",NA,NA,NA,NA,NA
"19-4011","19-4011.00","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians",1,0,0,"Agricultural and food science technicians","1900"
"19-4011","19-4011.01","Agricultural Technicians","Agricultural and Food Science Technicians",1,0,0,"Agricultural and food science technicians","1900"
"19-4011","19-4011.02","Food Science Technicians","Agricultural and Food Science Technicians",1,0,0,"Agricultural and food science technicians","1900"
"19-4021","19-4021.00","Biological Technicians","Biological Technicians",0,1,0,"Biological technicians","1910"
"19-4031","19-4031.00","Chemical Technicians","Chemical Technicians",1,1,1,"Chemical technicians","1920"
"19-4041","19-4041.01","Geophysical Data Technicians","Geological and Petroleum Technicians",1,1,1,"Geological and petroleum technicians","1930"
"19-4041","19-4041.00","Geological and Petroleum Technicians","Geological and Petroleum Technicians",1,1,1,"Geological and petroleum technicians","1930"
"19-4041","19-4041.02","Geological Sample Test Technicians","Geological and Petroleum Technicians",1,1,1,"Geological and petroleum technicians","1930"
"19-4051","19-4051.02","Nuclear Monitoring Technicians","Nuclear Technicians",1,0,0,"Nuclear technicians","1940"
"19-4051","19-4051.00","Nuclear Technicians","Nuclear Technicians",1,0,0,"Nuclear technicians","1940"
"19-4051","19-4051.01","Nuclear Equipment Operation Technicians","Nuclear Technicians",1,0,0,"Nuclear technicians","1940"
"19-4061","19-4061.01","City and Regional Planning Aides","Social Science Research Assistants",0,0,0,"Social science research assistants","1950"
"19-4061","19-4061.00","Social Science Research Assistants","Social Science Research Assistants",0,0,0,"Social science research assistants","1950"
"19-4091","19-4091.00","Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",0,1,0,NA,NA
"19-4092","19-4092.00","Forensic Science Technicians","Forensic Science Technicians",0,0,0,NA,NA
"19-4093","19-4093.00","Forest and Conservation Technicians","Forest and Conservation Technicians",1,0,0,NA,NA
"19-4099","19-4099.00","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",1,1,1,NA,NA
"19-4099","19-4099.01","Quality Control Analysts","Life, Physical, and Social Science Technicians, All Other",1,1,1,NA,NA
"19-4099","19-4099.02","Precision Agriculture Technicians","Life, Physical, and Social Science Technicians, All Other",1,1,1,NA,NA
"19-4099","19-4099.03","Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other",1,1,1,NA,NA
"21-1011","21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Substance Abuse and Behavioral Disorder Counselors",1,0,0,NA,NA
"21-1012","21-1012.00","Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, School, and Vocational Counselors",0,0,0,NA,NA
"21-1013","21-1013.00","Marriage and Family Therapists","Marriage and Family Therapists",0,0,0,NA,NA
"21-1014","21-1014.00","Mental Health Counselors","Mental Health Counselors",0,0,0,NA,NA
"21-1015","21-1015.00","Rehabilitation Counselors","Rehabilitation Counselors",1,0,0,NA,NA
"21-1019","21-1019.00","Counselors, All Other","Counselors, All Other",NA,NA,NA,NA,NA
"21-1021","21-1021.00","Child, Family, and School Social Workers","Child, Family, and School Social Workers",0,0,0,NA,NA
"21-1022","21-1022.00","Healthcare Social Workers","Healthcare Social Workers",0,0,0,NA,NA
"21-1023","21-1023.00","Mental Health and Substance Abuse Social Workers","Mental Health and Substance Abuse Social Workers",0,0,0,NA,NA
"21-1029","21-1029.00","Social Workers, All Other","Social Workers, All Other",NA,NA,NA,NA,NA
"21-1091","21-1091.00","Health Educators","Health Educators",0,0,0,"Miscellaneous community and social service specialists, including health educators and community health workers","2025"
"21-1092","21-1092.00","Probation Officers and Correctional Treatment Specialists","Probation Officers and Correctional Treatment Specialists",0,0,0,"Probation officers and correctional treatment specialists","2015"
"21-1093","21-1093.00","Social and Human Service Assistants","Social and Human Service Assistants",0,0,0,"Social and human service assistants","2016"
"21-1094","21-1094.00","Community Health Workers","Community Health Workers",NA,NA,NA,"Miscellaneous community and social service specialists, including health educators and community health workers","2025"
"21-1099","21-1099.00","Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other",NA,NA,NA,"Miscellaneous community and social service specialists, including health educators and community health workers","2025"
"21-2011","21-2011.00","Clergy","Clergy",0,0,0,"Clergy","2040"
"21-2021","21-2021.00","Directors, Religious Activities and Education","Directors, Religious Activities and Education",0,0,0,"Directors, religious activities and education","2050"
"21-2099","21-2099.00","Religious Workers, All Other","Religious Workers, All Other",NA,NA,NA,"Religious workers, all other","2060"
"23-1011","23-1011.00","Lawyers","Lawyers",0,0,0,"Lawyers","2100"
"23-1012","23-1012.00","Judicial Law Clerks","Judicial Law Clerks",NA,0,0,"Judicial law clerks","2105"
"23-1021","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",0,0,0,NA,NA
"23-1022","23-1022.00","Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",0,0,0,NA,NA
"23-1023","23-1023.00","Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",0,0,0,NA,NA
"23-2011","23-2011.00","Paralegals and Legal Assistants","Paralegals and Legal Assistants",1,0,0,"Paralegals and legal assistants","2145"
"23-2091","23-2091.00","Court Reporters","Court Reporters",1,1,1,NA,NA
"23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers",1,0,0,NA,NA
"23-2099","23-2099.00","Legal Support Workers, All Other","Legal Support Workers, All Other",NA,NA,NA,NA,NA
"25-1011","25-1011.00","Business Teachers, Postsecondary","Business Teachers, Postsecondary",0,1,0,NA,NA
"25-1021","25-1021.00","Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1022","25-1022.00","Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1031","25-1031.00","Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",0,1,0,NA,NA
"25-1032","25-1032.00","Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",0,1,0,NA,NA
"25-1041","25-1041.00","Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",0,1,0,NA,NA
"25-1042","25-1042.00","Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1043","25-1043.00","Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1051","25-1051.00","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0,1,0,NA,NA
"25-1052","25-1052.00","Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",0,1,0,NA,NA
"25-1053","25-1053.00","Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1054","25-1054.00","Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",0,1,0,NA,NA
"25-1061","25-1061.00","Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",0,0,0,NA,NA
"25-1062","25-1062.00","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0,0,0,NA,NA
"25-1063","25-1063.00","Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",0,1,0,NA,NA
"25-1064","25-1064.00","Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",0,1,0,NA,NA
"25-1065","25-1065.00","Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",0,0,0,NA,NA
"25-1066","25-1066.00","Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",0,0,0,NA,NA
"25-1067","25-1067.00","Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",0,0,0,NA,NA
"25-1069","25-1069.00","Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other",NA,NA,NA,NA,NA
"25-1071","25-1071.00","Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",0,1,0,NA,NA
"25-1072","25-1072.00","Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",0,1,0,NA,NA
"25-1081","25-1081.00","Education Teachers, Postsecondary","Education Teachers, Postsecondary",0,0,0,NA,NA
"25-1082","25-1082.00","Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",0,1,0,NA,NA
"25-1111","25-1111.00","Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",0,1,0,NA,NA
"25-1112","25-1112.00","Law Teachers, Postsecondary","Law Teachers, Postsecondary",0,0,0,NA,NA
"25-1113","25-1113.00","Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",0,0,0,NA,NA
"25-1121","25-1121.00","Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",0,0,0,NA,NA
"25-1122","25-1122.00","Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",0,0,0,NA,NA
"25-1123","25-1123.00","English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",0,0,0,NA,NA
"25-1124","25-1124.00","Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",0,0,0,NA,NA
"25-1125","25-1125.00","History Teachers, Postsecondary","History Teachers, Postsecondary",0,0,0,NA,NA
"25-1126","25-1126.00","Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",0,0,0,NA,NA
"25-1191","25-1191.00","Graduate Teaching Assistants","Graduate Teaching Assistants",0,1,0,NA,NA
"25-1192","25-1192.00","Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary",0,0,0,NA,NA
"25-1193","25-1193.00","Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",0,0,0,NA,NA
"25-1194","25-1194.00","Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary",1,0,0,NA,NA
"25-1199","25-1199.00","Postsecondary Teachers, All Other","Postsecondary Teachers, All Other",NA,NA,NA,NA,NA
"25-2011","25-2011.00","Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",1,0,0,NA,NA
"25-2012","25-2012.00","Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",0,0,0,NA,NA
"25-2021","25-2021.00","Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",0,0,0,NA,NA
"25-2022","25-2022.00","Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Career/Technical Education",0,0,0,NA,NA
"25-2023","25-2023.00","Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School",0,0,0,NA,NA
"25-2031","25-2031.00","Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Career/Technical Education",0,0,0,NA,NA
"25-2032","25-2032.00","Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School",0,0,0,NA,NA
"25-2051","25-2051.00","Special Education Teachers, Preschool","Special Education Teachers, Preschool",NA,NA,NA,NA,NA
"25-2052","25-2052.00","Special Education Teachers, Kindergarten and Elementary School","Special Education Teachers, Kindergarten and Elementary School",NA,NA,NA,NA,NA
"25-2053","25-2053.00","Special Education Teachers, Middle School","Special Education Teachers, Middle School",0,0,0,NA,NA
"25-2054","25-2054.00","Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",0,0,0,NA,NA
"25-2059","25-2059.00","Special Education Teachers, All Other","Special Education Teachers, All Other",NA,NA,NA,NA,NA
"25-2059","25-2059.01","Adapted Physical Education Specialists","Special Education Teachers, All Other",NA,NA,NA,NA,NA
"25-3011","25-3011.00","Adult Basic and Secondary Education and Literacy Teachers and Instructors","Adult Basic and Secondary Education and Literacy Teachers and Instructors",0,0,0,NA,NA
"25-3021","25-3021.00","Self-Enrichment Education Teachers","Self-Enrichment Education Teachers",1,0,0,NA,NA
"25-3099","25-3099.00","Teachers and Instructors, All Other","Teachers and Instructors, All Other",NA,NA,NA,NA,NA
"25-3099","25-3099.02","Tutors","Teachers and Instructors, All Other",NA,NA,NA,NA,NA
"25-4011","25-4011.00","Archivists","Archivists",1,0,0,NA,NA
"25-4012","25-4012.00","Curators","Curators",0,0,0,NA,NA
"25-4013","25-4013.00","Museum Technicians and Conservators","Museum Technicians and Conservators",0,0,0,NA,NA
"25-4021","25-4021.00","Librarians","Librarians",0,1,0,"Librarians","2430"
"25-4031","25-4031.00","Library Technicians","Library Technicians",0,1,0,"Library technicians","2440"
"25-9011","25-9011.00","Audio-Visual and Multimedia Collections Specialists","Audio-Visual and Multimedia Collections Specialists",0,1,0,"Other education, training, and library workers","2550"
"25-9021","25-9021.00","Farm and Home Management Advisors","Farm and Home Management Advisors",0,0,0,"Other education, training, and library workers","2550"
"25-9031","25-9031.00","Instructional Coordinators","Instructional Coordinators",0,1,0,"Other education, training, and library workers","2550"
"25-9031","25-9031.01","Instructional Designers and Technologists","Instructional Coordinators",0,1,0,"Other education, training, and library workers","2550"
"25-9041","25-9041.00","Teacher Assistants","Teacher Assistants",1,0,0,"Teacher assistants","2540"
"25-9099","25-9099.00","Education, Training, and Library Workers, All Other","Education, Training, and Library Workers, All Other",NA,NA,NA,"Other education, training, and library workers","2550"
"27-1011","27-1011.00","Art Directors","Art Directors",1,1,1,NA,NA
"27-1012","27-1012.00","Craft Artists","Craft Artists",1,0,0,NA,NA
"27-1013","27-1013.00","Fine Artists, Including Painters, Sculptors, and Illustrators","Fine Artists, Including Painters, Sculptors, and Illustrators",1,1,1,NA,NA
"27-1014","27-1014.00","Multimedia Artists and Animators","Multimedia Artists and Animators",0,1,0,NA,NA
"27-1019","27-1019.00","Artists and Related Workers, All Other","Artists and Related Workers, All Other",NA,NA,NA,NA,NA
"27-1021","27-1021.00","Commercial and Industrial Designers","Commercial and Industrial Designers",0,1,0,NA,NA
"27-1022","27-1022.00","Fashion Designers","Fashion Designers",1,0,0,NA,NA
"27-1023","27-1023.00","Floral Designers","Floral Designers",1,0,0,NA,NA
"27-1024","27-1024.00","Graphic Designers","Graphic Designers",0,1,0,NA,NA
"27-1025","27-1025.00","Interior Designers","Interior Designers",0,1,0,NA,NA
"27-1026","27-1026.00","Merchandise Displayers and Window Trimmers","Merchandise Displayers and Window Trimmers",1,0,0,NA,NA
"27-1027","27-1027.00","Set and Exhibit Designers","Set and Exhibit Designers",0,1,0,NA,NA
"27-1029","27-1029.00","Designers, All Other","Designers, All Other",NA,NA,NA,NA,NA
"27-2011","27-2011.00","Actors","Actors",1,0,0,"Actors","2700"
"27-2012","27-2012.02","Directors- Stage, Motion Pictures, Television, and Radio","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2012","27-2012.05","Technical Directors/Managers","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2012","27-2012.00","Producers and Directors","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2012","27-2012.03","Program Directors","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2012","27-2012.01","Producers","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2012","27-2012.04","Talent Directors","Producers and Directors",0,0,0,"Producers and directors","2710"
"27-2021","27-2021.00","Athletes and Sports Competitors","Athletes and Sports Competitors",1,0,0,NA,NA
"27-2022","27-2022.00","Coaches and Scouts","Coaches and Scouts",0,0,0,NA,NA
"27-2023","27-2023.00","Umpires, Referees, and Other Sports Officials","Umpires, Referees, and Other Sports Officials",1,0,0,NA,NA
"27-2031","27-2031.00","Dancers","Dancers",1,0,0,NA,NA
"27-2032","27-2032.00","Choreographers","Choreographers",1,0,0,NA,NA
"27-2041","27-2041.00","Music Directors and Composers","Music Directors and Composers",0,1,0,NA,NA
"27-2041","27-2041.01","Music Directors","Music Directors and Composers",0,1,0,NA,NA
"27-2041","27-2041.04","Music Composers and Arrangers","Music Directors and Composers",0,1,0,NA,NA
"27-2042","27-2042.00","Musicians and Singers","Musicians and Singers",1,0,0,NA,NA
"27-2042","27-2042.01","Singers","Musicians and Singers",1,0,0,NA,NA
"27-2042","27-2042.02","Musicians, Instrumental","Musicians and Singers",1,0,0,NA,NA
"27-2099","27-2099.00","Entertainers and Performers, Sports and Related Workers, All Other","Entertainers and Performers, Sports and Related Workers, All Other",NA,NA,NA,"Entertainers and performers, sports and related workers, all other","2760"
"27-3011","27-3011.00","Radio and Television Announcers","Radio and Television Announcers",1,0,0,NA,NA
"27-3012","27-3012.00","Public Address System and Other Announcers","Public Address System and Other Announcers",1,0,0,NA,NA
"27-3021","27-3021.00","Broadcast News Analysts","Broadcast News Analysts",0,0,0,NA,NA
"27-3022","27-3022.00","Reporters and Correspondents","Reporters and Correspondents",0,0,0,NA,NA
"27-3031","27-3031.00","Public Relations Specialists","Public Relations Specialists",0,0,0,"Public relations specialists","2825"
"27-3041","27-3041.00","Editors","Editors",0,0,0,"Editors","2830"
"27-3042","27-3042.00","Technical Writers","Technical Writers",0,0,0,"Technical writers","2840"
"27-3043","27-3043.04","Copy Writers","Writers and Authors",0,0,0,"Writers and authors","2850"
"27-3043","27-3043.00","Writers and Authors","Writers and Authors",0,0,0,"Writers and authors","2850"
"27-3043","27-3043.05","Poets, Lyricists and Creative Writers","Writers and Authors",0,0,0,"Writers and authors","2850"
"27-3091","27-3091.00","Interpreters and Translators","Interpreters and Translators",0,0,0,NA,NA
"27-3099","27-3099.00","Media and Communication Workers, All Other","Media and Communication Workers, All Other",NA,NA,NA,NA,NA
"27-4011","27-4011.00","Audio and Video Equipment Technicians","Audio and Video Equipment Technicians",1,0,0,NA,NA
"27-4012","27-4012.00","Broadcast Technicians","Broadcast Technicians",1,1,1,NA,NA
"27-4013","27-4013.00","Radio Operators","Radio Operators",1,0,0,NA,NA
"27-4014","27-4014.00","Sound Engineering Technicians","Sound Engineering Technicians",1,1,1,NA,NA
"27-4021","27-4021.00","Photographers","Photographers",1,0,0,"Photographers","2910"
"27-4031","27-4031.00","Camera Operators, Television, Video, and Motion Picture","Camera Operators, Television, Video, and Motion Picture",1,1,1,NA,NA
"27-4032","27-4032.00","Film and Video Editors","Film and Video Editors",1,1,1,NA,NA
"27-4099","27-4099.00","Media and Communication Equipment Workers, All Other","Media and Communication Equipment Workers, All Other",NA,NA,NA,"Media and communication equipment workers, all other","2960"
"29-1011","29-1011.00","Chiropractors","Chiropractors",0,1,0,"Chiropractors","3000"
"29-1021","29-1021.00","Dentists, General","Dentists, General",0,1,0,NA,NA
"29-1022","29-1022.00","Oral and Maxillofacial Surgeons","Oral and Maxillofacial Surgeons",0,1,0,NA,NA
"29-1023","29-1023.00","Orthodontists","Orthodontists",0,1,0,NA,NA
"29-1024","29-1024.00","Prosthodontists","Prosthodontists",0,1,0,NA,NA
"29-1029","29-1029.00","Dentists, All Other Specialists","Dentists, All Other Specialists",NA,NA,NA,NA,NA
"29-1031","29-1031.00","Dietitians and Nutritionists","Dietitians and Nutritionists",0,1,0,"Dietitians and nutritionists","3030"
"29-1041","29-1041.00","Optometrists","Optometrists",0,1,0,"Optometrists","3040"
"29-1051","29-1051.00","Pharmacists","Pharmacists",0,1,0,"Pharmacists","3050"
"29-1061","29-1061.00","Anesthesiologists","Anesthesiologists",0,1,0,NA,NA
"29-1062","29-1062.00","Family and General Practitioners","Family and General Practitioners",0,1,0,NA,NA
"29-1063","29-1063.00","Internists, General","Internists, General",0,1,0,NA,NA
"29-1064","29-1064.00","Obstetricians and Gynecologists","Obstetricians and Gynecologists",0,1,0,NA,NA
"29-1065","29-1065.00","Pediatricians, General","Pediatricians, General",0,1,0,NA,NA
"29-1066","29-1066.00","Psychiatrists","Psychiatrists",0,1,0,NA,NA
"29-1067","29-1067.00","Surgeons","Surgeons",0,1,0,NA,NA
"29-1069","29-1069.00","Physicians and Surgeons, All Other","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.01","Allergists and Immunologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.02","Dermatologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.03","Hospitalists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.04","Neurologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.05","Nuclear Medicine Physicians","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.09","Preventive Medicine Physicians","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.10","Radiologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.11","Sports Medicine Physicians","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.12","Urologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.06","Ophthalmologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.07","Pathologists","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1069","29-1069.08","Physical Medicine and Rehabilitation Physicians","Physicians and Surgeons, All Other",0,1,0,NA,NA
"29-1071","29-1071.00","Physician Assistants","Physician Assistants",0,1,0,"Physician assistants","3110"
"29-1071","29-1071.01","Anesthesiologist Assistants","Physician Assistants",0,1,0,"Physician assistants","3110"
"29-1081","29-1081.00","Podiatrists","Podiatrists",0,1,0,"Podiatrists","3120"
"29-1122","29-1122.00","Occupational Therapists","Occupational Therapists",0,0,0,"Occupational therapists","3150"
"29-1122","29-1122.01","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Occupational Therapists",0,0,0,"Occupational therapists","3150"
"29-1123","29-1123.00","Physical Therapists","Physical Therapists",0,0,0,"Physical therapists","3160"
"29-1124","29-1124.00","Radiation Therapists","Radiation Therapists",1,0,0,"Radiation therapists","3200"
"29-1125","29-1125.00","Recreational Therapists","Recreational Therapists",0,0,0,"Recreational therapists","3210"
"29-1125","29-1125.01","Art Therapists","Recreational Therapists",0,0,0,"Recreational therapists","3210"
"29-1125","29-1125.02","Music Therapists","Recreational Therapists",0,0,0,"Recreational therapists","3210"
"29-1126","29-1126.00","Respiratory Therapists","Respiratory Therapists",1,1,1,"Respiratory therapists","3220"
"29-1127","29-1127.00","Speech-Language Pathologists","Speech-Language Pathologists",0,0,0,"Speech-language pathologists","3230"
"29-1128","29-1128.00","Exercise Physiologists","Exercise Physiologists",NA,NA,NA,"Exercise physiologists","3235"
"29-1129","29-1129.00","Therapists, All Other","Therapists, All Other",NA,NA,NA,"Therapists, all other","3245"
"29-1131","29-1131.00","Veterinarians","Veterinarians",0,1,0,"Veterinarians","3250"
"29-1141","29-1141.00","Registered Nurses","Registered Nurses",0,1,1,"Registered nurses","3255"
"29-1141","29-1141.01","Acute Care Nurses","Registered Nurses",0,1,1,"Registered nurses","3255"
"29-1141","29-1141.03","Critical Care Nurses","Registered Nurses",0,1,1,"Registered nurses","3255"
"29-1141","29-1141.04","Clinical Nurse Specialists","Registered Nurses",0,1,1,"Registered nurses","3255"
"29-1141","29-1141.02","Advanced Practice Psychiatric Nurses","Registered Nurses",0,1,1,"Registered nurses","3255"
"29-1151","29-1151.00","Nurse Anesthetists","Nurse Anesthetists",0,1,0,"Nurse anesthetists","3256"
"29-1161","29-1161.00","Nurse Midwives","Nurse Midwives",0,1,0,"Nurse midwives","3257"
"29-1171","29-1171.00","Nurse Practitioners","Nurse Practitioners",0,1,0,"Nurse practitioners","3258"
"29-1181","29-1181.00","Audiologists","Audiologists",0,0,0,"Audiologists","3140"
"29-1199","29-1199.04","Naturopathic Physicians","Health Diagnosing and Treating Practitioners, All Other",0,1,0,"Health diagnosing and treating practitioners, all other","3260"
"29-1199","29-1199.00","Health Diagnosing and Treating Practitioners, All Other","Health Diagnosing and Treating Practitioners, All Other",0,1,0,"Health diagnosing and treating practitioners, all other","3260"
"29-1199","29-1199.01","Acupuncturists","Health Diagnosing and Treating Practitioners, All Other",0,1,0,"Health diagnosing and treating practitioners, all other","3260"
